"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.36861856
1 "Lying" 0.44045993
1 "Lying" 0.45006432
1 "Lying" 0.44727667
1 "Lying" 0.44683844
1 "Lying" 0.44737625
1 "Lying" 0.44850184
1 "Lying" 0.44802796
1 "Lying" 0.44877625
1 "Lying" 0.45175234
1 "Lying" 0.45333607
1 "Lying" 0.45374794
1 "Lying" 0.45531146
1 "Lying" 0.67438565
1 "Lying" 0.62064308
1 "Lying" 0.61378568
1 "Lying" 0.42927879
1 "Lying" 0.23642641
1 "Lying" 0.29590789
1 "Lying" 0.24799053
1 "Lying" 0.10805683
1 "Lying" -0.14717129
1 "Lying" -0.3894917
1 "Lying" -0.44783267
1 "Lying" -0.49963631
1 "Lying" -0.51611649
1 "Lying" -0.53484545
1 "Lying" 0.50160015
1 "Lying" 0.5438425
1 "Lying" 0.5688648
1 "Lying" 0.56793986
1 "Lying" 0.56678241
1 "Lying" 0.56363371
1 "Lying" 0.56489376
1 "Lying" 0.56802187
1 "Lying" 0.56693779
1 "Lying" 0.56565745
1 "Lying" 0.56712399
1 "Lying" 0.56944312
1 "Lying" 0.049798124
1 "Lying" -0.10550437
1 "Lying" -0.01319947
1 "Lying" -0.042027787
1 "Lying" -0.10549321
1 "Lying" -0.15353233
1 "Lying" -0.13748735
1 "Lying" -0.1097712
1 "Lying" -0.096706154
1 "Lying" -0.056156831
1 "Lying" 0.012504665
1 "Sitting" -0.37542596
1 "Sitting" -0.38342955
1 "Sitting" -0.4016016
1 "Sitting" -0.40027809
1 "Sitting" -0.40047652
1 "Sitting" -0.4093585
1 "Sitting" -0.41676117
1 "Sitting" -0.41293833
1 "Sitting" -0.40974176
1 "Sitting" -0.41596709
1 "Sitting" -0.42413438
1 "Sitting" -0.42580589
1 "Sitting" -0.41947189
1 "Sitting" -0.4181058
1 "Sitting" -0.21978717
1 "Sitting" -0.33394807
1 "Sitting" -0.31617569
1 "Sitting" -0.30625479
1 "Sitting" -0.31095781
1 "Sitting" -0.30891958
1 "Sitting" -0.30718679
1 "Sitting" -0.31246224
1 "Sitting" -0.31245443
1 "Sitting" -0.30304553
1 "Sitting" -0.30088027
1 "Sitting" -0.31262308
1 "Sitting" -0.31904764
1 "Sitting" -0.14885791
1 "Sitting" -0.16109586
1 "Sitting" -0.17538294
1 "Sitting" -0.18465538
1 "Sitting" -0.20150783
1 "Sitting" -0.20050055
1 "Sitting" -0.17802954
1 "Sitting" -0.16575726
1 "Sitting" -0.16772224
1 "Sitting" -0.17361944
1 "Sitting" -0.16796388
1 "Sitting" -0.16267727
1 "Sitting" -0.16527691
1 "Sitting" -0.16144957
1 "Sitting" -0.015842588
1 "Sitting" -0.11232951
1 "Sitting" -0.094731046
1 "Sitting" -0.081498118
1 "Sitting" -0.08811695
1 "Sitting" -0.076579841
1 "Sitting" -0.061406478
1 "Sitting" -0.057984329
1 "Sitting" -0.056395944
1 "Sitting" -0.058443424
1 "Sitting" -0.064396041
1 "Sitting" -0.066712874
1 "Standing" 0.08157873
1 "Standing" 0.29106714
1 "Standing" 0.23398489
1 "Standing" 0.22624937
1 "Standing" 0.30418775
1 "Standing" 0.55943966
1 "Standing" 0.76644123
1 "Standing" 0.76805035
1 "Standing" 0.7535427
1 "Standing" 0.75530727
1 "Standing" 0.75570059
1 "Standing" 0.083786145
1 "Standing" 0.074987893
1 "Standing" 0.10889969
1 "Standing" 0.10757519
1 "Standing" 0.10489875
1 "Standing" 0.11342894
1 "Standing" 0.11103109
1 "Standing" 0.10488539
1 "Standing" 0.11148738
1 "Standing" 0.11303704
1 "Standing" 0.11570349
1 "Standing" 0.12073486
1 "Standing" 0.113311
1 "Standing" 0.51348588
1 "Standing" 0.48856252
1 "Standing" 0.45153115
1 "Standing" 0.46678058
1 "Standing" 0.46526361
1 "Standing" 0.46528532
1 "Standing" 0.46932495
1 "Standing" 0.46652416
1 "Standing" 0.46167686
1 "Standing" 0.46136381
1 "Standing" 0.46203085
1 "Standing" -0.16680451
1 "Standing" -0.18470892
1 "Standing" -0.15761926
1 "Standing" -0.12937991
1 "Standing" -0.11488976
1 "Standing" -0.114721
1 "Standing" -0.10737866
1 "Standing" -0.099326744
1 "Standing" -0.09876014
1 "Standing" -0.095503528
1 "Standing" -0.09598414
1 "Standing" -0.095233579
1 "Walking" -0.31710354
1 "Walking" -0.30669143
1 "Walking" -0.28287591
1 "Walking" -0.2817542
1 "Walking" -0.29329529
1 "Walking" -0.30732913
1 "Walking" -0.33349314
1 "Walking" -0.36090629
1 "Walking" -0.29318366
1 "Walking" -0.27806247
1 "Walking" -0.29346859
1 "Walking" -0.31116155
1 "Walking" -0.29111672
1 "Walking" -0.27161162
1 "Walking" -0.26363669
1 "Walking" -0.26386521
1 "Walking" -0.28865943
1 "Walking" -0.32375621
1 "Walking" -0.35670329
1 "Walking" -0.37829991
1 "Walking" -0.28360572
1 "Walking" -0.23811627
1 "Walking" -0.25796338
1 "Walking" -0.27835135
1 "Walking" -0.27706934
1 "Walking" -0.28366742
1 "Walking" -0.31542939
1 "Walking" -0.33568635
1 "Walking" -0.32894732
1 "Walking" -0.33462127
1 "Walking" -0.30141777
1 "Walking" -0.25435199
1 "Walking" -0.26306741
1 "Walking" -0.25831956
1 "Walking" -0.25104919
1 "Walking" -0.2556361
1 "Walking" -0.27104767
1 "Walking" -0.31625912
1 "Walking" -0.34385049
1 "Walking" -0.35508112
1 "Walking" -0.36059182
1 "Walking" -0.33847707
1 "Walking" -0.34277518
1 "Walking" -0.36664177
1 "Walking" -0.35366762
1 "Walking" -0.3133756
1 "Walking" -0.28190033
1 "Walking" 0.080773957
1 "Walking" 0.061606297
1 "Walking" 0.045239503
1 "Walking" 0.02244971
1 "Walking" -0.024378763
1 "Walking" -0.038021067
1 "Walking" -0.014506222
1 "Walking" -0.010033441
1 "Walking" -0.066779257
1 "Walking" 0.013987963
1 "Walking" 0.00089275755
1 "Walking" 0.0081911783
1 "Walking" 0.046265834
1 "Walking" 0.016155272
1 "Walking" -0.042084669
1 "Walking" -0.046877111
1 "Walking" -0.024431472
1 "Walking" 0.011271377
1 "Walking" 0.023733828
1 "Walking" 0.0091650609
1 "Walking" 0.0091294364
1 "Walking" 0.15666101
1 "Walking" 0.19205339
1 "Walking" 0.10266176
1 "Walking" 0.075505816
1 "Walking" 0.050954612
1 "Walking" 0.003993633
1 "Walking" 0.040048626
1 "Walking" 0.050185983
1 "Walking" -0.030002208
1 "Walking" -0.068905927
1 "Walking" -0.040886682
1 "Walking" 0.0016938469
1 "Walking" 0.0087567423
1 "Walking" -0.057163507
1 "Walking" 0.073696171
1 "Walking" 0.067102349
1 "Walking" 0.015247395
1 "Walking" 0.0076049379
1 "Walking" 0.035383154
1 "Walking" 0.019420125
1 "Walking" -0.043258322
1 "Walking" -0.052873466
1 "Walking" -0.012820943
1 "Walking" 0.01896604
1 "Walking" 0.031369391
1 "Walking" 0.036561118
1 "Walking" 0.026897382
1 "Walking Down Stairs" -0.34781118
1 "Walking Down Stairs" -0.4000754
1 "Walking Down Stairs" -0.40649672
1 "Walking Down Stairs" -0.37331571
1 "Walking Down Stairs" -0.37617384
1 "Walking Down Stairs" -0.41756915
1 "Walking Down Stairs" -0.38582154
1 "Walking Down Stairs" -0.39184306
1 "Walking Down Stairs" -0.45052634
1 "Walking Down Stairs" -0.2541099
1 "Walking Down Stairs" -0.36771874
1 "Walking Down Stairs" -0.31272465
1 "Walking Down Stairs" -0.22907553
1 "Walking Down Stairs" -0.26232578
1 "Walking Down Stairs" -0.24480412
1 "Walking Down Stairs" -0.25464061
1 "Walking Down Stairs" -0.36516215
1 "Walking Down Stairs" -0.25079217
1 "Walking Down Stairs" -0.32858465
1 "Walking Down Stairs" -0.31473681
1 "Walking Down Stairs" -0.30485228
1 "Walking Down Stairs" -0.40123153
1 "Walking Down Stairs" -0.35084297
1 "Walking Down Stairs" -0.25519484
1 "Walking Down Stairs" -0.34187571
1 "Walking Down Stairs" -0.15049157
1 "Walking Down Stairs" -0.13181017
1 "Walking Down Stairs" -0.040413615
1 "Walking Down Stairs" -0.16137529
1 "Walking Down Stairs" -0.091279614
1 "Walking Down Stairs" -0.052855432
1 "Walking Down Stairs" -0.093224978
1 "Walking Down Stairs" 0.015902244
1 "Walking Down Stairs" -0.066519182
1 "Walking Down Stairs" -0.067259177
1 "Walking Down Stairs" -0.047275316
1 "Walking Down Stairs" -0.045673566
1 "Walking Down Stairs" -0.0015235746
1 "Walking Down Stairs" 0.045809265
1 "Walking Down Stairs" -0.030640954
1 "Walking Down Stairs" -0.095888772
1 "Walking Down Stairs" -0.15977996
1 "Walking Down Stairs" -0.17369792
1 "Walking Down Stairs" -0.049677286
1 "Walking Down Stairs" -0.0037760489
1 "Walking Down Stairs" 0.00026397918
1 "Walking Down Stairs" -0.0023756737
1 "Walking Down Stairs" -0.11658967
1 "Walking Down Stairs" -0.20127041
1 "Walking Up Stairs" -0.11025742
1 "Walking Up Stairs" -0.11682722
1 "Walking Up Stairs" -0.07243222
1 "Walking Up Stairs" -0.062455758
1 "Walking Up Stairs" -0.098727022
1 "Walking Up Stairs" -0.17489152
