"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.62353466
1 "Lying" 0.12346796
1 "Lying" 0.20082354
1 "Lying" 0.28008217
1 "Lying" 0.3020344
1 "Lying" 0.28572655
1 "Lying" 0.40997403
1 "Lying" 0.4897887
1 "Lying" 0.19659756
1 "Lying" 0.30027251
1 "Lying" 0.30732026
1 "Lying" 0.31772283
1 "Lying" 0.32646627
1 "Lying" -0.065352119
1 "Lying" -0.14774023
1 "Lying" -0.23178802
1 "Lying" -0.2910512
1 "Lying" -0.69398854
1 "Lying" -0.52152016
1 "Lying" -0.42905464
1 "Lying" -0.42631768
1 "Lying" -0.43512793
1 "Lying" -0.4137084
1 "Lying" 0.19008096
1 "Lying" 0.12398794
1 "Lying" 0.13806176
1 "Lying" 0.32474838
1 "Lying" -0.009311383
1 "Lying" -0.07310422
1 "Lying" 0.31761979
1 "Lying" 0.37300315
1 "Lying" 0.28116277
1 "Lying" 0.15071228
1 "Lying" 0.1740908
1 "Lying" 0.35197165
1 "Lying" 0.25557124
1 "Lying" 0.12688952
1 "Lying" 0.19722303
1 "Lying" 0.26326125
1 "Lying" -0.11657017
1 "Lying" 0.11421596
1 "Lying" 0.31150527
1 "Lying" 0.057781396
1 "Lying" 0.003528156
1 "Lying" 0.17634277
1 "Lying" -0.029214289
1 "Lying" -0.11839055
1 "Lying" -0.2467547
1 "Lying" -0.26729627
1 "Lying" -0.57239209
1 "Sitting" 0.094831568
1 "Sitting" 0.31175771
1 "Sitting" 0.25407599
1 "Sitting" -0.00046644726
1 "Sitting" 0.51556243
1 "Sitting" 0.56348302
1 "Sitting" 0.29302646
1 "Sitting" 0.15035843
1 "Sitting" 0.21921513
1 "Sitting" 0.26678535
1 "Sitting" 0.34490713
1 "Sitting" 0.34963419
1 "Sitting" 0.41521302
1 "Sitting" 0.40757264
1 "Sitting" -0.45269697
1 "Sitting" 0.24645295
1 "Sitting" 0.34012557
1 "Sitting" 0.23079623
1 "Sitting" 0.30724722
1 "Sitting" 0.50546277
1 "Sitting" 0.84166378
1 "Sitting" 0.69487492
1 "Sitting" 0.11200854
1 "Sitting" 0.15506301
1 "Sitting" 0.39508311
1 "Sitting" 0.43658745
1 "Sitting" 0.53966083
1 "Sitting" 0.18170937
1 "Sitting" -0.11097066
1 "Sitting" 0.044380249
1 "Sitting" 0.03297298
1 "Sitting" -0.17712784
1 "Sitting" 0.048303524
1 "Sitting" 0.11687485
1 "Sitting" 0.25321847
1 "Sitting" 0.37156353
1 "Sitting" 0.3502413
1 "Sitting" 0.10444363
1 "Sitting" 0.010814794
1 "Sitting" 0.15360695
1 "Sitting" 0.20366515
1 "Sitting" -0.22433759
1 "Sitting" -0.041741844
1 "Sitting" 0.327823
1 "Sitting" 0.24279633
1 "Sitting" 0.15269473
1 "Sitting" 0.28119768
1 "Sitting" 0.57253413
1 "Sitting" 0.54996265
1 "Sitting" 0.18460147
1 "Sitting" -0.09909647
