"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99149465
1 "Lying" -0.99970338
1 "Lying" -0.99997267
1 "Lying" -0.99999792
1 "Lying" -0.99999183
1 "Lying" -0.99996509
1 "Lying" -0.99996654
1 "Lying" -0.99995912
1 "Lying" -0.99993602
1 "Lying" -0.99994444
1 "Lying" -0.99997084
1 "Lying" -0.99997922
1 "Lying" -0.99997276
1 "Lying" -0.9229399
1 "Lying" -0.99714561
1 "Lying" -0.76076723
1 "Lying" -0.7314856
1 "Lying" -0.94687524
1 "Lying" -0.92957914
1 "Lying" -0.41875061
1 "Lying" -0.18017445
1 "Lying" -0.69819115
1 "Lying" -0.98095475
1 "Lying" -0.99738684
1 "Lying" -0.99982274
1 "Lying" -0.99984556
1 "Lying" -0.99988813
1 "Lying" -0.99524721
1 "Lying" -0.9988864
1 "Lying" -0.99997268
1 "Lying" -0.99995773
1 "Lying" -0.99995718
1 "Lying" -0.99997798
1 "Lying" -0.9999698
1 "Lying" -0.99996069
1 "Lying" -0.99997165
1 "Lying" -0.99998146
1 "Lying" -0.99997759
1 "Lying" -0.99997615
1 "Lying" -0.50313953
1 "Lying" -0.75477385
1 "Lying" -0.99455243
1 "Lying" -0.98078478
1 "Lying" -0.98373247
1 "Lying" -0.99899884
1 "Lying" -0.99947647
1 "Lying" -0.99942934
1 "Lying" -0.98953686
1 "Lying" -0.97775304
1 "Lying" -0.98676139
1 "Sitting" -0.99849285
1 "Sitting" -0.99948803
1 "Sitting" -0.9996821
1 "Sitting" -0.99973743
1 "Sitting" -0.99988074
1 "Sitting" -0.9999199
1 "Sitting" -0.99973422
1 "Sitting" -0.9994359
1 "Sitting" -0.99961104
1 "Sitting" -0.99974394
1 "Sitting" -0.99976561
1 "Sitting" -0.99993006
1 "Sitting" -0.99993947
1 "Sitting" -0.99996377
1 "Sitting" -0.99178992
1 "Sitting" -0.99969741
1 "Sitting" -0.99981182
1 "Sitting" -0.99992126
1 "Sitting" -0.99998555
1 "Sitting" -0.9999808
1 "Sitting" -0.99998402
1 "Sitting" -0.99997613
1 "Sitting" -0.99994969
1 "Sitting" -0.99993773
1 "Sitting" -0.99991728
1 "Sitting" -0.99993777
1 "Sitting" -0.99998462
1 "Sitting" -0.99605867
1 "Sitting" -0.99868485
1 "Sitting" -0.99955929
1 "Sitting" -0.99939213
1 "Sitting" -0.99886421
1 "Sitting" -0.99918933
1 "Sitting" -0.99973829
1 "Sitting" -0.99990506
1 "Sitting" -0.99987302
1 "Sitting" -0.99982621
1 "Sitting" -0.99990356
1 "Sitting" -0.99992271
1 "Sitting" -0.99987266
1 "Sitting" -0.99983037
1 "Sitting" -0.98950263
1 "Sitting" -0.99930111
1 "Sitting" -0.99975827
1 "Sitting" -0.99992817
1 "Sitting" -0.99982472
1 "Sitting" -0.99984852
1 "Sitting" -0.99994239
1 "Sitting" -0.99998968
1 "Sitting" -0.99999912
1 "Sitting" -0.99994829
1 "Sitting" -0.9999578
1 "Sitting" -0.99997123
1 "Standing" -0.83205491
1 "Standing" -0.99683999
1 "Standing" -0.9993789
1 "Standing" -0.953856
1 "Standing" -0.86214893
1 "Standing" -0.90355084
1 "Standing" -0.99459929
1 "Standing" -0.99915173
1 "Standing" -0.9999346
1 "Standing" -0.99999415
1 "Standing" -0.99997121
1 "Standing" -0.99651168
1 "Standing" -0.99880214
1 "Standing" -0.99990084
1 "Standing" -0.99990154
1 "Standing" -0.99985491
1 "Standing" -0.99979202
1 "Standing" -0.99984546
1 "Standing" -0.9999082
1 "Standing" -0.99992743
1 "Standing" -0.99991292
1 "Standing" -0.99989269
1 "Standing" -0.99988274
1 "Standing" -0.9998747
1 "Standing" -0.97912532
1 "Standing" -0.9979336
1 "Standing" -0.99982737
1 "Standing" -0.99993819
1 "Standing" -0.99995311
1 "Standing" -0.99996763
1 "Standing" -0.99996921
1 "Standing" -0.99998481
1 "Standing" -0.99999332
1 "Standing" -0.99997683
1 "Standing" -0.99996942
1 "Standing" -0.98100799
1 "Standing" -0.99884083
1 "Standing" -0.99954156
1 "Standing" -0.99979274
1 "Standing" -0.9999122
1 "Standing" -0.99987839
1 "Standing" -0.99988591
1 "Standing" -0.99996084
1 "Standing" -0.99994111
1 "Standing" -0.99993063
1 "Standing" -0.9998958
1 "Standing" -0.99981955
1 "Walking" -0.67169597
1 "Walking" -0.59914281
1 "Walking" -0.63151759
1 "Walking" -0.55559105
1 "Walking" -0.53976107
1 "Walking" -0.56671604
1 "Walking" -0.57992393
1 "Walking" -0.59279251
1 "Walking" -0.64912028
1 "Walking" -0.59044629
1 "Walking" -0.61002745
1 "Walking" -0.5904248
1 "Walking" -0.5509673
1 "Walking" -0.50034333
1 "Walking" -0.51759155
1 "Walking" -0.55245856
1 "Walking" -0.55753575
1 "Walking" -0.57067939
1 "Walking" -0.59426808
1 "Walking" -0.66506777
1 "Walking" -0.53577085
1 "Walking" -0.49956599
1 "Walking" -0.54118813
1 "Walking" -0.52416997
1 "Walking" -0.55154162
1 "Walking" -0.53829368
1 "Walking" -0.54496357
1 "Walking" -0.57172252
1 "Walking" -0.54141502
1 "Walking" -0.53254928
1 "Walking" -0.56230386
1 "Walking" -0.58964376
1 "Walking" -0.62075081
1 "Walking" -0.49528006
1 "Walking" -0.5929813
1 "Walking" -0.61122458
1 "Walking" -0.58642032
1 "Walking" -0.56467851
1 "Walking" -0.56092115
1 "Walking" -0.60808452
1 "Walking" -0.69375168
1 "Walking" -0.70052648
1 "Walking" -0.69458285
1 "Walking" -0.69878979
1 "Walking" -0.6556402
1 "Walking" -0.63408845
1 "Walking" -0.67156898
1 "Walking" -0.71779033
1 "Walking" -0.68367161
1 "Walking" -0.68213793
1 "Walking" -0.64804796
1 "Walking" -0.65370012
1 "Walking" -0.66958802
1 "Walking" -0.639928
1 "Walking" -0.68566289
1 "Walking" -0.64752284
1 "Walking" -0.58675587
1 "Walking" -0.61541063
1 "Walking" -0.6714687
1 "Walking" -0.64634488
1 "Walking" -0.61130048
1 "Walking" -0.62608181
1 "Walking" -0.62139496
1 "Walking" -0.59599019
1 "Walking" -0.63154305
1 "Walking" -0.64897684
1 "Walking" -0.57423896
1 "Walking" -0.55943574
1 "Walking" -0.59828509
1 "Walking" -0.63916684
1 "Walking" -0.58625564
1 "Walking" -0.5610387
1 "Walking" -0.5984631
1 "Walking" -0.61343548
1 "Walking" -0.62888763
1 "Walking" -0.64606264
1 "Walking" -0.61436704
1 "Walking" -0.62102445
1 "Walking" -0.67072951
1 "Walking" -0.65426788
1 "Walking" -0.68110649
1 "Walking" -0.60619234
1 "Walking" -0.58856573
1 "Walking" -0.62345049
1 "Walking" -0.6739007
1 "Walking" -0.66455488
1 "Walking" -0.63052015
1 "Walking" -0.55734948
1 "Walking" -0.53342923
1 "Walking" -0.55484479
1 "Walking" -0.57679985
1 "Walking" -0.53331376
1 "Walking" -0.55457086
1 "Walking" -0.66404472
1 "Walking" -0.66362603
1 "Walking Down Stairs" -0.62568009
1 "Walking Down Stairs" -0.52017841
1 "Walking Down Stairs" -0.53567098
1 "Walking Down Stairs" -0.52897271
1 "Walking Down Stairs" -0.3807923
1 "Walking Down Stairs" -0.33171164
1 "Walking Down Stairs" -0.46348472
1 "Walking Down Stairs" -0.53318015
1 "Walking Down Stairs" -0.54756289
1 "Walking Down Stairs" -0.26858408
1 "Walking Down Stairs" -0.30586377
1 "Walking Down Stairs" -0.28882296
1 "Walking Down Stairs" -0.33838051
1 "Walking Down Stairs" -0.34306117
1 "Walking Down Stairs" -0.40017077
1 "Walking Down Stairs" -0.3572993
1 "Walking Down Stairs" -0.26177227
1 "Walking Down Stairs" -0.40764533
1 "Walking Down Stairs" -0.41669139
1 "Walking Down Stairs" -0.49488628
1 "Walking Down Stairs" -0.37830084
1 "Walking Down Stairs" -0.37872708
1 "Walking Down Stairs" -0.51605198
1 "Walking Down Stairs" -0.50633093
1 "Walking Down Stairs" -0.48523821
1 "Walking Down Stairs" -0.54708199
1 "Walking Down Stairs" -0.49607526
1 "Walking Down Stairs" -0.49890118
1 "Walking Down Stairs" -0.33361596
1 "Walking Down Stairs" -0.44552532
1 "Walking Down Stairs" -0.49235778
1 "Walking Down Stairs" -0.3842297
1 "Walking Down Stairs" -0.24820445
1 "Walking Down Stairs" -0.28347002
1 "Walking Down Stairs" -0.38124237
1 "Walking Down Stairs" -0.49086375
1 "Walking Down Stairs" -0.45574021
1 "Walking Down Stairs" -0.49863764
1 "Walking Down Stairs" -0.37184663
1 "Walking Down Stairs" -0.30737356
1 "Walking Down Stairs" -0.41822869
1 "Walking Down Stairs" -0.32733835
1 "Walking Down Stairs" -0.37842944
1 "Walking Down Stairs" -0.46922938
1 "Walking Down Stairs" -0.43559963
1 "Walking Down Stairs" -0.40991326
1 "Walking Down Stairs" -0.44645777
1 "Walking Down Stairs" -0.47048831
1 "Walking Down Stairs" -0.45646772
1 "Walking Up Stairs" -0.63363809
1 "Walking Up Stairs" -0.66738056
1 "Walking Up Stairs" -0.64670351
1 "Walking Up Stairs" -0.60818606
1 "Walking Up Stairs" -0.60382705
1 "Walking Up Stairs" -0.65671549
1 "Walking Up Stairs" -0.65009309
1 "Walking Up Stairs" -0.63590936
1 "Walking Up Stairs" -0.57291958
1 "Walking Up Stairs" -0.63801466
1 "Walking Up Stairs" -0.63149446
1 "Walking Up Stairs" -0.63904843
1 "Walking Up Stairs" -0.69540397
1 "Walking Up Stairs" -0.65463319
1 "Walking Up Stairs" -0.66543512
1 "Walking Up Stairs" -0.714655
1 "Walking Up Stairs" -0.70198561
1 "Walking Up Stairs" -0.61546776
1 "Walking Up Stairs" -0.62468119
1 "Walking Up Stairs" -0.61016719
1 "Walking Up Stairs" -0.61606255
1 "Walking Up Stairs" -0.66513232
1 "Walking Up Stairs" -0.677812
1 "Walking Up Stairs" -0.62619922
1 "Walking Up Stairs" -0.65553456
1 "Walking Up Stairs" -0.65620101
1 "Walking Up Stairs" -0.63050082
1 "Walking Up Stairs" -0.63430359
1 "Walking Up Stairs" -0.60443466
1 "Walking Up Stairs" -0.6068534
1 "Walking Up Stairs" -0.58637158
1 "Walking Up Stairs" -0.57064247
1 "Walking Up Stairs" -0.59169796
1 "Walking Up Stairs" -0.62572174
1 "Walking Up Stairs" -0.62411332
1 "Walking Up Stairs" -0.52215418
1 "Walking Up Stairs" -0.58278903
1 "Walking Up Stairs" -0.6363774
1 "Walking Up Stairs" -0.53533813
1 "Walking Up Stairs" -0.55414214
1 "Walking Up Stairs" -0.60140516
1 "Walking Up Stairs" -0.56268496
1 "Walking Up Stairs" -0.55708084
1 "Walking Up Stairs" -0.60322397
1 "Walking Up Stairs" -0.59648272
1 "Walking Up Stairs" -0.63677845
1 "Walking Up Stairs" -0.58095098
1 "Walking Up Stairs" -0.57668399
1 "Walking Up Stairs" -0.62358975
1 "Walking Up Stairs" -0.6383719
1 "Walking Up Stairs" -0.6119373
1 "Walking Up Stairs" -0.59122585
1 "Walking Up Stairs" -0.61590769
2 "Lying" -0.9929548
2 "Lying" -0.99956335
2 "Lying" -0.99985716
2 "Lying" -0.99992669
2 "Lying" -0.99996738
2 "Lying" -0.99998386
2 "Lying" -0.99996789
2 "Lying" -0.99987026
