"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.82506078
1 "Lying" -0.97853805
1 "Lying" -0.99577738
1 "Lying" -0.99713065
1 "Lying" -0.99556295
1 "Lying" -0.99077011
1 "Lying" -0.99077011
1 "Lying" -0.98814262
1 "Lying" -0.98814262
1 "Lying" -0.99496674
1 "Lying" -0.99500397
1 "Lying" -0.99655929
1 "Lying" -0.99717872
1 "Lying" -0.48141557
1 "Lying" -0.94678892
1 "Lying" -0.36572046
1 "Lying" -0.36572046
1 "Lying" -0.72070646
1 "Lying" -0.66795693
1 "Lying" 0.15370675
1 "Lying" 0.15370675
1 "Lying" -0.37138266
1 "Lying" -0.77393981
1 "Lying" -0.94248758
1 "Lying" -0.98458674
1 "Lying" -0.99190346
1 "Lying" -0.99342968
1 "Lying" -0.9348389
1 "Lying" -0.96084108
1 "Lying" -0.99344003
1 "Lying" -0.99344003
1 "Lying" -0.99353525
1 "Lying" -0.99644365
1 "Lying" -0.99142516
1 "Lying" -0.99142516
1 "Lying" -0.99671555
1 "Lying" -0.99746141
1 "Lying" -0.99455109
1 "Lying" -0.99455109
1 "Lying" -0.23081744
1 "Lying" -0.23081744
1 "Lying" -0.92295083
1 "Lying" -0.83172367
1 "Lying" -0.83172367
1 "Lying" -0.96374678
1 "Lying" -0.97969197
1 "Lying" -0.97969197
1 "Lying" -0.84388897
1 "Lying" -0.84388897
1 "Lying" -0.84412167
1 "Sitting" -0.94630524
1 "Sitting" -0.97871147
1 "Sitting" -0.98649613
1 "Sitting" -0.98649613
1 "Sitting" -0.99096187
1 "Sitting" -0.99574572
1 "Sitting" -0.97819083
1 "Sitting" -0.97819083
1 "Sitting" -0.97844904
1 "Sitting" -0.98774589
1 "Sitting" -0.98774589
1 "Sitting" -0.99541508
1 "Sitting" -0.99541508
1 "Sitting" -0.99736644
1 "Sitting" -0.90351446
1 "Sitting" -0.98472462
1 "Sitting" -0.99169252
1 "Sitting" -0.99093326
1 "Sitting" -0.99093326
1 "Sitting" -0.99704606
1 "Sitting" -0.99542945
1 "Sitting" -0.99406371
1 "Sitting" -0.99406371
1 "Sitting" -0.99414104
1 "Sitting" -0.99299264
1 "Sitting" -0.99299264
1 "Sitting" -0.99436847
1 "Sitting" -0.92198951
1 "Sitting" -0.9608816
1 "Sitting" -0.98234682
1 "Sitting" -0.96780868
1 "Sitting" -0.96780868
1 "Sitting" -0.9733419
1 "Sitting" -0.9829031
1 "Sitting" -0.99027922
1 "Sitting" -0.98530955
1 "Sitting" -0.98530955
1 "Sitting" -0.98644953
1 "Sitting" -0.98644953
1 "Sitting" -0.99303637
1 "Sitting" -0.98884231
1 "Sitting" -0.89455442
1 "Sitting" -0.95763956
1 "Sitting" -0.98609454
1 "Sitting" -0.99498256
1 "Sitting" -0.99293261
1 "Sitting" -0.99293261
1 "Sitting" -0.9949522
1 "Sitting" -0.99752367
1 "Sitting" -0.99794897
1 "Sitting" -0.99490434
1 "Sitting" -0.99490434
1 "Sitting" -0.99510134
1 "Standing" -0.46830669
1 "Standing" -0.94554244
1 "Standing" -0.9703291
1 "Standing" -0.64463597
1 "Standing" -0.62415949
1 "Standing" -0.62415949
1 "Standing" -0.89982042
1 "Standing" -0.96576109
1 "Standing" -0.99294196
1 "Standing" -0.99708483
1 "Standing" -0.99266963
1 "Standing" -0.93281186
1 "Standing" -0.96328599
1 "Standing" -0.99315619
1 "Standing" -0.99211327
1 "Standing" -0.99211327
1 "Standing" -0.98932754
1 "Standing" -0.98932754
1 "Standing" -0.99355314
1 "Standing" -0.99355314
1 "Standing" -0.99420648
1 "Standing" -0.99420648
1 "Standing" -0.99454562
1 "Standing" -0.99426681
1 "Standing" -0.74400193
1 "Standing" -0.94442069
1 "Standing" -0.99020852
1 "Standing" -0.99034794
1 "Standing" -0.99171485
1 "Standing" -0.99186127
1 "Standing" -0.99281752
1 "Standing" -0.99601579
1 "Standing" -0.99601579
1 "Standing" -0.99532049
1 "Standing" -0.99532049
1 "Standing" -0.84880607
1 "Standing" -0.9744117
1 "Standing" -0.97827224
1 "Standing" -0.98743499
1 "Standing" -0.98743499
1 "Standing" -0.98976773
1 "Standing" -0.99076874
1 "Standing" -0.99590138
1 "Standing" -0.99590138
1 "Standing" -0.99611564
1 "Standing" -0.99345013
1 "Standing" -0.98626298
1 "Walking" -0.23274851
1 "Walking" -0.23274851
1 "Walking" -0.32191904
1 "Walking" -0.21590597
1 "Walking" -0.21590597
1 "Walking" -0.24153742
1 "Walking" -0.24153742
1 "Walking" -0.21974984
1 "Walking" -0.27682438
1 "Walking" -0.24253563
1 "Walking" -0.24253563
1 "Walking" -0.20045673
1 "Walking" -0.20045673
1 "Walking" -0.030337918
1 "Walking" -0.030337918
1 "Walking" -0.24192138
1 "Walking" -0.24192138
1 "Walking" -0.26952037
1 "Walking" -0.24174021
1 "Walking" -0.24174021
1 "Walking" -0.20148023
