"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.83169609
1 "Lying" -0.97847045
1 "Lying" -0.99609738
1 "Lying" -0.99870535
1 "Lying" -0.99827359
1 "Lying" -0.99587294
1 "Lying" -0.99633327
1 "Lying" -0.99472458
1 "Lying" -0.99389022
1 "Lying" -0.99579684
1 "Lying" -0.99701193
1 "Lying" -0.99868238
1 "Lying" -0.99877904
1 "Lying" -0.41726279
1 "Lying" -0.92188864
1 "Lying" 0.064073395
1 "Lying" -0.1266784
1 "Lying" -0.7780501
1 "Lying" -0.70007559
1 "Lying" 0.30788151
1 "Lying" -0.040902739
1 "Lying" -0.053417618
1 "Lying" -0.7499689
1 "Lying" -0.91348682
1 "Lying" -0.9901396
1 "Lying" -0.99211327
1 "Lying" -0.99519865
1 "Lying" -0.92583219
1 "Lying" -0.94489233
1 "Lying" -0.99594648
1 "Lying" -0.9952356
1 "Lying" -0.99684745
1 "Lying" -0.99847785
1 "Lying" -0.99654755
1 "Lying" -0.99584106
1 "Lying" -0.99814675
1 "Lying" -0.99900312
1 "Lying" -0.99731759
1 "Lying" -0.99747605
1 "Lying" -0.11779886
1 "Lying" 0.022248669
1 "Lying" -0.91629205
1 "Lying" -0.78262396
1 "Lying" -0.75820854
1 "Lying" -0.96069102
1 "Lying" -0.98655042
1 "Lying" -0.98560455
1 "Lying" -0.78444947
1 "Lying" -0.76047367
1 "Lying" -0.80367303
1 "Sitting" -0.9505515
1 "Sitting" -0.97605707
1 "Sitting" -0.98801962
1 "Sitting" -0.98642135
1 "Sitting" -0.99127536
1 "Sitting" -0.99524897
1 "Sitting" -0.98274603
1 "Sitting" -0.97599674
1 "Sitting" -0.97751373
1 "Sitting" -0.98670243
1 "Sitting" -0.98590171
1 "Sitting" -0.99611776
1 "Sitting" -0.99656707
1 "Sitting" -0.9983924
1 "Sitting" -0.83989567
1 "Sitting" -0.98754846
1 "Sitting" -0.99093187
1 "Sitting" -0.99268417
1 "Sitting" -0.99741361
1 "Sitting" -0.99879494
1 "Sitting" -0.99798984
1 "Sitting" -0.99752775
1 "Sitting" -0.99728461
1 "Sitting" -0.99651065
1 "Sitting" -0.99494985
1 "Sitting" -0.99441625
1 "Sitting" -0.99776154
1 "Sitting" -0.92697005
1 "Sitting" -0.95970598
1 "Sitting" -0.98504729
1 "Sitting" -0.97259308
1 "Sitting" -0.96963677
1 "Sitting" -0.97064995
1 "Sitting" -0.98465845
1 "Sitting" -0.99233
1 "Sitting" -0.9901367
1 "Sitting" -0.9890659
1 "Sitting" -0.99167203
1 "Sitting" -0.99357701
1 "Sitting" -0.9941568
1 "Sitting" -0.99127751
1 "Sitting" -0.83307338
1 "Sitting" -0.97430646
1 "Sitting" -0.98469243
1 "Sitting" -0.99623485
1 "Sitting" -0.99411316
1 "Sitting" -0.99367976
1 "Sitting" -0.9966008
1 "Sitting" -0.99766583
1 "Sitting" -0.99916074
1 "Sitting" -0.99736386
1 "Sitting" -0.99658767
1 "Sitting" -0.99679782
1 "Standing" -0.18717165
1 "Standing" -0.93195422
1 "Standing" -0.97105963
1 "Standing" -0.50812531
1 "Standing" -0.49055481
1 "Standing" -0.48451097
1 "Standing" -0.89361999
1 "Standing" -0.9566084
1 "Standing" -0.99550157
1 "Standing" -0.99906531
1 "Standing" -0.9955942
1 "Standing" -0.94594716
1 "Standing" -0.94767986
1 "Standing" -0.99577426
1 "Standing" -0.9938755
1 "Standing" -0.99281205
1 "Standing" -0.99324099
1 "Standing" -0.99402631
