"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.61912072
1 "Lying" 0.57656471
1 "Lying" 0.57673721
1 "Lying" 0.57673721
1 "Lying" 0.57656984
1 "Lying" 0.57636895
1 "Lying" 0.57636895
1 "Lying" 0.57733759
1 "Lying" 0.57733759
1 "Lying" 0.57924446
1 "Lying" 0.57924446
1 "Lying" 0.57982023
1 "Lying" 0.58018749
1 "Lying" 0.53123587
1 "Lying" 0.53123587
1 "Lying" 0.59372508
1 "Lying" 0.7636324
1 "Lying" 0.7636324
1 "Lying" 0.76326619
1 "Lying" 0.74844315
1 "Lying" 0.97046306
1 "Lying" 0.99232072
1 "Lying" 0.99232072
1 "Lying" 0.98391227
1 "Lying" 0.98073541
1 "Lying" 0.98081657
1 "Lying" 0.98081657
1 "Lying" 0.54629292
1 "Lying" 0.48302955
1 "Lying" 0.48302955
1 "Lying" 0.48177581
1 "Lying" 0.48124658
1 "Lying" 0.48036934
1 "Lying" 0.48037507
1 "Lying" 0.48089974
1 "Lying" 0.48089974
1 "Lying" 0.48091058
1 "Lying" 0.48124772
1 "Lying" 0.48124772
1 "Lying" 0.45087351
1 "Lying" 0.14035366
1 "Lying" -0.23555746
1 "Lying" -0.25421168
1 "Lying" -0.2151838
1 "Lying" -0.2151838
1 "Lying" -0.21519539
1 "Lying" -0.22628186
1 "Lying" -0.2357367
1 "Lying" -0.23938236
1 "Lying" -0.25436532
1 "Sitting" 0.12465977
1 "Sitting" 0.12258573
1 "Sitting" 0.094565843
1 "Sitting" 0.093424674
1 "Sitting" 0.091682389
1 "Sitting" 0.083347121
1 "Sitting" 0.085205725
1 "Sitting" 0.085205725
1 "Sitting" 0.084473659
1 "Sitting" 0.073488197
1 "Sitting" 0.073598516
1 "Sitting" 0.074662215
1 "Sitting" 0.074662215
1 "Sitting" 0.0740879
1 "Sitting" -0.0073619503
1 "Sitting" -0.0073619503
1 "Sitting" -0.0084768639
1 "Sitting" -0.016709792
1 "Sitting" -0.01925744
1 "Sitting" -0.01925744
1 "Sitting" -0.020073203
1 "Sitting" -0.019785586
1 "Sitting" -0.019785586
1 "Sitting" -0.019791384
1 "Sitting" -0.019939193
1 "Sitting" -0.018279905
1 "Sitting" -0.018208879
1 "Sitting" 0.029626773
1 "Sitting" 0.02856804
1 "Sitting" 0.005107221
1 "Sitting" 0.0051456928
1 "Sitting" 0.0051456928
1 "Sitting" 0.00012640384
1 "Sitting" -0.00096598196
1 "Sitting" -0.0049136421
1 "Sitting" -0.010494027
1 "Sitting" -0.009951521
1 "Sitting" -0.009951521
1 "Sitting" -0.011522525
1 "Sitting" -0.013091451
1 "Sitting" -0.013091451
1 "Sitting" -0.029762046
1 "Sitting" -0.029762046
1 "Sitting" -0.030017938
1 "Sitting" -0.04131885
1 "Sitting" -0.040053078
1 "Sitting" -0.040053078
1 "Sitting" -0.043562617
1 "Sitting" -0.049225434
1 "Sitting" -0.051269714
1 "Sitting" -0.05092956
1 "Sitting" -0.050511266
1 "Sitting" -0.050503641
1 "Standing" 0.40688316
1 "Standing" 0.40688316
1 "Standing" 0.39142898
1 "Standing" 0.37614708
1 "Standing" 0.4400583
1 "Standing" 0.48546096
1 "Standing" 0.48546096
1 "Standing" 0.47877527
1 "Standing" 0.45347256
1 "Standing" 0.45347256
1 "Standing" 0.45297816
1 "Standing" 0.32877176
1 "Standing" 0.31816978
1 "Standing" 0.31370149
1 "Standing" 0.31338527
