"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.77465873
1 "Lying" 0.7739047
1 "Lying" 0.77171208
1 "Lying" 0.77109662
1 "Lying" 0.77103706
1 "Lying" 0.77129107
1 "Lying" 0.77135108
1 "Lying" 0.7707487
1 "Lying" 0.76992271
1 "Lying" 0.7692959
1 "Lying" 0.7691518
1 "Lying" 0.76962832
1 "Lying" 0.76946735
1 "Lying" 0.75845367
1 "Lying" 0.76866913
1 "Lying" 0.75554154
1 "Lying" 0.70262213
1 "Lying" 0.65518574
1 "Lying" 0.6970974
1 "Lying" 0.71643717
1 "Lying" 0.52510468
1 "Lying" 0.16014065
1 "Lying" -0.05899586
1 "Lying" -0.068420491
1 "Lying" -0.045998244
1 "Lying" -0.040042686
1 "Lying" -0.034589346
1 "Lying" 0.80189333
1 "Lying" 0.80003329
1 "Lying" 0.79567669
1 "Lying" 0.79574623
1 "Lying" 0.7954083
1 "Lying" 0.79482223
1 "Lying" 0.7945045
1 "Lying" 0.79494079
1 "Lying" 0.79503831
1 "Lying" 0.79462305
1 "Lying" 0.79471389
1 "Lying" 0.79508264
1 "Lying" 0.87234565
1 "Lying" 0.91490323
1 "Lying" 0.92885299
1 "Lying" 0.9304777
1 "Lying" 0.93756427
1 "Lying" 0.94630484
1 "Lying" 0.94546379
1 "Lying" 0.94214079
1 "Lying" 0.94101831
1 "Lying" 0.93317912
1 "Lying" 0.91828313
1 "Sitting" -0.14083968
1 "Sitting" -0.14155127
1 "Sitting" -0.14200984
1 "Sitting" -0.14397645
1 "Sitting" -0.14875022
1 "Sitting" -0.14820997
1 "Sitting" -0.14428214
1 "Sitting" -0.14670536
1 "Sitting" -0.15437401
1 "Sitting" -0.15630201
1 "Sitting" -0.15236144
1 "Sitting" -0.15006376
1 "Sitting" -0.1523621
1 "Sitting" -0.15414125
1 "Sitting" -0.29262334
1 "Sitting" -0.26311695
1 "Sitting" -0.26509148
1 "Sitting" -0.26471825
1 "Sitting" -0.26305774
1 "Sitting" -0.26348997
1 "Sitting" -0.2634369
1 "Sitting" -0.26189643
1 "Sitting" -0.26245862
1 "Sitting" -0.26500697
1 "Sitting" -0.2650432
1 "Sitting" -0.26194319
1 "Sitting" -0.26049928
1 "Sitting" -0.33682804
1 "Sitting" -0.34717939
1 "Sitting" -0.34394546
1 "Sitting" -0.33822701
1 "Sitting" -0.33243089
1 "Sitting" -0.33647863
1 "Sitting" -0.34470941
1 "Sitting" -0.3452228
1 "Sitting" -0.34363084
1 "Sitting" -0.34315062
1 "Sitting" -0.34371509
1 "Sitting" -0.34320849
1 "Sitting" -0.34243891
1 "Sitting" -0.34471813
1 "Sitting" -0.36886927
1 "Sitting" -0.33745487
1 "Sitting" -0.34107536
1 "Sitting" -0.34285915
1 "Sitting" -0.34337231
1 "Sitting" -0.34708939
1 "Sitting" -0.34857415
1 "Sitting" -0.34699961
1 "Sitting" -0.34609368
1 "Sitting" -0.34517631
1 "Sitting" -0.34365863
1 "Sitting" -0.34272485
1 "Standing" 0.042479149
1 "Standing" 0.16067501
1 "Standing" 0.15187734
1 "Standing" 0.15070183
1 "Standing" 0.19559534
1 "Standing" 0.31406786
1 "Standing" 0.40950272
1 "Standing" 0.41986657
1 "Standing" 0.41503721
1 "Standing" 0.41648854
1 "Standing" 0.4168573
1 "Standing" 0.11359108
1 "Standing" 0.12558056
1 "Standing" 0.14006721
1 "Standing" 0.1392361
1 "Standing" 0.13843401
1 "Standing" 0.14222283
1 "Standing" 0.14258451
1 "Standing" 0.14162959
1 "Standing" 0.14485798
1 "Standing" 0.14560336
1 "Standing" 0.14572717
1 "Standing" 0.14758583
1 "Standing" 0.1456773
1 "Standing" 0.30427097
1 "Standing" 0.32209718
1 "Standing" 0.30836272
1 "Standing" 0.3114416
1 "Standing" 0.31146614
1 "Standing" 0.31117937
1 "Standing" 0.31260604
1 "Standing" 0.31233071
1 "Standing" 0.31174844
