"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.58977655
1 "Lying" 0.58511978
1 "Lying" 0.58994727
1 "Lying" 0.59010467
1 "Lying" 0.58941397
1 "Lying" 0.58933471
1 "Lying" 0.58963487
1 "Lying" 0.59001704
1 "Lying" 0.5904504
1 "Lying" 0.59130586
1 "Lying" 0.59214322
1 "Lying" 0.59219232
1 "Lying" 0.59291655
1 "Lying" 0.50493607
1 "Lying" 0.54098815
1 "Lying" 0.54742535
1 "Lying" 0.63722785
1 "Lying" 0.73110976
1 "Lying" 0.70209116
1 "Lying" 0.6629796
1 "Lying" 0.77976328
1 "Lying" 0.94954331
1 "Lying" 0.9993499
1 "Lying" 0.99429673
1 "Lying" 0.9957729
1 "Lying" 0.99732192
1 "Lying" 0.99683535
1 "Lying" 0.50251109
1 "Lying" 0.49135427
1 "Lying" 0.49463892
1 "Lying" 0.49388979
1 "Lying" 0.49292579
1 "Lying" 0.49227442
1 "Lying" 0.49275908
1 "Lying" 0.49317659
1 "Lying" 0.49301931
1 "Lying" 0.49294839
1 "Lying" 0.49361047
1 "Lying" 0.4936137
1 "Lying" 0.15782376
1 "Lying" -0.16464523
1 "Lying" -0.29541016
1 "Lying" -0.29007455
1 "Lying" -0.25336946
1 "Lying" -0.21665214
1 "Lying" -0.21812437
1 "Lying" -0.22900956
1 "Lying" -0.23524917
1 "Lying" -0.26905586
1 "Lying" -0.33406763
1 "Sitting" 0.11537494
1 "Sitting" 0.10937881
1 "Sitting" 0.10188392
1 "Sitting" 0.099850143
1 "Sitting" 0.094485896
1 "Sitting" 0.091909715
1 "Sitting" 0.093144628
1 "Sitting" 0.091708159
1 "Sitting" 0.085118255
1 "Sitting" 0.08087447
1 "Sitting" 0.081258077
1 "Sitting" 0.082931213
1 "Sitting" 0.083150803
1 "Sitting" 0.081819604
1 "Sitting" -0.021435523
1 "Sitting" -0.0035761635
1 "Sitting" -0.0077089922
1 "Sitting" -0.011556695
1 "Sitting" -0.011094388
1 "Sitting" -0.011425851
1 "Sitting" -0.012458678
1 "Sitting" -0.012015606
1 "Sitting" -0.011512171
1 "Sitting" -0.012703514
1 "Sitting" -0.013126421
1 "Sitting" -0.011180786
1 "Sitting" -0.0099594009
1 "Sitting" 0.016850711
1 "Sitting" 0.010435044
1 "Sitting" 0.005662581
1 "Sitting" 0.011640008
1 "Sitting" 0.0097864055
1 "Sitting" 0.0071108915
1 "Sitting" 0.0030156153
1 "Sitting" -0.002604128
1 "Sitting" -0.0030021075
1 "Sitting" -0.0015969256
1 "Sitting" -0.0031755353
1 "Sitting" -0.0052159348
1 "Sitting" -0.0049576372
1 "Sitting" -0.0051335002
1 "Sitting" -0.044189398
1 "Sitting" -0.028988205
1 "Sitting" -0.032386937
1 "Sitting" -0.036554964
1 "Sitting" -0.033962551
1 "Sitting" -0.035291532
1 "Sitting" -0.039925918
1 "Sitting" -0.042563224
1 "Sitting" -0.043875015
1 "Sitting" -0.043918442
1 "Sitting" -0.042847295
1 "Sitting" -0.042445587
1 "Standing" 0.33309449
1 "Standing" 0.39982173
1 "Standing" 0.38646765
1 "Standing" 0.38345181
1 "Standing" 0.38713197
1 "Standing" 0.43977403
1 "Standing" 0.4812985
1 "Standing" 0.46862799
1 "Standing" 0.46423103
