"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.77962832
1 "Lying" -0.96838495
1 "Lying" -0.98939673
1 "Lying" -0.9956783
1 "Lying" -0.99952903
1 "Lying" -0.9996943
1 "Lying" -0.99925985
1 "Lying" -0.99842956
1 "Lying" -0.99557218
1 "Lying" -0.99817691
1 "Lying" -0.9975811
1 "Lying" -0.99889186
1 "Lying" -0.99932492
1 "Lying" -0.34635354
1 "Lying" -0.90302881
1 "Lying" -0.8844499
1 "Lying" -0.30789331
1 "Lying" -0.74104847
1 "Lying" -0.77888865
1 "Lying" -0.59893511
1 "Lying" -0.2195045
1 "Lying" -0.85918586
1 "Lying" -0.974579
1 "Lying" -0.98254282
1 "Lying" -0.99416991
1 "Lying" -0.99186547
1 "Lying" -0.99725536
1 "Lying" -0.8678763
1 "Lying" -0.91656962
1 "Lying" -0.99499602
1 "Lying" -0.99587765
1 "Lying" -0.9968448
1 "Lying" -0.99773646
1 "Lying" -0.99585073
1 "Lying" -0.99791667
1 "Lying" -0.99876487
1 "Lying" -0.99840124
1 "Lying" -0.99753084
1 "Lying" -0.99469871
1 "Lying" -0.8306814
1 "Lying" -0.48145391
1 "Lying" -0.9096075
1 "Lying" -0.98347295
1 "Lying" -0.95451458
1 "Lying" -0.97000572
1 "Lying" -0.98602859
1 "Lying" -0.98911666
1 "Lying" -0.99043505
1 "Lying" -0.92577246
1 "Lying" -0.8914053
1 "Sitting" -0.98500137
1 "Sitting" -0.99788359
1 "Sitting" -0.99963529
1 "Sitting" -0.99645688
1 "Sitting" -0.9984112
1 "Sitting" -0.99905396
1 "Sitting" -0.9993531
1 "Sitting" -0.9980319
1 "Sitting" -0.99774476
1 "Sitting" -0.99741031
1 "Sitting" -0.99738579
1 "Sitting" -0.99810433
1 "Sitting" -0.99918699
1 "Sitting" -0.99961472
1 "Sitting" -0.96497881
1 "Sitting" -0.9959044
1 "Sitting" -0.99928627
1 "Sitting" -0.99864869
1 "Sitting" -0.99878426
1 "Sitting" -0.99875625
1 "Sitting" -0.99907622
1 "Sitting" -0.99894485
1 "Sitting" -0.99827396
1 "Sitting" -0.99848127
1 "Sitting" -0.99738149
1 "Sitting" -0.99780025
1 "Sitting" -0.99900394
1 "Sitting" -0.94217666
1 "Sitting" -0.98538045
1 "Sitting" -0.99385116
1 "Sitting" -0.99442633
1 "Sitting" -0.99426379
1 "Sitting" -0.98693511
1 "Sitting" -0.9947105
1 "Sitting" -0.99593248
1 "Sitting" -0.99825518
1 "Sitting" -0.99841731
1 "Sitting" -0.99888805
1 "Sitting" -0.99821484
1 "Sitting" -0.99773085
1 "Sitting" -0.99400584
1 "Sitting" -0.92174256
1 "Sitting" -0.98904438
1 "Sitting" -0.99376663
1 "Sitting" -0.99860713
1 "Sitting" -0.99858549
1 "Sitting" -0.99589762
1 "Sitting" -0.99863573
1 "Sitting" -0.99893367
1 "Sitting" -0.99930573
1 "Sitting" -0.9991432
1 "Sitting" -0.99763585
1 "Sitting" -0.99885328
1 "Standing" -0.80702901
1 "Standing" -0.96622151
1 "Standing" -0.98350115
1 "Standing" -0.99258985
1 "Standing" -0.81951769
1 "Standing" -0.58212634
1 "Standing" -0.91888145
1 "Standing" -0.9529873
1 "Standing" -0.98619943
1 "Standing" -0.99496112
1 "Standing" -0.99608574
1 "Standing" -0.93703627
1 "Standing" -0.97963889
1 "Standing" -0.99398066
1 "Standing" -0.99748839
1 "Standing" -0.99772521
1 "Standing" -0.99664317
1 "Standing" -0.99479743
1 "Standing" -0.99571033
1 "Standing" -0.99793978
1 "Standing" -0.9983953
1 "Standing" -0.99565906
1 "Standing" -0.99690296
1 "Standing" -0.99489411
1 "Standing" -0.89955163
1 "Standing" -0.96513683
1 "Standing" -0.99430713
1 "Standing" -0.99753432
1 "Standing" -0.99734067
1 "Standing" -0.99882042
1 "Standing" -0.99911928
1 "Standing" -0.99889907
1 "Standing" -0.9989281
1 "Standing" -0.99938129
1 "Standing" -0.99920703
1 "Standing" -0.88777948
1 "Standing" -0.98060178
1 "Standing" -0.99275489
1 "Standing" -0.99389628
1 "Standing" -0.9981821
1 "Standing" -0.99890833
1 "Standing" -0.99713344
1 "Standing" -0.99747444
1 "Standing" -0.99730326
1 "Standing" -0.99698987
1 "Standing" -0.99754548
1 "Standing" -0.99531803
1 "Walking" -0.98655149
1 "Walking" -0.98581192
1 "Walking" -0.96304629
1 "Walking" -0.98167247
1 "Walking" -0.97577119
1 "Walking" -0.98529742
1 "Walking" -0.99001869
1 "Walking" -0.98041834
1 "Walking" -0.98656429
1 "Walking" -0.99140557
1 "Walking" -0.98943656
1 "Walking" -0.98994529
1 "Walking" -0.98375838
1 "Walking" -0.98452092
1 "Walking" -0.95839229
1 "Walking" -0.98114808
1 "Walking" -0.9788154
1 "Walking" -0.97097382
1 "Walking" -0.97919098
1 "Walking" -0.990134
1 "Walking" -0.98658292
1 "Walking" -0.96247181
1 "Walking" -0.95565595
1 "Walking" -0.98098187
1 "Walking" -0.98104805
1 "Walking" -0.98285147
1 "Walking" -0.98173536
1 "Walking" -0.95727546
1 "Walking" -0.99149623
1 "Walking" -0.98998904
1 "Walking" -0.98997271
1 "Walking" -0.97188492
