"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.90552739
1 "Lying" -0.96464242
1 "Lying" -0.99682966
1 "Lying" -0.9988421
1 "Lying" -0.99660648
1 "Lying" -0.99711018
1 "Lying" -0.99874739
1 "Lying" -0.99659231
1 "Lying" -0.99806349
1 "Lying" -0.99319608
1 "Lying" -0.99654999
1 "Lying" -0.99652043
1 "Lying" -0.99509395
1 "Lying" -0.65300776
1 "Lying" -0.98781564
1 "Lying" -0.92067981
1 "Lying" -0.36523072
1 "Lying" -0.72875633
1 "Lying" -0.68571424
1 "Lying" -0.81194425
1 "Lying" -0.1234625
1 "Lying" -0.53748645
1 "Lying" -0.95560524
1 "Lying" -0.98635426
1 "Lying" -0.98883099
1 "Lying" -0.99836893
1 "Lying" -0.99585607
1 "Lying" -0.86017066
1 "Lying" -0.96856168
1 "Lying" -0.99464101
1 "Lying" -0.99854528
1 "Lying" -0.99327836
1 "Lying" -0.9963902
1 "Lying" -0.99788999
1 "Lying" -0.99817051
1 "Lying" -0.99656296
1 "Lying" -0.99661445
1 "Lying" -0.99739902
1 "Lying" -0.99758678
1 "Lying" 0.44445856
1 "Lying" 0.050721423
1 "Lying" -0.89957149
1 "Lying" -0.92002987
1 "Lying" -0.74510349
1 "Lying" -0.94911894
1 "Lying" -0.9627112
1 "Lying" -0.95484489
1 "Lying" -0.98092658
1 "Lying" -0.72399431
1 "Lying" -0.73798224
1 "Sitting" -0.89467735
1 "Sitting" -0.9332404
1 "Sitting" -0.99293426
1 "Sitting" -0.97845576
1 "Sitting" -0.97893551
1 "Sitting" -0.99741883
1 "Sitting" -0.99167006
1 "Sitting" -0.97740917
1 "Sitting" -0.96856979
1 "Sitting" -0.99774651
1 "Sitting" -0.99474436
1 "Sitting" -0.99228907
1 "Sitting" -0.99361409
1 "Sitting" -0.99541542
1 "Sitting" -0.86139137
1 "Sitting" -0.97385708
1 "Sitting" -0.97117875
1 "Sitting" -0.99118363
1 "Sitting" -0.99548274
1 "Sitting" -0.99421047
1 "Sitting" -0.9968874
1 "Sitting" -0.99527454
1 "Sitting" -0.99722501
1 "Sitting" -0.99264043
1 "Sitting" -0.99500224
1 "Sitting" -0.99012748
1 "Sitting" -0.9977446
1 "Sitting" -0.87701536
1 "Sitting" -0.91613462
1 "Sitting" -0.96037318
1 "Sitting" -0.98566597
1 "Sitting" -0.98055863
1 "Sitting" -0.9947403
1 "Sitting" -0.96945574
1 "Sitting" -0.984331
1 "Sitting" -0.990927
1 "Sitting" -0.99828716
1 "Sitting" -0.98672377
1 "Sitting" -0.99579087
1 "Sitting" -0.99636907
1 "Sitting" -0.99334061
1 "Sitting" -0.88004753
1 "Sitting" -0.9547445
1 "Sitting" -0.96028583
1 "Sitting" -0.98969668
1 "Sitting" -0.98631027
1 "Sitting" -0.97760317
1 "Sitting" -0.98727554
1 "Sitting" -0.9928976
1 "Sitting" -0.99792412
1 "Sitting" -0.99705784
1 "Sitting" -0.99396076
1 "Sitting" -0.99635224
1 "Standing" -0.35495765
1 "Standing" -0.90838017
1 "Standing" -0.97029312
1 "Standing" -0.97143505
1 "Standing" -0.88156704
1 "Standing" -0.62813724
1 "Standing" -0.91407733
1 "Standing" -0.94524056
1 "Standing" -0.9879712
1 "Standing" -0.99364149
1 "Standing" -0.99533903
1 "Standing" -0.96365763
1 "Standing" -0.99372609
1 "Standing" -0.99598864
1 "Standing" -0.99775045
1 "Standing" -0.99886153
1 "Standing" -0.99934069
1 "Standing" -0.98814929
1 "Standing" -0.99444154
1 "Standing" -0.99733369
1 "Standing" -0.99611677
1 "Standing" -0.98962588
1 "Standing" -0.99496376
1 "Standing" -0.99361635
1 "Standing" -0.85526415
1 "Standing" -0.9227159
1 "Standing" -0.97791146
1 "Standing" -0.99555285
1 "Standing" -0.99842701
1 "Standing" -0.99731685
1 "Standing" -0.99713508
1 "Standing" -0.99402902
1 "Standing" -0.9961207
1 "Standing" -0.9995259
1 "Standing" -0.99785224
1 "Standing" -0.63026656
1 "Standing" -0.93484546
1 "Standing" -0.94823078
1 "Standing" -0.9902983
1 "Standing" -0.99146433
1 "Standing" -0.99521501
1 "Standing" -0.99682221
1 "Standing" -0.9949819
1 "Standing" -0.99725352
1 "Standing" -0.99716242
1 "Standing" -0.99323661
1 "Standing" -0.99705465
1 "Walking" -0.93978436
1 "Walking" -0.95669739
1 "Walking" -0.97406603
1 "Walking" -0.96521984
1 "Walking" -0.95997599
1 "Walking" -0.96687851
1 "Walking" -0.97125985
1 "Walking" -0.96808941
1 "Walking" -0.84192698
1 "Walking" -0.92310293
1 "Walking" -0.92592792
1 "Walking" -0.95066595
1 "Walking" -0.95777254
1 "Walking" -0.96344904
1 "Walking" -0.97247028
1 "Walking" -0.97262834
1 "Walking" -0.9711268
1 "Walking" -0.97455598
1 "Walking" -0.96431945
1 "Walking" -0.96816108
1 "Walking" -0.82796387
1 "Walking" -0.95168528
1 "Walking" -0.95262538
1 "Walking" -0.9777125
1 "Walking" -0.97699332
1 "Walking" -0.97412494
1 "Walking" -0.96465114
1 "Walking" -0.96582174
1 "Walking" -0.97088967
1 "Walking" -0.97688214
1 "Walking" -0.96196327
1 "Walking" -0.95638579
1 "Walking" -0.95628755
1 "Walking" -0.93005425
1 "Walking" -0.96873292
1 "Walking" -0.96098113
1 "Walking" -0.97074414
1 "Walking" -0.95634472
1 "Walking" -0.97326978
1 "Walking" -0.96919223
1 "Walking" -0.96604539
1 "Walking" -0.97331627
1 "Walking" -0.97017103
1 "Walking" -0.95333948
1 "Walking" -0.95423711
1 "Walking" -0.95322795
1 "Walking" -0.95790429
1 "Walking" -0.90615302
1 "Walking" -0.9709271
1 "Walking" -0.97161436
1 "Walking" -0.95438773
1 "Walking" -0.95419356
1 "Walking" -0.95270561
1 "Walking" -0.96767909
1 "Walking" -0.9720942
1 "Walking" -0.79061248
1 "Walking" -0.93622395
1 "Walking" -0.94717473
1 "Walking" -0.95363656
1 "Walking" -0.96443171
1 "Walking" -0.92395447
1 "Walking" -0.9682203
1 "Walking" -0.97390537
1 "Walking" -0.95765995
1 "Walking" -0.95886169
1 "Walking" -0.97153492
1 "Walking" -0.96932542
1 "Walking" -0.97767323
1 "Walking" -0.73172868
1 "Walking" -0.82298582
1 "Walking" -0.91688116
1 "Walking" -0.96682842
1 "Walking" -0.94621802
1 "Walking" -0.96505944
1 "Walking" -0.96461552
1 "Walking" -0.95074053
1 "Walking" -0.96593246
1 "Walking" -0.9746713
1 "Walking" -0.97862184
1 "Walking" -0.97328379
1 "Walking" -0.97732439
1 "Walking" -0.75256199
1 "Walking" -0.9063768
1 "Walking" -0.94418232
1 "Walking" -0.96665807
1 "Walking" -0.95465674
1 "Walking" -0.95656725
1 "Walking" -0.95259277
1 "Walking" -0.94335044
1 "Walking" -0.97456226
1 "Walking" -0.95296615
1 "Walking" -0.95706894
1 "Walking" -0.97668541
1 "Walking" -0.97893232
1 "Walking" -0.96271842
1 "Walking Down Stairs" -0.92750416
1 "Walking Down Stairs" -0.96133395
1 "Walking Down Stairs" -0.94179426
1 "Walking Down Stairs" -0.89558539
1 "Walking Down Stairs" -0.92983361
1 "Walking Down Stairs" -0.92822017
1 "Walking Down Stairs" -0.90422073
1 "Walking Down Stairs" -0.8893506
1 "Walking Down Stairs" -0.9624668
1 "Walking Down Stairs" -0.79819274
1 "Walking Down Stairs" -0.88353377
1 "Walking Down Stairs" -0.85103527
1 "Walking Down Stairs" -0.88155214
1 "Walking Down Stairs" -0.90150434
1 "Walking Down Stairs" -0.84720103
1 "Walking Down Stairs" -0.8463569
1 "Walking Down Stairs" -0.94555383
1 "Walking Down Stairs" -0.90936252
1 "Walking Down Stairs" -0.9113935
1 "Walking Down Stairs" -0.87415959
1 "Walking Down Stairs" -0.86134791
1 "Walking Down Stairs" -0.89581756
1 "Walking Down Stairs" -0.79424008
1 "Walking Down Stairs" -0.91280087
1 "Walking Down Stairs" -0.84944975
1 "Walking Down Stairs" -0.88117235
1 "Walking Down Stairs" -0.91943237
1 "Walking Down Stairs" -0.84445908
1 "Walking Down Stairs" -0.85585032
1 "Walking Down Stairs" -0.90184813
1 "Walking Down Stairs" -0.92044309
1 "Walking Down Stairs" -0.94629655
1 "Walking Down Stairs" -0.87852005
1 "Walking Down Stairs" -0.87545115
1 "Walking Down Stairs" -0.91898801
1 "Walking Down Stairs" -0.92036273
1 "Walking Down Stairs" -0.93864572
1 "Walking Down Stairs" -0.87441876
1 "Walking Down Stairs" -0.8917994
1 "Walking Down Stairs" -0.93243814
1 "Walking Down Stairs" -0.96912731
1 "Walking Down Stairs" -0.85744002
1 "Walking Down Stairs" -0.9073459
1 "Walking Down Stairs" -0.89149319
1 "Walking Down Stairs" -0.96641237
1 "Walking Down Stairs" -0.95409981
1 "Walking Down Stairs" -0.89034042
1 "Walking Down Stairs" -0.82238482
1 "Walking Down Stairs" -0.93524007
1 "Walking Up Stairs" -0.81047191
1 "Walking Up Stairs" -0.95164223
1 "Walking Up Stairs" -0.94199279
1 "Walking Up Stairs" -0.92817159
1 "Walking Up Stairs" -0.88186168
1 "Walking Up Stairs" -0.91057109
1 "Walking Up Stairs" -0.9031788
1 "Walking Up Stairs" -0.85929635
1 "Walking Up Stairs" -0.88803442
1 "Walking Up Stairs" -0.95011287
1 "Walking Up Stairs" -0.93568151
1 "Walking Up Stairs" -0.93915093
1 "Walking Up Stairs" -0.93059047
1 "Walking Up Stairs" -0.91270878
1 "Walking Up Stairs" -0.92296988
1 "Walking Up Stairs" -0.90849032
1 "Walking Up Stairs" -0.91819315
1 "Walking Up Stairs" -0.91086531
1 "Walking Up Stairs" -0.93709002
1 "Walking Up Stairs" -0.90054195
1 "Walking Up Stairs" -0.90164265
1 "Walking Up Stairs" -0.90178264
1 "Walking Up Stairs" -0.91696787
1 "Walking Up Stairs" -0.89371572
1 "Walking Up Stairs" -0.93226588
1 "Walking Up Stairs" -0.90135276
1 "Walking Up Stairs" -0.88643218
1 "Walking Up Stairs" -0.93105073
1 "Walking Up Stairs" -0.94471892
1 "Walking Up Stairs" -0.94085513
1 "Walking Up Stairs" -0.92348726
1 "Walking Up Stairs" -0.95374683
1 "Walking Up Stairs" -0.94600942
1 "Walking Up Stairs" -0.92497921
1 "Walking Up Stairs" -0.92200624
1 "Walking Up Stairs" -0.84301745
1 "Walking Up Stairs" -0.91617232
1 "Walking Up Stairs" -0.94721365
1 "Walking Up Stairs" -0.93903099
1 "Walking Up Stairs" -0.92732543
1 "Walking Up Stairs" -0.92791015
1 "Walking Up Stairs" -0.90731727
1 "Walking Up Stairs" -0.92312138
1 "Walking Up Stairs" -0.94310532
1 "Walking Up Stairs" -0.79408815
1 "Walking Up Stairs" -0.9235199
1 "Walking Up Stairs" -0.93574147
1 "Walking Up Stairs" -0.93435701
1 "Walking Up Stairs" -0.92955411
1 "Walking Up Stairs" -0.92864307
1 "Walking Up Stairs" -0.90173187
1 "Walking Up Stairs" -0.88939387
1 "Walking Up Stairs" -0.92492369
2 "Lying" -0.98098733
2 "Lying" -0.97633273
2 "Lying" -0.99003361
2 "Lying" -0.98523972
2 "Lying" -0.99380634
2 "Lying" -0.9928254
2 "Lying" -0.99579525
2 "Lying" -0.99406495
2 "Lying" -0.98968341
2 "Lying" -0.99354177
2 "Lying" -0.98734685
2 "Lying" -0.91666443
2 "Lying" -0.96248829
2 "Lying" -0.97739996
2 "Lying" -0.99474845
2 "Lying" -0.99486678
2 "Lying" -0.99409286
2 "Lying" -0.994397
2 "Lying" -0.99367879
2 "Lying" -0.99716499
2 "Lying" -0.99408865
2 "Lying" -0.98331054
2 "Lying" -0.99008228
2 "Lying" -0.98757071
2 "Lying" -0.84454443
2 "Lying" -0.97212446
2 "Lying" -0.97072471
2 "Lying" -0.99133125
