"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.28910234
1 "Lying" -0.19419584
1 "Lying" -0.16510276
1 "Lying" -0.16510276
1 "Lying" -0.16347696
1 "Lying" -0.16308855
1 "Lying" -0.16325144
1 "Lying" -0.16325144
1 "Lying" -0.16324532
1 "Lying" -0.16163737
1 "Lying" -0.16166286
1 "Lying" -0.16166323
1 "Lying" -0.16166323
1 "Lying" -0.034266092
1 "Lying" -0.034266092
1 "Lying" -0.11339119
1 "Lying" -0.36104164
1 "Lying" -0.36185847
1 "Lying" -0.36185847
1 "Lying" -0.55514798
1 "Lying" -0.70993531
1 "Lying" -0.71024001
1 "Lying" -0.71024001
1 "Lying" -0.70250277
1 "Lying" -0.70250277
1 "Lying" -0.70197237
1 "Lying" -0.69884244
1 "Lying" -0.095019125
1 "Lying" -0.066607945
1 "Lying" -0.01094845
1 "Lying" -0.006818482
1 "Lying" -0.0063605256
1 "Lying" -0.0051435297
1 "Lying" -0.0051435297
1 "Lying" -0.0043721036
1 "Lying" -0.0043802861
1 "Lying" -0.0047818152
1 "Lying" -0.0050171594
1 "Lying" -0.0050171594
1 "Lying" -0.14042517
1 "Lying" -0.25035687
1 "Lying" -0.25035687
1 "Lying" -0.24931088
1 "Lying" -0.24343742
1 "Lying" -0.23576246
1 "Lying" -0.21472484
1 "Lying" -0.21403178
1 "Lying" -0.21316596
1 "Lying" -0.26154422
1 "Lying" -0.28064783
1 "Sitting" 0.97743631
1 "Sitting" 0.98452014
1 "Sitting" 0.9867701
1 "Sitting" 0.98682105
1 "Sitting" 0.98743352
1 "Sitting" 0.98772183
1 "Sitting" 0.98772183
1 "Sitting" 0.98792586
1 "Sitting" 0.98775397
1 "Sitting" 0.98775397
1 "Sitting" 0.98782618
1 "Sitting" 0.98861347
1 "Sitting" 0.98861347
1 "Sitting" 0.98889992
1 "Sitting" 0.94674897
1 "Sitting" 0.96863457
1 "Sitting" 0.97277627
1 "Sitting" 0.97297016
1 "Sitting" 0.97325777
1 "Sitting" 0.97336429
1 "Sitting" 0.97318829
1 "Sitting" 0.97318829
1 "Sitting" 0.97269154
1 "Sitting" 0.97263986
1 "Sitting" 0.97263986
1 "Sitting" 0.97384493
1 "Sitting" 0.97436858
1 "Sitting" 0.9385778
1 "Sitting" 0.9385778
1 "Sitting" 0.94282925
1 "Sitting" 0.94744733
1 "Sitting" 0.94840576
1 "Sitting" 0.94501347
1 "Sitting" 0.94488257
1 "Sitting" 0.94488257
1 "Sitting" 0.94560326
1 "Sitting" 0.94566282
1 "Sitting" 0.94566282
1 "Sitting" 0.94599932
1 "Sitting" 0.94506773
1 "Sitting" 0.94375174
1 "Sitting" 0.90349615
1 "Sitting" 0.93811144
1 "Sitting" 0.94595498
1 "Sitting" 0.94530047
1 "Sitting" 0.94410308
1 "Sitting" 0.94314908
1 "Sitting" 0.94314908
1 "Sitting" 0.94334821
1 "Sitting" 0.94389701
1 "Sitting" 0.94396111
1 "Sitting" 0.94403342
1 "Sitting" 0.94492456
1 "Standing" 0.84957326
1 "Standing" 0.84957326
1 "Standing" 0.85049913
1 "Standing" 0.85834757
1 "Standing" 0.71629126
1 "Standing" 0.62498772
1 "Standing" 0.62498772
1 "Standing" 0.62614858
1 "Standing" 0.65132063
1 "Standing" 0.65132063
1 "Standing" 0.65179327
1 "Standing" 0.89503171
1 "Standing" 0.89495487
1 "Standing" 0.89495487
1 "Standing" 0.89682418
1 "Standing" 0.89708448
1 "Standing" 0.89639725
1 "Standing" 0.89639725
1 "Standing" 0.89651331
1 "Standing" 0.8963139
1 "Standing" 0.8963139
1 "Standing" 0.89443607
1 "Standing" 0.89441143
1 "Standing" 0.89441143
1 "Standing" 0.79100454
1 "Standing" 0.79100454
1 "Standing" 0.8041839
1 "Standing" 0.80887064
1 "Standing" 0.80887064
1 "Standing" 0.80953098
1 "Standing" 0.80920008
1 "Standing" 0.80920008
1 "Standing" 0.80927837
1 "Standing" 0.80954508
1 "Standing" 0.80901644
1 "Standing" 0.84740386
1 "Standing" 0.94463265
1 "Standing" 0.94156839
1 "Standing" 0.94037297
1 "Standing" 0.93989972
1 "Standing" 0.93895274
1 "Standing" 0.93836228
1 "Standing" 0.93836228
1 "Standing" 0.93824122
1 "Standing" 0.937953
1 "Standing" 0.937953
1 "Standing" 0.93683362
