"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.89538076
1 "Lying" -0.96530301
1 "Lying" -0.99600941
1 "Lying" -0.99877914
1 "Lying" -0.9967349
1 "Lying" -0.99716251
1 "Lying" -0.9987835
1 "Lying" -0.99651469
1 "Lying" -0.99812413
1 "Lying" -0.99339642
1 "Lying" -0.9965967
1 "Lying" -0.99646996
1 "Lying" -0.99503772
1 "Lying" -0.62099753
1 "Lying" -0.98786371
1 "Lying" -0.89836031
1 "Lying" -0.39074878
1 "Lying" -0.70659949
1 "Lying" -0.68993069
1 "Lying" -0.78630016
1 "Lying" -0.14768193
1 "Lying" -0.51782593
1 "Lying" -0.95687927
1 "Lying" -0.98545848
1 "Lying" -0.98857181
1 "Lying" -0.99830591
1 "Lying" -0.99608329
1 "Lying" -0.85116783
1 "Lying" -0.96997075
1 "Lying" -0.99481942
1 "Lying" -0.99843576
1 "Lying" -0.99354801
1 "Lying" -0.99639777
1 "Lying" -0.9976099
1 "Lying" -0.99812161
1 "Lying" -0.99657402
1 "Lying" -0.99672687
1 "Lying" -0.99719427
1 "Lying" -0.9977812
1 "Lying" 0.45837118
1 "Lying" 0.041165989
1 "Lying" -0.87936122
1 "Lying" -0.90451583
1 "Lying" -0.75515626
1 "Lying" -0.9394897
1 "Lying" -0.96144396
1 "Lying" -0.95614213
1 "Lying" -0.97897797
1 "Lying" -0.72387606
1 "Lying" -0.734641
1 "Sitting" -0.87762497
1 "Sitting" -0.93163868
1 "Sitting" -0.99291723
1 "Sitting" -0.97847643
1 "Sitting" -0.97874493
1 "Sitting" -0.99730641
1 "Sitting" -0.99201595
1 "Sitting" -0.97656878
1 "Sitting" -0.9689613
1 "Sitting" -0.99674235
1 "Sitting" -0.99469268
1 "Sitting" -0.99230114
1 "Sitting" -0.99361292
1 "Sitting" -0.99511053
1 "Sitting" -0.86787383
1 "Sitting" -0.97119457
1 "Sitting" -0.97103653
1 "Sitting" -0.99072749
1 "Sitting" -0.99493392
1 "Sitting" -0.99422799
1 "Sitting" -0.99675098
1 "Sitting" -0.99536331
1 "Sitting" -0.99706732
1 "Sitting" -0.99292597
1 "Sitting" -0.99475932
1 "Sitting" -0.99047056
1 "Sitting" -0.99773765
1 "Sitting" -0.86095295
1 "Sitting" -0.91488865
1 "Sitting" -0.96205513
1 "Sitting" -0.98466971
1 "Sitting" -0.98118131
1 "Sitting" -0.99407381
1 "Sitting" -0.97016513
1 "Sitting" -0.98290267
1 "Sitting" -0.99126992
1 "Sitting" -0.9979543
1 "Sitting" -0.98748825
1 "Sitting" -0.99493941
1 "Sitting" -0.9964956
1 "Sitting" -0.99245717
1 "Sitting" -0.88357228
1 "Sitting" -0.94929896
1 "Sitting" -0.96089411
1 "Sitting" -0.98934938
1 "Sitting" -0.98619239
1 "Sitting" -0.97844048
1 "Sitting" -0.9865259
1 "Sitting" -0.99313549
1 "Sitting" -0.99751233
1 "Sitting" -0.99656725
1 "Sitting" -0.99421553
1 "Sitting" -0.99619352
1 "Standing" -0.34244329
1 "Standing" -0.91088155
1 "Standing" -0.96440037
1 "Standing" -0.96232958
1 "Standing" -0.84969761
1 "Standing" -0.64299102
1 "Standing" -0.91527246
1 "Standing" -0.94159828
1 "Standing" -0.98848719
1 "Standing" -0.99381054
1 "Standing" -0.9954126
1 "Standing" -0.96472588
1 "Standing" -0.99164161
1 "Standing" -0.99610975
1 "Standing" -0.99715923
1 "Standing" -0.99884243
1 "Standing" -0.99915781
1 "Standing" -0.98865462
1 "Standing" -0.99414395
1 "Standing" -0.99730555
1 "Standing" -0.9960581
1 "Standing" -0.99017271
1 "Standing" -0.99457185
1 "Standing" -0.99373603
1 "Standing" -0.85822284
1 "Standing" -0.91548527
1 "Standing" -0.97873318
1 "Standing" -0.99560833
1 "Standing" -0.99811329
1 "Standing" -0.99714231
1 "Standing" -0.99716171
1 "Standing" -0.9940536
1 "Standing" -0.99620179
1 "Standing" -0.99950383
1 "Standing" -0.99797845
1 "Standing" -0.63219085
1 "Standing" -0.93585138
1 "Standing" -0.94615721
1 "Standing" -0.9894052
1 "Standing" -0.99203693
1 "Standing" -0.995267
1 "Standing" -0.9968412
1 "Standing" -0.99485586
1 "Standing" -0.99725216
1 "Standing" -0.99716041
1 "Standing" -0.99339502
1 "Standing" -0.99670203
1 "Walking" -0.93255981
1 "Walking" -0.94907823
1 "Walking" -0.97190922
1 "Walking" -0.96430389
1 "Walking" -0.9604447
1 "Walking" -0.96626457
1 "Walking" -0.97017613
1 "Walking" -0.96877668
1 "Walking" -0.83709377
1 "Walking" -0.91471331
1 "Walking" -0.92855391
1 "Walking" -0.95108339
1 "Walking" -0.95247094
1 "Walking" -0.96034794
1 "Walking" -0.97325368
1 "Walking" -0.97308252
1 "Walking" -0.96895106
1 "Walking" -0.97396777
1 "Walking" -0.96146553
1 "Walking" -0.96771701
1 "Walking" -0.82785828
1 "Walking" -0.94509954
1 "Walking" -0.94824063
1 "Walking" -0.97711602
1 "Walking" -0.97654025
1 "Walking" -0.9733533
1 "Walking" -0.96271573
1 "Walking" -0.96468427
1 "Walking" -0.96773304
1 "Walking" -0.97690052
1 "Walking" -0.95996311
1 "Walking" -0.9534891
1 "Walking" -0.95365122
1 "Walking" -0.93398642
1 "Walking" -0.96575715
1 "Walking" -0.95990427
1 "Walking" -0.96852588
1 "Walking" -0.9536348
1 "Walking" -0.97306309
1 "Walking" -0.96758776
1 "Walking" -0.96540912
1 "Walking" -0.97206605
1 "Walking" -0.96923973
1 "Walking" -0.95385186
1 "Walking" -0.94208058
1 "Walking" -0.95361632
1 "Walking" -0.95633397
1 "Walking" -0.90306472
1 "Walking" -0.97124916
1 "Walking" -0.97149535
1 "Walking" -0.95328717
1 "Walking" -0.9472426
1 "Walking" -0.94689852
1 "Walking" -0.96744124
1 "Walking" -0.97240545
1 "Walking" -0.78964361
1 "Walking" -0.9316769
1 "Walking" -0.94829409
1 "Walking" -0.95468324
1 "Walking" -0.96261167
1 "Walking" -0.92284959
1 "Walking" -0.96307292
1 "Walking" -0.97395079
1 "Walking" -0.95501836
1 "Walking" -0.95535644
1 "Walking" -0.96816177
1 "Walking" -0.96491347
1 "Walking" -0.97682754
1 "Walking" -0.72491084
1 "Walking" -0.82478626
1 "Walking" -0.90870259
1 "Walking" -0.96654734
1 "Walking" -0.94718038
1 "Walking" -0.95993215
1 "Walking" -0.96050873
1 "Walking" -0.94822241
1 "Walking" -0.96616525
1 "Walking" -0.97481742
1 "Walking" -0.97846848
1 "Walking" -0.97234589
1 "Walking" -0.97599555
1 "Walking" -0.75616066
1 "Walking" -0.89730267
1 "Walking" -0.94589921
1 "Walking" -0.96460102
1 "Walking" -0.95350698
1 "Walking" -0.95040165
1 "Walking" -0.94432639
1 "Walking" -0.94369038
1 "Walking" -0.97181741
1 "Walking" -0.95393986
1 "Walking" -0.9569925
1 "Walking" -0.97602975
1 "Walking" -0.97855914
1 "Walking" -0.9625649
1 "Walking Down Stairs" -0.92432289
1 "Walking Down Stairs" -0.9576926
1 "Walking Down Stairs" -0.93790082
1 "Walking Down Stairs" -0.88773998
1 "Walking Down Stairs" -0.92318235
1 "Walking Down Stairs" -0.92656311
1 "Walking Down Stairs" -0.90209166
1 "Walking Down Stairs" -0.89687449
1 "Walking Down Stairs" -0.95413056
1 "Walking Down Stairs" -0.80465984
1 "Walking Down Stairs" -0.87338635
1 "Walking Down Stairs" -0.84534294
1 "Walking Down Stairs" -0.88668278
1 "Walking Down Stairs" -0.90016728
1 "Walking Down Stairs" -0.8586344
1 "Walking Down Stairs" -0.85400472
