"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.31702951
1 "Lying" -0.052910795
1 "Lying" -0.049453623
1 "Lying" -0.050628914
1 "Lying" -0.13515328
1 "Lying" -0.031294075
1 "Lying" 0.0041763858
1 "Lying" -0.055480743
1 "Lying" -0.024122557
1 "Lying" -0.012556749
1 "Lying" -0.064772433
1 "Lying" -0.18594077
1 "Lying" -0.15387734
1 "Lying" -0.1178413
1 "Lying" 0.17412146
1 "Lying" 0.32489209
1 "Lying" 0.31092248
1 "Lying" 0.32565464
1 "Lying" 0.38069977
1 "Lying" 0.23680111
1 "Lying" 0.20532138
1 "Lying" 0.384982
1 "Lying" -0.018980373
1 "Lying" 0.0038408684
1 "Lying" -0.081654752
1 "Lying" -0.094858756
1 "Lying" 0.0097613299
1 "Lying" -0.025546076
1 "Lying" 0.057996272
1 "Lying" -0.093573244
1 "Lying" -0.081321612
1 "Lying" -0.14762137
1 "Lying" -0.12490653
1 "Lying" -0.1929044
1 "Lying" -0.18689441
1 "Lying" -0.078550783
1 "Lying" -0.078618851
1 "Lying" -0.011980781
1 "Lying" -0.060171121
1 "Lying" 0.1345676
1 "Lying" -0.2163518
1 "Lying" -0.065159567
1 "Lying" -0.10102939
1 "Lying" 0.12797953
1 "Lying" 0.11276376
1 "Lying" -0.0057437238
1 "Lying" -0.18947403
1 "Lying" -0.086774343
1 "Lying" -0.14901485
1 "Lying" 0.17515888
1 "Sitting" -0.85301114
1 "Sitting" -0.32954862
1 "Sitting" -0.086308698
1 "Sitting" 0.074839555
1 "Sitting" -0.13120773
1 "Sitting" -0.18227238
1 "Sitting" -0.23333509
1 "Sitting" -0.3007191
1 "Sitting" -0.25330862
1 "Sitting" -0.021212436
1 "Sitting" -0.17399563
1 "Sitting" -0.32393811
1 "Sitting" -0.046057965
1 "Sitting" -0.12823691
1 "Sitting" -0.16033638
1 "Sitting" -0.16003429
1 "Sitting" -0.040289908
1 "Sitting" -0.13604554
1 "Sitting" -0.13541257
1 "Sitting" -0.12178053
1 "Sitting" -0.21790843
1 "Sitting" -0.24991967
1 "Sitting" -0.12692706
1 "Sitting" -0.07573276
1 "Sitting" -0.011826038
1 "Sitting" -0.13853724
1 "Sitting" -0.19520246
1 "Sitting" -0.4807532
1 "Sitting" 0.10832457
1 "Sitting" -0.068389516
1 "Sitting" 0.022529628
1 "Sitting" 0.23352303
1 "Sitting" 0.21818823
1 "Sitting" 0.019468961
1 "Sitting" -0.10827378
1 "Sitting" -0.058858061
1 "Sitting" -0.071051551
1 "Sitting" -0.18402391
1 "Sitting" -0.28148246
1 "Sitting" -0.21308235
1 "Sitting" -0.11494691
1 "Sitting" -0.15969402
1 "Sitting" -0.27610454
1 "Sitting" -0.30828247
1 "Sitting" -0.14908213
1 "Sitting" -0.22355582
1 "Sitting" -0.22598948
1 "Sitting" 0.051808335
1 "Sitting" -0.035351578
1 "Sitting" -0.25573375
1 "Sitting" -0.16625678
1 "Sitting" -0.12407991
1 "Sitting" -0.10237651
1 "Standing" 0.013076571
1 "Standing" -0.094523029
1 "Standing" -0.27575636
1 "Standing" 0.21223363
1 "Standing" 0.27071214
1 "Standing" 0.16693374
1 "Standing" -0.040270944
1 "Standing" -0.08680863
1 "Standing" -0.14848276
1 "Standing" -0.23937322
1 "Standing" -0.16064495
1 "Standing" 0.029881469
1 "Standing" 0.062825176
1 "Standing" 0.037375697
1 "Standing" 0.089458701
1 "Standing" -0.024023285
1 "Standing" -0.094974188
1 "Standing" -0.090667
1 "Standing" 0.016764152
1 "Standing" 0.07373902
1 "Standing" 0.055450248
1 "Standing" -0.11275052
1 "Standing" -0.1937801
1 "Standing" -0.13916089
1 "Standing" -0.42422124
1 "Standing" -0.095352499
1 "Standing" 0.0090967027
1 "Standing" 0.091990827
1 "Standing" 0.053403427
1 "Standing" -0.066305632
1 "Standing" -0.038553844
1 "Standing" 0.048740189
1 "Standing" -0.032614276
1 "Standing" -0.088161273
1 "Standing" -0.19033306
1 "Standing" 0.30509942
1 "Standing" -0.16149789
1 "Standing" -0.10651943
1 "Standing" -0.19274175
1 "Standing" -0.15167507
1 "Standing" -0.14164334
1 "Standing" -0.225667
1 "Standing" -0.25389689
1 "Standing" -0.1712464
1 "Standing" -0.19975245
1 "Standing" -0.22618906
1 "Standing" 0.13821561
1 "Walking" 0.6839838
1 "Walking" 0.5697953
1 "Walking" 0.37780361
1 "Walking" 0.60161276
1 "Walking" 0.72881653
1 "Walking" 0.5231755
1 "Walking" 0.67286597
1 "Walking" 0.72212677
1 "Walking" 0.1954133
1 "Walking" 0.23518059
1 "Walking" 0.38118121
1 "Walking" 0.56551528
1 "Walking" 0.60505278
1 "Walking" 0.46348677
1 "Walking" 0.18093634
1 "Walking" 0.20702626
1 "Walking" 0.44207792
1 "Walking" 0.55981255
1 "Walking" 0.31373569
1 "Walking" 0.25218311
1 "Walking" 0.19995792
1 "Walking" -0.00029656802
1 "Walking" 0.1182891
1 "Walking" 0.06762257
1 "Walking" 0.28992556
1 "Walking" 0.57000821
1 "Walking" 0.47356348
1 "Walking" 0.43781815
1 "Walking" 0.3169264
1 "Walking" 0.096031586
1 "Walking" 0.020622529
1 "Walking" 0.059871689
1 "Walking" 0.12799757
1 "Walking" 0.28774576
1 "Walking" 0.2005204
1 "Walking" 0.35947698
1 "Walking" 0.58829139
1 "Walking" 0.47203634
1 "Walking" 0.4842356
