"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.10024413
1 "Lying" 0.25284448
1 "Lying" 0.45036478
1 "Lying" 0.42647844
1 "Lying" 0.52148674
1 "Lying" 0.55147838
1 "Lying" 0.37102521
1 "Lying" 0.33113681
1 "Lying" 0.40011685
1 "Lying" 0.37596403
1 "Lying" 0.29471364
1 "Lying" 0.25151056
1 "Lying" 0.31603813
1 "Lying" 0.26871442
1 "Lying" 0.018214905
1 "Lying" -0.43959511
1 "Lying" -0.45220896
1 "Lying" -0.5820914
1 "Lying" -0.18229367
1 "Lying" 0.12473947
1 "Lying" 0.1129031
1 "Lying" -0.24369674
1 "Lying" -0.34495199
1 "Lying" 0.019988252
1 "Lying" 0.27345041
1 "Lying" 0.17644859
1 "Lying" 0.16366937
1 "Lying" -0.42738343
1 "Lying" -0.095456245
1 "Lying" 0.39607366
1 "Lying" 0.43229135
1 "Lying" 0.36980877
1 "Lying" 0.45514256
1 "Lying" 0.45702053
1 "Lying" 0.38971238
1 "Lying" 0.35108574
1 "Lying" 0.20617679
1 "Lying" 0.20528711
1 "Lying" 0.39751581
1 "Lying" 0.12629091
1 "Lying" 1
1 "Lying" 0.062319607
1 "Lying" 0.054458823
1 "Lying" 0.15629555
1 "Lying" 0.15445204
1 "Lying" 0.10610435
1 "Lying" 0.15166862
1 "Lying" 0.16030294
1 "Lying" 0.12936408
1 "Lying" 0.20708292
1 "Sitting" 0.25689154
1 "Sitting" 0.11570542
1 "Sitting" 0.017150129
1 "Sitting" 0.07254524
1 "Sitting" 0.25761535
1 "Sitting" 0.25995104
1 "Sitting" 0.06429747
1 "Sitting" 0.14412423
1 "Sitting" 0.21532392
1 "Sitting" 0.039721557
1 "Sitting" -0.020162546
1 "Sitting" 0.2359226
1 "Sitting" 0.29651622
1 "Sitting" 0.28913632
1 "Sitting" -0.31540154
1 "Sitting" 0.14561603
1 "Sitting" 0.3397507
1 "Sitting" 0.2035949
1 "Sitting" 0.20138733
1 "Sitting" 0.21198761
1 "Sitting" 0.29412943
1 "Sitting" 0.39844752
1 "Sitting" 0.34089819
1 "Sitting" 0.24623889
1 "Sitting" 0.21346949
1 "Sitting" 0.30241639
1 "Sitting" 0.49156335
1 "Sitting" 0.26364957
1 "Sitting" 0.16664235
1 "Sitting" 0.18824317
1 "Sitting" -0.063161537
1 "Sitting" -0.10328971
1 "Sitting" 0.068363315
1 "Sitting" 0.34627268
1 "Sitting" 0.42842574
1 "Sitting" 0.18118132
1 "Sitting" 0.2152695
1 "Sitting" 0.25964094
1 "Sitting" 0.096197016
1 "Sitting" 0.15410853
1 "Sitting" 0.23025775
1 "Sitting" -0.13520634
1 "Sitting" 0.027670483
1 "Sitting" 0.24670284
1 "Sitting" 0.19064482
1 "Sitting" 0.24636142
1 "Sitting" 0.23010825
1 "Sitting" 0.15050502
1 "Sitting" 0.29099321
1 "Sitting" 0.10829749
1 "Sitting" 0.12671162
1 "Sitting" 0.31809414
1 "Sitting" 0.27114871
1 "Standing" -0.27818848
1 "Standing" 0.011063994
1 "Standing" 0.071376294
1 "Standing" -0.33012439
1 "Standing" -0.39564324
1 "Standing" -0.38276748
1 "Standing" -0.079986244
1 "Standing" 0.22739601
1 "Standing" 0.40998533
1 "Standing" 0.54816791
1 "Standing" 0.37001428
1 "Standing" -0.0053366775
1 "Standing" 0.18727885
1 "Standing" 0.13361104
1 "Standing" 0.1741225
1 "Standing" 0.085742459
1 "Standing" 0.12627948
1 "Standing" 0.1609532
1 "Standing" 0.088536874
1 "Standing" 0.15828963
1 "Standing" 0.15262139
1 "Standing" 0.031403406
1 "Standing" 0.12894347
1 "Standing" 0.28571763
1 "Standing" -0.093435657
1 "Standing" 0.11430187
1 "Standing" 0.16457231
1 "Standing" 0.31890654
1 "Standing" 0.39339348
1 "Standing" 0.52800673
1 "Standing" 0.64738279
1 "Standing" 0.49495667
1 "Standing" 0.39299608
1 "Standing" 0.22986325
1 "Standing" 0.14077263
1 "Standing" 0.034414207
1 "Standing" 0.14554879
1 "Standing" 0.22138417
1 "Standing" 0.37968464
1 "Standing" 0.36721338
1 "Standing" 0.21194649
1 "Standing" 0.23724262
1 "Standing" 0.57389534
1 "Standing" 0.40562975
1 "Standing" 0.07233964
1 "Standing" 0.10883354
1 "Standing" -0.041471539
1 "Walking" -0.33282417
1 "Walking" -0.27207963
1 "Walking" -0.22729163
1 "Walking" -0.28431709
1 "Walking" -0.11008553
1 "Walking" -0.038607873
1 "Walking" -0.33911293
1 "Walking" -0.29438702
1 "Walking" -0.25797663
1 "Walking" -0.24718312
1 "Walking" -0.28771058
1 "Walking" -0.20372668
1 "Walking" -0.10554534
1 "Walking" -0.14510951
1 "Walking" -0.16363377
1 "Walking" -0.18075312
1 "Walking" -0.17497809
1 "Walking" -0.16529366
1 "Walking" -0.25808362
1 "Walking" -0.015831158
1 "Walking" -0.12129995
1 "Walking" -0.17766714
1 "Walking" -0.087401519
1 "Walking" 0.006717813
1 "Walking" -0.13217598
1 "Walking" -0.246038
1 "Walking" -0.18155677
1 "Walking" -0.29501232
1 "Walking" -0.45045664
1 "Walking" -0.1544336
1 "Walking" -0.098627211
1 "Walking" -0.21321577
1 "Walking" -0.21711045
1 "Walking" 0.025663163
1 "Walking" -0.11024586
1 "Walking" -0.2400596
1 "Walking" -0.33905701
1 "Walking" -0.4259733
1 "Walking" -0.51803578
1 "Walking" -0.14091158
1 "Walking" 0.078179964
1 "Walking" 0.022051555
1 "Walking" -0.16374165
1 "Walking" 0.28094445
1 "Walking" 0.25937006
1 "Walking" -0.25596799
1 "Walking" -0.40006831
1 "Walking" -0.31492073
1 "Walking" -0.20271017
1 "Walking" -0.13311304
