"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.033834846
1 "Lying" 0.17902788
1 "Lying" 0.50331637
1 "Lying" 0.69789096
1 "Lying" 0.36139606
1 "Lying" 0.31901637
1 "Lying" 0.59208126
1 "Lying" 0.47856405
1 "Lying" 0.31648239
1 "Lying" 0.52820413
1 "Lying" 0.52986936
1 "Lying" 0.47485137
1 "Lying" 0.40634687
1 "Lying" 0.1301751
1 "Lying" 0.49367641
1 "Lying" -0.40142643
1 "Lying" -0.39248065
1 "Lying" -0.23477989
1 "Lying" -0.23906319
1 "Lying" 0.22621993
1 "Lying" 0.24121783
1 "Lying" 0.13879591
1 "Lying" 0.10445192
1 "Lying" 0.19099877
1 "Lying" 0.22365705
1 "Lying" 0.59022619
1 "Lying" 0.56177664
1 "Lying" 0.00075098556
1 "Lying" 0.065065491
1 "Lying" 0.33939837
1 "Lying" 0.25599407
1 "Lying" 0.14371492
1 "Lying" 0.28859442
1 "Lying" 0.28232725
1 "Lying" 0.35541637
1 "Lying" 0.44933171
1 "Lying" 0.34475467
1 "Lying" 0.47533466
1 "Lying" 0.33773616
1 "Lying" -0.079178228
1 "Lying" 0.13530287
1 "Lying" 0.088167539
1 "Lying" -0.19478943
1 "Lying" -0.00073427481
1 "Lying" 0.3290636
1 "Lying" 0.2819214
1 "Lying" 0.25003321
1 "Lying" -0.14823084
1 "Lying" -0.24741148
1 "Lying" -0.28345416
1 "Sitting" 0.27885143
1 "Sitting" 0.08598843
1 "Sitting" 0.23928053
1 "Sitting" 0.29493839
1 "Sitting" 0.43974437
1 "Sitting" 0.55846137
1 "Sitting" 0.23140082
1 "Sitting" 0.13719176
1 "Sitting" 0.24183069
1 "Sitting" 0.17233993
1 "Sitting" 0.30091239
1 "Sitting" 0.53825701
1 "Sitting" 0.27060202
1 "Sitting" 0.1805776
1 "Sitting" -0.082974088
1 "Sitting" 0.33757355
1 "Sitting" 0.27391497
1 "Sitting" 0.10140072
1 "Sitting" 0.46136184
1 "Sitting" 0.54289847
1 "Sitting" 0.40504432
1 "Sitting" 0.46733893
1 "Sitting" 0.49078427
1 "Sitting" 0.35122763
1 "Sitting" 0.42089836
1 "Sitting" 0.42456054
1 "Sitting" 0.469383
1 "Sitting" 0.28790409
1 "Sitting" -0.09015385
1 "Sitting" -0.0098050042
1 "Sitting" 0.077788953
1 "Sitting" 0.1178594
1 "Sitting" 0.19255391
1 "Sitting" 0.21763392
1 "Sitting" 0.13537673
1 "Sitting" 0.21457756
1 "Sitting" 0.13405136
1 "Sitting" -0.071839915
1 "Sitting" -0.19598011
1 "Sitting" 0.35479892
1 "Sitting" 0.3182356
1 "Sitting" -0.34502771
1 "Sitting" 0.0024118028
1 "Sitting" 0.35557007
1 "Sitting" 0.30802704
1 "Sitting" 0.3935755
1 "Sitting" 0.63892458
1 "Sitting" 0.5867587
1 "Sitting" 0.4049347
1 "Sitting" 0.80918852
1 "Sitting" 0.59217232
1 "Sitting" 0.4476164
1 "Sitting" 0.32296471
1 "Standing" -0.19921508
1 "Standing" 0.34685234
1 "Standing" 0.32528623
1 "Standing" -0.51478358
1 "Standing" -0.56226256
1 "Standing" -0.52642743
1 "Standing" -0.046817772
1 "Standing" 0.13892496
1 "Standing" 0.24735169
1 "Standing" 0.2547461
1 "Standing" 0.15844252
1 "Standing" 0.23076631
1 "Standing" 0.38773639
1 "Standing" 0.5428639
1 "Standing" 0.40222486
1 "Standing" 0.44219537
1 "Standing" 0.42997908
1 "Standing" 0.27991678
1 "Standing" 0.27959341
1 "Standing" 0.41995117
1 "Standing" 0.33169116
1 "Standing" 0.12976792
1 "Standing" 0.12095739
1 "Standing" 0.57483179
1 "Standing" -0.070824017
1 "Standing" 0.15553718
1 "Standing" 0.16538099
1 "Standing" 0.36042818
1 "Standing" 0.5638858
1 "Standing" 0.50783247
1 "Standing" 0.32985685
1 "Standing" 0.38294046
1 "Standing" 0.47030957
1 "Standing" 0.4859909
1 "Standing" 0.40243448
1 "Standing" -0.16495857
1 "Standing" 0.12715277
1 "Standing" 0.37998525
1 "Standing" 0.23335101
1 "Standing" 0.38909463
1 "Standing" 0.54500981
1 "Standing" 0.36381625
1 "Standing" 0.38130642
1 "Standing" 0.56662271
1 "Standing" 0.64739138
1 "Standing" 0.45138686
1 "Standing" 0.2988069
1 "Walking" -0.35913774
1 "Walking" -0.29688842
1 "Walking" -0.14011123
1 "Walking" -0.25521784
1 "Walking" -0.29483064
1 "Walking" -0.14513929
1 "Walking" -0.28038616
1 "Walking" -0.046723433
1 "Walking" -0.37885352
1 "Walking" -0.31951921
1 "Walking" 0.01584081
1 "Walking" 0.019868157
1 "Walking" -0.34359533
1 "Walking" -0.45984833
1 "Walking" -0.027307394
1 "Walking" 0.18035308
1 "Walking" -0.045890031
1 "Walking" -0.097022697
1 "Walking" -0.15481909
1 "Walking" -0.26042136
1 "Walking" -0.066816063
1 "Walking" 0.17171796
1 "Walking" 0.029152114
1 "Walking" -0.14599563
1 "Walking" -0.28936858
1 "Walking" -0.42324208
1 "Walking" -0.32667998
1 "Walking" -0.092106155
1 "Walking" -0.25600755
1 "Walking" -0.1916954
1 "Walking" -0.11031271
1 "Walking" -0.011388186
1 "Walking" -0.027525798
1 "Walking" 0.067880681
1 "Walking" 0.30142822
1 "Walking" 0.028365527
1 "Walking" 0.036100119
1 "Walking" -0.10149969
1 "Walking" -0.50135263
1 "Walking" -0.40329108
1 "Walking" -0.35090385
1 "Walking" -0.63970793
1 "Walking" -0.59890683
1 "Walking" -0.36445099
1 "Walking" -0.4346835
1 "Walking" -0.45506128
1 "Walking" -0.2197609
1 "Walking" -0.21119233
1 "Walking" -0.30584066
1 "Walking" -0.50607543
1 "Walking" -0.042930779
1 "Walking" 0.078299118
1 "Walking" 0.020490082
1 "Walking" -0.095715732
1 "Walking" -0.13598976
1 "Walking" -0.15471104
1 "Walking" -0.30894481
1 "Walking" -0.29318021
1 "Walking" -0.031858688
1 "Walking" 0.098282865
1 "Walking" -0.0051527153
1 "Walking" -0.070486996
1 "Walking" -0.092216707
1 "Walking" -0.099705854
1 "Walking" -0.14167979
1 "Walking" 0.073448258
1 "Walking" 0.021979067
1 "Walking" -0.11116147
1 "Walking" 0.066463594
1 "Walking" 0.11161377
1 "Walking" -0.077257432
1 "Walking" -0.37524333
1 "Walking" -0.10403795
1 "Walking" 0.078579371
1 "Walking" -0.047562592
1 "Walking" -0.29507418
1 "Walking" 0.04427235
1 "Walking" 0.074628396
1 "Walking" -0.064623424
1 "Walking" -0.30180631
1 "Walking" -0.15316428
1 "Walking" -0.27375648
1 "Walking" -0.13176697
1 "Walking" -0.03338205
1 "Walking" -0.040012748
1 "Walking" 0.13622758
1 "Walking" 0.34081657
1 "Walking" 0.31608272
1 "Walking" 0.39853773
1 "Walking" 0.29257373
1 "Walking" -0.016285837
1 "Walking" 0.17379089
1 "Walking" 0.19656217
1 "Walking" -0.09234897
1 "Walking" -0.13933492
1 "Walking Down Stairs" -0.13714001
1 "Walking Down Stairs" 0.073648543
1 "Walking Down Stairs" 0.12049667
1 "Walking Down Stairs" 0.11788473
1 "Walking Down Stairs" 0.03661794
1 "Walking Down Stairs" -0.18520664
1 "Walking Down Stairs" -0.081664014
1 "Walking Down Stairs" 0.27200462
1 "Walking Down Stairs" 0.45069694
1 "Walking Down Stairs" 0.28254422
1 "Walking Down Stairs" -0.019663977
1 "Walking Down Stairs" 0.21428915
1 "Walking Down Stairs" -0.14636382
1 "Walking Down Stairs" -0.28357793
1 "Walking Down Stairs" -0.10975639
1 "Walking Down Stairs" 0.15771921
1 "Walking Down Stairs" 0.17561129
1 "Walking Down Stairs" -0.085464475
1 "Walking Down Stairs" -0.0011200272
1 "Walking Down Stairs" -0.34114378
1 "Walking Down Stairs" -0.2880532
1 "Walking Down Stairs" -0.20926662
1 "Walking Down Stairs" -0.0037070735
1 "Walking Down Stairs" 0.20485888
1 "Walking Down Stairs" 0.15459726
1 "Walking Down Stairs" -0.34890392
1 "Walking Down Stairs" 0.30787236
1 "Walking Down Stairs" 0.13209244
1 "Walking Down Stairs" 0.053785521
1 "Walking Down Stairs" 0.026481501
1 "Walking Down Stairs" 0.10221181
1 "Walking Down Stairs" 0.2066894
1 "Walking Down Stairs" 0.017985269
1 "Walking Down Stairs" -0.070158658
1 "Walking Down Stairs" 0.14694273
1 "Walking Down Stairs" 0.2639224
1 "Walking Down Stairs" 0.39994956
1 "Walking Down Stairs" 0.37689716
1 "Walking Down Stairs" 0.011678546
1 "Walking Down Stairs" 0.062637511
1 "Walking Down Stairs" 0.058614464
1 "Walking Down Stairs" 0.2452981
1 "Walking Down Stairs" 0.2460082
1 "Walking Down Stairs" 0.088535
1 "Walking Down Stairs" 0.22231904
1 "Walking Down Stairs" 0.23547917
