"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.49259942
1 "Lying" -0.38814507
1 "Lying" -0.19946053
1 "Lying" -0.38771752
1 "Lying" -0.27673377
1 "Lying" -0.00056944153
1 "Lying" -0.033535332
1 "Lying" -0.18833302
1 "Lying" -0.33115301
1 "Lying" -0.36586373
1 "Lying" -0.27195948
1 "Lying" -0.20704416
1 "Lying" -0.27441241
1 "Lying" -0.86499754
1 "Lying" -0.83598551
1 "Lying" 0.79665129
1 "Lying" 0.83571925
1 "Lying" 0.78647415
1 "Lying" -0.25492708
1 "Lying" 0.65804699
1 "Lying" 0.23994439
1 "Lying" 0.3300118
1 "Lying" -0.74555209
1 "Lying" -0.40577154
1 "Lying" 0.013951068
1 "Lying" 0.24278476
1 "Lying" 0.016112743
1 "Lying" -0.12195144
1 "Lying" -0.89160971
1 "Lying" -0.47317145
1 "Lying" -0.31136635
1 "Lying" -0.27062988
1 "Lying" -0.046507611
1 "Lying" -0.35702484
1 "Lying" -0.4226743
1 "Lying" -0.37109113
1 "Lying" -0.36535935
1 "Lying" -0.1160785
1 "Lying" -0.03128871
1 "Lying" 0.46136389
1 "Lying" -0.19736972
1 "Lying" -0.14563666
1 "Lying" 0.6358474
1 "Lying" 0.44962245
1 "Lying" 0.35596675
1 "Lying" -0.21508063
1 "Lying" -0.36690973
1 "Lying" 0.78027258
1 "Lying" 0.67957867
1 "Lying" 0.91641062
1 "Sitting" 0.37631389
1 "Sitting" -0.013428663
1 "Sitting" -0.12469839
1 "Sitting" -0.30569299
1 "Sitting" -0.15580432
1 "Sitting" -0.20997915
1 "Sitting" -0.095852111
1 "Sitting" -0.16163423
1 "Sitting" -0.16479067
1 "Sitting" -0.17624116
1 "Sitting" 0.0085036618
1 "Sitting" -0.26723866
1 "Sitting" -0.035235838
1 "Sitting" 0.043618841
1 "Sitting" 0.82187193
1 "Sitting" 0.32959319
1 "Sitting" 0.28049739
1 "Sitting" 0.15336261
1 "Sitting" 0.19087473
1 "Sitting" 0.1109392
1 "Sitting" 0.067142244
1 "Sitting" 0.11619943
1 "Sitting" -0.097758652
1 "Sitting" -0.041202468
1 "Sitting" -0.22370213
1 "Sitting" 0.13194588
1 "Sitting" 0.14266263
1 "Sitting" 0.77518884
1 "Sitting" -0.084113497
1 "Sitting" 0.054811437
1 "Sitting" 0.29507157
1 "Sitting" 0.63100142
1 "Sitting" 0.37933091
1 "Sitting" 0.16288972
1 "Sitting" 0.047751078
1 "Sitting" -0.12039263
1 "Sitting" -0.09186338
1 "Sitting" 0.089968111
1 "Sitting" 0.29045743
1 "Sitting" 0.41016083
1 "Sitting" 0.14956475
1 "Sitting" 0.92110632
1 "Sitting" 0.64870433
1 "Sitting" 0.31519138
1 "Sitting" 0.14835665
1 "Sitting" 0.13147582
1 "Sitting" 0.20838788
1 "Sitting" 0.28806218
1 "Sitting" 0.28313328
1 "Sitting" -0.025297178
