"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.43048731
1 "Lying" -0.8207533
1 "Lying" -0.90731609
1 "Lying" -0.94635692
1 "Lying" -1
1 "Lying" -0.94635692
1 "Lying" -0.94635692
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.94635692
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.062930312
1 "Lying" -0.79121256
1 "Lying" -0.0044360996
1 "Lying" -0.029005054
1 "Lying" -0.10461616
1 "Lying" 0.010984817
1 "Lying" 0.3665561
1 "Lying" 0.36938503
1 "Lying" -0.24696611
1 "Lying" -0.79121256
1 "Lying" -0.81726864
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.90731609
1 "Lying" -0.67728569
1 "Lying" -0.68759656
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.94635692
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.94635692
1 "Lying" 0.069125833
1 "Lying" -0.15412077
1 "Lying" -0.58624859
1 "Lying" -0.68759656
1 "Lying" -0.8207533
1 "Lying" -0.89287915
1 "Lying" -0.94635692
1 "Lying" -0.87389237
1 "Lying" -0.69376657
1 "Lying" -0.89287915
1 "Lying" -0.6445909
1 "Sitting" -0.94635692
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.90731609
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.79121256
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.94635692
1 "Sitting" -0.90731609
1 "Sitting" -0.94635692
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.8207533
1 "Sitting" -0.94635692
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Standing" -0.41123535
1 "Standing" -0.89287915
1 "Standing" -0.90731609
1 "Standing" -0.0047925363
1 "Standing" -0.066209672
1 "Standing" -0.20321947
1 "Standing" -0.68759656
1 "Standing" -0.85400629
1 "Standing" -0.94635692
1 "Standing" -0.94635692
1 "Standing" -0.94635692
1 "Standing" -0.8207533
1 "Standing" -0.90731609
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.94635692
1 "Standing" -0.94635692
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.94635692
1 "Standing" -1
1 "Standing" -0.5927324
1 "Standing" -0.87389237
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.55423466
1 "Standing" -0.94635692
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.94635692
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Walking" 0.53890549
1 "Walking" 0.57323615
1 "Walking" 0.68156074
1 "Walking" 0.67835496
1 "Walking" 0.47439289
1 "Walking" 0.5667839
1 "Walking" 0.64045258
1 "Walking" 0.38312209
1 "Walking" 0.52973064
1 "Walking" 0.49038189
1 "Walking" 0.49672918
1 "Walking" 0.56446786
1 "Walking" 0.45515462
1 "Walking" 0.65133103
1 "Walking" 0.64835542
1 "Walking" 0.64590171
1 "Walking" 0.65914907
1 "Walking" 0.54280583
1 "Walking" 0.53517977
1 "Walking" 0.6176296
1 "Walking" 0.68211406
1 "Walking" 0.70802579
1 "Walking" 0.75817164
1 "Walking" 0.63309299
1 "Walking" 0.7217517
1 "Walking" 0.69982855
1 "Walking" 0.7370229
1 "Walking" 0.57720581
1 "Walking" 0.67621734
1 "Walking" 0.60552194
1 "Walking" 0.54408223
1 "Walking" 0.54698537
1 "Walking" 0.53094061
1 "Walking" 0.71776455
1 "Walking" 0.78615798
1 "Walking" 0.54104311
1 "Walking" 0.61160602
1 "Walking" 0.64338363
1 "Walking" 0.60035977
1 "Walking" 0.65193632
1 "Walking" 0.61866709
1 "Walking" 0.69169589
1 "Walking" 0.53891314
1 "Walking" 0.49406819
1 "Walking" 0.73646104
1 "Walking" 0.54885171
1 "Walking" 0.64458528
1 "Walking" 0.46351282
1 "Walking" 0.54138519
1 "Walking" 0.62242356
1 "Walking" 0.6645982
1 "Walking" 0.62170268
1 "Walking" 0.65475371
1 "Walking" 0.68252162
1 "Walking" 0.53663582
1 "Walking" 0.63806125
1 "Walking" 0.61283399
1 "Walking" 0.5140995
1 "Walking" 0.62924874
1 "Walking" 0.64623461
1 "Walking" 0.72641904
1 "Walking" 0.55334243
1 "Walking" 0.71113348
1 "Walking" 0.66171836
1 "Walking" 0.62115199
1 "Walking" 0.63295759
1 "Walking" 0.62092329
1 "Walking" 0.67596517
1 "Walking" 0.77564769
1 "Walking" 0.60785356
1 "Walking" 0.63414965
1 "Walking" 0.57635352
1 "Walking" 0.73750377
1 "Walking" 0.7800739
1 "Walking" 0.67291867
1 "Walking" 0.60301957
1 "Walking" 0.69403775
1 "Walking" 0.65321907
1 "Walking" 0.49963317
1 "Walking" 0.61214307
1 "Walking" 0.6430653
1 "Walking" 0.74140541
1 "Walking" 0.69820033
1 "Walking" 0.64297818
1 "Walking" 0.55315077
1 "Walking" 0.68243842
1 "Walking" 0.60384618
1 "Walking" 0.75881943
1 "Walking" 0.81423025
1 "Walking" 0.65530834
1 "Walking" 0.70481793
1 "Walking" 0.6702995
1 "Walking" 0.69240823
1 "Walking" 0.72242668
1 "Walking" 0.71329611
1 "Walking Down Stairs" 0.61330269
1 "Walking Down Stairs" 0.62697652
1 "Walking Down Stairs" 0.73204247
1 "Walking Down Stairs" 0.70332761
1 "Walking Down Stairs" 0.74482112
1 "Walking Down Stairs" 0.76852811
1 "Walking Down Stairs" 0.76703282
1 "Walking Down Stairs" 0.7048699
1 "Walking Down Stairs" 0.71481859
1 "Walking Down Stairs" 0.8093666
1 "Walking Down Stairs" 0.72069662
1 "Walking Down Stairs" 0.80531333
1 "Walking Down Stairs" 0.8223816
1 "Walking Down Stairs" 0.8121844
1 "Walking Down Stairs" 0.77224208
1 "Walking Down Stairs" 0.70706129
1 "Walking Down Stairs" 0.72215949
1 "Walking Down Stairs" 0.71860101
1 "Walking Down Stairs" 0.60855404
1 "Walking Down Stairs" 0.70681521
1 "Walking Down Stairs" 0.78757008
1 "Walking Down Stairs" 0.7242378
1 "Walking Down Stairs" 0.70728511
1 "Walking Down Stairs" 0.68874382
1 "Walking Down Stairs" 0.58526127
1 "Walking Down Stairs" 0.52507783
1 "Walking Down Stairs" 0.71052054
1 "Walking Down Stairs" 0.65871043
1 "Walking Down Stairs" 0.76752631
1 "Walking Down Stairs" 0.69254434
1 "Walking Down Stairs" 0.70108384
1 "Walking Down Stairs" 0.64067147
1 "Walking Down Stairs" 0.73630202
1 "Walking Down Stairs" 0.62319903
1 "Walking Down Stairs" 0.83491793
1 "Walking Down Stairs" 0.70928506
1 "Walking Down Stairs" 0.79142065
1 "Walking Down Stairs" 0.6916574
1 "Walking Down Stairs" 0.68800433
1 "Walking Down Stairs" 0.67368178
1 "Walking Down Stairs" 0.77185804
1 "Walking Down Stairs" 0.61910495
1 "Walking Down Stairs" 0.77504359
1 "Walking Down Stairs" 0.66957862
1 "Walking Down Stairs" 0.68062243
1 "Walking Down Stairs" 0.81260204
1 "Walking Down Stairs" 0.80671546
1 "Walking Down Stairs" 0.78061596
1 "Walking Down Stairs" 0.7822876
1 "Walking Up Stairs" 0.35241606
1 "Walking Up Stairs" 0.45114416
1 "Walking Up Stairs" 0.35637237
1 "Walking Up Stairs" 0.46662149
1 "Walking Up Stairs" 0.4287387
1 "Walking Up Stairs" 0.55481295
1 "Walking Up Stairs" 0.52109523
1 "Walking Up Stairs" 0.52580236
1 "Walking Up Stairs" 0.51615572
1 "Walking Up Stairs" 0.3966841
1 "Walking Up Stairs" 0.51613461
1 "Walking Up Stairs" 0.46537352
1 "Walking Up Stairs" 0.46376702
1 "Walking Up Stairs" 0.43145586
1 "Walking Up Stairs" 0.41142178
1 "Walking Up Stairs" 0.3162024
1 "Walking Up Stairs" 0.28740272
1 "Walking Up Stairs" 0.38502153
1 "Walking Up Stairs" 0.44660236
1 "Walking Up Stairs" 0.53698157
1 "Walking Up Stairs" 0.46481034
1 "Walking Up Stairs" 0.42284197
1 "Walking Up Stairs" 0.39630556
1 "Walking Up Stairs" 0.47456737
1 "Walking Up Stairs" 0.3078385
1 "Walking Up Stairs" 0.55424625
1 "Walking Up Stairs" 0.52221015
1 "Walking Up Stairs" 0.38361745
1 "Walking Up Stairs" 0.50247209
1 "Walking Up Stairs" 0.57040551
1 "Walking Up Stairs" 0.48690892
1 "Walking Up Stairs" 0.37262797
1 "Walking Up Stairs" 0.38802579
1 "Walking Up Stairs" 0.34998981
1 "Walking Up Stairs" 0.4863757
1 "Walking Up Stairs" 0.43136966
1 "Walking Up Stairs" 0.34143949
1 "Walking Up Stairs" 0.49398393
1 "Walking Up Stairs" 0.47886915
1 "Walking Up Stairs" 0.38828898
1 "Walking Up Stairs" 0.48265056
1 "Walking Up Stairs" 0.50465336
1 "Walking Up Stairs" 0.38784299
1 "Walking Up Stairs" 0.41225955
1 "Walking Up Stairs" 0.43721321
1 "Walking Up Stairs" 0.30777849
1 "Walking Up Stairs" 0.39655841
1 "Walking Up Stairs" 0.53755821
1 "Walking Up Stairs" 0.52213694
1 "Walking Up Stairs" 0.47685229
1 "Walking Up Stairs" 0.31657299
1 "Walking Up Stairs" 0.47473425
1 "Walking Up Stairs" 0.52428973
2 "Lying" -0.21945846
2 "Lying" -0.87389237
2 "Lying" -0.94635692
2 "Lying" -1
2 "Lying" -1
2 "Lying" -1
2 "Lying" -1
2 "Lying" -0.94635692
2 "Lying" -0.90731609
2 "Lying" -0.90731609
2 "Lying" -0.89287915
2 "Lying" -0.23858472
2 "Lying" -0.64152584
2 "Lying" -0.8207533
2 "Lying" -0.89287915
2 "Lying" -0.8207533
2 "Lying" -0.85400629
2 "Lying" -0.8207533
2 "Lying" -0.76447967
2 "Lying" -0.89287915
2 "Lying" -0.79121256
2 "Lying" -0.76447967
2 "Lying" -0.89287915
2 "Lying" -0.76447967
2 "Lying" -0.23526409
2 "Lying" -0.53979772
2 "Lying" -0.79121256
2 "Lying" -0.94635692
2 "Lying" -1
2 "Lying" -0.94635692
2 "Lying" -0.90731609
2 "Lying" -0.87389237
2 "Lying" -0.94635692
2 "Lying" -0.94635692
2 "Lying" -0.90731609
2 "Lying" -0.40819723
2 "Lying" -0.85400629
2 "Lying" -0.94635692
2 "Lying" -0.90731609
2 "Lying" -0.81726864
2 "Lying" -1
2 "Lying" -1
2 "Lying" -1
2 "Lying" -1
2 "Lying" -1
2 "Lying" -1
2 "Lying" -1
2 "Lying" -1
2 "Sitting" -0.33967327
2 "Sitting" -0.60401282
2 "Sitting" -0.94635692
2 "Sitting" -1
2 "Sitting" -0.94635692
2 "Sitting" -0.94635692
2 "Sitting" -1
2 "Sitting" -0.94635692
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -0.94635692
2 "Sitting" -0.90731609
2 "Sitting" -0.46140704
2 "Sitting" -0.89287915
2 "Sitting" -0.94635692
2 "Sitting" -0.57458439
2 "Sitting" -0.53634289
2 "Sitting" -0.47194138
2 "Sitting" -0.37432062
2 "Sitting" -0.55906863
2 "Sitting" -0.90731609
2 "Sitting" -0.94635692
2 "Sitting" -0.94635692
2 "Sitting" -0.94635692
2 "Sitting" -1
2 "Sitting" -0.94635692
2 "Sitting" -0.94635692
2 "Sitting" -0.45997154
2 "Sitting" -0.64251695
2 "Sitting" -0.94635692
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -0.71187026
2 "Sitting" -0.94635692
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -1
2 "Sitting" -0.94635692
2 "Sitting" -0.94635692
2 "Sitting" -0.94635692
2 "Standing" -0.94635692
2 "Standing" -0.94635692
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -0.56130834
2 "Standing" -0.84417805
2 "Standing" -1
2 "Standing" -1
2 "Standing" -0.81726864
2 "Standing" -0.81726864
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -0.74002326
2 "Standing" -0.79121256
2 "Standing" -0.94635692
2 "Standing" -0.94635692
2 "Standing" -0.76992006
2 "Standing" -0.84417805
2 "Standing" -1
2 "Standing" -1
2 "Standing" -1
2 "Standing" -0.94635692
2 "Standing" -0.90731609
2 "Standing" -0.21045366
2 "Standing" -0.8207533
2 "Standing" -0.94635692
2 "Standing" -0.90731609
2 "Standing" -0.94635692
2 "Standing" -1
2 "Standing" -0.94635692
2 "Standing" -0.94635692
2 "Standing" -0.94635692
2 "Standing" -1
2 "Standing" -0.94635692
2 "Walking" 0.64102548
2 "Walking" 0.60434574
2 "Walking" 0.52766913
2 "Walking" 0.42543202
2 "Walking" 0.54519992
2 "Walking" 0.63205025
2 "Walking" 0.63686402
2 "Walking" 0.61272605
2 "Walking" 0.36685122
2 "Walking" 0.52203353
2 "Walking" 0.62841827
2 "Walking" 0.57515877
2 "Walking" 0.60119504
2 "Walking" 0.46116006
2 "Walking" 0.60704822
2 "Walking" 0.41105135
2 "Walking" 0.53196938
2 "Walking" 0.58420869
2 "Walking" 0.49557428
2 "Walking" 0.60076116
2 "Walking" 0.53561379
2 "Walking" 0.61817518
2 "Walking" 0.50774303
2 "Walking" 0.61800088
2 "Walking" 0.59484333
2 "Walking" 0.60055359
2 "Walking" 0.4724169
2 "Walking" 0.46002769
2 "Walking" 0.57208999
2 "Walking" 0.41563674
2 "Walking" 0.625577
2 "Walking" 0.55114621
2 "Walking" 0.64686259
2 "Walking" 0.50831747
2 "Walking" 0.50673295
2 "Walking" 0.62304987
2 "Walking" 0.64632054
2 "Walking" 0.64036189
2 "Walking" 0.50187626
2 "Walking" 0.66372171
2 "Walking" 0.56365288
2 "Walking" 0.63855343
2 "Walking" 0.51437309
2 "Walking" 0.53860344
2 "Walking" 0.62071294
2 "Walking" 0.7256435
2 "Walking" 0.67668604
2 "Walking" 0.58641134
2 "Walking" 0.5585058
2 "Walking" 0.53375841
2 "Walking" 0.57672128
2 "Walking" 0.53053926
2 "Walking" 0.56295181
2 "Walking" 0.67464019
2 "Walking" 0.58295699
2 "Walking" 0.57770328
2 "Walking" 0.59770613
2 "Walking" 0.58151524
2 "Walking" 0.6789731
2 "Walking Down Stairs" 0.71862081
2 "Walking Down Stairs" 0.7383913
2 "Walking Down Stairs" 0.76463384
2 "Walking Down Stairs" 0.66295137
2 "Walking Down Stairs" 0.71165505
2 "Walking Down Stairs" 0.77534564
2 "Walking Down Stairs" 0.80759154
2 "Walking Down Stairs" 0.75292402
2 "Walking Down Stairs" 0.76342445
2 "Walking Down Stairs" 0.70245988
2 "Walking Down Stairs" 0.76298452
