"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.54256068
1 "Lying" -0.80988792
1 "Lying" -0.94419022
1 "Lying" -1
1 "Lying" -0.86879874
1 "Lying" -0.90357248
1 "Lying" -0.94419022
1 "Lying" -0.90357248
1 "Lying" -0.86879874
1 "Lying" -0.94419022
1 "Lying" -0.94419022
1 "Lying" -0.94419022
1 "Lying" -0.94419022
1 "Lying" -0.022197555
1 "Lying" -0.86879874
1 "Lying" 0.1337695
1 "Lying" 0.015443231
1 "Lying" -0.055648699
1 "Lying" 0.027709822
1 "Lying" 0.27992368
1 "Lying" 0.27598681
1 "Lying" -0.026122227
1 "Lying" -0.81351333
1 "Lying" -0.86879874
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.53622971
1 "Lying" -0.7827794
1 "Lying" -1
1 "Lying" -0.94419022
1 "Lying" -0.90357248
1 "Lying" -0.94419022
1 "Lying" -0.94419022
1 "Lying" -0.90357248
1 "Lying" -0.94419022
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.94419022
1 "Lying" 0.1215036
1 "Lying" 0.17881446
1 "Lying" -0.52253373
1 "Lying" -0.57628241
1 "Lying" -0.4680985
1 "Lying" -0.71850739
1 "Lying" -0.86879874
1 "Lying" -0.7827794
1 "Lying" -0.34152577
1 "Lying" -0.67497824
1 "Lying" -0.21993821
1 "Sitting" -0.59130248
1 "Sitting" -0.75840851
1 "Sitting" -0.81351333
1 "Sitting" -0.94419022
1 "Sitting" -0.94419022
1 "Sitting" -1
1 "Sitting" -0.86879874
1 "Sitting" -0.88855242
1 "Sitting" -0.88855242
1 "Sitting" -0.80988792
1 "Sitting" -0.83788423
1 "Sitting" -0.90357248
1 "Sitting" -1
1 "Sitting" -0.94419022
1 "Sitting" -0.72785823
1 "Sitting" -0.83788423
1 "Sitting" -0.84810945
1 "Sitting" -0.90357248
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.94419022
1 "Sitting" -0.90357248
1 "Sitting" -0.90357248
1 "Sitting" -0.94419022
1 "Sitting" -0.94419022
1 "Sitting" -0.53622971
1 "Sitting" -0.66070817
1 "Sitting" -0.84810945
1 "Sitting" -0.76062688
1 "Sitting" -0.7387401
1 "Sitting" -0.75496674
1 "Sitting" -0.80988792
1 "Sitting" -0.80988792
1 "Sitting" -0.90357248
1 "Sitting" -0.86879874
1 "Sitting" -0.90357248
1 "Sitting" -0.90357248
1 "Sitting" -0.94419022
1 "Sitting" -0.86879874
1 "Sitting" -0.7827794
1 "Sitting" -0.70023238
1 "Sitting" -0.88855242
1 "Sitting" -0.94419022
1 "Sitting" -0.94419022
1 "Sitting" -0.94419022
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.90357248
1 "Sitting" -0.90357248
1 "Sitting" -0.94419022
1 "Standing" -0.28803113
1 "Standing" -0.88855242
1 "Standing" -0.83788423
1 "Standing" -0.017507291
1 "Standing" -0.18112572
1 "Standing" -0.12218206
1 "Standing" -0.81351333
1 "Standing" -0.75496674
1 "Standing" -0.90357248
1 "Standing" -0.94419022
1 "Standing" -0.94419022
1 "Standing" -0.7827794
1 "Standing" -0.86879874
1 "Standing" -0.86879874
1 "Standing" -0.90357248
1 "Standing" -0.94419022
1 "Standing" -0.83788423
1 "Standing" -0.90357248
1 "Standing" -0.86879874
1 "Standing" -0.94419022
1 "Standing" -0.90357248
1 "Standing" -0.86879874
1 "Standing" -0.94419022
1 "Standing" -0.94419022
1 "Standing" -0.65173183
1 "Standing" -0.67497824
1 "Standing" -0.86879874
1 "Standing" -0.94419022
1 "Standing" -0.94419022
1 "Standing" -0.94419022
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.94419022
1 "Standing" -0.94419022
1 "Standing" -1
1 "Standing" -0.26359805
1 "Standing" -0.7827794
1 "Standing" -0.83788423
1 "Standing" -0.94419022
1 "Standing" -0.83788423
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.94419022
1 "Standing" -0.90357248
1 "Standing" -0.94419022
1 "Standing" -1
1 "Standing" -0.94419022
1 "Walking" 0.20977135
1 "Walking" 0.38095218
1 "Walking" 0.29908859
1 "Walking" 0.47845774
1 "Walking" 0.50876953
1 "Walking" 0.34675965
1 "Walking" 0.46167778
1 "Walking" 0.38706511
1 "Walking" 0.38178857
1 "Walking" 0.44133872
1 "Walking" 0.40864268
1 "Walking" 0.4266123
1 "Walking" 0.42018919
1 "Walking" 0.47523384
1 "Walking" 0.59966818
1 "Walking" 0.46802967
1 "Walking" 0.48174375
1 "Walking" 0.57999424
1 "Walking" 0.49855744
1 "Walking" 0.25781171
1 "Walking" 0.54971361
1 "Walking" 0.34816648
1 "Walking" 0.45963718
1 "Walking" 0.38957759
1 "Walking" 0.43401797
1 "Walking" 0.45217432
1 "Walking" 0.5144302
1 "Walking" 0.43861167
1 "Walking" 0.47356171
1 "Walking" 0.32184049
1 "Walking" 0.48318298
1 "Walking" 0.5077259
1 "Walking" 0.34581566
1 "Walking" 0.54836714
1 "Walking" 0.4664909
1 "Walking" 0.39054095
1 "Walking" 0.36178232
1 "Walking" 0.41694661
1 "Walking" 0.46239297
1 "Walking" 0.52305225
1 "Walking" 0.38622949
1 "Walking" 0.29967378
1 "Walking" 0.32394064
1 "Walking" 0.33490243
1 "Walking" 0.41686818
1 "Walking" 0.36538789
1 "Walking" 0.42530879
1 "Walking" 0.3745769
1 "Walking" 0.41820546
1 "Walking" 0.29833211
1 "Walking" 0.37506578
1 "Walking" 0.49887535
1 "Walking" 0.4438438
1 "Walking" 0.45733394
1 "Walking" 0.42197229
1 "Walking" 0.36572247
1 "Walking" 0.46806327
1 "Walking" 0.34046068
1 "Walking" 0.31090939
1 "Walking" 0.37670296
1 "Walking" 0.46666417
1 "Walking" 0.3191296
1 "Walking" 0.4819854
1 "Walking" 0.49076215
1 "Walking" 0.43550149
1 "Walking" 0.46429363
1 "Walking" 0.56312485
1 "Walking" 0.55214839
1 "Walking" 0.58308856
1 "Walking" 0.53362931
1 "Walking" 0.46767603
1 "Walking" 0.40061049
1 "Walking" 0.46324504
1 "Walking" 0.44997209
1 "Walking" 0.40514345
1 "Walking" 0.42518606
1 "Walking" 0.52752433
1 "Walking" 0.46613903
1 "Walking" 0.44772076
1 "Walking" 0.41348022
1 "Walking" 0.4262503
1 "Walking" 0.38059785
1 "Walking" 0.48580034
1 "Walking" 0.40719045
1 "Walking" 0.42375308
1 "Walking" 0.46242657
1 "Walking" 0.46733524
1 "Walking" 0.51260091
1 "Walking" 0.59392645
1 "Walking" 0.62042583
1 "Walking" 0.54741174
1 "Walking" 0.54896362
1 "Walking" 0.54454467
1 "Walking" 0.42164656
1 "Walking" 0.44713359
1 "Walking Down Stairs" 0.28599896
1 "Walking Down Stairs" 0.45914818
1 "Walking Down Stairs" 0.54029628
1 "Walking Down Stairs" 0.53015311
1 "Walking Down Stairs" 0.5750193
1 "Walking Down Stairs" 0.61572163
1 "Walking Down Stairs" 0.65075731
1 "Walking Down Stairs" 0.54993051
1 "Walking Down Stairs" 0.56282236
1 "Walking Down Stairs" 0.66931016
1 "Walking Down Stairs" 0.70265185
1 "Walking Down Stairs" 0.48489893
1 "Walking Down Stairs" 0.62684673
1 "Walking Down Stairs" 0.3909454
1 "Walking Down Stairs" 0.59148276
1 "Walking Down Stairs" 0.54347919
1 "Walking Down Stairs" 0.5599553
1 "Walking Down Stairs" 0.53894795
1 "Walking Down Stairs" 0.52826513
1 "Walking Down Stairs" 0.48874324
1 "Walking Down Stairs" 0.63490556
1 "Walking Down Stairs" 0.55479568
1 "Walking Down Stairs" 0.54345982
1 "Walking Down Stairs" 0.57233739
1 "Walking Down Stairs" 0.40154579
1 "Walking Down Stairs" 0.42370668
1 "Walking Down Stairs" 0.65348697
1 "Walking Down Stairs" 0.51850836
1 "Walking Down Stairs" 0.5299379
1 "Walking Down Stairs" 0.60519683
1 "Walking Down Stairs" 0.55574227
1 "Walking Down Stairs" 0.56163663
1 "Walking Down Stairs" 0.4533703
1 "Walking Down Stairs" 0.52431831
1 "Walking Down Stairs" 0.57047894
1 "Walking Down Stairs" 0.56842793
1 "Walking Down Stairs" 0.59712085
1 "Walking Down Stairs" 0.57266084
1 "Walking Down Stairs" 0.54556131
1 "Walking Down Stairs" 0.65473256
1 "Walking Down Stairs" 0.58064459
1 "Walking Down Stairs" 0.65967593
1 "Walking Down Stairs" 0.61280179
1 "Walking Down Stairs" 0.55906445
1 "Walking Down Stairs" 0.49334582
1 "Walking Down Stairs" 0.64172426
1 "Walking Down Stairs" 0.76539341
1 "Walking Down Stairs" 0.61287899
1 "Walking Down Stairs" 0.54361763
1 "Walking Up Stairs" 0.3414276
1 "Walking Up Stairs" 0.32128189
1 "Walking Up Stairs" 0.2408751
1 "Walking Up Stairs" 0.34908446
1 "Walking Up Stairs" 0.32912455
1 "Walking Up Stairs" 0.28753024
1 "Walking Up Stairs" 0.36704154
1 "Walking Up Stairs" 0.34867597
1 "Walking Up Stairs" 0.22862665
1 "Walking Up Stairs" 0.19184091
1 "Walking Up Stairs" 0.27699905
1 "Walking Up Stairs" 0.27325774
1 "Walking Up Stairs" 0.14035627
1 "Walking Up Stairs" 0.11599659
1 "Walking Up Stairs" 0.1264982
1 "Walking Up Stairs" 0.11079942
1 "Walking Up Stairs" 0.18267803
1 "Walking Up Stairs" 0.17122887
1 "Walking Up Stairs" 0.17436556
1 "Walking Up Stairs" 0.3168167
1 "Walking Up Stairs" 0.28512725
1 "Walking Up Stairs" 0.26088956
1 "Walking Up Stairs" 0.1783721
1 "Walking Up Stairs" 0.24180902
1 "Walking Up Stairs" 0.11816091
1 "Walking Up Stairs" 0.25823768
1 "Walking Up Stairs" 0.30851256
1 "Walking Up Stairs" 0.29794531
1 "Walking Up Stairs" 0.24564341
1 "Walking Up Stairs" 0.14672214
1 "Walking Up Stairs" 0.26219338
1 "Walking Up Stairs" 0.28328897
1 "Walking Up Stairs" 0.257374
1 "Walking Up Stairs" 0.30087816
1 "Walking Up Stairs" 0.21421814
1 "Walking Up Stairs" 0.24420637
1 "Walking Up Stairs" 0.29154783
1 "Walking Up Stairs" 0.22760216
1 "Walking Up Stairs" 0.32428861
1 "Walking Up Stairs" 0.25221356
1 "Walking Up Stairs" 0.31465847
1 "Walking Up Stairs" 0.3691882
1 "Walking Up Stairs" 0.28975533
1 "Walking Up Stairs" 0.23261036
1 "Walking Up Stairs" 0.16963163
1 "Walking Up Stairs" 0.1015725
1 "Walking Up Stairs" 0.18567924
1 "Walking Up Stairs" 0.22665224
1 "Walking Up Stairs" 0.1614588
1 "Walking Up Stairs" 0.31168653
1 "Walking Up Stairs" 0.34177843
1 "Walking Up Stairs" 0.15315891
1 "Walking Up Stairs" 0.2647137
2 "Lying" -0.63573178
2 "Lying" -0.80988792
2 "Lying" -1
2 "Lying" -1
2 "Lying" -0.94419022
2 "Lying" -0.90357248
2 "Lying" -0.94419022
2 "Lying" -0.90357248
2 "Lying" -0.83788423
2 "Lying" -0.86879874
2 "Lying" -0.84810945
2 "Lying" -0.47945877
2 "Lying" -0.75496674
2 "Lying" -0.86879874
2 "Lying" -0.90357248
2 "Lying" -0.94419022
2 "Lying" -0.94419022
2 "Lying" -0.90357248
2 "Lying" -0.83788423
2 "Lying" -1
2 "Lying" -0.90357248
2 "Lying" -0.86879874
