"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99396689
1 "Lying" -0.99988785
1 "Lying" -0.99997564
1 "Lying" -0.99995486
1 "Lying" -0.9999751
1 "Lying" -0.99999819
1 "Lying" -0.99994128
1 "Lying" -0.99992883
1 "Lying" -0.99990914
1 "Lying" -0.99989712
1 "Lying" -0.99995481
1 "Lying" -0.99995258
1 "Lying" -0.99995069
1 "Lying" -0.95450943
1 "Lying" -0.99434989
1 "Lying" -0.63257409
1 "Lying" -0.57402264
1 "Lying" -0.96128583
1 "Lying" -0.93255562
1 "Lying" 0.28616882
1 "Lying" -0.44903882
1 "Lying" -0.35161555
1 "Lying" -0.90393473
1 "Lying" -0.99303102
1 "Lying" -0.99958009
1 "Lying" -0.99976798
1 "Lying" -0.99986511
1 "Lying" -0.99812888
1 "Lying" -0.99935663
1 "Lying" -0.99994683
1 "Lying" -0.99994161
1 "Lying" -0.99995966
1 "Lying" -0.9999741
1 "Lying" -0.99995842
1 "Lying" -0.99991311
1 "Lying" -0.9999235
1 "Lying" -0.99994492
1 "Lying" -0.99995337
1 "Lying" -0.9999545
1 "Lying" -0.89372901
1 "Lying" -0.99263526
1 "Lying" -0.99808197
1 "Lying" -0.99597596
1 "Lying" -0.99785585
1 "Lying" -0.99966935
1 "Lying" -0.99991345
1 "Lying" -0.99974906
1 "Lying" -0.99747747
1 "Lying" -0.9973073
1 "Lying" -0.99670155
1 "Sitting" -0.99968182
1 "Sitting" -0.99947352
1 "Sitting" -0.99910845
1 "Sitting" -0.99967266
1 "Sitting" -0.99961031
1 "Sitting" -0.99988602
1 "Sitting" -0.99910638
1 "Sitting" -0.99907032
1 "Sitting" -0.9988439
1 "Sitting" -0.99943558
1 "Sitting" -0.99943007
1 "Sitting" -0.9997902
1 "Sitting" -0.99972553
1 "Sitting" -0.99986958
1 "Sitting" -0.97981448
1 "Sitting" -0.99937613
1 "Sitting" -0.99961999
1 "Sitting" -0.9997934
1 "Sitting" -0.99991832
1 "Sitting" -0.99986324
1 "Sitting" -0.99992729
1 "Sitting" -0.99986737
1 "Sitting" -0.9999041
1 "Sitting" -0.99983251
1 "Sitting" -0.99983823
1 "Sitting" -0.9997909
1 "Sitting" -0.99994559
1 "Sitting" -0.9965023
1 "Sitting" -0.99939218
1 "Sitting" -0.99954996
1 "Sitting" -0.99863329
1 "Sitting" -0.99534064
1 "Sitting" -0.99826008
1 "Sitting" -0.99980971
1 "Sitting" -0.99994817
1 "Sitting" -0.99961766
1 "Sitting" -0.99957989
1 "Sitting" -0.99985147
1 "Sitting" -0.99969218
1 "Sitting" -0.99946568
1 "Sitting" -0.99973638
1 "Sitting" -0.97598414
1 "Sitting" -0.99897554
1 "Sitting" -0.99949729
1 "Sitting" -0.99977255
1 "Sitting" -0.99981981
1 "Sitting" -0.99955375
1 "Sitting" -0.99973758
1 "Sitting" -0.99987359
1 "Sitting" -0.99989035
1 "Sitting" -0.99983153
1 "Sitting" -0.99989176
1 "Sitting" -0.99994434
1 "Standing" -0.62723558
1 "Standing" -0.99241367
1 "Standing" -0.9974433
1 "Standing" -0.96505438
1 "Standing" -0.90334556
1 "Standing" -0.89589304
1 "Standing" -0.98430242
1 "Standing" -0.99891089
1 "Standing" -0.99991199
1 "Standing" -0.99996786
1 "Standing" -0.99994111
1 "Standing" -0.98897673
1 "Standing" -0.99700926
1 "Standing" -0.99972404
1 "Standing" -0.99972566
1 "Standing" -0.99964344
1 "Standing" -0.99923441
1 "Standing" -0.99956024
1 "Standing" -0.99982672
1 "Standing" -0.99967646
1 "Standing" -0.99972809
1 "Standing" -0.99979953
1 "Standing" -0.99959213
1 "Standing" -0.99955821
1 "Standing" -0.91635364
1 "Standing" -0.99442487
1 "Standing" -0.99973495
1 "Standing" -0.99989312
1 "Standing" -0.99991174
1 "Standing" -0.99995002
1 "Standing" -0.99986372
1 "Standing" -0.99989997
1 "Standing" -0.99993181
1 "Standing" -0.99991871
1 "Standing" -0.99987776
1 "Standing" -0.98511406
1 "Standing" -0.99811543
1 "Standing" -0.99905008
1 "Standing" -0.99974675
1 "Standing" -0.99978166
1 "Standing" -0.99958087
1 "Standing" -0.99967565
1 "Standing" -0.99977165
1 "Standing" -0.999728
1 "Standing" -0.99962167
1 "Standing" -0.99947358
1 "Standing" -0.99946823
1 "Walking" -0.64195607
1 "Walking" -0.48035009
1 "Walking" -0.52198347
1 "Walking" -0.31597803
1 "Walking" -0.32729089
1 "Walking" -0.52883576
1 "Walking" -0.4473739
1 "Walking" -0.4390554
1 "Walking" -0.51100842
1 "Walking" -0.39125666
1 "Walking" -0.47291979
1 "Walking" -0.45477947
1 "Walking" -0.37100177
1 "Walking" -0.35947263
1 "Walking" -0.29342944
1 "Walking" -0.33548511
1 "Walking" -0.40529967
1 "Walking" -0.33596973
1 "Walking" -0.33538509
1 "Walking" -0.49518271
1 "Walking" -0.37397089
1 "Walking" -0.43187955
1 "Walking" -0.52287624
1 "Walking" -0.40517976
1 "Walking" -0.3395098
1 "Walking" -0.22808141
1 "Walking" -0.3099287
1 "Walking" -0.52411343
1 "Walking" -0.37263715
1 "Walking" -0.23613799
1 "Walking" -0.2663045
1 "Walking" -0.29450854
1 "Walking" -0.37253926
1 "Walking" -0.36372852
1 "Walking" -0.49217286
1 "Walking" -0.49142539
1 "Walking" -0.38507604
1 "Walking" -0.38275659
1 "Walking" -0.3712095
1 "Walking" -0.44077649
1 "Walking" -0.52550467
1 "Walking" -0.55863924
1 "Walking" -0.58286638
1 "Walking" -0.52131145
1 "Walking" -0.4730924
