"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99765982
1 "Lying" -0.99991592
1 "Lying" -0.99995944
1 "Lying" -0.99994883
1 "Lying" -0.99994917
1 "Lying" -0.99991345
1 "Lying" -0.99990443
1 "Lying" -0.99994933
1 "Lying" -0.99995233
1 "Lying" -0.99990665
1 "Lying" -0.99992669
1 "Lying" -0.99990889
1 "Lying" -0.99984824
1 "Lying" -0.97700867
1 "Lying" -0.99965078
1 "Lying" -0.98932479
1 "Lying" -0.99119748
1 "Lying" -0.99354786
1 "Lying" -0.97351041
1 "Lying" -0.90936241
1 "Lying" -0.9207656
1 "Lying" -0.99160225
1 "Lying" -0.99911854
1 "Lying" -0.99916754
1 "Lying" -0.99988446
1 "Lying" -0.9998718
1 "Lying" -0.99979505
1 "Lying" -0.99945637
1 "Lying" -0.9997486
1 "Lying" -0.99989262
1 "Lying" -0.99980944
1 "Lying" -0.99985394
1 "Lying" -0.99995814
1 "Lying" -0.99992096
1 "Lying" -0.99991555
1 "Lying" -0.99990517
1 "Lying" -0.99991477
1 "Lying" -0.99992353
1 "Lying" -0.99991032
1 "Lying" -0.98010519
1 "Lying" -0.99368929
1 "Lying" -0.99886845
1 "Lying" -0.99950859
1 "Lying" -0.99979629
1 "Lying" -0.99961873
1 "Lying" -0.99975935
1 "Lying" -0.99984377
1 "Lying" -0.99957684
1 "Lying" -0.99993744
1 "Lying" -0.99987805
1 "Sitting" -0.99997686
1 "Sitting" -0.99994898
1 "Sitting" -0.99980201
1 "Sitting" -0.99982535
1 "Sitting" -0.99993477
1 "Sitting" -0.99991661
1 "Sitting" -0.99990764
1 "Sitting" -0.99993773
1 "Sitting" -0.99995519
1 "Sitting" -0.99987406
1 "Sitting" -0.99988265
1 "Sitting" -0.99997394
1 "Sitting" -0.99998804
1 "Sitting" -0.99995905
1 "Sitting" -0.99981194
1 "Sitting" -0.99993321
1 "Sitting" -0.99991436
1 "Sitting" -0.99992219
1 "Sitting" -0.99995404
1 "Sitting" -0.99998297
1 "Sitting" -0.99996925
1 "Sitting" -0.99993417
1 "Sitting" -0.99993896
1 "Sitting" -0.99995645
1 "Sitting" -0.99996316
1 "Sitting" -0.999937
1 "Sitting" -0.99994201
1 "Sitting" -0.9998602
1 "Sitting" -0.99991025
1 "Sitting" -0.99990857
1 "Sitting" -0.99988791
1 "Sitting" -0.99987705
1 "Sitting" -0.99971747
1 "Sitting" -0.99970837
1 "Sitting" -0.99990727
1 "Sitting" -0.99988071
1 "Sitting" -0.99986807
1 "Sitting" -0.99994843
1 "Sitting" -0.99995878
1 "Sitting" -0.99996592
1 "Sitting" -0.99992572
1 "Sitting" -0.99981372
1 "Sitting" -0.99992278
1 "Sitting" -0.99996268
1 "Sitting" -0.99994307
1 "Sitting" -0.99992629
1 "Sitting" -0.99994389
1 "Sitting" -0.99993845
1 "Sitting" -0.99996242
1 "Sitting" -0.99995425
1 "Sitting" -0.99994282
1 "Sitting" -0.99997626
1 "Sitting" -0.99998787
1 "Standing" -0.99816239
1 "Standing" -0.99985477
1 "Standing" -0.99992919
1 "Standing" -0.98507499
1 "Standing" -0.98149486
1 "Standing" -0.99335503
1 "Standing" -0.99975267
1 "Standing" -0.99987491
1 "Standing" -0.99997904
1 "Standing" -0.99994294
1 "Standing" -0.99991058
1 "Standing" -0.99963209
1 "Standing" -0.99979396
1 "Standing" -0.99990963
1 "Standing" -0.99990967
1 "Standing" -0.99993453
1 "Standing" -0.9999537
1 "Standing" -0.99993732
1 "Standing" -0.99987154
1 "Standing" -0.99989785
1 "Standing" -0.99989845
1 "Standing" -0.9998769
1 "Standing" -0.99989638
1 "Standing" -0.99990041
1 "Standing" -0.9995226
1 "Standing" -0.99992242
1 "Standing" -0.99995191
1 "Standing" -0.9999601
1 "Standing" -0.99992687
1 "Standing" -0.99991397
1 "Standing" -0.9999339
1 "Standing" -0.99991242
1 "Standing" -0.99993203
1 "Standing" -0.9999256
1 "Standing" -0.99992018
1 "Standing" -0.99908097
1 "Standing" -0.99991057
1 "Standing" -0.99993965
1 "Standing" -0.99991243
1 "Standing" -0.99993096
1 "Standing" -0.99993073
1 "Standing" -0.99991062
1 "Standing" -0.99995464
1 "Standing" -0.99997832
1 "Standing" -0.9999515
1 "Standing" -0.99994101
1 "Standing" -0.99985753
1 "Walking" -0.54086069
1 "Walking" -0.48688625
1 "Walking" -0.58237611
1 "Walking" -0.44848373
1 "Walking" -0.55472873
1 "Walking" -0.74386857
1 "Walking" -0.41451003
1 "Walking" -0.056929976
1 "Walking" -0.72313073
1 "Walking" -0.58236409
1 "Walking" -0.58945818
1 "Walking" -0.46839081
1 "Walking" -0.54134275
1 "Walking" -0.69099867
1 "Walking" -0.537971
1 "Walking" -0.20653973
1 "Walking" -0.042607174
1 "Walking" -0.2197477
1 "Walking" -0.15154486
1 "Walking" -0.31417147
1 "Walking" -0.49676629
1 "Walking" -0.45763955
1 "Walking" -0.51269565
1 "Walking" -0.34228243
1 "Walking" -0.49608617
1 "Walking" -0.50741685
1 "Walking" -0.53040089
1 "Walking" -0.60788162
1 "Walking" -0.54135069
1 "Walking" -0.4743326
1 "Walking" -0.48255594
1 "Walking" -0.3786863
1 "Walking" -0.45643297
1 "Walking" -0.59394315
1 "Walking" -0.55199851
1 "Walking" -0.58754823
1 "Walking" -0.6138211
1 "Walking" -0.48810264
1 "Walking" -0.36126804
1 "Walking" -0.35220436
1 "Walking" -0.57690686
1 "Walking" -0.46134343
1 "Walking" -0.45316695
1 "Walking" -0.67014351
1 "Walking" -0.50278019
1 "Walking" -0.45257779
1 "Walking" -0.46785457
1 "Walking" -0.6675658
1 "Walking" -0.30938203
1 "Walking" -0.37637789
1 "Walking" -0.32320139
1 "Walking" -0.40200756
1 "Walking" -0.46077626
1 "Walking" -0.22785549
1 "Walking" -0.45871973
1 "Walking" -0.32111599
1 "Walking" -0.015735604
1 "Walking" -0.37520671
1 "Walking" -0.42214939
1 "Walking" -0.37167415
