"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.91750031
1 "Lying" -0.98976438
1 "Lying" -0.99537162
1 "Lying" -0.99262159
1 "Lying" -0.99404787
1 "Lying" -0.99223762
1 "Lying" -0.99251463
1 "Lying" -0.99280529
1 "Lying" -0.99154059
1 "Lying" -0.99174736
1 "Lying" -0.99662081
1 "Lying" -0.99190242
1 "Lying" -0.99529385
1 "Lying" -0.8862152
1 "Lying" -0.99085542
1 "Lying" -0.69789835
1 "Lying" -0.69943787
1 "Lying" -0.89393245
1 "Lying" -0.7820845
1 "Lying" -0.46572747
1 "Lying" -0.40772448
1 "Lying" -0.85497495
1 "Lying" -0.89868525
1 "Lying" -0.96652519
1 "Lying" -0.9903506
1 "Lying" -0.98826619
1 "Lying" -0.99250482
1 "Lying" -0.95315388
1 "Lying" -0.99490358
1 "Lying" -0.99212159
1 "Lying" -0.99366921
1 "Lying" -0.99410604
1 "Lying" -0.99371249
1 "Lying" -0.99421199
1 "Lying" -0.99058844
1 "Lying" -0.98654816
1 "Lying" -0.9882278
1 "Lying" -0.99306116
1 "Lying" -0.99753372
1 "Lying" -0.70819909
1 "Lying" -0.94784461
1 "Lying" -0.98287205
1 "Lying" -0.98734428
1 "Lying" -0.98641728
1 "Lying" -0.98669023
1 "Lying" -0.98983271
1 "Lying" -0.9900955
1 "Lying" -0.98822532
1 "Lying" -0.99524527
1 "Lying" -0.98727581
1 "Sitting" -0.98970889
1 "Sitting" -0.98078362
1 "Sitting" -0.97724244
1 "Sitting" -0.99190191
1 "Sitting" -0.98817969
1 "Sitting" -0.98692235
1 "Sitting" -0.98114324
1 "Sitting" -0.9849405
1 "Sitting" -0.97896647
1 "Sitting" -0.96942642
1 "Sitting" -0.97427083
1 "Sitting" -0.99055838
1 "Sitting" -0.98976944
1 "Sitting" -0.99217422
1 "Sitting" -0.96209779
1 "Sitting" -0.99546845
1 "Sitting" -0.99378311
1 "Sitting" -0.99209438
1 "Sitting" -0.99446304
1 "Sitting" -0.99681057
1 "Sitting" -0.99685675
1 "Sitting" -0.99279482
1 "Sitting" -0.98674669
1 "Sitting" -0.98930536
1 "Sitting" -0.98791928
1 "Sitting" -0.98691553
1 "Sitting" -0.98933358
1 "Sitting" -0.98251829
1 "Sitting" -0.98249623
1 "Sitting" -0.99028525
1 "Sitting" -0.97309297
1 "Sitting" -0.95581824
1 "Sitting" -0.97238867
1 "Sitting" -0.98586611
1 "Sitting" -0.9935595
1 "Sitting" -0.97654869
1 "Sitting" -0.97275234
1 "Sitting" -0.98833229
1 "Sitting" -0.98689239
1 "Sitting" -0.99231076
1 "Sitting" -0.98655802
1 "Sitting" -0.97482774
1 "Sitting" -0.97496031
1 "Sitting" -0.99115958
1 "Sitting" -0.99202455
1 "Sitting" -0.99312244
1 "Sitting" -0.9958563
1 "Sitting" -0.99219273
1 "Sitting" -0.99305775
1 "Sitting" -0.99349596
1 "Sitting" -0.99509667
1 "Sitting" -0.98914859
1 "Sitting" -0.99243266
1 "Standing" -0.87966334
1 "Standing" -0.98400546
1 "Standing" -0.98441451
1 "Standing" -0.805482
1 "Standing" -0.82468908
1 "Standing" -0.90635425
1 "Standing" -0.97006148
1 "Standing" -0.99308184
1 "Standing" -0.99767463
1 "Standing" -0.99541407
1 "Standing" -0.98892238
1 "Standing" -0.96273876
1 "Standing" -0.98181715
1 "Standing" -0.99377256
1 "Standing" -0.98875219
1 "Standing" -0.99343618
1 "Standing" -0.99355751
1 "Standing" -0.99526841
1 "Standing" -0.99384125
1 "Standing" -0.99136385
1 "Standing" -0.99045113
1 "Standing" -0.99554847
1 "Standing" -0.99002888
1 "Standing" -0.98981239
1 "Standing" -0.92165263
1 "Standing" -0.9816131
1 "Standing" -0.98822777
1 "Standing" -0.9887746
1 "Standing" -0.99301077
1 "Standing" -0.99431329
1 "Standing" -0.99426547
1 "Standing" -0.99318316
1 "Standing" -0.99078122
1 "Standing" -0.98940569
1 "Standing" -0.99359722
1 "Standing" -0.96927604
1 "Standing" -0.99142327
1 "Standing" -0.99165625
1 "Standing" -0.99186804
1 "Standing" -0.99074946
1 "Standing" -0.98865702
1 "Standing" -0.99178615
1 "Standing" -0.9964554
1 "Standing" -0.9934987
1 "Standing" -0.99341224
1 "Standing" -0.99729443
1 "Standing" -0.99136234
1 "Walking" -0.21948724
1 "Walking" -0.20303932
1 "Walking" -0.37220074
1 "Walking" -0.30577541
1 "Walking" -0.23850688
1 "Walking" -0.20569446
1 "Walking" -0.23378485
1 "Walking" -0.089761852
1 "Walking" -0.36804635
1 "Walking" -0.042876452
1 "Walking" -0.43909779
1 "Walking" -0.23098382
1 "Walking" -0.41428385
1 "Walking" -0.16383903
1 "Walking" -0.06194552
1 "Walking" -0.1435581
1 "Walking" -0.24611845
1 "Walking" -0.33548246
1 "Walking" 0.35564448
1 "Walking" -0.36606753
1 "Walking" -0.19430817
1 "Walking" -0.39991129
1 "Walking" -0.42328708
1 "Walking" -0.14445887
1 "Walking" 0.025351671
1 "Walking" 0.25413257
1 "Walking" -0.016390067
1 "Walking" -0.23266749
1 "Walking" 0.12649323
1 "Walking" -0.15879525
1 "Walking" 0.080320564
1 "Walking" -0.3089716
1 "Walking" 0.016229465
1 "Walking" -0.27155938
1 "Walking" -0.18214141
1 "Walking" -0.30444579
1 "Walking" -0.22182564
1 "Walking" 0.047509637
1 "Walking" -0.30496474
1 "Walking" -0.32915648
1 "Walking" -0.22504498
1 "Walking" -0.18360412
1 "Walking" 0.00096142042
1 "Walking" -0.28960056
1 "Walking" 0.084044416
1 "Walking" -0.10649348
1 "Walking" -0.36739804
1 "Walking" -0.53521508
1 "Walking" -0.25698404
1 "Walking" -0.35987029
1 "Walking" -0.011348119
1 "Walking" -0.38495316
1 "Walking" -0.24104613
1 "Walking" -0.31200195
1 "Walking" -0.43978457
1 "Walking" -0.28473637
1 "Walking" -0.093309821
1 "Walking" -0.15240738
1 "Walking" -0.18964405
1 "Walking" -0.14889158
1 "Walking" -0.15923815
1 "Walking" -0.16499052
1 "Walking" -0.15475742
1 "Walking" -0.034690027
1 "Walking" -0.11690425
1 "Walking" -0.23720059
1 "Walking" -0.15457897
1 "Walking" -0.13435421
1 "Walking" -0.027232899
1 "Walking" -0.14524757
1 "Walking" -0.47367022
1 "Walking" -0.11915616
1 "Walking" -0.28320883
1 "Walking" -0.055504614
1 "Walking" -0.056299255
1 "Walking" 0.0045648664
1 "Walking" -0.28413397
1 "Walking" -0.32094132
1 "Walking" -0.28968261
1 "Walking" -0.20036735
1 "Walking" -0.31570851
1 "Walking" -0.14131797
1 "Walking" -0.23777366
1 "Walking" -0.16393972
1 "Walking" -0.22736769
1 "Walking" -0.21393368
1 "Walking" -0.15113487
1 "Walking" -0.22285023
1 "Walking" -0.22420909
1 "Walking" -0.02815876
1 "Walking" -0.13733918
1 "Walking" 0.071050957
1 "Walking" -0.048878114
1 "Walking" -0.040721046
1 "Walking" -0.34171517
1 "Walking Down Stairs" -0.30237906
1 "Walking Down Stairs" -0.38588689
1 "Walking Down Stairs" -0.056893381
1 "Walking Down Stairs" -0.093532825
1 "Walking Down Stairs" 0.19018542
1 "Walking Down Stairs" 0.23878322
1 "Walking Down Stairs" 0.087956528
1 "Walking Down Stairs" -0.30509254
1 "Walking Down Stairs" -0.02948895
1 "Walking Down Stairs" -0.054630283
1 "Walking Down Stairs" -0.167421
1 "Walking Down Stairs" 0.18961457
1 "Walking Down Stairs" 0.75388577
