"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98116337
1 "Lying" -0.98405505
1 "Lying" -0.99384501
1 "Lying" -0.99188755
1 "Lying" -0.99107227
1 "Lying" -0.98832098
1 "Lying" -0.98949363
1 "Lying" -0.98610509
1 "Lying" -0.98958314
1 "Lying" -0.9910045
1 "Lying" -0.98974403
1 "Lying" -0.98907028
1 "Lying" -0.99156762
1 "Lying" -0.88796258
1 "Lying" -0.97868964
1 "Lying" -0.84600331
1 "Lying" -0.85046558
1 "Lying" -0.89756938
1 "Lying" -0.86208076
1 "Lying" -0.80115069
1 "Lying" -0.81284317
1 "Lying" -0.89472814
1 "Lying" -0.98344769
1 "Lying" -0.98227568
1 "Lying" -0.98578264
1 "Lying" -0.9903046
1 "Lying" -0.98687056
1 "Lying" -0.9667962
1 "Lying" -0.9813518
1 "Lying" -0.98437402
1 "Lying" -0.98881968
1 "Lying" -0.98534733
1 "Lying" -0.98351355
1 "Lying" -0.98483333
1 "Lying" -0.98523717
1 "Lying" -0.99182122
1 "Lying" -0.98966135
1 "Lying" -0.99226665
1 "Lying" -0.98983539
1 "Lying" -0.80978254
1 "Lying" -0.66369821
1 "Lying" -0.972052
1 "Lying" -0.97252215
1 "Lying" -0.97289284
1 "Lying" -0.98741666
1 "Lying" -0.98687373
1 "Lying" -0.98739391
1 "Lying" -0.95691887
1 "Lying" -0.97658257
1 "Lying" -0.95305499
1 "Sitting" -0.98799115
1 "Sitting" -0.98577466
1 "Sitting" -0.98130186
1 "Sitting" -0.98806054
1 "Sitting" -0.98635885
1 "Sitting" -0.98782612
1 "Sitting" -0.97763238
1 "Sitting" -0.98576077
1 "Sitting" -0.98967648
1 "Sitting" -0.98795326
1 "Sitting" -0.98100618
1 "Sitting" -0.98801391
1 "Sitting" -0.99072176
1 "Sitting" -0.98933864
1 "Sitting" -0.98105449
1 "Sitting" -0.99220644
1 "Sitting" -0.99086818
1 "Sitting" -0.98981261
1 "Sitting" -0.98375649
1 "Sitting" -0.99028524
1 "Sitting" -0.98745315
1 "Sitting" -0.98933407
1 "Sitting" -0.99089049
1 "Sitting" -0.9849131
1 "Sitting" -0.99058976
1 "Sitting" -0.98317743
1 "Sitting" -0.98601942
1 "Sitting" -0.95909065
1 "Sitting" -0.97599972
1 "Sitting" -0.98488959
1 "Sitting" -0.97470069
1 "Sitting" -0.98116319
1 "Sitting" -0.98554985
1 "Sitting" -0.98527785
1 "Sitting" -0.99116886
1 "Sitting" -0.98456815
1 "Sitting" -0.98932684
1 "Sitting" -0.97971456
1 "Sitting" -0.97918446
1 "Sitting" -0.98110357
1 "Sitting" -0.98295181
1 "Sitting" -0.97992786
1 "Sitting" -0.97620964
1 "Sitting" -0.99017309
1 "Sitting" -0.99255622
1 "Sitting" -0.98798289
1 "Sitting" -0.98989751
1 "Sitting" -0.99300355
1 "Sitting" -0.99383487
1 "Sitting" -0.99646758
1 "Sitting" -0.98765132
1 "Sitting" -0.98828051
1 "Sitting" -0.98871751
1 "Standing" -0.90507879
1 "Standing" -0.98899537
1 "Standing" -0.98696202
1 "Standing" -0.8933003
1 "Standing" -0.89753622
1 "Standing" -0.9056783
1 "Standing" -0.99324482
1 "Standing" -0.98721782
1 "Standing" -0.99725988
1 "Standing" -0.99025732
1 "Standing" -0.9892929
1 "Standing" -0.981304
1 "Standing" -0.98645957
1 "Standing" -0.97737397
1 "Standing" -0.98545715
1 "Standing" -0.98384332
1 "Standing" -0.99145765
1 "Standing" -0.99395594
1 "Standing" -0.99118959
1 "Standing" -0.99170925
1 "Standing" -0.98975823
1 "Standing" -0.99218956
1 "Standing" -0.99314054
1 "Standing" -0.99311593
1 "Standing" -0.98013178
1 "Standing" -0.97917692
1 "Standing" -0.98222587
1 "Standing" -0.97989616
1 "Standing" -0.98296636
1 "Standing" -0.98690082
1 "Standing" -0.98849328
1 "Standing" -0.9929397
1 "Standing" -0.99159157
1 "Standing" -0.98915725
1 "Standing" -0.98784908
1 "Standing" -0.94075314
1 "Standing" -0.98365281
1 "Standing" -0.98502462
1 "Standing" -0.98657762
1 "Standing" -0.98650212
1 "Standing" -0.98612497
1 "Standing" -0.98963596
1 "Standing" -0.99216826
1 "Standing" -0.9961561
1 "Standing" -0.99568119
1 "Standing" -0.99221024
1 "Standing" -0.98943332
1 "Walking" -0.56625437
1 "Walking" -0.52556466
1 "Walking" -0.58425554
1 "Walking" -0.39577606
1 "Walking" -0.27574927
1 "Walking" -0.57893394
1 "Walking" -0.56786114
1 "Walking" -0.49263047
1 "Walking" -0.5927095
1 "Walking" -0.4725182
1 "Walking" -0.60934722
1 "Walking" -0.55906887
1 "Walking" -0.32605487
1 "Walking" -0.37583923
1 "Walking" -0.40301692
1 "Walking" -0.54881282
1 "Walking" -0.47177919
1 "Walking" -0.44450443
1 "Walking" -0.50769687
1 "Walking" -0.625928
1 "Walking" -0.43428964
1 "Walking" -0.59003644
1 "Walking" -0.49440486
1 "Walking" -0.46989167
1 "Walking" -0.46857942
1 "Walking" -0.50238111
1 "Walking" -0.41520637
1 "Walking" -0.57311532
1 "Walking" -0.47674984
1 "Walking" -0.46696406
1 "Walking" -0.55436815
1 "Walking" -0.55609014
1 "Walking" -0.54385499
1 "Walking" -0.24827424
1 "Walking" -0.55328637
1 "Walking" -0.57790661
1 "Walking" -0.57731665
1 "Walking" -0.47888979
1 "Walking" -0.46524963
1 "Walking" -0.4779099
1 "Walking" -0.56545528
1 "Walking" -0.53115724
1 "Walking" -0.54014685
1 "Walking" -0.66230208
1 "Walking" -0.48536702
1 "Walking" -0.35330341
1 "Walking" -0.49711801
1 "Walking" -0.45173661
1 "Walking" -0.53207415
1 "Walking" -0.52049682
1 "Walking" -0.46760384
1 "Walking" -0.49867159
1 "Walking" -0.44987406
1 "Walking" -0.34889583
1 "Walking" -0.46830398
1 "Walking" -0.45723607
1 "Walking" -0.36451382
1 "Walking" -0.47420543
1 "Walking" -0.39686976
1 "Walking" -0.57418376
1 "Walking" -0.45705649
1 "Walking" -0.43082684
1 "Walking" -0.52560988
1 "Walking" -0.42636034
1 "Walking" -0.41898472
1 "Walking" -0.51136371
1 "Walking" -0.42300119
1 "Walking" -0.2616781
1 "Walking" -0.39715092
1 "Walking" -0.54761063
1 "Walking" -0.46220633
1 "Walking" -0.41762614
1 "Walking" -0.47140361
1 "Walking" -0.56080261
1 "Walking" -0.44706918
1 "Walking" -0.43021981
1 "Walking" -0.42220891
1 "Walking" -0.32485435
1 "Walking" -0.47637219
1 "Walking" -0.35527585
1 "Walking" -0.4576986
1 "Walking" -0.49960298
1 "Walking" -0.34862639
1 "Walking" -0.52591298
1 "Walking" -0.35606122
1 "Walking" -0.35494213
1 "Walking" -0.47692823
1 "Walking" -0.49074743
1 "Walking" -0.31227403
1 "Walking" -0.30133511
1 "Walking" -0.4020604
1 "Walking" -0.39026575
1 "Walking" -0.46551344
1 "Walking" -0.46140114
1 "Walking" -0.45191185
1 "Walking Down Stairs" -0.56632517
1 "Walking Down Stairs" -0.53041563
1 "Walking Down Stairs" -0.32959325
1 "Walking Down Stairs" -0.23801091
1 "Walking Down Stairs" -0.27094105
1 "Walking Down Stairs" -0.2376024
1 "Walking Down Stairs" -0.21330036
1 "Walking Down Stairs" -0.34505808
1 "Walking Down Stairs" -0.39226155
1 "Walking Down Stairs" -0.06290983
1 "Walking Down Stairs" 0.084601986
1 "Walking Down Stairs" -0.48749505
1 "Walking Down Stairs" -0.32655037
1 "Walking Down Stairs" -0.37282793
1 "Walking Down Stairs" -0.29625337
1 "Walking Down Stairs" -0.13384193
1 "Walking Down Stairs" -0.21901937
1 "Walking Down Stairs" -0.33077994
1 "Walking Down Stairs" -0.3941812
1 "Walking Down Stairs" -0.17541475
1 "Walking Down Stairs" -0.30859429
1 "Walking Down Stairs" -0.3914119
1 "Walking Down Stairs" -0.35853919
1 "Walking Down Stairs" -0.35397781
1 "Walking Down Stairs" -0.37598627
1 "Walking Down Stairs" -0.50459337
1 "Walking Down Stairs" -0.26768054
1 "Walking Down Stairs" -0.51004395
1 "Walking Down Stairs" -0.34889491
1 "Walking Down Stairs" -0.46091179
1 "Walking Down Stairs" -0.5458229
1 "Walking Down Stairs" -0.36967155
1 "Walking Down Stairs" -0.5354999
1 "Walking Down Stairs" -0.49269148
1 "Walking Down Stairs" -0.29474304
1 "Walking Down Stairs" -0.44625648
1 "Walking Down Stairs" -0.49772072
1 "Walking Down Stairs" -0.44949251
1 "Walking Down Stairs" -0.27693005
1 "Walking Down Stairs" -0.28142852
1 "Walking Down Stairs" -0.39268812
1 "Walking Down Stairs" -0.24259201
1 "Walking Down Stairs" -0.30879726
1 "Walking Down Stairs" -0.40313284
1 "Walking Down Stairs" -0.60074875
1 "Walking Down Stairs" -0.34496654
1 "Walking Down Stairs" -0.12759019
1 "Walking Down Stairs" -0.21837965
1 "Walking Down Stairs" -0.30869821
1 "Walking Up Stairs" -0.63530157
1 "Walking Up Stairs" -0.62608305
1 "Walking Up Stairs" -0.74536863
1 "Walking Up Stairs" -0.6816131
1 "Walking Up Stairs" -0.53634172
1 "Walking Up Stairs" -0.66216489
1 "Walking Up Stairs" -0.6287498
1 "Walking Up Stairs" -0.61652898
1 "Walking Up Stairs" -0.68152985
1 "Walking Up Stairs" -0.56545693
1 "Walking Up Stairs" -0.53202001
1 "Walking Up Stairs" -0.65649438
1 "Walking Up Stairs" -0.75843933
1 "Walking Up Stairs" -0.71878184
1 "Walking Up Stairs" -0.74631316
1 "Walking Up Stairs" -0.78480263
1 "Walking Up Stairs" -0.79675189
1 "Walking Up Stairs" -0.79167336
1 "Walking Up Stairs" -0.7141363
1 "Walking Up Stairs" -0.68308993
1 "Walking Up Stairs" -0.71299246
1 "Walking Up Stairs" -0.73043962
