"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.090794517
1 "Lying" 0.038233147
1 "Lying" 0.36861095
1 "Lying" 0.19464557
1 "Lying" 0.19169824
1 "Lying" 0.0070728761
1 "Lying" 0.056899608
1 "Lying" 0.26180395
1 "Lying" 0.28217871
1 "Lying" 0.48388339
1 "Lying" 0.47708015
1 "Lying" 0.43803066
1 "Lying" 0.36839227
1 "Lying" -0.41861777
1 "Lying" 0.19182058
1 "Lying" 0.089776037
1 "Lying" 0.036318947
1 "Lying" -0.3558524
1 "Lying" -0.19951819
1 "Lying" -0.029575859
1 "Lying" 0.01649798
1 "Lying" -0.09473449
1 "Lying" 0.13455163
1 "Lying" 0.26939226
1 "Lying" 0.31807842
1 "Lying" 0.18305398
1 "Lying" 0.13374939
1 "Lying" 0.30242685
1 "Lying" 0.094070236
1 "Lying" 0.33856
1 "Lying" 0.39073896
1 "Lying" 0.22733826
1 "Lying" 0.31599547
1 "Lying" 0.34057527
1 "Lying" 0.42538693
1 "Lying" 0.41120946
1 "Lying" 0.23223039
1 "Lying" 0.1004182
1 "Lying" 0.17014195
1 "Lying" 0.26868939
1 "Lying" -0.0087940722
1 "Lying" 0.22466791
1 "Lying" 0.085089958
1 "Lying" 0.014962147
1 "Lying" 0.035984332
1 "Lying" 0.17108731
1 "Lying" 0.24414232
1 "Lying" 0.03894903
1 "Lying" -0.038506829
1 "Lying" -0.033230796
1 "Sitting" 0.38764356
1 "Sitting" 0.52730342
1 "Sitting" 0.37171788
1 "Sitting" 0.19341434
1 "Sitting" 0.2871847
1 "Sitting" 0.20194676
1 "Sitting" 0.23980786
1 "Sitting" 0.39387117
1 "Sitting" 0.32642026
1 "Sitting" -0.041056692
1 "Sitting" -0.026376546
1 "Sitting" 0.3021264
1 "Sitting" 0.30309843
1 "Sitting" 0.26636559
1 "Sitting" 0.21374654
1 "Sitting" 0.25565515
1 "Sitting" 0.092522468
1 "Sitting" 0.13681025
1 "Sitting" 0.18007061
1 "Sitting" 0.30940168
1 "Sitting" 0.21385213
1 "Sitting" 0.27160517
1 "Sitting" 0.27535081
1 "Sitting" 0.23658859
1 "Sitting" 0.34771458
1 "Sitting" 0.24659569
1 "Sitting" 0.33888263
1 "Sitting" -0.069034554
1 "Sitting" 0.30587519
1 "Sitting" 0.23654128
1 "Sitting" -0.041191383
1 "Sitting" 0.076109702
1 "Sitting" -0.065960955
1 "Sitting" 0.11219363
1 "Sitting" 0.21491401
1 "Sitting" 0.42447772
1 "Sitting" 0.39518372
1 "Sitting" 0.1126964
