"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.18427433
1 "Lying" 0.23610973
1 "Lying" 0.19702405
1 "Lying" 0.37483
1 "Lying" 0.45919893
1 "Lying" 0.35405996
1 "Lying" 0.28151642
1 "Lying" 0.28704408
1 "Lying" 0.31682726
1 "Lying" 0.25596083
1 "Lying" 0.2231824
1 "Lying" 0.11675862
1 "Lying" 0.23418434
1 "Lying" 0.40320688
1 "Lying" 0.1025691
1 "Lying" -0.47067497
1 "Lying" -0.48678698
1 "Lying" -0.51188732
1 "Lying" -0.10787752
1 "Lying" 0.11732414
1 "Lying" 0.13262278
1 "Lying" -0.33628804
1 "Lying" -0.26742352
1 "Lying" 0.089581547
1 "Lying" 0.37587702
1 "Lying" 0.27094128
1 "Lying" 0.19480445
1 "Lying" -0.48503241
1 "Lying" -0.077525807
1 "Lying" 0.22351484
1 "Lying" 0.25971366
1 "Lying" 0.23738444
1 "Lying" 0.3588715
1 "Lying" 0.25312076
1 "Lying" 0.30557061
1 "Lying" 0.3355872
1 "Lying" 0.1456375
1 "Lying" 0.12220082
1 "Lying" 0.28745645
1 "Lying" 0.15412559
1 "Lying" 1
1 "Lying" 0.063470346
1 "Lying" 0.15558858
1 "Lying" 0.24323521
1 "Lying" 0.17953444
1 "Lying" 0.088812975
1 "Lying" 0.2444987
1 "Lying" 0.26726026
1 "Lying" 0.20103392
1 "Lying" 0.29859449
1 "Sitting" 0.24140146
1 "Sitting" 0.14939565
1 "Sitting" 0.082664878
1 "Sitting" 0.10240466
1 "Sitting" 0.31897047
1 "Sitting" 0.35057743
1 "Sitting" 0.078529161
1 "Sitting" 0.16317408
1 "Sitting" 0.22156926
1 "Sitting" -0.029588552
1 "Sitting" -0.11834403
1 "Sitting" 0.20613103
1 "Sitting" 0.34509561
1 "Sitting" 0.31251821
1 "Sitting" -0.32838295
1 "Sitting" 0.16193691
1 "Sitting" 0.35836226
1 "Sitting" 0.23151697
1 "Sitting" 0.16581079
1 "Sitting" 0.22624994
1 "Sitting" 0.25743175
1 "Sitting" 0.28683742
1 "Sitting" 0.24515
1 "Sitting" 0.22096557
1 "Sitting" 0.16146925
1 "Sitting" 0.33799533
1 "Sitting" 0.44056707
1 "Sitting" 0.39278662
1 "Sitting" 0.13612026
1 "Sitting" 0.13429985
1 "Sitting" -0.09197752
