"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.046172202
1 "Lying" -0.058063542
1 "Lying" 0.099691735
1 "Lying" 0.32058759
1 "Lying" 0.034509841
1 "Lying" 0.22003319
1 "Lying" 0.23028815
1 "Lying" 0.093478652
1 "Lying" 0.1953997
1 "Lying" 0.22915017
1 "Lying" 0.19062486
1 "Lying" 0.16394942
1 "Lying" 0.21936734
1 "Lying" 0.14747574
1 "Lying" 0.11472462
1 "Lying" -0.95549446
1 "Lying" -0.9169945
1 "Lying" -0.38506626
1 "Lying" -0.02736644
1 "Lying" -0.05902615
1 "Lying" -0.088951502
1 "Lying" -0.19394361
1 "Lying" 0.19762398
1 "Lying" 0.38736871
1 "Lying" 0.074547278
1 "Lying" 0.23532952
1 "Lying" 0.26086112
1 "Lying" 0.094788833
1 "Lying" -0.02106481
1 "Lying" 0.011189295
1 "Lying" 0.027343926
1 "Lying" -0.067760106
1 "Lying" 0.16497021
1 "Lying" 0.14175328
1 "Lying" 0.2828601
1 "Lying" 0.32998912
1 "Lying" 0.25559752
1 "Lying" 0.30756959
1 "Lying" 0.18924503
1 "Lying" -0.50150787
1 "Lying" -0.19187465
1 "Lying" -0.4540681
1 "Lying" -0.37759501
1 "Lying" -0.2276107
1 "Lying" 0.054604852
1 "Lying" 0.22908632
1 "Lying" 0.28383289
1 "Lying" -0.11547649
1 "Lying" -0.074540978
1 "Lying" -0.30891894
1 "Sitting" 0.26539882
1 "Sitting" 0.047423999
1 "Sitting" 0.18697299
1 "Sitting" 0.29806872
1 "Sitting" 0.16326125
1 "Sitting" 0.14731149
1 "Sitting" 0.24354692
1 "Sitting" 0.33168435
1 "Sitting" 0.2005351
1 "Sitting" -0.22484604
1 "Sitting" 0.019117653
1 "Sitting" 0.3424935
1 "Sitting" 0.019340305
1 "Sitting" -0.034907489
1 "Sitting" -0.20296569
1 "Sitting" 0.17255946
1 "Sitting" -0.075016918
1 "Sitting" 0.0018542889
1 "Sitting" 0.22657637
1 "Sitting" 0.1647618
1 "Sitting" 0.057648496
1 "Sitting" 0.1931481
1 "Sitting" 0.34034763
1 "Sitting" 0.11902197
1 "Sitting" 0.14960096
1 "Sitting" 0.05775833
1 "Sitting" 0.18155157
1 "Sitting" 0.17498952
1 "Sitting" 0.26221542
1 "Sitting" 0.22456328
1 "Sitting" -0.30391651
1 "Sitting" -0.3909151
1 "Sitting" 0.10657101
1 "Sitting" 0.1091347
1 "Sitting" -0.024065961
1 "Sitting" -0.083919924
1 "Sitting" -0.071331465
1 "Sitting" -0.12705384
1 "Sitting" -0.52407998
1 "Sitting" 0.39324445
1 "Sitting" 0.3268809
1 "Sitting" -0.14486303
1 "Sitting" 0.1484795
1 "Sitting" 0.38383161
1 "Sitting" 0.23135098
1 "Sitting" 0.27110405
1 "Sitting" 0.36880537
1 "Sitting" 0.34260491
1 "Sitting" 0.048775794
1 "Sitting" 0.17381129
1 "Sitting" 0.14718029
1 "Sitting" 0.16990753
1 "Sitting" 0.081520609
1 "Standing" -0.21709079
1 "Standing" 0.20843437
1 "Standing" 0.13169793
1 "Standing" -0.65670925
1 "Standing" -0.58991008
1 "Standing" -0.37254144
1 "Standing" -0.2254574
1 "Standing" -0.011818866
1 "Standing" -0.071092449
1 "Standing" -0.023786403
1 "Standing" 0.013048376
1 "Standing" 0.077581665
1 "Standing" 0.20983771
1 "Standing" 0.29826791
1 "Standing" 0.30907435
1 "Standing" 0.1823604
1 "Standing" 0.20991857
1 "Standing" 0.27347102
1 "Standing" 0.26114249
1 "Standing" 0.25783747
1 "Standing" 0.0032839971
1 "Standing" -0.27532799
1 "Standing" 0.037704871
1 "Standing" 0.52718374
1 "Standing" -0.31211328
1 "Standing" -0.18860243
1 "Standing" -0.27208389
1 "Standing" -0.14545736
1 "Standing" 0.17592437
1 "Standing" 0.30455344
1 "Standing" -0.087061437
1 "Standing" -0.09092375
1 "Standing" 0.081010245
1 "Standing" 0.18971447
1 "Standing" -0.046728265
1 "Standing" -0.097507819
1 "Standing" 0.055909398
1 "Standing" 0.24760582
1 "Standing" 0.036993019
1 "Standing" -0.0042281458
1 "Standing" 0.090849764
1 "Standing" 0.12063329
1 "Standing" 0.34790079
1 "Standing" 0.18965054
1 "Standing" 0.019965874
1 "Standing" 0.19588748
1 "Standing" 0.13582775
1 "Walking" -0.044109892
1 "Walking" -0.013087758
1 "Walking" 0.23508564
1 "Walking" -0.02822036
1 "Walking" -0.049578837
1 "Walking" -0.013636186
1 "Walking" -0.22256273
1 "Walking" 0.1940806
1 "Walking" 0.061217451
1 "Walking" -0.097122929
1 "Walking" 0.18589501
1 "Walking" 0.2872822
1 "Walking" -0.086145746
1 "Walking" -0.22721138
1 "Walking" 0.15272573
1 "Walking" 0.24955834
1 "Walking" 0.36710469
1 "Walking" 0.11083363
1 "Walking" 0.16145228
1 "Walking" -0.042344707
1 "Walking" 0.14764341
1 "Walking" 0.2092486
1 "Walking" 0.13092987
1 "Walking" 0.057867089
1 "Walking" 0.1276597
1 "Walking" 0.19656451
1 "Walking" 0.27040036
1 "Walking" -0.10134212
1 "Walking" -0.27154692
1 "Walking" -0.019746938
1 "Walking" 0.20051036
1 "Walking" 0.14306169
1 "Walking" 0.17975469
1 "Walking" 0.21713146
1 "Walking" 0.49017139
1 "Walking" 0.12268843
1 "Walking" 0.041526437
1 "Walking" 0.18482449
1 "Walking" -0.24251226
1 "Walking" -0.33992184
1 "Walking" -0.34354436
1 "Walking" -0.58111332
1 "Walking" -0.56025203
1 "Walking" -0.41149248
1 "Walking" -0.21927376
1 "Walking" -0.0072771539
1 "Walking" 0.095888449
1 "Walking" 0.029939519
1 "Walking" -0.05183892
1 "Walking" -0.1502726
1 "Walking" 0.21052289
1 "Walking" 0.40704064
1 "Walking" 0.31478094
1 "Walking" 0.29378185
1 "Walking" 0.23963779
1 "Walking" 0.10078149
1 "Walking" 0.15880553
1 "Walking" 0.17773553
1 "Walking" 0.11836076
1 "Walking" 0.3431832
1 "Walking" 0.51885088
1 "Walking" 0.37280096
1 "Walking" 0.18653195
1 "Walking" 0.30571386
1 "Walking" 0.21307069
1 "Walking" 0.39545238
1 "Walking" 0.3921909
1 "Walking" 0.214634
1 "Walking" 0.32248526
1 "Walking" 0.30174979
1 "Walking" 0.31389671
1 "Walking" 0.16193985
1 "Walking" 0.40375217
1 "Walking" 0.33689277
1 "Walking" 0.35124863
1 "Walking" 0.081982593
1 "Walking" 0.28949975
1 "Walking" 0.24834593
1 "Walking" 0.32032171
1 "Walking" 0.12996493
1 "Walking" 0.1605888
1 "Walking" 0.30406928
1 "Walking" 0.45517096
1 "Walking" 0.34725561
1 "Walking" 0.20382159
1 "Walking" 0.37440701
1 "Walking" 0.52681053
1 "Walking" 0.59711419
1 "Walking" 0.47304337
1 "Walking" 0.29158568
1 "Walking" 0.096671045
1 "Walking" 0.28311713
1 "Walking" 0.40396213
1 "Walking" 0.38676387
1 "Walking" 0.33650892
1 "Walking Down Stairs" 0.19990426
1 "Walking Down Stairs" -0.03255273
1 "Walking Down Stairs" 0.03022788
1 "Walking Down Stairs" 0.060966958
1 "Walking Down Stairs" -0.067708584
1 "Walking Down Stairs" -0.18348102
1 "Walking Down Stairs" 0.041757094
1 "Walking Down Stairs" 0.43677114
1 "Walking Down Stairs" 0.43361247
1 "Walking Down Stairs" 0.34132929
1 "Walking Down Stairs" -0.037230609
1 "Walking Down Stairs" 0.19410549
1 "Walking Down Stairs" -0.27321191
1 "Walking Down Stairs" -0.36397181
1 "Walking Down Stairs" 0.065167608
1 "Walking Down Stairs" 0.23512029
1 "Walking Down Stairs" 0.23350006
1 "Walking Down Stairs" 0.080182524
1 "Walking Down Stairs" 0.066301473
1 "Walking Down Stairs" -0.030767912
1 "Walking Down Stairs" -0.033190503
1 "Walking Down Stairs" -0.064935533
1 "Walking Down Stairs" 0.26359128
1 "Walking Down Stairs" 0.49177876
1 "Walking Down Stairs" 0.4727386
1 "Walking Down Stairs" -0.026914003
1 "Walking Down Stairs" 0.14621631
1 "Walking Down Stairs" 0.38258239
1 "Walking Down Stairs" 0.26870479
1 "Walking Down Stairs" 0.23102227
1 "Walking Down Stairs" 0.37527449
1 "Walking Down Stairs" 0.39762141
1 "Walking Down Stairs" 0.13965856
1 "Walking Down Stairs" -0.014462695
1 "Walking Down Stairs" 0.017634103
1 "Walking Down Stairs" 0.099990915
1 "Walking Down Stairs" 0.3593708
1 "Walking Down Stairs" 0.35329638
1 "Walking Down Stairs" 0.25613142
1 "Walking Down Stairs" 0.30977959
1 "Walking Down Stairs" 0.30785139
1 "Walking Down Stairs" 0.13684539
1 "Walking Down Stairs" 0.17404145
1 "Walking Down Stairs" 0.17408523
1 "Walking Down Stairs" 0.080816721
1 "Walking Down Stairs" 0.23506546
1 "Walking Down Stairs" 0.23271927
1 "Walking Down Stairs" 0.2089396
1 "Walking Down Stairs" 0.38217182
1 "Walking Up Stairs" 0.14330528
1 "Walking Up Stairs" -0.23627001
1 "Walking Up Stairs" -0.24834258
1 "Walking Up Stairs" -0.42134981
1 "Walking Up Stairs" -0.24150836
1 "Walking Up Stairs" -0.10292251
1 "Walking Up Stairs" -0.038134311
1 "Walking Up Stairs" -0.035500504
1 "Walking Up Stairs" -0.034946868
1 "Walking Up Stairs" -0.012827324
1 "Walking Up Stairs" -0.18967558
1 "Walking Up Stairs" -0.19584895
1 "Walking Up Stairs" -0.13349731
1 "Walking Up Stairs" -0.066157572
1 "Walking Up Stairs" -0.2033272
1 "Walking Up Stairs" -0.04740596
1 "Walking Up Stairs" -0.040739458
1 "Walking Up Stairs" 0.046198183
1 "Walking Up Stairs" -0.1065413
1 "Walking Up Stairs" -0.089753897
1 "Walking Up Stairs" -0.032232152
1 "Walking Up Stairs" -0.22762484
1 "Walking Up Stairs" -0.15046582
1 "Walking Up Stairs" 0.11476118
1 "Walking Up Stairs" -0.020119451
1 "Walking Up Stairs" -0.17470279
1 "Walking Up Stairs" 0.084923272
1 "Walking Up Stairs" 0.098712715
1 "Walking Up Stairs" 0.013201689
1 "Walking Up Stairs" 0.10551305
1 "Walking Up Stairs" -0.17770774
1 "Walking Up Stairs" 0.21420833
1 "Walking Up Stairs" 0.25116639
1 "Walking Up Stairs" 0.029207764
1 "Walking Up Stairs" -0.058566218
1 "Walking Up Stairs" 0.16281845
1 "Walking Up Stairs" 0.12503522
1 "Walking Up Stairs" -0.21143565
1 "Walking Up Stairs" -0.27093754
1 "Walking Up Stairs" -0.093215875
1 "Walking Up Stairs" -0.038226507
1 "Walking Up Stairs" 0.2674602
1 "Walking Up Stairs" 0.25553788
1 "Walking Up Stairs" -0.039007446
1 "Walking Up Stairs" 0.031242883
1 "Walking Up Stairs" -0.34538619
1 "Walking Up Stairs" -0.11538071
1 "Walking Up Stairs" -0.11021147
1 "Walking Up Stairs" -0.047183467
1 "Walking Up Stairs" 0.10835218
1 "Walking Up Stairs" -0.1304358
1 "Walking Up Stairs" -0.60977742
1 "Walking Up Stairs" -0.078493147
2 "Lying" 0.076054372
2 "Lying" 0.088423296
2 "Lying" 0.45016138
2 "Lying" 0.16888214
2 "Lying" 0.08021802
2 "Lying" 0.23934174
2 "Lying" 0.24659485
2 "Lying" 0.15014101
2 "Lying" 0.27671823
2 "Lying" 0.15200772
2 "Lying" 0.024748095
2 "Lying" 0.3585344
2 "Lying" 0.096583534
2 "Lying" 0.21102421
2 "Lying" 0.079500963
2 "Lying" 0.0024877947
2 "Lying" 0.31882156
2 "Lying" 0.11395431
2 "Lying" 0.24137024
2 "Lying" 0.34706622
2 "Lying" 0.13148294
2 "Lying" 0.17730493
2 "Lying" 0.25849846
2 "Lying" 0.077204878
2 "Lying" 0.32257472
2 "Lying" -0.076476593
2 "Lying" 0.53020727
2 "Lying" 0.58357058
2 "Lying" 0.040188619
2 "Lying" 0.13883533
2 "Lying" 0.13280575
2 "Lying" 0.099067899
2 "Lying" 0.13621198
2 "Lying" 0.013752647
2 "Lying" -0.054038092
2 "Lying" 0.25004634
2 "Lying" 0.045881557
2 "Lying" 0.15209501
2 "Lying" -0.021397502
2 "Lying" 0.0091815805
2 "Lying" 0.32260174
2 "Lying" 0.19099407
2 "Lying" 0.04594185
2 "Lying" 0.018834075
2 "Lying" 0.042323368
2 "Lying" 0.15356305
2 "Lying" 0.24300394
2 "Lying" -0.22336281
2 "Sitting" -0.19623228
2 "Sitting" -0.082656991
2 "Sitting" 0.2597403
2 "Sitting" 0.11319731
2 "Sitting" -0.12067037
2 "Sitting" -0.11846032
2 "Sitting" -0.16352026
2 "Sitting" -0.19789863
2 "Sitting" -0.11385317
2 "Sitting" 0.072331479
2 "Sitting" 0.14564627
2 "Sitting" 0.12250475
2 "Sitting" 0.084899236
2 "Sitting" -0.1370021
2 "Sitting" -0.31895977
2 "Sitting" 0.053639376
2 "Sitting" -0.12659983
2 "Sitting" 0.055156346
2 "Sitting" 0.031410591
2 "Sitting" 0.087519578
2 "Sitting" 0.3121504
2 "Sitting" 0.36493009
2 "Sitting" 0.13937386
2 "Sitting" 0.089129229
2 "Sitting" 0.00068505763
2 "Sitting" 0.13743915
2 "Sitting" 0.11315458
2 "Sitting" 0.28466496
2 "Sitting" 0.19762819
2 "Sitting" 0.097551926
2 "Sitting" -0.043786149
2 "Sitting" 0.487869
2 "Sitting" 0.095547238
2 "Sitting" 0.042913149
2 "Sitting" 0.091895971
2 "Sitting" 0.20393418
2 "Sitting" 0.20443511
2 "Sitting" 0.22750228
2 "Sitting" 0.085580737
2 "Sitting" -0.13717666
2 "Sitting" -0.26082618
2 "Sitting" -0.02670254
2 "Sitting" -0.043628517
2 "Sitting" 0.15108044
2 "Sitting" 0.071171706
2 "Sitting" 0.019602249
2 "Sitting" -0.013315516
2 "Sitting" -0.026664241
2 "Sitting" -0.15846055
2 "Sitting" -0.14229471
2 "Sitting" -0.10196701
2 "Sitting" 0.27980726
2 "Sitting" 0.39708661
2 "Sitting" 0.21705859
2 "Standing" -0.14308859
2 "Standing" -0.18765156
2 "Standing" 0.044577872
2 "Standing" 0.059110201
2 "Standing" -0.22596144
2 "Standing" -0.39473065
2 "Standing" -0.27099112
2 "Standing" 0.058134234
2 "Standing" 0.14980094
2 "Standing" -0.17695129
2 "Standing" -0.042508971
2 "Standing" 0.11242173
2 "Standing" 0.025119527
2 "Standing" 0.090060557
2 "Standing" 0.1226956
2 "Standing" 0.23599181
2 "Standing" 0.057009472
2 "Standing" -0.14656333
2 "Standing" -0.11204253
2 "Standing" 0.13289039
2 "Standing" 0.015839135
2 "Standing" -0.070492331
2 "Standing" -0.1901977
2 "Standing" -0.073681257
2 "Standing" 0.047769703
2 "Standing" 0.29164189
2 "Standing" 0.27338586
2 "Standing" 0.2205869
2 "Standing" -0.18998809
2 "Standing" -0.40996282
2 "Standing" -0.090495752
2 "Standing" -0.13242007
2 "Standing" -0.083998296
2 "Standing" 0.036991678
2 "Standing" -0.20448065
2 "Standing" -0.14450681
2 "Standing" -0.06851343
2 "Standing" 0.033344805
2 "Standing" -0.049183723
2 "Standing" -0.056593034
2 "Standing" 0.24875058
2 "Standing" 0.23798432
2 "Standing" -0.070792429
2 "Standing" -0.16043465
2 "Standing" 0.12637681
2 "Standing" 0.37090588
2 "Walking" 0.24616425
2 "Walking" 0.26571952
2 "Walking" 0.082598542
2 "Walking" 0.189801
2 "Walking" 0.44718961
2 "Walking" -0.041921872
2 "Walking" -0.04166322
2 "Walking" -0.048139969
2 "Walking" 0.076554363
2 "Walking" -0.11892241
2 "Walking" -0.19774584
2 "Walking" 0.16142561
2 "Walking" 0.200368
2 "Walking" -0.066717572
2 "Walking" -0.27660674
2 "Walking" 0.0020590952
2 "Walking" 0.032878702
2 "Walking" -0.083691354
2 "Walking" -0.044112509
2 "Walking" -0.030846938
2 "Walking" -0.23741792
2 "Walking" -0.19897764
2 "Walking" 0.032844477
2 "Walking" 0.052183369
2 "Walking" 0.18066741
2 "Walking" 0.22834993
2 "Walking" 0.23732593
2 "Walking" -0.034966823
2 "Walking" 0.044235193
2 "Walking" 0.18843098
2 "Walking" 0.15433392
2 "Walking" 0.29328044
2 "Walking" 0.11316156
2 "Walking" 0.033368219
2 "Walking" 0.084328849
2 "Walking" 0.11651875
2 "Walking" 0.17610058
2 "Walking" 0.16237976
2 "Walking" 0.17217986
2 "Walking" 0.16194904
2 "Walking" -0.072660318
2 "Walking" -0.17911368
2 "Walking" -0.48941838
2 "Walking" -0.68161973
2 "Walking" -0.021907065
2 "Walking" -0.2266782
2 "Walking" 0.055188089
2 "Walking" 0.084975608
2 "Walking" -0.10414187
2 "Walking" -0.052115065
2 "Walking" -0.040635212
2 "Walking" 0.17509115
2 "Walking" 0.048572885
2 "Walking" 0.027390758
2 "Walking" 0.16018666
2 "Walking" 0.04646176
2 "Walking" -0.12015015
2 "Walking" 0.071800789
2 "Walking" 0.40695726
2 "Walking Down Stairs" 0.19026411
2 "Walking Down Stairs" -0.076232861
2 "Walking Down Stairs" -0.41442794
2 "Walking Down Stairs" -0.36875061
2 "Walking Down Stairs" 0.27061182
2 "Walking Down Stairs" 0.39931229
2 "Walking Down Stairs" 0.28854401
2 "Walking Down Stairs" -0.25937507
2 "Walking Down Stairs" -0.057080214
2 "Walking Down Stairs" -0.044897968
2 "Walking Down Stairs" -0.068336228
