"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.09721386
1 "Lying" -0.22089572
1 "Lying" -0.16683558
1 "Lying" -0.46289449
1 "Lying" -0.4698677
1 "Lying" -0.10113703
1 "Lying" -0.13687549
1 "Lying" -0.17101955
1 "Lying" -0.0074251327
1 "Lying" -0.035244753
1 "Lying" -0.077605724
1 "Lying" -0.34680452
1 "Lying" -0.29507366
1 "Lying" 0.39475945
1 "Lying" 0.099270797
1 "Lying" 0.50577548
1 "Lying" 0.43749837
1 "Lying" -0.29181681
1 "Lying" -0.17849824
1 "Lying" 0.7127536
1 "Lying" 0.75949723
1 "Lying" -0.070798529
1 "Lying" -0.059533315
1 "Lying" -0.10610945
1 "Lying" -0.22022844
1 "Lying" -0.23370531
1 "Lying" -0.22145289
1 "Lying" 0.18984406
1 "Lying" -0.058456215
1 "Lying" -0.28994426
1 "Lying" -0.30909799
1 "Lying" -0.24725093
1 "Lying" -0.25541538
1 "Lying" -0.10040896
1 "Lying" 0.33395388
1 "Lying" 0.47013864
1 "Lying" 0.2191088
1 "Lying" 0.02899792
1 "Lying" -0.12951638
1 "Lying" 0.063006701
1 "Lying" -0.16671378
1 "Lying" 0.19116697
1 "Lying" 0.27021524
1 "Lying" 0.094020694
1 "Lying" -0.055993342
1 "Lying" -0.22267626
1 "Lying" -0.20933131
1 "Lying" 0.021205009
1 "Lying" 0.078256359
1 "Lying" -0.14866595
1 "Sitting" -0.12651082
1 "Sitting" -0.2685539
1 "Sitting" -0.039952746
1 "Sitting" 0.45705983
1 "Sitting" 0.064729309
1 "Sitting" -0.11178209
1 "Sitting" 0.26462487
1 "Sitting" 0.19184438
1 "Sitting" 0.06435348
1 "Sitting" 0.44007709
1 "Sitting" 0.28147161
1 "Sitting" -0.30320408
1 "Sitting" -0.1665316
1 "Sitting" -0.11029931
1 "Sitting" 0.19314037
1 "Sitting" 0.11639826
1 "Sitting" -0.1574777
1 "Sitting" -0.26170651
1 "Sitting" -0.037604755
1 "Sitting" 0.25419656
1 "Sitting" 0.09950263
1 "Sitting" -0.012174827
1 "Sitting" -0.0028219854
1 "Sitting" 0.04251498
1 "Sitting" 0.033019343
1 "Sitting" -0.026853834
1 "Sitting" 0.094403698
1 "Sitting" 0.16340753
1 "Sitting" 0.1341523
1 "Sitting" 0.06538915
1 "Sitting" 0.6247667
1 "Sitting" 0.68996512
1 "Sitting" -0.024882819
1 "Sitting" -0.053768336
1 "Sitting" 0.23188449
1 "Sitting" 0.30555417
1 "Sitting" 0.23039989
1 "Sitting" -0.24990919
1 "Sitting" -0.25178777
1 "Sitting" 0.050398238
1 "Sitting" -0.16498846
1 "Sitting" 0.3944353
1 "Sitting" 0.095899484
1 "Sitting" -0.19065441
1 "Sitting" 0.076968953
1 "Sitting" 0.33517605
1 "Sitting" 0.26179379
1 "Sitting" 0.079906999
1 "Sitting" 0.094183961
1 "Sitting" -0.18636028
1 "Sitting" -0.050714914
1 "Sitting" 0.19914215
1 "Sitting" 0.11271074
1 "Standing" 0.39655649
1 "Standing" 0.15544803
1 "Standing" 0.19749277
1 "Standing" -0.20439918
1 "Standing" -0.12635865
1 "Standing" 0.092326309
1 "Standing" -0.094961035
1 "Standing" 0.079505921
1 "Standing" 0.28596813
1 "Standing" 0.21585347
1 "Standing" -0.11357955
1 "Standing" -0.11902157
1 "Standing" -0.020750148
1 "Standing" -0.01110878
1 "Standing" -0.0058463753
1 "Standing" 0.15541799
1 "Standing" 0.15712538
1 "Standing" 0.069397459
1 "Standing" -0.026198369
1 "Standing" -0.17001535
1 "Standing" -0.21904092
1 "Standing" -0.29462176
1 "Standing" -0.22187307
1 "Standing" -0.093608608
1 "Standing" 0.14922925
1 "Standing" 0.045872455
1 "Standing" 0.09413926
1 "Standing" 0.062669094
1 "Standing" 0.10170904
1 "Standing" 0.083202661
1 "Standing" -0.13962735
1 "Standing" -0.22680213
1 "Standing" -0.098510711
1 "Standing" 0.32235094
