"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99484445
1 "Lying" -0.99985729
1 "Lying" -0.99989713
1 "Lying" -0.99995506
1 "Lying" -0.99996421
1 "Lying" -0.99993021
1 "Lying" -0.99987958
1 "Lying" -0.99991784
1 "Lying" -0.99988215
1 "Lying" -0.99984614
1 "Lying" -0.99992259
1 "Lying" -0.99993702
1 "Lying" -0.99992745
1 "Lying" -0.994591
1 "Lying" -0.99980675
1 "Lying" -0.92250274
1 "Lying" -0.9192384
1 "Lying" -0.9952027
1 "Lying" -0.97891276
1 "Lying" -0.76919083
1 "Lying" -0.78387438
1 "Lying" -0.99208552
1 "Lying" -0.99898965
1 "Lying" -0.999708
1 "Lying" -0.99991801
1 "Lying" -0.99991063
1 "Lying" -0.99986046
1 "Lying" -0.99862464
1 "Lying" -0.99988178
1 "Lying" -0.99989981
1 "Lying" -0.99989252
1 "Lying" -0.99991133
1 "Lying" -0.99991765
1 "Lying" -0.99993228
1 "Lying" -0.99988616
1 "Lying" -0.99985649
1 "Lying" -0.9998738
1 "Lying" -0.99990888
1 "Lying" -0.99995041
1 "Lying" -0.93153514
1 "Lying" -0.99594708
1 "Lying" -0.99974728
1 "Lying" -0.99983567
1 "Lying" -0.99984823
1 "Lying" -0.99986065
1 "Lying" -0.99985055
1 "Lying" -0.99986815
1 "Lying" -0.99988525
1 "Lying" -0.99989982
1 "Lying" -0.99991479
1 "Sitting" -0.99985216
1 "Sitting" -0.99962988
1 "Sitting" -0.99961317
1 "Sitting" -0.99980556
1 "Sitting" -0.99982993
1 "Sitting" -0.99985656
1 "Sitting" -0.99980032
1 "Sitting" -0.99974875
1 "Sitting" -0.99972502
1 "Sitting" -0.99932067
1 "Sitting" -0.99949112
1 "Sitting" -0.99990806
1 "Sitting" -0.99991289
1 "Sitting" -0.99991156
1 "Sitting" -0.99975545
1 "Sitting" -0.99995439
1 "Sitting" -0.99991884
1 "Sitting" -0.99988565
1 "Sitting" -0.99989647
1 "Sitting" -0.99990024
1 "Sitting" -0.9999227
1 "Sitting" -0.99986212
1 "Sitting" -0.99976294
1 "Sitting" -0.9998121
1 "Sitting" -0.99984189
1 "Sitting" -0.99983502
1 "Sitting" -0.99987298
1 "Sitting" -0.99974206
1 "Sitting" -0.99974093
1 "Sitting" -0.99977932
1 "Sitting" -0.99901987
1 "Sitting" -0.99873231
1 "Sitting" -0.99965858
1 "Sitting" -0.99985461
1 "Sitting" -0.99991378
1 "Sitting" -0.99944007
1 "Sitting" -0.99941109
1 "Sitting" -0.99982972
1 "Sitting" -0.99987104
1 "Sitting" -0.99986937
1 "Sitting" -0.9998523
1 "Sitting" -0.99955793
1 "Sitting" -0.99974487
1 "Sitting" -0.99987635
1 "Sitting" -0.9998936
1 "Sitting" -0.99988701
1 "Sitting" -0.99992151
1 "Sitting" -0.99991403
1 "Sitting" -0.99994269
1 "Sitting" -0.99992786
1 "Sitting" -0.99987953
1 "Sitting" -0.99987044
1 "Sitting" -0.99989327
1 "Standing" -0.99895
1 "Standing" -0.99982565
1 "Standing" -0.99992428
1 "Standing" -0.98584801
1 "Standing" -0.98316105
1 "Standing" -0.99712469
1 "Standing" -0.99964972
1 "Standing" -0.99992544
1 "Standing" -0.99994345
1 "Standing" -0.99991219
1 "Standing" -0.99988949
1 "Standing" -0.99939151
1 "Standing" -0.99994045
1 "Standing" -0.99993552
1 "Standing" -0.99988258
1 "Standing" -0.99987277
1 "Standing" -0.99987873
1 "Standing" -0.99990084
1 "Standing" -0.9999364
1 "Standing" -0.99988396
1 "Standing" -0.99985653
1 "Standing" -0.99993391
1 "Standing" -0.99993656
1 "Standing" -0.99989833
1 "Standing" -0.99911906
1 "Standing" -0.99991491
1 "Standing" -0.99989238
1 "Standing" -0.99988966
1 "Standing" -0.99988096
1 "Standing" -0.99987526
1 "Standing" -0.99993935
1 "Standing" -0.99993891
1 "Standing" -0.99992179
1 "Standing" -0.99988564
1 "Standing" -0.9998664
1 "Standing" -0.99914053
1 "Standing" -0.99983819
1 "Standing" -0.99987876
1 "Standing" -0.99991053
1 "Standing" -0.99988649
1 "Standing" -0.99987545
1 "Standing" -0.9999187
1 "Standing" -0.99996404
1 "Standing" -0.99994666
1 "Standing" -0.9999471
1 "Standing" -0.99997478
1 "Standing" -0.99987522
1 "Walking" -0.57350196
1 "Walking" -0.46628283
1 "Walking" -0.48408763
1 "Walking" -0.35954661
1 "Walking" -0.3719299
1 "Walking" -0.48871461
1 "Walking" -0.43632571
1 "Walking" -0.38672207
1 "Walking" -0.51818976
1 "Walking" -0.36658336
1 "Walking" -0.49692969
1 "Walking" -0.44911134
1 "Walking" -0.35543722
1 "Walking" -0.23168291
1 "Walking" -0.15482835
1 "Walking" -0.29526266
1 "Walking" -0.38629997
1 "Walking" -0.42200705
1 "Walking" -0.3344516
1 "Walking" -0.37172618
1 "Walking" -0.33126781
1 "Walking" -0.39791846
1 "Walking" -0.46085663
1 "Walking" -0.12722771
1 "Walking" -0.1060023
1 "Walking" -0.062655516
1 "Walking" -0.22370698
1 "Walking" -0.49733023
1 "Walking" -0.27618104
1 "Walking" -0.079152082
1 "Walking" -0.15807255
1 "Walking" -0.26752464
1 "Walking" -0.34854863
1 "Walking" -0.11425791
1 "Walking" -0.42727076
1 "Walking" -0.49947562
1 "Walking" -0.42209359
1 "Walking" -0.32883348
1 "Walking" -0.29515538
1 "Walking" -0.38727806
1 "Walking" -0.48051228
1 "Walking" -0.56947381
1 "Walking" -0.55329275
