"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99976601
1 "Lying" -0.99997804
1 "Lying" -0.99999074
1 "Lying" -0.99999581
1 "Lying" -0.99999143
1 "Lying" -0.99999292
1 "Lying" -0.99999109
1 "Lying" -0.99999677
1 "Lying" -0.99999583
1 "Lying" -0.99997935
1 "Lying" -0.99999067
1 "Lying" -0.99999773
1 "Lying" -0.99999119
1 "Lying" -0.99775167
1 "Lying" -0.99994669
1 "Lying" -0.99329507
1 "Lying" -0.99188747
1 "Lying" -0.9994971
1 "Lying" -0.99561914
1 "Lying" -0.98010196
1 "Lying" -0.98660667
1 "Lying" -0.99777229
1 "Lying" -0.99993725
1 "Lying" -0.99995886
1 "Lying" -0.99997925
1 "Lying" -0.99996693
1 "Lying" -0.99997406
1 "Lying" -0.99987942
1 "Lying" -0.99998877
1 "Lying" -0.99999074
1 "Lying" -0.99999275
1 "Lying" -0.99999104
1 "Lying" -0.9999907
1 "Lying" -0.99999815
1 "Lying" -0.99999973
1 "Lying" -0.99999399
1 "Lying" -0.99998826
1 "Lying" -0.99998218
1 "Lying" -0.99999151
1 "Lying" -0.988196
1 "Lying" -0.99695905
1 "Lying" -0.99976714
1 "Lying" -0.99981453
1 "Lying" -0.99996724
1 "Lying" -0.99997797
1 "Lying" -0.99998246
1 "Lying" -0.9999884
1 "Lying" -0.99993753
1 "Lying" -0.99990336
1 "Lying" -0.99996836
1 "Sitting" -0.99998649
1 "Sitting" -0.99999635
1 "Sitting" -0.99999355
1 "Sitting" -0.9999978
1 "Sitting" -0.99999527
1 "Sitting" -0.99998777
1 "Sitting" -0.99998793
1 "Sitting" -0.99999237
1 "Sitting" -0.99999657
1 "Sitting" -0.99997985
1 "Sitting" -0.99997602
1 "Sitting" -0.99999775
1 "Sitting" -0.99999872
1 "Sitting" -0.99999727
1 "Sitting" -0.99999245
1 "Sitting" -0.9999895
1 "Sitting" -0.99998481
1 "Sitting" -0.99999368
1 "Sitting" -0.99998364
1 "Sitting" -0.9999922
1 "Sitting" -0.99999727
1 "Sitting" -0.99999622
1 "Sitting" -0.99999092
1 "Sitting" -0.99999151
1 "Sitting" -0.99999783
1 "Sitting" -0.99999694
1 "Sitting" -0.99999602
1 "Sitting" -0.99997784
1 "Sitting" -0.99998218
1 "Sitting" -0.99998609
1 "Sitting" -0.9999756
1 "Sitting" -0.99996442
1 "Sitting" -0.99997291
1 "Sitting" -0.99999301
1 "Sitting" -0.99999618
1 "Sitting" -0.99999396
1 "Sitting" -0.99999489
1 "Sitting" -0.99998933
1 "Sitting" -0.99999153
1 "Sitting" -0.99998988
1 "Sitting" -0.99998721
1 "Sitting" -0.9999434
1 "Sitting" -0.99999344
1 "Sitting" -0.99999483
1 "Sitting" -0.99998684
1 "Sitting" -0.99999493
1 "Sitting" -0.99999991
1 "Sitting" -0.9999977
1 "Sitting" -0.99999263
1 "Sitting" -0.99999617
1 "Sitting" -0.99999287
1 "Sitting" -0.99999387
1 "Sitting" -0.99999658
1 "Standing" -0.99996941
1 "Standing" -0.99997686
1 "Standing" -0.99999459
1 "Standing" -0.99659968
1 "Standing" -0.99500802
1 "Standing" -0.99888565
1 "Standing" -0.99993892
1 "Standing" -0.99999476
1 "Standing" -0.99999151
1 "Standing" -0.99999099
1 "Standing" -0.9999894
1 "Standing" -0.99995596
1 "Standing" -0.99998942
1 "Standing" -0.99997945
1 "Standing" -0.99998274
1 "Standing" -0.99997255
1 "Standing" -0.99997794
1 "Standing" -0.99998795
1 "Standing" -0.99999141
1 "Standing" -0.99998935
1 "Standing" -0.99998969
1 "Standing" -0.99999162
1 "Standing" -0.99999111
1 "Standing" -0.99999061
1 "Standing" -0.99994843
1 "Standing" -0.99999097
1 "Standing" -0.9999969
1 "Standing" -0.99999618
1 "Standing" -0.99999374
1 "Standing" -0.99999604
1 "Standing" -0.99999605
1 "Standing" -0.99999549
1 "Standing" -0.99999071
1 "Standing" -0.99998487
1 "Standing" -0.99997615
1 "Standing" -0.99979171
1 "Standing" -0.99998829
1 "Standing" -0.99998727
1 "Standing" -0.99999984
1 "Standing" -0.99999662
1 "Standing" -0.99998525
1 "Standing" -0.99998389
1 "Standing" -0.99999432
1 "Standing" -0.99999522
1 "Standing" -0.9999967
1 "Standing" -0.9999923
1 "Standing" -0.99997708
1 "Walking" -0.85101566
1 "Walking" -0.80364656
1 "Walking" -0.81488278
1 "Walking" -0.77687544
1 "Walking" -0.76654354
1 "Walking" -0.6836006
1 "Walking" -0.7162931
1 "Walking" -0.82493233
1 "Walking" -0.86466437
1 "Walking" -0.78820594
1 "Walking" -0.79440641
1 "Walking" -0.78195758
1 "Walking" -0.74984669
1 "Walking" -0.62554926
1 "Walking" -0.71099745
1 "Walking" -0.76819556
1 "Walking" -0.78753746
1 "Walking" -0.8199053
1 "Walking" -0.87046741
1 "Walking" -0.84316713
1 "Walking" -0.75263079
1 "Walking" -0.62400899
1 "Walking" -0.68845992
1 "Walking" -0.72043281
1 "Walking" -0.76597567
1 "Walking" -0.77438664
1 "Walking" -0.75182912
1 "Walking" -0.75181237
1 "Walking" -0.74576985
1 "Walking" -0.7822219
1 "Walking" -0.80159928
1 "Walking" -0.84236279
1 "Walking" -0.83674209
1 "Walking" -0.7242574
1 "Walking" -0.78297522
1 "Walking" -0.79451995
1 "Walking" -0.7768867
1 "Walking" -0.74809931
1 "Walking" -0.74679822
1 "Walking" -0.83316906
1 "Walking" -0.86730569
1 "Walking" -0.88200352
1 "Walking" -0.88036997
1 "Walking" -0.87620613
1 "Walking" -0.89138923
1 "Walking" -0.86902821
1 "Walking" -0.8908548
1 "Walking" -0.88515136
1 "Walking" -0.85895028
1 "Walking" -0.86513192
1 "Walking" -0.86707318
1 "Walking" -0.85125293
1 "Walking" -0.87251423
1 "Walking" -0.86073921
1 "Walking" -0.86657181
1 "Walking" -0.85286353
1 "Walking" -0.8380052
1 "Walking" -0.82523608
1 "Walking" -0.84295493
1 "Walking" -0.87730554
1 "Walking" -0.88078136
1 "Walking" -0.86275523
1 "Walking" -0.83968212
1 "Walking" -0.85325218
1 "Walking" -0.83493228
1 "Walking" -0.84529014
1 "Walking" -0.84778898
1 "Walking" -0.84348108
1 "Walking" -0.8885526
1 "Walking" -0.86341043
1 "Walking" -0.86080656
1 "Walking" -0.85079668
1 "Walking" -0.83354964
1 "Walking" -0.81219232
1 "Walking" -0.84964194
1 "Walking" -0.86000074
1 "Walking" -0.84095405
1 "Walking" -0.85853715
1 "Walking" -0.86919113
1 "Walking" -0.87908514
1 "Walking" -0.90575354
1 "Walking" -0.8523603
1 "Walking" -0.84139084
1 "Walking" -0.8556997
1 "Walking" -0.8761609
1 "Walking" -0.86591676
1 "Walking" -0.84808089
1 "Walking" -0.84416051
1 "Walking" -0.81278658
1 "Walking" -0.81935601
1 "Walking" -0.8286166
1 "Walking" -0.81318277
1 "Walking" -0.85479609
1 "Walking" -0.83073882
1 "Walking" -0.8399037
1 "Walking Down Stairs" -0.73005965
1 "Walking Down Stairs" -0.61575398
1 "Walking Down Stairs" -0.65472523
1 "Walking Down Stairs" -0.71307948
1 "Walking Down Stairs" -0.52323784
1 "Walking Down Stairs" -0.455353
1 "Walking Down Stairs" -0.61162168
1 "Walking Down Stairs" -0.61070704
1 "Walking Down Stairs" -0.69747911
1 "Walking Down Stairs" -0.57774055
1 "Walking Down Stairs" -0.64644346
1 "Walking Down Stairs" -0.61852065
1 "Walking Down Stairs" -0.49513303
1 "Walking Down Stairs" -0.60902663
1 "Walking Down Stairs" -0.43114706
1 "Walking Down Stairs" -0.56878243
1 "Walking Down Stairs" -0.29911032
1 "Walking Down Stairs" -0.51099416
1 "Walking Down Stairs" -0.57429137
1 "Walking Down Stairs" -0.69183937
1 "Walking Down Stairs" -0.60956223
1 "Walking Down Stairs" -0.58783311
1 "Walking Down Stairs" -0.65892749
1 "Walking Down Stairs" -0.65854248
1 "Walking Down Stairs" -0.62869082
1 "Walking Down Stairs" -0.68374513
1 "Walking Down Stairs" -0.67214833
1 "Walking Down Stairs" -0.66249914
1 "Walking Down Stairs" -0.63157647
1 "Walking Down Stairs" -0.68471935
1 "Walking Down Stairs" -0.61851259
1 "Walking Down Stairs" -0.57944325
1 "Walking Down Stairs" -0.42761967
1 "Walking Down Stairs" -0.47861608
1 "Walking Down Stairs" -0.68519531
1 "Walking Down Stairs" -0.73273939
1 "Walking Down Stairs" -0.66004314
1 "Walking Down Stairs" -0.70162031
1 "Walking Down Stairs" -0.50284506
1 "Walking Down Stairs" -0.43586115
1 "Walking Down Stairs" -0.5474252
1 "Walking Down Stairs" -0.51682437
1 "Walking Down Stairs" -0.60917544
1 "Walking Down Stairs" -0.51265742
1 "Walking Down Stairs" -0.56290293
1 "Walking Down Stairs" -0.69658674
1 "Walking Down Stairs" -0.66162647
1 "Walking Down Stairs" -0.60848331
1 "Walking Down Stairs" -0.58445582
1 "Walking Up Stairs" -0.85412735
1 "Walking Up Stairs" -0.82110676
1 "Walking Up Stairs" -0.83392733
1 "Walking Up Stairs" -0.88096424
1 "Walking Up Stairs" -0.84394817
1 "Walking Up Stairs" -0.89876964
1 "Walking Up Stairs" -0.87178724
1 "Walking Up Stairs" -0.85525714
1 "Walking Up Stairs" -0.74828485
1 "Walking Up Stairs" -0.82072026
1 "Walking Up Stairs" -0.84009733
1 "Walking Up Stairs" -0.84934719
1 "Walking Up Stairs" -0.86727457
1 "Walking Up Stairs" -0.87744431
1 "Walking Up Stairs" -0.83539846
1 "Walking Up Stairs" -0.85370023
1 "Walking Up Stairs" -0.87333493
1 "Walking Up Stairs" -0.83685641
1 "Walking Up Stairs" -0.83455718
1 "Walking Up Stairs" -0.85679433
1 "Walking Up Stairs" -0.90144658
1 "Walking Up Stairs" -0.90393018
1 "Walking Up Stairs" -0.92294905
1 "Walking Up Stairs" -0.87837782
1 "Walking Up Stairs" -0.84052787
1 "Walking Up Stairs" -0.89133097
1 "Walking Up Stairs" -0.87798553
1 "Walking Up Stairs" -0.83158179
1 "Walking Up Stairs" -0.79929848
1 "Walking Up Stairs" -0.86693258
1 "Walking Up Stairs" -0.82177293
1 "Walking Up Stairs" -0.78088256
1 "Walking Up Stairs" -0.82151245
