"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99944232
1 "Lying" -0.99984212
1 "Lying" -0.99988878
1 "Lying" -0.99993632
1 "Lying" -0.99991684
1 "Lying" -0.99984183
1 "Lying" -0.99986397
1 "Lying" -0.99988149
1 "Lying" -0.99987164
1 "Lying" -0.99986577
1 "Lying" -0.99986796
1 "Lying" -0.99986762
1 "Lying" -0.99986954
1 "Lying" -0.99646929
1 "Lying" -0.99953497
1 "Lying" -0.98492063
1 "Lying" -0.98361182
1 "Lying" -0.99833378
1 "Lying" -0.991409
1 "Lying" -0.92033697
1 "Lying" -0.92336108
1 "Lying" -0.9948287
1 "Lying" -0.99979268
1 "Lying" -0.99986386
1 "Lying" -0.99993115
1 "Lying" -0.99985976
1 "Lying" -0.99984981
1 "Lying" -0.99952085
1 "Lying" -0.99991228
1 "Lying" -0.9999073
1 "Lying" -0.99988975
1 "Lying" -0.99987225
1 "Lying" -0.99989032
1 "Lying" -0.99984854
1 "Lying" -0.99979075
1 "Lying" -0.99992333
1 "Lying" -0.99996079
1 "Lying" -0.99989639
1 "Lying" -0.99993116
1 "Lying" -0.96337417
1 "Lying" -0.98149748
1 "Lying" -0.99899392
1 "Lying" -0.9988669
1 "Lying" -0.99944757
1 "Lying" -0.99986371
1 "Lying" -0.99987569
1 "Lying" -0.99984729
1 "Lying" -0.99969426
1 "Lying" -0.99956853
1 "Lying" -0.99973004
1 "Sitting" -0.99988449
1 "Sitting" -0.99984664
1 "Sitting" -0.99979508
1 "Sitting" -0.99988296
1 "Sitting" -0.99986037
1 "Sitting" -0.99985615
1 "Sitting" -0.99976276
1 "Sitting" -0.99981116
1 "Sitting" -0.99994519
1 "Sitting" -0.99976777
1 "Sitting" -0.99966784
1 "Sitting" -0.99979119
1 "Sitting" -0.99986852
1 "Sitting" -0.99987312
1 "Sitting" -0.99982811
1 "Sitting" -0.9999163
1 "Sitting" -0.99993392
1 "Sitting" -0.99992583
1 "Sitting" -0.99991638
1 "Sitting" -0.99994291
1 "Sitting" -0.99989295
1 "Sitting" -0.99986133
1 "Sitting" -0.99986571
1 "Sitting" -0.99986831
1 "Sitting" -0.9998641
1 "Sitting" -0.99984008
1 "Sitting" -0.99982906
1 "Sitting" -0.99962254
1 "Sitting" -0.99985452
