"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.93435994
1 "Lying" -0.99217138
1 "Lying" -0.99409921
1 "Lying" -0.99544358
1 "Lying" -0.99576462
1 "Lying" -0.9930619
1 "Lying" -0.99162549
1 "Lying" -0.99454684
1 "Lying" -0.99225174
1 "Lying" -0.99046395
1 "Lying" -0.9929872
1 "Lying" -0.99360382
1 "Lying" -0.9927629
1 "Lying" -0.88397114
1 "Lying" -0.97900296
1 "Lying" -0.76076577
1 "Lying" -0.75344235
1 "Lying" -0.93538425
1 "Lying" -0.80397894
1 "Lying" -0.4057836
1 "Lying" -0.42992886
1 "Lying" -0.87842232
1 "Lying" -0.97528808
1 "Lying" -0.9804297
1 "Lying" -0.9931165
1 "Lying" -0.99184117
1 "Lying" -0.98991076
1 "Lying" -0.96873462
1 "Lying" -0.99290457
1 "Lying" -0.99284013
1 "Lying" -0.99139473
1 "Lying" -0.99239439
1 "Lying" -0.99582094
1 "Lying" -0.9936636
1 "Lying" -0.99126473
1 "Lying" -0.99241682
1 "Lying" -0.99431783
1 "Lying" -0.99437088
1 "Lying" -0.99602755
1 "Lying" -0.67210106
1 "Lying" -0.7914262
1 "Lying" -0.96399666
1 "Lying" -0.97077637
1 "Lying" -0.98309226
1 "Lying" -0.9887096
1 "Lying" -0.98965402
1 "Lying" -0.99220305
1 "Lying" -0.98767913
1 "Lying" -0.9866757
1 "Lying" -0.99126887
1 "Sitting" -0.99051499
1 "Sitting" -0.98985094
1 "Sitting" -0.98723722
1 "Sitting" -0.99265727
1 "Sitting" -0.99325877
1 "Sitting" -0.9922249
1 "Sitting" -0.98943526
1 "Sitting" -0.99005
1 "Sitting" -0.99278495
1 "Sitting" -0.98360759
1 "Sitting" -0.98227267
1 "Sitting" -0.99379471
1 "Sitting" -0.99588237
1 "Sitting" -0.99576994
1 "Sitting" -0.98773524
1 "Sitting" -0.99565289
1 "Sitting" -0.9949365
1 "Sitting" -0.99525701
1 "Sitting" -0.99608574
1 "Sitting" -0.99645689
1 "Sitting" -0.99535634
1 "Sitting" -0.99261313
1 "Sitting" -0.99193247
1 "Sitting" -0.9925245
1 "Sitting" -0.99263784
1 "Sitting" -0.99270238
1 "Sitting" -0.99331311
1 "Sitting" -0.98462259
1 "Sitting" -0.9895737
1 "Sitting" -0.98860371
1 "Sitting" -0.97996739
1 "Sitting" -0.97966971
1 "Sitting" -0.98424223
1 "Sitting" -0.98866743
1 "Sitting" -0.99538188
1 "Sitting" -0.98632979
1 "Sitting" -0.98371013
1 "Sitting" -0.99213588
1 "Sitting" -0.99475008
1 "Sitting" -0.99334992
1 "Sitting" -0.98953813
1 "Sitting" -0.98588472
1 "Sitting" -0.99010138
1 "Sitting" -0.99472389
1 "Sitting" -0.99446176
1 "Sitting" -0.99274205
1 "Sitting" -0.99548943
1 "Sitting" -0.99600209
1 "Sitting" -0.99779293
1 "Sitting" -0.99661083
1 "Sitting" -0.99420963
1 "Sitting" -0.99383871
1 "Sitting" -0.99603771
1 "Standing" -0.97662452
1 "Standing" -0.99204965
1 "Standing" -0.99367903
1 "Standing" -0.86351839
1 "Standing" -0.84667727
1 "Standing" -0.92524755
1 "Standing" -0.9887419
1 "Standing" -0.9956868
1 "Standing" -0.99696378
1 "Standing" -0.99678119
1 "Standing" -0.99559652
