"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.13600931
1 "Lying" -0.20629566
1 "Lying" -0.31677753
1 "Lying" -0.2325659
1 "Lying" -0.091010161
1 "Lying" -0.12454517
1 "Lying" -0.079914849
1 "Lying" -0.071252534
1 "Lying" -0.22003868
1 "Lying" -0.15787477
1 "Lying" -0.020567811
1 "Lying" 0.0051175226
1 "Lying" -0.18195072
1 "Lying" -0.22936883
1 "Lying" -0.2622423
1 "Lying" 0.40600596
1 "Lying" 0.37394583
1 "Lying" 0.081289097
1 "Lying" -0.34773847
1 "Lying" -0.45008436
1 "Lying" -0.39892201
1 "Lying" 0.25550356
1 "Lying" -0.17140389
1 "Lying" -0.40538743
1 "Lying" -0.38317923
1 "Lying" -0.28142971
1 "Lying" -0.12442418
1 "Lying" -0.18475863
1 "Lying" -0.077628033
1 "Lying" -0.29185532
1 "Lying" -0.38496383
1 "Lying" -0.37657588
1 "Lying" -0.26283883
1 "Lying" -0.078108235
1 "Lying" -0.21539772
1 "Lying" -0.16845142
1 "Lying" -0.26934053
1 "Lying" -0.31247803
1 "Lying" -0.13157685
1 "Lying" 0.099733968
1 "Lying" -0.43683706
1 "Lying" -0.089466303
1 "Lying" 0.15790605
1 "Lying" 0.028914998
1 "Lying" -0.10022093
1 "Lying" -0.2441275
1 "Lying" -0.38965584
1 "Lying" -0.087557761
1 "Lying" 0.07235308
1 "Lying" -0.047427285
1 "Sitting" -0.23730869
1 "Sitting" -0.24494134
1 "Sitting" -0.260088
1 "Sitting" -0.24745115
1 "Sitting" -0.17012088
1 "Sitting" 0.01781662
1 "Sitting" 0.061553228
1 "Sitting" 0.035128668
1 "Sitting" -0.31461131
1 "Sitting" -0.25761217
1 "Sitting" -0.38769225
1 "Sitting" -0.50283433
1 "Sitting" -0.3056199
1 "Sitting" -0.47563592
1 "Sitting" 0.030589991
1 "Sitting" -0.28472408
1 "Sitting" -0.19630742
1 "Sitting" -0.34174493
1 "Sitting" -0.24647603
1 "Sitting" -0.084096426
1 "Sitting" -0.34552382
1 "Sitting" -0.46423473
1 "Sitting" -0.17869837
1 "Sitting" -0.10831927
1 "Sitting" -0.33779666
1 "Sitting" -0.3254526
1 "Sitting" -0.40660636
1 "Sitting" -0.29204083
1 "Sitting" -0.33326277
1 "Sitting" -0.13189937
