"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.96035654
1 "Lying" -0.99274198
1 "Lying" -0.99513057
1 "Lying" -0.99665137
1 "Lying" -0.99626463
1 "Lying" -0.99351031
1 "Lying" -0.99320615
1 "Lying" -0.9949283
1 "Lying" -0.9932731
1 "Lying" -0.99125179
1 "Lying" -0.99333114
1 "Lying" -0.99407848
1 "Lying" -0.99366314
1 "Lying" -0.9219028
1 "Lying" -0.98397266
1 "Lying" -0.85561065
1 "Lying" -0.82366323
1 "Lying" -0.94306581
1 "Lying" -0.85112159
1 "Lying" -0.56428225
1 "Lying" -0.62540929
1 "Lying" -0.92047767
1 "Lying" -0.97568945
1 "Lying" -0.98420696
1 "Lying" -0.99420976
1 "Lying" -0.99250833
1 "Lying" -0.99000829
1 "Lying" -0.97559993
1 "Lying" -0.9933907
1 "Lying" -0.99367351
1 "Lying" -0.99125355
1 "Lying" -0.99235113
1 "Lying" -0.99540573
1 "Lying" -0.99405126
1 "Lying" -0.9916359
1 "Lying" -0.99322192
1 "Lying" -0.99445258
1 "Lying" -0.99489391
1 "Lying" -0.99666354
1 "Lying" -0.742861
1 "Lying" -0.88880599
1 "Lying" -0.96977274
1 "Lying" -0.97365752
1 "Lying" -0.98525868
1 "Lying" -0.98915485
1 "Lying" -0.99064473
1 "Lying" -0.99264565
1 "Lying" -0.9885357
1 "Lying" -0.9870433
1 "Lying" -0.99032317
1 "Sitting" -0.99330586
1 "Sitting" -0.99125349
1 "Sitting" -0.98853127
1 "Sitting" -0.99307804
1 "Sitting" -0.99348
1 "Sitting" -0.9930177
1 "Sitting" -0.9913143
1 "Sitting" -0.99085085
1 "Sitting" -0.99332542
1 "Sitting" -0.98538815
1 "Sitting" -0.98441139
1 "Sitting" -0.99279492
1 "Sitting" -0.99486033
1 "Sitting" -0.99536254
1 "Sitting" -0.99047837
1 "Sitting" -0.99628275
1 "Sitting" -0.99552049
1 "Sitting" -0.99564686
1 "Sitting" -0.99585704
1 "Sitting" -0.99645316
1 "Sitting" -0.99547632
1 "Sitting" -0.99306888
1 "Sitting" -0.99222923
1 "Sitting" -0.99337454
1 "Sitting" -0.99333286
1 "Sitting" -0.99251624
1 "Sitting" -0.99338553
1 "Sitting" -0.98762595
1 "Sitting" -0.9908447
1 "Sitting" -0.99045171
1 "Sitting" -0.98267787
1 "Sitting" -0.98190103
1 "Sitting" -0.98739953
1 "Sitting" -0.99024882
1 "Sitting" -0.9958991
1 "Sitting" -0.98990945
1 "Sitting" -0.98697273
1 "Sitting" -0.99325987
1 "Sitting" -0.99532568
1 "Sitting" -0.99343225
1 "Sitting" -0.9918442
1 "Sitting" -0.98659153
1 "Sitting" -0.99089099
1 "Sitting" -0.9950179
1 "Sitting" -0.99503169
1 "Sitting" -0.99315295
1 "Sitting" -0.99597532
1 "Sitting" -0.99668601
1 "Sitting" -0.99824461
1 "Sitting" -0.99697299
1 "Sitting" -0.99382101
1 "Sitting" -0.99457398
1 "Sitting" -0.9961445
1 "Standing" -0.97526798
1 "Standing" -0.99288968
1 "Standing" -0.99423479
1 "Standing" -0.91387886
1 "Standing" -0.86678801
1 "Standing" -0.94302661
1 "Standing" -0.99107291
1 "Standing" -0.99684513
1 "Standing" -0.99763638
1 "Standing" -0.99661376
1 "Standing" -0.99594417
1 "Standing" -0.98365142
1 "Standing" -0.9923627
1 "Standing" -0.9934185
1 "Standing" -0.99298342
1 "Standing" -0.99379982
1 "Standing" -0.99413667
1 "Standing" -0.99493458
1 "Standing" -0.99568683
1 "Standing" -0.99431393
1 "Standing" -0.99348023
1 "Standing" -0.9950409
1 "Standing" -0.9959885
1 "Standing" -0.99400136
1 "Standing" -0.98487886
1 "Standing" -0.99214795
1 "Standing" -0.99064746
1 "Standing" -0.99006731
1 "Standing" -0.99124727
1 "Standing" -0.99205834
1 "Standing" -0.99316844
1 "Standing" -0.9950298
1 "Standing" -0.99495393
1 "Standing" -0.99442617
1 "Standing" -0.99488825
1 "Standing" -0.97599953
1 "Standing" -0.98962553
1 "Standing" -0.99352627
1 "Standing" -0.99443976
1 "Standing" -0.99126594
1 "Standing" -0.99114741
1 "Standing" -0.99445797
1 "Standing" -0.99816046
1 "Standing" -0.99789348
1 "Standing" -0.99716187
1 "Standing" -0.99746652
