"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.92969695
1 "Lying" -0.99096036
1 "Lying" -0.9905404
1 "Lying" -0.9929091
1 "Lying" -0.99175845
1 "Lying" -0.99496767
1 "Lying" -0.99227357
1 "Lying" -0.99021327
1 "Lying" -0.99200066
1 "Lying" -0.98822413
1 "Lying" -0.99456464
1 "Lying" -0.99647206
1 "Lying" -0.99572963
1 "Lying" -0.90893652
1 "Lying" -0.99164198
1 "Lying" -0.75411792
1 "Lying" -0.73989811
1 "Lying" -0.94677875
1 "Lying" -0.88215216
1 "Lying" -0.5063261
1 "Lying" -0.52733389
1 "Lying" -0.91933368
1 "Lying" -0.95660772
1 "Lying" -0.98878613
1 "Lying" -0.992215
1 "Lying" -0.99412567
1 "Lying" -0.99241861
1 "Lying" -0.96274608
1 "Lying" -0.99001902
1 "Lying" -0.99286694
1 "Lying" -0.99055936
1 "Lying" -0.99197674
1 "Lying" -0.99562024
1 "Lying" -0.99497597
1 "Lying" -0.98873301
1 "Lying" -0.98608201
1 "Lying" -0.99145892
1 "Lying" -0.99091664
1 "Lying" -0.99593619
1 "Lying" -0.69044506
1 "Lying" -0.92110942
1 "Lying" -0.98950119
1 "Lying" -0.99271784
1 "Lying" -0.98935904
1 "Lying" -0.98767207
1 "Lying" -0.99088205
1 "Lying" -0.99130366
1 "Lying" -0.98861523
1 "Lying" -0.99229784
1 "Lying" -0.99377107
1 "Sitting" -0.99197516
1 "Sitting" -0.98492321
1 "Sitting" -0.98535077
1 "Sitting" -0.98787422
1 "Sitting" -0.99037281
1 "Sitting" -0.99280148
1 "Sitting" -0.99111145
1 "Sitting" -0.98815205
1 "Sitting" -0.98537003
1 "Sitting" -0.97504704
1 "Sitting" -0.97953579
1 "Sitting" -0.99245668
1 "Sitting" -0.99119548
1 "Sitting" -0.99271988
1 "Sitting" -0.99163679
1 "Sitting" -0.99683558
1 "Sitting" -0.99528926
1 "Sitting" -0.99420234
1 "Sitting" -0.99307089
1 "Sitting" -0.99204065
1 "Sitting" -0.99388912
1 "Sitting" -0.99223538
1 "Sitting" -0.98914574
1 "Sitting" -0.98708931
1 "Sitting" -0.99182598
1 "Sitting" -0.98785395
1 "Sitting" -0.99344176
1 "Sitting" -0.98767465
1 "Sitting" -0.98899083
1 "Sitting" -0.98651727
1 "Sitting" -0.97549225
1 "Sitting" -0.97119601
1 "Sitting" -0.98608733
1 "Sitting" -0.99103986
1 "Sitting" -0.99391012
1 "Sitting" -0.98119968
1 "Sitting" -0.978887
1 "Sitting" -0.98742514
1 "Sitting" -0.99271717
1 "Sitting" -0.99341838
1 "Sitting" -0.9903654
1 "Sitting" -0.98219791
1 "Sitting" -0.99024867
1 "Sitting" -0.99149482
1 "Sitting" -0.99282607
1 "Sitting" -0.9921062
1 "Sitting" -0.99422806
1 "Sitting" -0.99410004
1 "Sitting" -0.99553284
1 "Sitting" -0.99464581
1 "Sitting" -0.99038836
1 "Sitting" -0.99202345
1 "Sitting" -0.99168985
1 "Standing" -0.96061757
1 "Standing" -0.98380385
1 "Standing" -0.99378542
1 "Standing" -0.90820751
1 "Standing" -0.8972162
1 "Standing" -0.95072325
1 "Standing" -0.98539373
1 "Standing" -0.99239823
1 "Standing" -0.99466432
1 "Standing" -0.99314857
1 "Standing" -0.99386568
1 "Standing" -0.98432086
1 "Standing" -0.99042914
1 "Standing" -0.99240359
1 "Standing" -0.99094409
1 "Standing" -0.98955961
1 "Standing" -0.99152006
1 "Standing" -0.98884084
1 "Standing" -0.99382446
1 "Standing" -0.99227296
1 "Standing" -0.98909625
1 "Standing" -0.99526535
1 "Standing" -0.99171575
1 "Standing" -0.99173383
1 "Standing" -0.95442222
1 "Standing" -0.99507727
1 "Standing" -0.99076867
1 "Standing" -0.98651755
1 "Standing" -0.99092018
1 "Standing" -0.98760201
1 "Standing" -0.98960924
1 "Standing" -0.99245232
1 "Standing" -0.99332752
1 "Standing" -0.98984383
1 "Standing" -0.98930877
1 "Standing" -0.97761657
1 "Standing" -0.98949514
1 "Standing" -0.99142963
1 "Standing" -0.99367064
1 "Standing" -0.98828963
1 "Standing" -0.99031829
1 "Standing" -0.99430983
1 "Standing" -0.99592137
1 "Standing" -0.99349028
1 "Standing" -0.99720046
1 "Standing" -0.99805282
1 "Standing" -0.99413299
1 "Walking" -0.20964068
1 "Walking" -0.01636676
1 "Walking" -0.28105119
1 "Walking" -0.15458207
1 "Walking" -0.038507713
1 "Walking" -0.10289839
1 "Walking" -0.17741193
1 "Walking" 0.064489246
1 "Walking" -0.10802593
1 "Walking" -0.011542029
1 "Walking" -0.34620465
1 "Walking" 0.047673256
1 "Walking" 0.38905378
1 "Walking" 0.20296204
1 "Walking" 0.063466734
1 "Walking" -0.1700971
1 "Walking" -0.12011236
1 "Walking" -0.012390568
1 "Walking" 0.031079104
1 "Walking" 0.17243338
1 "Walking" -0.15517215
1 "Walking" 0.12276727
1 "Walking" 0.11613407
1 "Walking" 0.14908392
1 "Walking" -0.026909812
1 "Walking" 0.22940163
1 "Walking" 0.22611521
1 "Walking" -0.22522993
1 "Walking" 0.016787206
1 "Walking" 0.19310174
1 "Walking" -0.087923459
1 "Walking" 0.12242292
1 "Walking" 0.084019253
1 "Walking" 0.10040117
1 "Walking" -0.0092409802
1 "Walking" -0.060885078
1 "Walking" 0.029118442
1 "Walking" 0.06026529
1 "Walking" 0.21869722
1 "Walking" 0.21228895
1 "Walking" 0.0031461347
1 "Walking" -0.22421202
1 "Walking" -0.22453189
1 "Walking" -0.16619211
1 "Walking" -0.066360567
1 "Walking" -0.14521626
1 "Walking" -0.2126126
1 "Walking" -0.10722524
1 "Walking" -0.20905451
1 "Walking" 0.088645418
1 "Walking" 0.13532693
1 "Walking" 0.0097177282
1 "Walking" 0.020543534
1 "Walking" 0.17483498
1 "Walking" 0.07612019
1 "Walking" -0.25471406
1 "Walking" -0.010275641
1 "Walking" -0.10356509
1 "Walking" -0.12740655
1 "Walking" -0.094150113
1 "Walking" -0.10957585
1 "Walking" 0.12005718
1 "Walking" -0.18054359
1 "Walking" -0.060019425
1 "Walking" 0.11233973
1 "Walking" -0.025782828
1 "Walking" 0.088731013
1 "Walking" -0.023126234
1 "Walking" 0.12893633
1 "Walking" 0.11522149
1 "Walking" 0.29797199
1 "Walking" 0.32110796
1 "Walking" -0.052683674
1 "Walking" -0.18561831
1 "Walking" -0.09197158
1 "Walking" -0.047099252
1 "Walking" 0.077875706
1 "Walking" 0.24558738
1 "Walking" 0.079634516
1 "Walking" 0.068193369
1 "Walking" 0.082891785
1 "Walking" 0.10406811
1 "Walking" 0.33853861
1 "Walking" 0.19025994
1 "Walking" -0.16217856
1 "Walking" -0.036831642
1 "Walking" 0.028988149
1 "Walking" 0.1054285
1 "Walking" -0.072699522
1 "Walking" -0.20574508
1 "Walking" 0.01659704
1 "Walking" -0.024514036
1 "Walking" -0.00085423984
1 "Walking" 0.031052803
1 "Walking" 0.056808169
1 "Walking Down Stairs" -0.49701439
1 "Walking Down Stairs" -0.25191005
1 "Walking Down Stairs" -0.32967755
1 "Walking Down Stairs" -0.27892537
1 "Walking Down Stairs" -0.25361946
1 "Walking Down Stairs" -0.22008429
1 "Walking Down Stairs" -0.36303986
1 "Walking Down Stairs" -0.15675122
1 "Walking Down Stairs" -0.38053595
1 "Walking Down Stairs" -0.26427927
1 "Walking Down Stairs" -0.34759481
1 "Walking Down Stairs" -0.24570705
1 "Walking Down Stairs" -0.3314751
1 "Walking Down Stairs" -0.42288398
1 "Walking Down Stairs" -0.4018966
1 "Walking Down Stairs" -0.44305624
1 "Walking Down Stairs" -0.51367038
1 "Walking Down Stairs" -0.32591629
1 "Walking Down Stairs" -0.17729576
1 "Walking Down Stairs" -0.19330887
1 "Walking Down Stairs" -0.24686221
1 "Walking Down Stairs" -0.35230146
1 "Walking Down Stairs" -0.53643557
1 "Walking Down Stairs" -0.5481468
1 "Walking Down Stairs" -0.43380933
1 "Walking Down Stairs" -0.61215164
1 "Walking Down Stairs" -0.46231172
1 "Walking Down Stairs" -0.21129053
1 "Walking Down Stairs" -0.029158634
1 "Walking Down Stairs" -0.19029408
1 "Walking Down Stairs" -0.49036649
1 "Walking Down Stairs" -0.35109439
1 "Walking Down Stairs" -0.22336973
1 "Walking Down Stairs" -0.42896107
1 "Walking Down Stairs" -0.094511654
1 "Walking Down Stairs" -0.30840114
1 "Walking Down Stairs" -0.28689997
1 "Walking Down Stairs" -0.18325404
1 "Walking Down Stairs" -0.10651468
1 "Walking Down Stairs" -0.51116663
1 "Walking Down Stairs" -0.44079983
1 "Walking Down Stairs" -0.28118091
1 "Walking Down Stairs" -0.4180148
1 "Walking Down Stairs" -0.44972742
1 "Walking Down Stairs" -0.30732205
1 "Walking Down Stairs" -0.35667286
1 "Walking Down Stairs" -0.34761718
1 "Walking Down Stairs" -0.54342636
1 "Walking Down Stairs" -0.49415242
1 "Walking Up Stairs" -0.53731565
1 "Walking Up Stairs" -0.55293444
1 "Walking Up Stairs" -0.60951964
1 "Walking Up Stairs" -0.35465592
1 "Walking Up Stairs" -0.43331107
1 "Walking Up Stairs" -0.56369979
1 "Walking Up Stairs" -0.58201849
1 "Walking Up Stairs" -0.58083273
1 "Walking Up Stairs" -0.52862018
1 "Walking Up Stairs" -0.51901224
1 "Walking Up Stairs" -0.49739675
1 "Walking Up Stairs" -0.48767962
1 "Walking Up Stairs" -0.62122307
1 "Walking Up Stairs" -0.5515926
1 "Walking Up Stairs" -0.50730287
1 "Walking Up Stairs" -0.5826896
1 "Walking Up Stairs" -0.60457438
1 "Walking Up Stairs" -0.47136397
1 "Walking Up Stairs" -0.47137175
1 "Walking Up Stairs" -0.52209251
