"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.94917576
1 "Lying" -0.99288837
1 "Lying" -0.99448499
1 "Lying" -0.99473789
1 "Lying" -0.99530794
1 "Lying" -0.99303347
1 "Lying" -0.99250045
1 "Lying" -0.99512491
1 "Lying" -0.99453409
1 "Lying" -0.99174989
1 "Lying" -0.99299983
1 "Lying" -0.99308043
1 "Lying" -0.99092769
1 "Lying" -0.91582762
1 "Lying" -0.98210907
1 "Lying" -0.87009876
1 "Lying" -0.86668292
1 "Lying" -0.96309193
1 "Lying" -0.84128694
1 "Lying" -0.63698626
1 "Lying" -0.65892981
1 "Lying" -0.90822047
1 "Lying" -0.97465148
1 "Lying" -0.97598056
1 "Lying" -0.99267002
1 "Lying" -0.99132506
1 "Lying" -0.98867465
1 "Lying" -0.97392349
1 "Lying" -0.99103507
1 "Lying" -0.99188773
1 "Lying" -0.99032381
1 "Lying" -0.99169545
1 "Lying" -0.99579185
1 "Lying" -0.99336891
1 "Lying" -0.99266448
1 "Lying" -0.99250806
1 "Lying" -0.99165271
1 "Lying" -0.99342412
1 "Lying" -0.99411153
1 "Lying" -0.79581217
1 "Lying" -0.86598151
1 "Lying" -0.96225497
1 "Lying" -0.9703103
1 "Lying" -0.98884697
1 "Lying" -0.98621974
1 "Lying" -0.98767157
1 "Lying" -0.99349939
1 "Lying" -0.98993527
1 "Lying" -0.99088858
1 "Lying" -0.99280525
1 "Sitting" -0.99233245
1 "Sitting" -0.99503222
1 "Sitting" -0.9909937
1 "Sitting" -0.99444663
1 "Sitting" -0.99629204
1 "Sitting" -0.99485071
1 "Sitting" -0.99475512
1 "Sitting" -0.99494703
1 "Sitting" -0.99669274
1 "Sitting" -0.99153425
1 "Sitting" -0.99098572
1 "Sitting" -0.99819157
1 "Sitting" -0.99953805
1 "Sitting" -0.99749097
1 "Sitting" -0.98924824
1 "Sitting" -0.99478908
1 "Sitting" -0.99494893
1 "Sitting" -0.99530791
1 "Sitting" -0.99575245
1 "Sitting" -0.9966077
1 "Sitting" -0.99612215
1 "Sitting" -0.9958259
1 "Sitting" -0.99630977
1 "Sitting" -0.9965272
1 "Sitting" -0.99694736
1 "Sitting" -0.99654528
1 "Sitting" -0.99736314
1 "Sitting" -0.99431834
1 "Sitting" -0.99224282
1 "Sitting" -0.99159041
1 "Sitting" -0.99184398
1 "Sitting" -0.99199261
1 "Sitting" -0.98851718
1 "Sitting" -0.98981061
1 "Sitting" -0.99517924
1 "Sitting" -0.99137899
1 "Sitting" -0.99055001
1 "Sitting" -0.99609565
1 "Sitting" -0.99748175
1 "Sitting" -0.99724932
1 "Sitting" -0.99361254
1 "Sitting" -0.98834877
1 "Sitting" -0.99398808
1 "Sitting" -0.99639133
1 "Sitting" -0.99463525
1 "Sitting" -0.99312536
1 "Sitting" -0.99552711
1 "Sitting" -0.99585015
1 "Sitting" -0.99583789
1 "Sitting" -0.99681398
1 "Sitting" -0.99650771
1 "Sitting" -0.99757395
1 "Sitting" -0.99859092
