"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.89800411
1 "Lying" -0.99011125
1 "Lying" -0.99207153
1 "Lying" -0.99311399
1 "Lying" -0.99405544
1 "Lying" -0.99262297
1 "Lying" -0.9898414
1 "Lying" -0.99247489
1 "Lying" -0.98683269
1 "Lying" -0.98657491
1 "Lying" -0.99288781
1 "Lying" -0.9942709
1 "Lying" -0.99366968
1 "Lying" -0.85963
1 "Lying" -0.98237072
1 "Lying" -0.66911521
1 "Lying" -0.65948137
1 "Lying" -0.91342804
1 "Lying" -0.77748827
1 "Lying" -0.21058319
1 "Lying" -0.24437788
1 "Lying" -0.8793609
1 "Lying" -0.96828834
1 "Lying" -0.97793988
1 "Lying" -0.98906796
1 "Lying" -0.99219263
1 "Lying" -0.98980859
1 "Lying" -0.96163477
1 "Lying" -0.99190579
1 "Lying" -0.99052993
1 "Lying" -0.98856648
1 "Lying" -0.99057131
1 "Lying" -0.99466214
1 "Lying" -0.9933464
1 "Lying" -0.98897043
1 "Lying" -0.98743268
1 "Lying" -0.99139489
1 "Lying" -0.99283984
1 "Lying" -0.9952737
1 "Lying" -0.6254879
1 "Lying" -0.82101674
1 "Lying" -0.98307298
1 "Lying" -0.98833898
1 "Lying" -0.98858462
1 "Lying" -0.99041315
1 "Lying" -0.98943245
1 "Lying" -0.98931696
1 "Lying" -0.98973206
1 "Lying" -0.98913602
1 "Lying" -0.99180572
1 "Sitting" -0.98716991
1 "Sitting" -0.98131147
1 "Sitting" -0.98164225
1 "Sitting" -0.98872722
1 "Sitting" -0.98879002
1 "Sitting" -0.98824433
1 "Sitting" -0.98324029
1 "Sitting" -0.9807555
1 "Sitting" -0.98019053
1 "Sitting" -0.97084854
1 "Sitting" -0.97345576
1 "Sitting" -0.98967537
1 "Sitting" -0.98974889
1 "Sitting" -0.9920277
1 "Sitting" -0.98354471
1 "Sitting" -0.99470375
1 "Sitting" -0.99233802
1 "Sitting" -0.99136358
1 "Sitting" -0.9924115
1 "Sitting" -0.9930446
1 "Sitting" -0.99357857
1 "Sitting" -0.98689999
1 "Sitting" -0.98291315
1 "Sitting" -0.98644595
1 "Sitting" -0.98576146
1 "Sitting" -0.98709855
1 "Sitting" -0.98910225
1 "Sitting" -0.98121802
1 "Sitting" -0.98372413
1 "Sitting" -0.98271181
1 "Sitting" -0.96575663
1 "Sitting" -0.9597705
1 "Sitting" -0.9754289
1 "Sitting" -0.98579001
1 "Sitting" -0.99043342
1 "Sitting" -0.97198956
1 "Sitting" -0.96944689
1 "Sitting" -0.98643834
1 "Sitting" -0.99058521
1 "Sitting" -0.9882863
1 "Sitting" -0.98636432
1 "Sitting" -0.97865601
1 "Sitting" -0.98410592
1 "Sitting" -0.98805491
1 "Sitting" -0.99157092
1 "Sitting" -0.98992301
1 "Sitting" -0.99184638
1 "Sitting" -0.99179765
1 "Sitting" -0.99341403
1 "Sitting" -0.99342513
1 "Sitting" -0.99068613
1 "Sitting" -0.98941788
1 "Sitting" -0.99131547
1 "Standing" -0.96914184
1 "Standing" -0.98909638
1 "Standing" -0.99333255
1 "Standing" -0.85881998
1 "Standing" -0.84357581
1 "Standing" -0.93762977
1 "Standing" -0.98103161
1 "Standing" -0.99063849
1 "Standing" -0.99224316
1 "Standing" -0.99155288
1 "Standing" -0.99064115
1 "Standing" -0.96959332
1 "Standing" -0.99066458
1 "Standing" -0.99273746
1 "Standing" -0.99115707
1 "Standing" -0.99067982
1 "Standing" -0.99074368
1 "Standing" -0.98988184
1 "Standing" -0.99334792
1 "Standing" -0.98974683
1 "Standing" -0.98978356
1 "Standing" -0.99379154
1 "Standing" -0.99230792
1 "Standing" -0.99134531
1 "Standing" -0.97628974
1 "Standing" -0.99150685
1 "Standing" -0.98594129
1 "Standing" -0.98784882
1 "Standing" -0.98756434
1 "Standing" -0.98624452
1 "Standing" -0.98808554
1 "Standing" -0.98915282
1 "Standing" -0.99154593
1 "Standing" -0.99172698
1 "Standing" -0.99065617
1 "Standing" -0.96298513
1 "Standing" -0.9856009
1 "Standing" -0.98826597
1 "Standing" -0.99091155
1 "Standing" -0.99000141
1 "Standing" -0.98893227
1 "Standing" -0.99114356
1 "Standing" -0.99305271
1 "Standing" -0.99155847
1 "Standing" -0.99390432
1 "Standing" -0.99692442
1 "Standing" -0.99090677
1 "Walking" -0.26352811
1 "Walking" -0.12083878
1 "Walking" -0.10961071
1 "Walking" -0.025971976
1 "Walking" -0.011101847
1 "Walking" -0.051726769
1 "Walking" -0.1498672
1 "Walking" -0.12720584
1 "Walking" -0.15821185
1 "Walking" -0.039713237
1 "Walking" -0.16820535
1 "Walking" -0.13843892
1 "Walking" -0.12439794
1 "Walking" 0.013201164
1 "Walking" 0.093233503
1 "Walking" 0.033687393
1 "Walking" -0.089855109
1 "Walking" -0.10585412
1 "Walking" 0.014085307
1 "Walking" -0.038311
1 "Walking" -0.0090308483
1 "Walking" -0.084717971
1 "Walking" -0.10536495
1 "Walking" 0.15724409
1 "Walking" 0.24896103
1 "Walking" 0.16809665
1 "Walking" 0.091698045
1 "Walking" -0.12967852
1 "Walking" -3.1199341e-05
1 "Walking" 0.11911546
1 "Walking" 0.15660004
1 "Walking" 0.032835852
1 "Walking" -0.021550643
1 "Walking" 0.14170974
1 "Walking" -0.09792705
1 "Walking" -0.13589613
1 "Walking" -0.15728733
1 "Walking" -0.087634251
1 "Walking" -0.11568025
1 "Walking" -0.089137976
1 "Walking" -0.094644784
1 "Walking" -0.19633363
1 "Walking" -0.18571225
1 "Walking" -0.033930655
1 "Walking" -0.001135388
1 "Walking" -0.13509477
1 "Walking" -0.21729115
1 "Walking" -0.27930657
1 "Walking" -0.11902976
1 "Walking" -0.17535965
1 "Walking" -0.090236452
1 "Walking" -0.10786221
1 "Walking" -0.024623254
1 "Walking" 0.015028641
1 "Walking" -0.092090876
1 "Walking" -0.17681101
1 "Walking" 0.019878174
1 "Walking" 0.0038177565
1 "Walking" -0.1166676
1 "Walking" -0.038519751
1 "Walking" 0.064405446
1 "Walking" 0.066835448
1 "Walking" 0.15589554
1 "Walking" 0.009817568
1 "Walking" -0.036096722
1 "Walking" -0.02477618
1 "Walking" 0.039555258
1 "Walking" 0.07107151
1 "Walking" -0.019365181
1 "Walking" -0.06822333
1 "Walking" 0.042032393
1 "Walking" 0.051964069
1 "Walking" 0.0080059643
1 "Walking" 0.079674981
1 "Walking" 0.010379504
1 "Walking" -0.031220791
1 "Walking" -0.028470093
1 "Walking" -0.12971506
1 "Walking" -0.11655831
1 "Walking" -0.06889223
1 "Walking" -0.13778987
1 "Walking" 0.027504109
1 "Walking" 0.054802379
1 "Walking" 0.018339676
1 "Walking" -0.16917889
1 "Walking" -0.12766533
1 "Walking" -0.0083646419
1 "Walking" 0.13838636
1 "Walking" 0.19771966
1 "Walking" 0.17379161
1 "Walking" -0.027823211
1 "Walking" 0.040583546
1 "Walking" 0.077271139
1 "Walking" -0.094121922
1 "Walking" -0.053966398
1 "Walking Down Stairs" -0.23152799
1 "Walking Down Stairs" -0.21708516
1 "Walking Down Stairs" -0.12647272
1 "Walking Down Stairs" -0.029612298
1 "Walking Down Stairs" -0.039324985
1 "Walking Down Stairs" -0.0037995676
1 "Walking Down Stairs" -0.057405286
1 "Walking Down Stairs" -0.22925734
1 "Walking Down Stairs" -0.24764121
1 "Walking Down Stairs" -0.0038993162
1 "Walking Down Stairs" -0.030934405
1 "Walking Down Stairs" 0.10545242
1 "Walking Down Stairs" 0.074929124
1 "Walking Down Stairs" -0.22634599
1 "Walking Down Stairs" -0.18914133
1 "Walking Down Stairs" -0.13349344
1 "Walking Down Stairs" -0.21836687
1 "Walking Down Stairs" -0.14859186
1 "Walking Down Stairs" -0.17432573
1 "Walking Down Stairs" -0.017584859
1 "Walking Down Stairs" 0.054146243
1 "Walking Down Stairs" -0.17511717
1 "Walking Down Stairs" -0.34765292
1 "Walking Down Stairs" -0.29244424
1 "Walking Down Stairs" -0.19687984
1 "Walking Down Stairs" -0.42879093
1 "Walking Down Stairs" -0.34147136
1 "Walking Down Stairs" -0.027810725
1 "Walking Down Stairs" 0.20049562
1 "Walking Down Stairs" 0.071805591
1 "Walking Down Stairs" -0.28679886
1 "Walking Down Stairs" -0.20958897
1 "Walking Down Stairs" -0.20460961
1 "Walking Down Stairs" -0.19402868
1 "Walking Down Stairs" -0.072146311
1 "Walking Down Stairs" -0.085951009
1 "Walking Down Stairs" -0.20706411
1 "Walking Down Stairs" 0.15370213
1 "Walking Down Stairs" 0.13498493
1 "Walking Down Stairs" -0.062771551
1 "Walking Down Stairs" -0.18678004
1 "Walking Down Stairs" -0.13560188
1 "Walking Down Stairs" -0.16436589
1 "Walking Down Stairs" -0.1093366
1 "Walking Down Stairs" -0.13361702
1 "Walking Down Stairs" -0.10689175
1 "Walking Down Stairs" -0.17713885
1 "Walking Down Stairs" -0.33920315
1 "Walking Down Stairs" -0.28933496
1 "Walking Up Stairs" -0.49015987
1 "Walking Up Stairs" -0.54737783
1 "Walking Up Stairs" -0.42551328
1 "Walking Up Stairs" -0.3478281
1 "Walking Up Stairs" -0.3367146
1 "Walking Up Stairs" -0.44435358
1 "Walking Up Stairs" -0.47256833
1 "Walking Up Stairs" -0.42329991
1 "Walking Up Stairs" -0.49881331
1 "Walking Up Stairs" -0.53259619
1 "Walking Up Stairs" -0.41956605
1 "Walking Up Stairs" -0.43978128
1 "Walking Up Stairs" -0.52126894
1 "Walking Up Stairs" -0.40295594
1 "Walking Up Stairs" -0.46472667
1 "Walking Up Stairs" -0.60862455
1 "Walking Up Stairs" -0.567073
1 "Walking Up Stairs" -0.48779035
1 "Walking Up Stairs" -0.32014754
1 "Walking Up Stairs" -0.26248211
1 "Walking Up Stairs" -0.43445538
1 "Walking Up Stairs" -0.37756952
1 "Walking Up Stairs" -0.36293152
1 "Walking Up Stairs" -0.36625203
1 "Walking Up Stairs" -0.4904868
1 "Walking Up Stairs" -0.38016539
1 "Walking Up Stairs" -0.47554305
1 "Walking Up Stairs" -0.45870179
1 "Walking Up Stairs" -0.42805689
1 "Walking Up Stairs" -0.43985846
1 "Walking Up Stairs" -0.43957824
1 "Walking Up Stairs" -0.34058077
1 "Walking Up Stairs" -0.32017596
1 "Walking Up Stairs" -0.39657921
1 "Walking Up Stairs" -0.41708348
1 "Walking Up Stairs" -0.43229465
1 "Walking Up Stairs" -0.4609542
1 "Walking Up Stairs" -0.43250268
1 "Walking Up Stairs" -0.25025068
1 "Walking Up Stairs" -0.24671042
1 "Walking Up Stairs" -0.33974664
1 "Walking Up Stairs" -0.40211972
