"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.9729599
1 "Lying" -0.99079124
1 "Lying" -0.99217342
1 "Lying" -0.99445967
1 "Lying" -0.99379202
1 "Lying" -0.990766
1 "Lying" -0.99007664
1 "Lying" -0.99221261
1 "Lying" -0.99182548
1 "Lying" -0.9907817
1 "Lying" -0.99038501
1 "Lying" -0.990698
1 "Lying" -0.99164211
1 "Lying" -0.91560292
1 "Lying" -0.97633568
1 "Lying" -0.81513119
1 "Lying" -0.80855043
1 "Lying" -0.94547883
1 "Lying" -0.86899322
1 "Lying" -0.57076123
1 "Lying" -0.5777608
1 "Lying" -0.89344593
1 "Lying" -0.98784889
1 "Lying" -0.99128063
1 "Lying" -0.99440684
1 "Lying" -0.99003854
1 "Lying" -0.99029168
1 "Lying" -0.97744436
1 "Lying" -0.99339722
1 "Lying" -0.99338001
1 "Lying" -0.99321318
1 "Lying" -0.99242045
1 "Lying" -0.9928296
1 "Lying" -0.99129884
1 "Lying" -0.98969066
1 "Lying" -0.99419387
1 "Lying" -0.99675655
1 "Lying" -0.99350367
1 "Lying" -0.99487676
1 "Lying" -0.71256591
1 "Lying" -0.7690232
1 "Lying" -0.96084679
1 "Lying" -0.96414971
1 "Lying" -0.97343643
1 "Lying" -0.9896296
1 "Lying" -0.99116486
1 "Lying" -0.99081607
1 "Lying" -0.98303649
1 "Lying" -0.97978891
1 "Lying" -0.98709146
1 "Sitting" -0.98969609
1 "Sitting" -0.98973975
1 "Sitting" -0.98756628
1 "Sitting" -0.99135422
1 "Sitting" -0.99062442
1 "Sitting" -0.99015748
1 "Sitting" -0.98733724
1 "Sitting" -0.99083807
1 "Sitting" -0.99630723
1 "Sitting" -0.98677551
1 "Sitting" -0.9817322
1 "Sitting" -0.98895116
1 "Sitting" -0.99267475
1 "Sitting" -0.99290396
1 "Sitting" -0.98933823
1 "Sitting" -0.99357321
1 "Sitting" -0.99355517
1 "Sitting" -0.99479031
1 "Sitting" -0.99550105
1 "Sitting" -0.99488302
1 "Sitting" -0.99215543
1 "Sitting" -0.99113965
1 "Sitting" -0.99221625
1 "Sitting" -0.99045005
1 "Sitting" -0.9908238
1 "Sitting" -0.9903284
1 "Sitting" -0.98919841
1 "Sitting" -0.97711386
1 "Sitting" -0.99032589
1 "Sitting" -0.98946984
1 "Sitting" -0.98133163
1 "Sitting" -0.98552886
1 "Sitting" -0.98813974
1 "Sitting" -0.98914454
1 "Sitting" -0.99607069
1 "Sitting" -0.99304833
1 "Sitting" -0.98944074
1 "Sitting" -0.98997096
1 "Sitting" -0.99150881
1 "Sitting" -0.99013392
1 "Sitting" -0.98630163
1 "Sitting" -0.98983101
1 "Sitting" -0.98925144
1 "Sitting" -0.99493964
1 "Sitting" -0.99336309
1 "Sitting" -0.99214722
1 "Sitting" -0.99471254
1 "Sitting" -0.9956936
1 "Sitting" -0.99896645
1 "Sitting" -0.99470515
1 "Sitting" -0.9911999
1 "Sitting" -0.99003563
1 "Sitting" -0.99287835
1 "Standing" -0.9815657
1 "Standing" -0.99178965
1 "Standing" -0.99017788
1 "Standing" -0.90403706
1 "Standing" -0.89207213
1 "Standing" -0.94925418
1 "Standing" -0.99519463
1 "Standing" -0.99841352
1 "Standing" -0.99601381
1 "Standing" -0.99688883
1 "Standing" -0.99663253
1 "Standing" -0.98323096
1 "Standing" -0.99097901
1 "Standing" -0.99029847
1 "Standing" -0.99096366
1 "Standing" -0.9917045
1 "Standing" -0.99091536
1 "Standing" -0.99425932
1 "Standing" -0.99681868
1 "Standing" -0.99521838
1 "Standing" -0.99254848
1 "Standing" -0.99288764
1 "Standing" -0.99450103
1 "Standing" -0.99359384
1 "Standing" -0.98210795
1 "Standing" -0.98338628
1 "Standing" -0.98364201
1 "Standing" -0.98238982
1 "Standing" -0.98449539
1 "Standing" -0.98942927
1 "Standing" -0.99019099
1 "Standing" -0.99367801
1 "Standing" -0.9924233
1 "Standing" -0.99197497
1 "Standing" -0.99315194
1 "Standing" -0.9787873
1 "Standing" -0.98593035
1 "Standing" -0.99029248
1 "Standing" -0.99204257
1 "Standing" -0.98585269
1 "Standing" -0.98662212
1 "Standing" -0.99369668
1 "Standing" -0.9964947
1 "Standing" -0.99758967
1 "Standing" -0.99628024
1 "Standing" -0.99503963
1 "Standing" -0.98903773
1 "Walking" -0.53570907
1 "Walking" -0.49894754
1 "Walking" -0.52564781
1 "Walking" -0.48742267
1 "Walking" -0.42589499
1 "Walking" -0.43348651
1 "Walking" -0.45649574
1 "Walking" -0.4353911
1 "Walking" -0.56272771
1 "Walking" -0.45371719
1 "Walking" -0.47693821
1 "Walking" -0.49953681
1 "Walking" -0.45758603
1 "Walking" -0.39531278
1 "Walking" -0.3808327
1 "Walking" -0.42484368
1 "Walking" -0.438019
1 "Walking" -0.45222392
1 "Walking" -0.47215737
1 "Walking" -0.49079204
1 "Walking" -0.44351246
1 "Walking" -0.43688721
1 "Walking" -0.49159537
1 "Walking" -0.42861504
1 "Walking" -0.4395482
1 "Walking" -0.48986138
1 "Walking" -0.50836523
1 "Walking" -0.52522565
1 "Walking" -0.46027599
1 "Walking" -0.45208251
1 "Walking" -0.49261846
1 "Walking" -0.47631176
1 "Walking" -0.55129678
