"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.89582689
1 "Lying" -0.98905635
1 "Lying" -0.99238717
1 "Lying" -0.99386202
1 "Lying" -0.99401955
1 "Lying" -0.99267076
1 "Lying" -0.99255588
1 "Lying" -0.99123194
1 "Lying" -0.98904267
1 "Lying" -0.98609129
1 "Lying" -0.99233563
1 "Lying" -0.99401923
1 "Lying" -0.99440221
1 "Lying" -0.88700494
1 "Lying" -0.98891488
1 "Lying" -0.66911355
1 "Lying" -0.65743134
1 "Lying" -0.91812121
1 "Lying" -0.82929931
1 "Lying" -0.31714714
1 "Lying" -0.30315394
1 "Lying" -0.90163812
1 "Lying" -0.96828066
1 "Lying" -0.98344646
1 "Lying" -0.99279149
1 "Lying" -0.99381289
1 "Lying" -0.98862952
1 "Lying" -0.95389557
1 "Lying" -0.99256818
1 "Lying" -0.99107396
1 "Lying" -0.98745599
1 "Lying" -0.99098467
1 "Lying" -0.99349992
1 "Lying" -0.99485803
1 "Lying" -0.98785247
1 "Lying" -0.98591285
1 "Lying" -0.98872194
1 "Lying" -0.99421581
1 "Lying" -0.99551829
1 "Lying" -0.68529771
1 "Lying" -0.86697377
1 "Lying" -0.9887543
1 "Lying" -0.99016264
1 "Lying" -0.99034095
1 "Lying" -0.99064873
1 "Lying" -0.98867901
1 "Lying" -0.98978929
1 "Lying" -0.99140676
1 "Lying" -0.99357903
1 "Lying" -0.99313921
1 "Sitting" -0.99051869
1 "Sitting" -0.98292946
1 "Sitting" -0.98109125
1 "Sitting" -0.98714504
1 "Sitting" -0.98886723
1 "Sitting" -0.98983641
1 "Sitting" -0.9878344
1 "Sitting" -0.98216843
1 "Sitting" -0.98090537
1 "Sitting" -0.96889059
1 "Sitting" -0.97423974
1 "Sitting" -0.99056288
1 "Sitting" -0.99164068
1 "Sitting" -0.99372744
1 "Sitting" -0.98438422
1 "Sitting" -0.99585511
1 "Sitting" -0.99237424
1 "Sitting" -0.99185686
1 "Sitting" -0.99262376
1 "Sitting" -0.99356096
1 "Sitting" -0.99439382
1 "Sitting" -0.98701344
1 "Sitting" -0.9827301
1 "Sitting" -0.98599521
1 "Sitting" -0.98849243
1 "Sitting" -0.98620676
1 "Sitting" -0.99048463
1 "Sitting" -0.98586273
1 "Sitting" -0.9840045
1 "Sitting" -0.98968266
1 "Sitting" -0.96685518
1 "Sitting" -0.96211094
1 "Sitting" -0.97878901
1 "Sitting" -0.988956
1 "Sitting" -0.99121698
1 "Sitting" -0.97384944
1 "Sitting" -0.97132003
1 "Sitting" -0.98754637
1 "Sitting" -0.99211468
1 "Sitting" -0.99065744
1 "Sitting" -0.98771753
1 "Sitting" -0.98146495
1 "Sitting" -0.98636499
1 "Sitting" -0.99030509
1 "Sitting" -0.99194563
1 "Sitting" -0.98960864
1 "Sitting" -0.99363256
1 "Sitting" -0.99359727
1 "Sitting" -0.9943325
1 "Sitting" -0.9949578
1 "Sitting" -0.99050815
1 "Sitting" -0.99042433
1 "Sitting" -0.99464844
1 "Standing" -0.96713401
1 "Standing" -0.98950509
1 "Standing" -0.99254318
1 "Standing" -0.85276922
1 "Standing" -0.84754037
1 "Standing" -0.93691113
1 "Standing" -0.98190468
1 "Standing" -0.99261178
1 "Standing" -0.99171359
1 "Standing" -0.99165145
1 "Standing" -0.98979436
1 "Standing" -0.97505594
1 "Standing" -0.9922124
1 "Standing" -0.9924315
1 "Standing" -0.99077398
1 "Standing" -0.99300432
1 "Standing" -0.99211646
1 "Standing" -0.99378963
1 "Standing" -0.99371438
1 "Standing" -0.99229093
1 "Standing" -0.99044622
1 "Standing" -0.99333437
1 "Standing" -0.99259655
1 "Standing" -0.99158569
1 "Standing" -0.97564493
1 "Standing" -0.99276653
1 "Standing" -0.98609302
1 "Standing" -0.98502769
1 "Standing" -0.98977601
1 "Standing" -0.98844461
1 "Standing" -0.9893647
1 "Standing" -0.99033349
1 "Standing" -0.99270545
1 "Standing" -0.99238609
1 "Standing" -0.99143306
1 "Standing" -0.97249506
1 "Standing" -0.98941024
1 "Standing" -0.99032899
1 "Standing" -0.99152095
1 "Standing" -0.99102397
1 "Standing" -0.98962735
1 "Standing" -0.99194264
1 "Standing" -0.9950629
1 "Standing" -0.99445797
1 "Standing" -0.99596223
1 "Standing" -0.99875675
1 "Standing" -0.99257687
1 "Walking" -0.14073745
1 "Walking" -0.054686826
1 "Walking" -0.028562162
1 "Walking" -0.047451903
1 "Walking" 0.0028061405
1 "Walking" -0.10956873
1 "Walking" -0.057395382
1 "Walking" -0.041271688
1 "Walking" -0.11187479
1 "Walking" 0.063688529
1 "Walking" -0.065572777
1 "Walking" -0.10468509
1 "Walking" -0.053464952
1 "Walking" 0.1260661
1 "Walking" 0.20194149
1 "Walking" 0.074391039
1 "Walking" -0.02217652
1 "Walking" -0.069184948
1 "Walking" 0.045111566
1 "Walking" -0.036700146
1 "Walking" -2.0426593e-06
1 "Walking" -0.089114006
1 "Walking" -0.10284517
1 "Walking" 0.16913956
1 "Walking" 0.24170006
1 "Walking" 0.33618998
1 "Walking" 0.092607261
1 "Walking" -0.084943747
1 "Walking" 0.10480265
1 "Walking" 0.16855698
1 "Walking" 0.17989857
1 "Walking" 0.074523916
1 "Walking" -0.025792665
1 "Walking" 0.20540972
1 "Walking" -0.096426996
1 "Walking" -0.13666987
1 "Walking" -0.01785449
1 "Walking" 0.039873959
1 "Walking" 0.094672686
1 "Walking" -0.068201879
1 "Walking" -0.20880435
1 "Walking" -0.21704277
1 "Walking" -0.15217349
1 "Walking" -0.025771389
1 "Walking" 0.0091681996
1 "Walking" -0.018530178
1 "Walking" -0.019265469
1 "Walking" -0.16255474
1 "Walking" -0.030905959
1 "Walking" -0.15373194
1 "Walking" -0.084665143
1 "Walking" -0.033954919
1 "Walking" -0.037251653
1 "Walking" 0.009954341
1 "Walking" -0.054294923
1 "Walking" -0.028799966
1 "Walking" 0.058950051
1 "Walking" 0.10170814
1 "Walking" -0.14774826
1 "Walking" -0.040379695
1 "Walking" 0.12676253
1 "Walking" 0.037482647
1 "Walking" 0.0057965039
1 "Walking" 0.09492851
1 "Walking" -0.020537882
1 "Walking" 0.079938646
1 "Walking" 0.13000675
1 "Walking" 0.06712803
1 "Walking" 0.10535146
1 "Walking" -0.016970383
1 "Walking" 0.097123957
1 "Walking" 0.23781725
1 "Walking" 0.054550957
1 "Walking" -0.010575169
1 "Walking" 0.15713946
1 "Walking" 0.017489255
1 "Walking" 0.072490726
1 "Walking" 0.047198065
1 "Walking" -0.014867331
1 "Walking" -0.027257177
1 "Walking" -0.067835095
1 "Walking" 0.13181265
1 "Walking" 0.03813731
1 "Walking" 0.134924
1 "Walking" -0.018115286
1 "Walking" -0.10216165
1 "Walking" -0.0034741526
1 "Walking" 0.054038648
1 "Walking" 0.15628096
1 "Walking" 0.052994017
1 "Walking" 0.04345153
1 "Walking" 0.19310878
1 "Walking" 0.15524388
1 "Walking" -0.026618785
1 "Walking" -0.054531103
1 "Walking Down Stairs" -0.21411525
1 "Walking Down Stairs" -0.22037216
1 "Walking Down Stairs" -0.044487235
1 "Walking Down Stairs" -0.0053789005
1 "Walking Down Stairs" -0.043080367
1 "Walking Down Stairs" 0.055377022
1 "Walking Down Stairs" -0.063363849
1 "Walking Down Stairs" -0.21920463
1 "Walking Down Stairs" -0.15477023
1 "Walking Down Stairs" -0.073675021
1 "Walking Down Stairs" -0.069272441
1 "Walking Down Stairs" 0.10839504
1 "Walking Down Stairs" 0.13403892
1 "Walking Down Stairs" -0.1681974
1 "Walking Down Stairs" -0.047709452
1 "Walking Down Stairs" -0.21408539
1 "Walking Down Stairs" -0.31431876
1 "Walking Down Stairs" -0.13118795
1 "Walking Down Stairs" -0.22685288
1 "Walking Down Stairs" 0.011352587
1 "Walking Down Stairs" 0.15536668
1 "Walking Down Stairs" -0.24189618
1 "Walking Down Stairs" -0.31798814
1 "Walking Down Stairs" -0.28637614
1 "Walking Down Stairs" -0.18076782
1 "Walking Down Stairs" -0.43807659
1 "Walking Down Stairs" -0.32735092
1 "Walking Down Stairs" -0.022443933
1 "Walking Down Stairs" 0.2033155
1 "Walking Down Stairs" 0.024759638
1 "Walking Down Stairs" -0.26523596
1 "Walking Down Stairs" -0.18572079
1 "Walking Down Stairs" -0.11604308
