"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.95022293
1 "Lying" -0.99349601
1 "Lying" -0.99588563
1 "Lying" -0.99444287
1 "Lying" -0.99470473
1 "Lying" -0.99222801
1 "Lying" -0.99196416
1 "Lying" -0.99462607
1 "Lying" -0.99462863
1 "Lying" -0.99350502
1 "Lying" -0.99258743
1 "Lying" -0.99421221
1 "Lying" -0.99256906
1 "Lying" -0.93244267
1 "Lying" -0.98475582
1 "Lying" -0.89850916
1 "Lying" -0.89167443
1 "Lying" -0.96880155
1 "Lying" -0.8509183
1 "Lying" -0.69447248
1 "Lying" -0.72221064
1 "Lying" -0.91017271
1 "Lying" -0.97690911
1 "Lying" -0.97748471
1 "Lying" -0.99342505
1 "Lying" -0.9926056
1 "Lying" -0.98816994
1 "Lying" -0.97957421
1 "Lying" -0.99258427
1 "Lying" -0.9926184
1 "Lying" -0.98923558
1 "Lying" -0.99136303
1 "Lying" -0.99537716
1 "Lying" -0.99338018
1 "Lying" -0.99314144
1 "Lying" -0.99267286
1 "Lying" -0.99308319
1 "Lying" -0.99461674
1 "Lying" -0.99406668
1 "Lying" -0.84125686
1 "Lying" -0.92118199
1 "Lying" -0.97312918
1 "Lying" -0.98076551
1 "Lying" -0.98951627
1 "Lying" -0.98363198
1 "Lying" -0.98859664
1 "Lying" -0.99309336
1 "Lying" -0.99153335
1 "Lying" -0.99335858
1 "Lying" -0.99263304
1 "Sitting" -0.99582068
1 "Sitting" -0.99665235
1 "Sitting" -0.9912488
1 "Sitting" -0.99137827
1 "Sitting" -0.99690254
1 "Sitting" -0.995218
1 "Sitting" -0.9962421
1 "Sitting" -0.99612766
1 "Sitting" -0.99650656
1 "Sitting" -0.99146811
1 "Sitting" -0.99233125
1 "Sitting" -0.99831707
1 "Sitting" -0.99880527
1 "Sitting" -0.9966091
1 "Sitting" -0.9925346
1 "Sitting" -0.99584517
1 "Sitting" -0.99509342
1 "Sitting" -0.99500032
1 "Sitting" -0.99615735
1 "Sitting" -0.9970498
1 "Sitting" -0.99644693
1 "Sitting" -0.99549079
1 "Sitting" -0.99530314
1 "Sitting" -0.997259
1 "Sitting" -0.99695721
1 "Sitting" -0.99577968
1 "Sitting" -0.99589031
1 "Sitting" -0.99630554
1 "Sitting" -0.99349507
1 "Sitting" -0.99277452
1 "Sitting" -0.99345927
1 "Sitting" -0.99235437
1 "Sitting" -0.98835003
1 "Sitting" -0.98799022
1 "Sitting" -0.9951377
1 "Sitting" -0.99156256
1 "Sitting" -0.99111961
1 "Sitting" -0.99666781
1 "Sitting" -0.99766995
1 "Sitting" -0.99755217
1 "Sitting" -0.99609929
1 "Sitting" -0.99072808
1 "Sitting" -0.9939959
1 "Sitting" -0.99631426
1 "Sitting" -0.99663748
1 "Sitting" -0.99448156
1 "Sitting" -0.99535269
1 "Sitting" -0.99513384
1 "Sitting" -0.9963271
1 "Sitting" -0.99711262
1 "Sitting" -0.99586206
1 "Sitting" -0.99927589
1 "Sitting" -0.99871417
1 "Standing" -0.98187701
1 "Standing" -0.99298662
1 "Standing" -0.9954535
1 "Standing" -0.8964778
1 "Standing" -0.86126158
1 "Standing" -0.93108771
1 "Standing" -0.99249781
1 "Standing" -0.99392194
1 "Standing" -0.99773605
1 "Standing" -0.9964667
1 "Standing" -0.99514544
1 "Standing" -0.98664266
1 "Standing" -0.99105092
1 "Standing" -0.99492506
1 "Standing" -0.99289097
1 "Standing" -0.99478159
1 "Standing" -0.99596362
1 "Standing" -0.99462966
1 "Standing" -0.99213366
1 "Standing" -0.99199723
1 "Standing" -0.99277596
1 "Standing" -0.99205337
1 "Standing" -0.99432272
1 "Standing" -0.99440135
1 "Standing" -0.9935499
1 "Standing" -0.99702402
1 "Standing" -0.99597762
1 "Standing" -0.99572069
1 "Standing" -0.99515577
1 "Standing" -0.99513412
1 "Standing" -0.99640695
1 "Standing" -0.99489895
1 "Standing" -0.99561094
1 "Standing" -0.99525811
1 "Standing" -0.99495682
1 "Standing" -0.97441866
1 "Standing" -0.99261792
1 "Standing" -0.99546067
1 "Standing" -0.99408211
1 "Standing" -0.99578616
1 "Standing" -0.99442806
1 "Standing" -0.99322218
1 "Standing" -0.99734322
1 "Standing" -0.99801482
1 "Standing" -0.99559912
1 "Standing" -0.9960359
1 "Standing" -0.9919871
1 "Walking" -0.22825321
1 "Walking" -0.114045
1 "Walking" -0.23589453
1 "Walking" -0.13227926
1 "Walking" -0.16922718
1 "Walking" -0.25753842
1 "Walking" -0.11202062
1 "Walking" 0.051579153
1 "Walking" -0.34905958
1 "Walking" -0.23775165
1 "Walking" -0.18124372
1 "Walking" -0.10160387
1 "Walking" -0.1530197
