"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.90367544
1 "Lying" -0.98928622
1 "Lying" -0.99112114
1 "Lying" -0.99374614
1 "Lying" -0.99325372
1 "Lying" -0.99336245
1 "Lying" -0.99227922
1 "Lying" -0.99090131
1 "Lying" -0.99011123
1 "Lying" -0.98682994
1 "Lying" -0.99266717
1 "Lying" -0.99512357
1 "Lying" -0.99471291
1 "Lying" -0.88786172
1 "Lying" -0.98908843
1 "Lying" -0.6535219
1 "Lying" -0.64779561
1 "Lying" -0.92342213
1 "Lying" -0.83732236
1 "Lying" -0.36007731
1 "Lying" -0.35761019
1 "Lying" -0.90355657
1 "Lying" -0.96416548
1 "Lying" -0.98463728
1 "Lying" -0.99193613
1 "Lying" -0.99321268
1 "Lying" -0.98946822
1 "Lying" -0.9541103
1 "Lying" -0.9911085
1 "Lying" -0.99194422
1 "Lying" -0.98810697
1 "Lying" -0.99125428
1 "Lying" -0.99385715
1 "Lying" -0.99489011
1 "Lying" -0.98743175
1 "Lying" -0.98474058
1 "Lying" -0.98887471
1 "Lying" -0.99392845
1 "Lying" -0.99592795
1 "Lying" -0.67152796
1 "Lying" -0.87832216
1 "Lying" -0.98770558
1 "Lying" -0.99086431
1 "Lying" -0.99014271
1 "Lying" -0.98984088
1 "Lying" -0.98936393
1 "Lying" -0.98982169
1 "Lying" -0.99000392
1 "Lying" -0.99302724
1 "Lying" -0.9933517
1 "Sitting" -0.99093631
1 "Sitting" -0.98208394
1 "Sitting" -0.98141476
1 "Sitting" -0.98692685
1 "Sitting" -0.98860666
1 "Sitting" -0.9901788
1 "Sitting" -0.98826343
1 "Sitting" -0.98336934
1 "Sitting" -0.98128976
1 "Sitting" -0.96931831
1 "Sitting" -0.97492899
1 "Sitting" -0.9906675
1 "Sitting" -0.99138489
1 "Sitting" -0.99339182
1 "Sitting" -0.98646367
1 "Sitting" -0.99645355
1 "Sitting" -0.99309147
1 "Sitting" -0.99218538
1 "Sitting" -0.99303791
1 "Sitting" -0.99288054
1 "Sitting" -0.99369185
1 "Sitting" -0.98761657
1 "Sitting" -0.98414932
1 "Sitting" -0.98621704
1 "Sitting" -0.98905174
1 "Sitting" -0.98715184
1 "Sitting" -0.99028132
1 "Sitting" -0.98498879
1 "Sitting" -0.98527816
1 "Sitting" -0.9883511
1 "Sitting" -0.96814024
1 "Sitting" -0.96303846
1 "Sitting" -0.98002274
1 "Sitting" -0.98902632
1 "Sitting" -0.99238259
1 "Sitting" -0.97416545
1 "Sitting" -0.97247423
1 "Sitting" -0.98727714
1 "Sitting" -0.99156539
1 "Sitting" -0.99146578
1 "Sitting" -0.98815207
1 "Sitting" -0.98023028
1 "Sitting" -0.98680875
1 "Sitting" -0.99054115
1 "Sitting" -0.99175713
1 "Sitting" -0.99030789
1 "Sitting" -0.99403276
1 "Sitting" -0.99404938
1 "Sitting" -0.99448645
1 "Sitting" -0.99455573
1 "Sitting" -0.98999803
1 "Sitting" -0.99044788
1 "Sitting" -0.99338857
1 "Standing" -0.96489086
1 "Standing" -0.98798979
1 "Standing" -0.99285842
1 "Standing" -0.85985543
1 "Standing" -0.84714569
1 "Standing" -0.93956888
1 "Standing" -0.98267927
1 "Standing" -0.99220246
1 "Standing" -0.99249266
1 "Standing" -0.99132658
1 "Standing" -0.99098612
1 "Standing" -0.97707565
1 "Standing" -0.99155239
