"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.9338138
1 "Lying" -0.88589751
1 "Lying" -0.82325562
1 "Lying" -0.89910221
1 "Lying" -0.80723466
1 "Lying" -0.96334594
1 "Lying" -0.88948972
1 "Lying" -0.83267618
1 "Lying" -0.95584841
1 "Lying" -0.90784473
1 "Lying" -0.93831463
1 "Lying" -0.98204202
1 "Lying" -0.94399886
1 "Lying" -0.8632625
1 "Lying" -0.95235169
1 "Lying" -0.84997282
1 "Lying" -0.84390728
1 "Lying" -0.93740534
1 "Lying" -0.94523733
1 "Lying" -0.93156171
1 "Lying" -0.93794062
1 "Lying" -0.88656996
1 "Lying" -0.39246349
1 "Lying" -0.96519615
1 "Lying" -0.8555159
1 "Lying" -0.90621673
1 "Lying" -0.93254149
1 "Lying" -0.83049527
1 "Lying" -0.73401386
1 "Lying" -0.95717104
1 "Lying" -0.92865954
1 "Lying" -0.90477904
1 "Lying" -0.95306294
1 "Lying" -0.92422878
1 "Lying" -0.84129254
1 "Lying" -0.82368161
1 "Lying" -0.89474797
1 "Lying" -0.74588309
1 "Lying" -0.93322177
1 "Lying" -0.74698772
1 "Lying" -0.97973757
1 "Lying" -0.89372899
1 "Lying" -0.94534999
1 "Lying" -0.87648585
1 "Lying" -0.74471272
1 "Lying" -0.9306198
1 "Lying" -0.92775472
1 "Lying" -0.74822104
1 "Lying" -0.83776322
1 "Lying" -0.91617996
1 "Sitting" -0.93631005
1 "Sitting" -0.8505864
1 "Sitting" -0.91298509
1 "Sitting" -0.82963474
1 "Sitting" -0.90390837
1 "Sitting" -0.95645992
1 "Sitting" -0.94989992
1 "Sitting" -0.95316199
1 "Sitting" -0.91272572
1 "Sitting" -0.87360518
1 "Sitting" -0.87628926
1 "Sitting" -0.93297361
1 "Sitting" -0.87757848
1 "Sitting" -0.84957493
1 "Sitting" -0.98881084
1 "Sitting" -0.97283829
1 "Sitting" -0.96469286
1 "Sitting" -0.95254813
1 "Sitting" -0.9063631
1 "Sitting" -0.79789946
1 "Sitting" -0.86700641
1 "Sitting" -0.95027667
1 "Sitting" -0.9471167
1 "Sitting" -0.87916417
1 "Sitting" -0.95055734
1 "Sitting" -0.89147165
1 "Sitting" -0.94488394
1 "Sitting" -0.9140466
1 "Sitting" -0.94980627
1 "Sitting" -0.8261169
1 "Sitting" -0.90941568
1 "Sitting" -0.91354809
1 "Sitting" -0.94729518
1 "Sitting" -0.93406021
1 "Sitting" -0.96079766
1 "Sitting" -0.9203994
1 "Sitting" -0.92763784
1 "Sitting" -0.87157479
1 "Sitting" -0.90777463
1 "Sitting" -0.96289604
1 "Sitting" -0.93490505
1 "Sitting" -0.83657595
1 "Sitting" -0.94619176
1 "Sitting" -0.90364513
1 "Sitting" -0.91913342
1 "Sitting" -0.93202012
1 "Sitting" -0.94863251
1 "Sitting" -0.93834261
1 "Sitting" -0.94697529
1 "Sitting" -0.89600618
1 "Sitting" -0.83463974
1 "Sitting" -0.92427991
1 "Sitting" -0.79575514
1 "Standing" -0.56594391
1 "Standing" -0.57349656
1 "Standing" -0.92151213
1 "Standing" -0.93796314
1 "Standing" -0.88436374
1 "Standing" -0.89615422
1 "Standing" -0.8951142
1 "Standing" -0.88214453
1 "Standing" -0.95974488
1 "Standing" -0.9052784
1 "Standing" -0.98042196
1 "Standing" -0.96809423
1 "Standing" -0.82190541
1 "Standing" -0.88120972
1 "Standing" -0.86754679
1 "Standing" -0.72911083
1 "Standing" -0.84390963
1 "Standing" -0.67039582
1 "Standing" -0.91418336
1 "Standing" -0.89257552
1 "Standing" -0.82671719
1 "Standing" -0.95209849
1 "Standing" -0.86060118
1 "Standing" -0.84698752
1 "Standing" 0.075193388
1 "Standing" -0.95504286
1 "Standing" -0.93497704
1 "Standing" -0.84402825
1 "Standing" -0.90308374
1 "Standing" -0.85127574
1 "Standing" -0.87034377
1 "Standing" -0.9340155
1 "Standing" -0.91470156
1 "Standing" -0.80719581
1 "Standing" -0.794153
1 "Standing" -0.90858079
1 "Standing" -0.90150846
1 "Standing" -0.91426746
1 "Standing" -0.93164642
1 "Standing" -0.78277625
1 "Standing" -0.89972375
1 "Standing" -0.94716359
1 "Standing" -0.94978765
1 "Standing" -0.89326658
1 "Standing" -0.97523536
1 "Standing" -0.96242864
1 "Standing" -0.93837905
1 "Walking" -0.72149239
1 "Walking" -0.534111
1 "Walking" -0.81628191
1 "Walking" -0.7496755
1 "Walking" -0.70493029
1 "Walking" -0.66566429
1 "Walking" -0.73127305
1 "Walking" -0.45142198
1 "Walking" -0.59627009
1 "Walking" -0.6864335
1 "Walking" -0.82141818
1 "Walking" -0.45222264
1 "Walking" 0.043094943
1 "Walking" -0.54918388
1 "Walking" -0.71152228
1 "Walking" -0.8082089
1 "Walking" -0.74142536
1 "Walking" -0.51935447
1 "Walking" -0.67216371
1 "Walking" -0.41557238
1 "Walking" -0.76924394
1 "Walking" -0.4154643
1 "Walking" -0.3261705
1 "Walking" -0.62884697
1 "Walking" -0.82076143
1 "Walking" -0.69837186
1 "Walking" -0.4947129
1 "Walking" -0.72990251
1 "Walking" -0.72366095
1 "Walking" -0.62586183
1 "Walking" -0.79180872
1 "Walking" -0.57008324
1 "Walking" -0.54064609
1 "Walking" -0.64990934
1 "Walking" -0.58149958
1 "Walking" -0.57850794
1 "Walking" -0.57608605
1 "Walking" -0.56341865
1 "Walking" -0.46242586
1 "Walking" -0.24502132
1 "Walking" -0.359602
1 "Walking" -0.60586476
1 "Walking" -0.73595556
1 "Walking" -0.74509567
1 "Walking" -0.74976679
1 "Walking" -0.74853722
1 "Walking" -0.74067484
1 "Walking" -0.5243737
1 "Walking" -0.80125761
1 "Walking" -0.36795733
1 "Walking" -0.35345209
1 "Walking" -0.58574025
1 "Walking" -0.61042835
1 "Walking" -0.4762238
1 "Walking" -0.44395834
1 "Walking" -0.79599929
1 "Walking" -0.68977612
1 "Walking" -0.78081826
1 "Walking" -0.61578236
1 "Walking" -0.68387047
1 "Walking" -0.78778995
1 "Walking" -0.59388829
1 "Walking" -0.82507979
1 "Walking" -0.77167258
1 "Walking" -0.47741285
1 "Walking" -0.6884884
1 "Walking" -0.61450529
1 "Walking" -0.68318034
1 "Walking" -0.60362272
1 "Walking" -0.45027881
1 "Walking" -0.42076543
1 "Walking" -0.53742256
1 "Walking" -0.7234219
1 "Walking" -0.80523005
1 "Walking" -0.78068271
1 "Walking" -0.66484011
1 "Walking" -0.59716115
1 "Walking" -0.41233221
1 "Walking" -0.54052777
1 "Walking" -0.54780936
1 "Walking" -0.47297955
1 "Walking" -0.67441724
1 "Walking" -0.30886455
1 "Walking" -0.59842895
1 "Walking" -0.74585449
1 "Walking" -0.56953626
1 "Walking" -0.59126317
1 "Walking" -0.5762131
1 "Walking" -0.79181039
1 "Walking" -0.84887808
1 "Walking" -0.65061073
1 "Walking" -0.76818233
1 "Walking" -0.67917976
1 "Walking" -0.59038916
1 "Walking" -0.5443147
1 "Walking Down Stairs" -0.91719754
1 "Walking Down Stairs" -0.72230634
1 "Walking Down Stairs" -0.89430607
1 "Walking Down Stairs" -0.84431701
1 "Walking Down Stairs" -0.86170713
1 "Walking Down Stairs" -0.87838908
1 "Walking Down Stairs" -0.89640722
1 "Walking Down Stairs" -0.57078337
1 "Walking Down Stairs" -0.83085586
1 "Walking Down Stairs" -0.82684913
1 "Walking Down Stairs" -0.9030807
1 "Walking Down Stairs" -0.87650445
1 "Walking Down Stairs" -0.93558044
1 "Walking Down Stairs" -0.91421739
1 "Walking Down Stairs" -0.90952726
1 "Walking Down Stairs" -0.86896554
1 "Walking Down Stairs" -0.93538806
1 "Walking Down Stairs" -0.83726919
1 "Walking Down Stairs" -0.61796795
1 "Walking Down Stairs" -0.80629451
1 "Walking Down Stairs" -0.90266418
1 "Walking Down Stairs" -0.8236673
1 "Walking Down Stairs" -0.90381871
1 "Walking Down Stairs" -0.91975307
1 "Walking Down Stairs" -0.87253458
1 "Walking Down Stairs" -0.88753145
1 "Walking Down Stairs" -0.77761305
1 "Walking Down Stairs" -0.84882071
1 "Walking Down Stairs" -0.79401098
1 "Walking Down Stairs" -0.8745468
1 "Walking Down Stairs" -0.86865385
1 "Walking Down Stairs" -0.83077528
1 "Walking Down Stairs" -0.77082043
1 "Walking Down Stairs" -0.89206132
1 "Walking Down Stairs" -0.71597636
1 "Walking Down Stairs" -0.82736739
1 "Walking Down Stairs" -0.71104236
1 "Walking Down Stairs" -0.8634411
1 "Walking Down Stairs" -0.86726152
1 "Walking Down Stairs" -0.94602276
1 "Walking Down Stairs" -0.85069457
1 "Walking Down Stairs" -0.81536172
1 "Walking Down Stairs" -0.90945614
1 "Walking Down Stairs" -0.92807842
1 "Walking Down Stairs" -0.84563931
1 "Walking Down Stairs" -0.91684224
1 "Walking Down Stairs" -0.8809485
1 "Walking Down Stairs" -0.88480942
1 "Walking Down Stairs" -0.87957758
1 "Walking Up Stairs" -0.68487668
1 "Walking Up Stairs" -0.62162816
1 "Walking Up Stairs" -0.87696484
1 "Walking Up Stairs" -0.62101363
1 "Walking Up Stairs" -0.78117521
1 "Walking Up Stairs" -0.84364251
1 "Walking Up Stairs" -0.84757744
1 "Walking Up Stairs" -0.8763064
1 "Walking Up Stairs" -0.66916404
1 "Walking Up Stairs" -0.69767857
1 "Walking Up Stairs" -0.84065892
1 "Walking Up Stairs" -0.75586916
1 "Walking Up Stairs" -0.86614241
1 "Walking Up Stairs" -0.87083355
1 "Walking Up Stairs" -0.73074342
1 "Walking Up Stairs" -0.6593208
1 "Walking Up Stairs" -0.70708138
1 "Walking Up Stairs" -0.71736202
1 "Walking Up Stairs" -0.86495568
1 "Walking Up Stairs" -0.92627957
1 "Walking Up Stairs" -0.77396884
1 "Walking Up Stairs" -0.84802015
1 "Walking Up Stairs" -0.88706831
1 "Walking Up Stairs" -0.8172782
1 "Walking Up Stairs" -0.81577839
1 "Walking Up Stairs" -0.81141043
1 "Walking Up Stairs" -0.64992407
1 "Walking Up Stairs" -0.72414109
1 "Walking Up Stairs" -0.58405738
1 "Walking Up Stairs" -0.78342099
1 "Walking Up Stairs" -0.7574963
1 "Walking Up Stairs" -0.73592409
1 "Walking Up Stairs" -0.77946833
1 "Walking Up Stairs" -0.71939455
1 "Walking Up Stairs" -0.78656137
1 "Walking Up Stairs" -0.56728891
1 "Walking Up Stairs" -0.56807268
1 "Walking Up Stairs" -0.70205968
1 "Walking Up Stairs" -0.74542332
1 "Walking Up Stairs" -0.84726268
1 "Walking Up Stairs" -0.85749079
1 "Walking Up Stairs" -0.76788062
1 "Walking Up Stairs" -0.69815761
1 "Walking Up Stairs" -0.78340123
1 "Walking Up Stairs" -0.49490754
1 "Walking Up Stairs" -0.65428375
1 "Walking Up Stairs" -0.89253256
1 "Walking Up Stairs" -0.78070015
1 "Walking Up Stairs" -0.75185729
1 "Walking Up Stairs" -0.7584758
1 "Walking Up Stairs" -0.85513378
1 "Walking Up Stairs" -0.92971333
1 "Walking Up Stairs" -0.88819267
2 "Lying" -0.8785668
2 "Lying" -0.95437261
2 "Lying" -0.96501993
2 "Lying" -0.94781346
2 "Lying" -0.90494754
2 "Lying" -0.96371689
2 "Lying" -0.94228373
2 "Lying" -0.77560648
2 "Lying" -0.78884457
2 "Lying" -0.84462487
2 "Lying" -0.86676624
2 "Lying" -0.92919245
2 "Lying" -0.90764735
2 "Lying" -0.90453271
2 "Lying" -0.91921663
2 "Lying" -0.95866717
2 "Lying" -0.94775014
2 "Lying" -0.93653221
2 "Lying" -0.89422218
2 "Lying" -0.8929583
2 "Lying" -0.86593949
2 "Lying" -0.8720916
2 "Lying" -0.90464476
2 "Lying" -0.88923075
2 "Lying" -0.72041763
2 "Lying" -0.84524819
2 "Lying" -0.87917459
2 "Lying" -0.90976922
2 "Lying" -0.94454381
2 "Lying" -0.9705894
2 "Lying" -0.95233377
2 "Lying" -0.84457368
2 "Lying" -0.68715315
2 "Lying" -0.87581265
2 "Lying" -0.9564451
2 "Lying" -0.94563096
2 "Lying" -0.95785457
2 "Lying" -0.96520639
2 "Lying" -0.89263808
2 "Lying" -0.95601741
2 "Lying" -0.87697946
2 "Lying" -0.9383977
2 "Lying" -0.95905372
2 "Lying" -0.90429863
2 "Lying" -0.96409155
2 "Lying" -0.86081331
2 "Lying" -0.96537115
2 "Lying" -0.86644816
2 "Sitting" -0.94275716
2 "Sitting" -0.99244457
2 "Sitting" -0.83075021
2 "Sitting" -0.86728039
2 "Sitting" -0.63601809
2 "Sitting" -0.96102706
2 "Sitting" -0.94697099
2 "Sitting" -0.97621706
2 "Sitting" -0.95973846
2 "Sitting" -0.93728557
2 "Sitting" -0.901807
2 "Sitting" -0.93597565
2 "Sitting" -0.94502705
2 "Sitting" -0.93304462
2 "Sitting" -0.92140848
2 "Sitting" -0.89471359
2 "Sitting" -0.57808474
2 "Sitting" -0.87389286
2 "Sitting" -0.92474139
2 "Sitting" -0.95268957
2 "Sitting" -0.92727346
2 "Sitting" -0.90133908
2 "Sitting" -0.91519045
2 "Sitting" -0.85600921
2 "Sitting" -0.9226847
2 "Sitting" -0.80273438
2 "Sitting" -0.93287658
2 "Sitting" -0.97860818
2 "Sitting" -0.93633043
2 "Sitting" -0.89875527
2 "Sitting" -0.87957465
2 "Sitting" -0.8745906
2 "Sitting" -0.87623736
2 "Sitting" -0.88495807
2 "Sitting" -0.75283452
2 "Sitting" -0.82294905
2 "Sitting" -0.95115256
2 "Sitting" -0.85488625
2 "Sitting" -0.98077343
2 "Sitting" -0.87688345
2 "Sitting" -0.94189517
2 "Sitting" -0.90433537
2 "Sitting" -0.95210955
2 "Sitting" -0.97753808
2 "Sitting" -0.95519412
2 "Sitting" -0.90766813
2 "Sitting" -0.93819525
2 "Sitting" -0.91775623
2 "Sitting" -0.94105249
2 "Sitting" -0.82909994
2 "Sitting" -0.94157466
2 "Sitting" -0.85354396
2 "Sitting" -0.88269232
2 "Sitting" -0.7629586
2 "Standing" -0.95470541
2 "Standing" -0.79847771
2 "Standing" -0.9591008
2 "Standing" -0.817424
2 "Standing" -0.8881656
2 "Standing" -0.78482513
2 "Standing" -0.89896563
2 "Standing" -0.89170618
2 "Standing" -0.96602972
2 "Standing" -0.78996256
2 "Standing" -0.94537314
2 "Standing" -0.82625914
2 "Standing" -0.89373522
2 "Standing" -0.91010787
2 "Standing" -0.95301253
2 "Standing" -0.92266846
2 "Standing" -0.83423939
2 "Standing" -0.94328401
2 "Standing" -0.83284628
2 "Standing" -0.90201842
2 "Standing" -0.70385898
2 "Standing" -0.9383073
2 "Standing" -0.94976981
2 "Standing" -0.9125149
2 "Standing" -0.95744518
2 "Standing" -0.9141728
2 "Standing" -0.86792061
2 "Standing" -0.89946954
2 "Standing" -0.94883355
2 "Standing" -0.9861001
2 "Standing" -0.98692587
2 "Standing" -0.88624472
2 "Standing" -0.88734736
2 "Standing" -0.95124722
2 "Standing" -0.97064481
2 "Standing" -0.80173063
2 "Standing" -0.94912
2 "Standing" -0.86704914
2 "Standing" -0.81954306
2 "Standing" -0.84970795
2 "Standing" -0.91280683
2 "Standing" -0.92510693
2 "Standing" -0.90687388
2 "Standing" -0.87718446
2 "Standing" -0.77001899
2 "Standing" -0.80840106
2 "Walking" -0.78571562
2 "Walking" -0.69244004
2 "Walking" -0.88617088
2 "Walking" -0.83301823
2 "Walking" -0.7895262
2 "Walking" -0.89323965
2 "Walking" -0.84279334
2 "Walking" -0.62697994
2 "Walking" -0.70910882
2 "Walking" -0.79710605
2 "Walking" -0.80879889
2 "Walking" -0.70308064
2 "Walking" -0.74299814
2 "Walking" -0.81431777
2 "Walking" -0.81546418
2 "Walking" -0.957026
2 "Walking" -0.91459529
2 "Walking" -0.82550232
2 "Walking" -0.89766298
2 "Walking" -0.90049088
2 "Walking" -0.65254998
2 "Walking" -0.85811345
2 "Walking" -0.87632426
2 "Walking" -0.87943617
2 "Walking" -0.89502637
2 "Walking" -0.88243225
2 "Walking" -0.75533161
2 "Walking" -0.71481884
2 "Walking" -0.64291035
2 "Walking" -0.75135283
2 "Walking" -0.77381089
2 "Walking" -0.71949959
2 "Walking" -0.87658347
2 "Walking" -0.77608607
2 "Walking" -0.43566901
2 "Walking" -0.7995765
2 "Walking" -0.84639972
2 "Walking" -0.71396206
2 "Walking" -0.80787512
2 "Walking" -0.76145717
2 "Walking" -0.79781904
2 "Walking" -0.57817367
2 "Walking" -0.65659483
2 "Walking" -0.69804801
2 "Walking" -0.8668372
2 "Walking" -0.84440137
2 "Walking" -0.72065663
2 "Walking" -0.8477667
2 "Walking" -0.54785267
2 "Walking" -0.53989162
2 "Walking" -0.57152069
2 "Walking" -0.86036819
2 "Walking" -0.62133959
2 "Walking" -0.65842356
2 "Walking" -0.62616341
2 "Walking" -0.71827011
2 "Walking" -0.76569159
2 "Walking" -0.73193321
2 "Walking" -0.73556656
2 "Walking Down Stairs" -0.92682977
2 "Walking Down Stairs" -0.85979021
2 "Walking Down Stairs" -0.83259876
2 "Walking Down Stairs" -0.72559225
2 "Walking Down Stairs" -0.73910552
2 "Walking Down Stairs" -0.8476314
2 "Walking Down Stairs" -0.84337819
2 "Walking Down Stairs" -0.77938015
2 "Walking Down Stairs" -0.85774119
2 "Walking Down Stairs" -0.81944791
2 "Walking Down Stairs" -0.9050247
2 "Walking Down Stairs" -0.82928187
2 "Walking Down Stairs" -0.73004881
2 "Walking Down Stairs" -0.87229218
