"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.92314039
1 "Lying" -0.92178348
1 "Lying" -0.88461839
1 "Lying" -0.93864732
1 "Lying" -0.93944169
1 "Lying" -0.89683469
1 "Lying" -0.88786157
1 "Lying" -0.89657046
1 "Lying" -0.87837006
1 "Lying" -0.81067775
1 "Lying" -0.94609927
1 "Lying" -0.91527386
1 "Lying" -0.8507134
1 "Lying" -0.81929696
1 "Lying" -0.91386622
1 "Lying" -0.956195
1 "Lying" -0.93703981
1 "Lying" -0.86863562
1 "Lying" -0.90762912
1 "Lying" -0.76268756
1 "Lying" -0.80293359
1 "Lying" -0.95255615
1 "Lying" -0.75730465
1 "Lying" -0.92780481
1 "Lying" -0.98111876
1 "Lying" -0.93992741
1 "Lying" -0.96298293
1 "Lying" -0.89048786
1 "Lying" -0.88638907
1 "Lying" -0.91443116
1 "Lying" -0.89691415
1 "Lying" -0.93976157
1 "Lying" -0.89587305
1 "Lying" -0.87226494
1 "Lying" -0.73267582
1 "Lying" -0.76937593
1 "Lying" -0.80005917
1 "Lying" -0.80023756
1 "Lying" -0.85233498
1 "Lying" -0.95486496
1 "Lying" -0.92797336
1 "Lying" -0.94522596
1 "Lying" -0.51910111
1 "Lying" -0.69444692
1 "Lying" -0.96941664
1 "Lying" -0.94664883
1 "Lying" -0.74730372
1 "Lying" -0.85701082
1 "Lying" -0.38867948
1 "Lying" -0.78322252
1 "Sitting" -0.80553591
1 "Sitting" -0.91598691
1 "Sitting" -0.98013321
1 "Sitting" -0.8933748
1 "Sitting" -0.96620393
1 "Sitting" -0.94329109
1 "Sitting" -0.8325819
1 "Sitting" -0.77175999
1 "Sitting" -0.63185991
1 "Sitting" -0.85652462
1 "Sitting" -0.91511549
1 "Sitting" -0.86810004
1 "Sitting" -0.82202888
1 "Sitting" -0.76131893
1 "Sitting" -0.87193336
1 "Sitting" -0.89650898
1 "Sitting" -0.80566567
1 "Sitting" -0.82578147
1 "Sitting" -0.89352554
1 "Sitting" -0.92909091
1 "Sitting" -0.97308945
1 "Sitting" -0.91195836
1 "Sitting" -0.82406053
1 "Sitting" -0.88990675
1 "Sitting" -0.83340214
1 "Sitting" -0.76993072
1 "Sitting" -0.98544889
1 "Sitting" -0.937439
1 "Sitting" -0.87779725
1 "Sitting" -0.80215715
1 "Sitting" -0.95382906
1 "Sitting" -0.91608066
1 "Sitting" -0.88171931
1 "Sitting" -0.83172363
1 "Sitting" -0.76262275
1 "Sitting" -0.91834598
1 "Sitting" -0.90110947
1 "Sitting" -0.89824374
1 "Sitting" -0.75827024
1 "Sitting" -0.83135283
1 "Sitting" -0.84610536
1 "Sitting" -0.87300725
1 "Sitting" -0.93464323
1 "Sitting" -0.69743147
1 "Sitting" -0.93418372
1 "Sitting" -0.89206076
1 "Sitting" -0.96359072
1 "Sitting" -0.93962746
1 "Sitting" -0.88384597
1 "Sitting" -0.68890216
1 "Sitting" -0.9596766
1 "Sitting" -0.87093467
1 "Sitting" -0.86819017
1 "Standing" -0.29301605
1 "Standing" -0.96941353
1 "Standing" -0.81566041
1 "Standing" -0.84564852
1 "Standing" -0.7149273
1 "Standing" -0.87781918
1 "Standing" -0.88522576
1 "Standing" -0.94370759
1 "Standing" -0.89008342
1 "Standing" -0.92237852
1 "Standing" -0.92192921
1 "Standing" -0.90262789
1 "Standing" -0.86886463
1 "Standing" -0.86598391
1 "Standing" -0.86068027
1 "Standing" -0.85282348
1 "Standing" -0.87664449
1 "Standing" -0.77047374
1 "Standing" -0.81584998
1 "Standing" -0.8398502
1 "Standing" -0.98673853
1 "Standing" -0.86831232
1 "Standing" -0.8083157
1 "Standing" -0.78362487
1 "Standing" -0.92829153
1 "Standing" -0.90476098
1 "Standing" -0.96763384
1 "Standing" -0.87874256
1 "Standing" -0.9265476
1 "Standing" -0.90620368
1 "Standing" -0.94714249
1 "Standing" -0.95379807
1 "Standing" -0.92936847
1 "Standing" -0.9295483
1 "Standing" -0.93015591
1 "Standing" -0.88815082
1 "Standing" -0.86214739
1 "Standing" -0.95510093
1 "Standing" -0.83891086
1 "Standing" -0.90584045
1 "Standing" -0.96879681
1 "Standing" -0.8580239
1 "Standing" -0.95724171
1 "Standing" -0.94629408
1 "Standing" -0.98278013
1 "Standing" -0.93901077
1 "Standing" -0.87083111
1 "Walking" -0.84220066
1 "Walking" -0.67657743
1 "Walking" -0.8490434
1 "Walking" -0.83359135
1 "Walking" -0.69127713
1 "Walking" -0.60621735
1 "Walking" -0.76389778
1 "Walking" -0.86815867
1 "Walking" -0.94594187
1 "Walking" -0.90067212
1 "Walking" -0.61208428
1 "Walking" -0.77004332
1 "Walking" -0.82406218
1 "Walking" -0.74118808
1 "Walking" -0.75100113
1 "Walking" -0.71519233
1 "Walking" -0.82742701
1 "Walking" -0.74509003
1 "Walking" -0.80182528
1 "Walking" -0.57771792
1 "Walking" -0.79092794
1 "Walking" -0.83153542
1 "Walking" -0.89258978
1 "Walking" -0.91247083
