"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.90675861
1 "Lying" -0.98746845
1 "Lying" -0.99652312
1 "Lying" -0.9980681
1 "Lying" -0.9980933
1 "Lying" -0.99628038
1 "Lying" -0.9955322
1 "Lying" -0.99600232
1 "Lying" -0.99460298
1 "Lying" -0.99361686
1 "Lying" -0.99607348
1 "Lying" -0.99666951
1 "Lying" -0.99608791
1 "Lying" -0.67962251
1 "Lying" -0.96870567
1 "Lying" -0.52310733
1 "Lying" -0.55237842
1 "Lying" -0.75893311
1 "Lying" -0.69752856
1 "Lying" -0.17092637
1 "Lying" -0.25662904
1 "Lying" -0.67533699
1 "Lying" -0.88810246
1 "Lying" -0.96952362
1 "Lying" -0.99252725
1 "Lying" -0.99356291
1 "Lying" -0.9930001
1 "Lying" -0.9506122
1 "Lying" -0.97939339
1 "Lying" -0.99592311
1 "Lying" -0.99494583
1 "Lying" -0.99446077
1 "Lying" -0.99746975
1 "Lying" -0.99672922
1 "Lying" -0.99518204
1 "Lying" -0.99559831
1 "Lying" -0.99643722
1 "Lying" -0.99638837
1 "Lying" -0.99735438
1 "Lying" -0.52594857
1 "Lying" -0.6303106
1 "Lying" -0.93968578
1 "Lying" -0.93291087
1 "Lying" -0.93919334
1 "Lying" -0.97670958
1 "Lying" -0.99029998
1 "Lying" -0.98557985
1 "Lying" -0.92494351
1 "Lying" -0.96093216
1 "Lying" -0.91059018
1 "Sitting" -0.97473271
1 "Sitting" -0.98581162
1 "Sitting" -0.98582131
1 "Sitting" -0.99281202
1 "Sitting" -0.99242325
1 "Sitting" -0.99500234
1 "Sitting" -0.98574939
1 "Sitting" -0.98899417
1 "Sitting" -0.98877391
1 "Sitting" -0.98605602
1 "Sitting" -0.98500091
1 "Sitting" -0.99481893
1 "Sitting" -0.99750279
1 "Sitting" -0.99637237
1 "Sitting" -0.94674076
1 "Sitting" -0.9904074
1 "Sitting" -0.99315419
1 "Sitting" -0.99448275
1 "Sitting" -0.99739459
1 "Sitting" -0.99765102
1 "Sitting" -0.99750413
1 "Sitting" -0.99588168
1 "Sitting" -0.99573479
1 "Sitting" -0.99390662
1 "Sitting" -0.99591232
1 "Sitting" -0.99475278
1 "Sitting" -0.99703625
1 "Sitting" -0.95238451
1 "Sitting" -0.97636962
1 "Sitting" -0.98742298
1 "Sitting" -0.97734569
1 "Sitting" -0.97312243
1 "Sitting" -0.97968437
1 "Sitting" -0.98895907
1 "Sitting" -0.99528655
1 "Sitting" -0.98966384
1 "Sitting" -0.98723769
1 "Sitting" -0.99401513
1 "Sitting" -0.99438008
1 "Sitting" -0.99309558
1 "Sitting" -0.9895337
1 "Sitting" -0.94180149
1 "Sitting" -0.97934987
1 "Sitting" -0.99444595
1 "Sitting" -0.99585604
1 "Sitting" -0.9936707
1 "Sitting" -0.99573815
1 "Sitting" -0.99733594
1 "Sitting" -0.99910564
1 "Sitting" -0.99874699
1 "Sitting" -0.99583111
1 "Sitting" -0.99549242
1 "Sitting" -0.99689694
1 "Standing" -0.65843736
1 "Standing" -0.96837424
1 "Standing" -0.98090469
1 "Standing" -0.72341382
1 "Standing" -0.71776202
1 "Standing" -0.76134374
1 "Standing" -0.94309281
1 "Standing" -0.97841519
1 "Standing" -0.99736806
1 "Standing" -0.99834866
1 "Standing" -0.99693401
1 "Standing" -0.95598597
1 "Standing" -0.98096744
1 "Standing" -0.99232649
1 "Standing" -0.99219213
1 "Standing" -0.99397997
1 "Standing" -0.99164048
1 "Standing" -0.99248331
1 "Standing" -0.99554629
1 "Standing" -0.99511982
1 "Standing" -0.9940251
1 "Standing" -0.9948828
1 "Standing" -0.99561376
1 "Standing" -0.99316476
1 "Standing" -0.86935995
1 "Standing" -0.96569407
1 "Standing" -0.99112223
1 "Standing" -0.99369799
1 "Standing" -0.99397151
1 "Standing" -0.99585021
1 "Standing" -0.99614993
1 "Standing" -0.99719218
1 "Standing" -0.99764962
1 "Standing" -0.99703022
1 "Standing" -0.99589347
1 "Standing" -0.89596508
1 "Standing" -0.98262532
1 "Standing" -0.98903619
1 "Standing" -0.99481501
1 "Standing" -0.99344604
1 "Standing" -0.99208376
1 "Standing" -0.99492991
1 "Standing" -0.99788539
1 "Standing" -0.99773687
1 "Standing" -0.99630057
1 "Standing" -0.99523741
1 "Standing" -0.98922403
