"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.37511503
1 "Lying" -0.3148711
1 "Lying" -0.20746792
1 "Lying" -0.073307729
1 "Lying" -0.34177077
1 "Lying" -0.30605766
1 "Lying" -0.42820286
1 "Lying" -0.66737491
1 "Lying" -0.38180562
1 "Lying" -0.43040587
1 "Lying" -0.42546527
1 "Lying" -0.42206925
1 "Lying" -0.30262224
1 "Lying" 0.15345971
1 "Lying" 0.31530219
1 "Lying" 0.029987075
1 "Lying" 0.087292089
1 "Lying" 0.4537469
1 "Lying" 0.24180411
1 "Lying" 0.48398864
1 "Lying" 0.53970046
1 "Lying" 0.65076687
1 "Lying" 0.52619451
1 "Lying" -0.041641986
1 "Lying" 0.098052603
1 "Lying" -0.087070453
1 "Lying" -0.4123654
1 "Lying" -0.066939554
1 "Lying" 0.021699919
1 "Lying" -0.3719792
1 "Lying" -0.32305622
1 "Lying" -0.12649446
1 "Lying" -0.18599157
1 "Lying" -0.25331874
1 "Lying" -0.33600207
1 "Lying" -0.26018277
1 "Lying" -0.33358525
1 "Lying" -0.28674173
1 "Lying" -0.13968749
1 "Lying" 0.15072181
1 "Lying" -0.054932766
1 "Lying" 0.058520301
1 "Lying" 0.40508458
1 "Lying" 0.46285562
1 "Lying" -0.16889165
1 "Lying" -0.18977704
1 "Lying" 0.01135382
1 "Lying" 0.5449683
1 "Lying" 0.49096933
1 "Lying" 0.62610839
1 "Sitting" 0.19181715
1 "Sitting" -0.4116748
1 "Sitting" -0.29612966
1 "Sitting" 0.037142509
1 "Sitting" -0.35585076
1 "Sitting" -0.48154569
1 "Sitting" -0.062701218
1 "Sitting" 0.035137205
1 "Sitting" -0.16176693
1 "Sitting" -0.090331096
1 "Sitting" -0.27674953
1 "Sitting" -0.59992914
1 "Sitting" -0.53430582
1 "Sitting" -0.52673606
1 "Sitting" 0.38134805
1 "Sitting" -0.10587809
1 "Sitting" -0.16010398
1 "Sitting" -0.29977833
1 "Sitting" -0.46111556
1 "Sitting" -0.60775124
1 "Sitting" -0.88102867
1 "Sitting" -0.66937077
1 "Sitting" -0.16045928
1 "Sitting" -0.22120847
1 "Sitting" -0.40743928
1 "Sitting" -0.48659886
1 "Sitting" -0.50792065
1 "Sitting" 0.077888384
1 "Sitting" 0.091335181
1 "Sitting" -0.076206539
1 "Sitting" -0.24430163
1 "Sitting" 0.012201694
1 "Sitting" 0.11515672
1 "Sitting" -0.00071507444
1 "Sitting" -0.29092815
1 "Sitting" -0.54595679
1 "Sitting" -0.3473751
1 "Sitting" 0.045707175
1 "Sitting" -0.01447271
1 "Sitting" -0.1506231
1 "Sitting" -0.13294067
1 "Sitting" 0.19795655
1 "Sitting" -0.061995545
1 "Sitting" -0.4996214
1 "Sitting" -0.50418896
1 "Sitting" -0.41042198
1 "Sitting" -0.27293423
1 "Sitting" -0.4380467
1 "Sitting" -0.46755853
1 "Sitting" -0.45939022
1 "Sitting" -0.13835211
1 "Sitting" -0.29454126
1 "Sitting" -0.22027322
1 "Standing" 0.17644387
1 "Standing" 0.2613751
1 "Standing" -0.18272828
1 "Standing" 0.56646567
