"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.84740112
1 "Lying" -0.97996146
1 "Lying" -0.99632787
1 "Lying" -0.9990687
1 "Lying" -0.99775192
1 "Lying" -0.99500852
1 "Lying" -0.99516517
1 "Lying" -0.9927993
1 "Lying" -0.99178736
1 "Lying" -0.99506529
1 "Lying" -0.99666019
1 "Lying" -0.99804386
1 "Lying" -0.99823885
1 "Lying" -0.4624772
1 "Lying" -0.94552287
1 "Lying" -0.22544394
1 "Lying" -0.32305095
1 "Lying" -0.80047739
1 "Lying" -0.70248776
1 "Lying" 0.11447239
1 "Lying" -0.043057933
1 "Lying" -0.29136896
1 "Lying" -0.77148933
1 "Lying" -0.93144618
1 "Lying" -0.98811402
1 "Lying" -0.99207497
1 "Lying" -0.99486691
1 "Lying" -0.92856804
1 "Lying" -0.95326985
1 "Lying" -0.99624045
1 "Lying" -0.99554654
1 "Lying" -0.99677585
1 "Lying" -0.99755764
1 "Lying" -0.99501086
1 "Lying" -0.99575755
1 "Lying" -0.99834498
1 "Lying" -0.99774418
1 "Lying" -0.99660901
1 "Lying" -0.99646898
1 "Lying" -0.21344265
1 "Lying" -0.15552906
1 "Lying" -0.91635562
1 "Lying" -0.8213644
1 "Lying" -0.81210842
1 "Lying" -0.96055204
1 "Lying" -0.98526251
1 "Lying" -0.98496411
1 "Lying" -0.81933001
1 "Lying" -0.86747506
1 "Lying" -0.82961476
1 "Sitting" -0.94887014
1 "Sitting" -0.97577688
1 "Sitting" -0.98559356
1 "Sitting" -0.98352367
1 "Sitting" -0.99232413
1 "Sitting" -0.99385116
1 "Sitting" -0.98249004
1 "Sitting" -0.97682912
1 "Sitting" -0.97926401
1 "Sitting" -0.98782548
1 "Sitting" -0.98676484
1 "Sitting" -0.99471911
1 "Sitting" -0.99623576
1 "Sitting" -0.99773575
1 "Sitting" -0.88354181
1 "Sitting" -0.98524141
1 "Sitting" -0.98799344
1 "Sitting" -0.99048642
1 "Sitting" -0.9956196
1 "Sitting" -0.99710355
1 "Sitting" -0.99724765
1 "Sitting" -0.99640334
1 "Sitting" -0.99671293
1 "Sitting" -0.99635247
1 "Sitting" -0.99439497
1 "Sitting" -0.9933374
1 "Sitting" -0.99825222
1 "Sitting" -0.92724115
1 "Sitting" -0.95709008
1 "Sitting" -0.98687184
1 "Sitting" -0.97505722
1 "Sitting" -0.96462938
1 "Sitting" -0.96916598
1 "Sitting" -0.98392893
1 "Sitting" -0.98859562
1 "Sitting" -0.98966382
1 "Sitting" -0.98799258
1 "Sitting" -0.99016817
1 "Sitting" -0.99237234
1 "Sitting" -0.99289416
1 "Sitting" -0.98908975
1 "Sitting" -0.89091752
1 "Sitting" -0.97465528
1 "Sitting" -0.98642015
1 "Sitting" -0.99429242
1 "Sitting" -0.99236979
1 "Sitting" -0.99258385
1 "Sitting" -0.99663934
1 "Sitting" -0.99633955
1 "Sitting" -0.99788764
1 "Sitting" -0.99651357
1 "Sitting" -0.99629927
1 "Sitting" -0.9958615
1 "Standing" -0.35864225
1 "Standing" -0.95062368
1 "Standing" -0.97145278
1 "Standing" -0.56971946
1 "Standing" -0.56621364
1 "Standing" -0.65907776
1 "Standing" -0.90132679
1 "Standing" -0.95723704
1 "Standing" -0.99471872
1 "Standing" -0.9987991
1 "Standing" -0.99294616
1 "Standing" -0.94319124
1 "Standing" -0.9585279
1 "Standing" -0.99399387
1 "Standing" -0.99251046
1 "Standing" -0.99185734
1 "Standing" -0.99118565
1 "Standing" -0.99145924
1 "Standing" -0.99602734
1 "Standing" -0.99810681
1 "Standing" -0.99568965
