"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99799715
1 "Lying" -0.99627999
1 "Lying" -0.99275771
1 "Lying" -0.99316466
1 "Lying" -0.99202255
1 "Lying" -0.98504742
1 "Lying" -0.99927753
1 "Lying" -0.99986552
1 "Lying" -0.99450868
1 "Lying" -0.98632793
1 "Lying" -0.99252589
1 "Lying" -0.99887903
1 "Lying" -0.99137088
1 "Lying" -0.44825807
1 "Lying" -0.99719426
1 "Lying" -0.84105201
1 "Lying" -0.92630462
1 "Lying" -0.71267847
1 "Lying" -0.96734549
1 "Lying" -0.83680756
1 "Lying" -0.82489875
1 "Lying" -0.80128563
1 "Lying" -0.6306472
1 "Lying" -0.95951051
1 "Lying" -0.99353922
1 "Lying" -0.98715224
1 "Lying" -0.99017094
1 "Lying" -0.96425452
1 "Lying" -0.98160725
1 "Lying" -0.98712555
1 "Lying" -0.99640914
1 "Lying" -0.99186641
1 "Lying" -0.99267521
1 "Lying" -0.9938295
1 "Lying" -0.99654575
1 "Lying" -0.98930148
1 "Lying" -0.99231397
1 "Lying" -0.99876237
1 "Lying" -0.99578684
1 "Lying" -0.68335695
1 "Lying" -0.83946726
1 "Lying" -0.99157264
1 "Lying" -0.96800539
1 "Lying" -0.95718175
1 "Lying" -0.98224938
1 "Lying" -0.99181174
1 "Lying" -0.99888223
1 "Lying" -0.84256332
1 "Lying" -0.99698088
1 "Lying" -0.78792704
1 "Sitting" -0.92572179
1 "Sitting" -0.98691082
1 "Sitting" -0.98983636
1 "Sitting" -0.99818503
1 "Sitting" -0.98780516
1 "Sitting" -0.98947223
1 "Sitting" -0.97467067
1 "Sitting" -0.9980253
1 "Sitting" -0.98402192
1 "Sitting" -0.99613613
1 "Sitting" -0.98558026
1 "Sitting" -0.99297937
1 "Sitting" -0.99465355
1 "Sitting" -0.99473083
1 "Sitting" -0.9225832
1 "Sitting" -0.99427255
1 "Sitting" -0.99648651
1 "Sitting" -0.99738066
1 "Sitting" -0.98951841
1 "Sitting" -0.99348258
1 "Sitting" -0.98863413
1 "Sitting" -0.99159559
1 "Sitting" -0.9909031
1 "Sitting" -0.98529155
1 "Sitting" -0.98481203
1 "Sitting" -0.98308983
1 "Sitting" -0.99187635
1 "Sitting" -0.99508846
1 "Sitting" -0.98990686
1 "Sitting" -0.99117496
1 "Sitting" -0.99224865
1 "Sitting" -0.98695087
1 "Sitting" -0.98151409
1 "Sitting" -0.98976386
1 "Sitting" -0.9954455
1 "Sitting" -0.99154376
1 "Sitting" -0.99530461
1 "Sitting" -0.99543787
1 "Sitting" -0.99326228
1 "Sitting" -0.98663553
1 "Sitting" -0.99561235
