"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.83619631
1 "Lying" -0.97848445
1 "Lying" -0.99677722
1 "Lying" -0.99844942
1 "Lying" -0.99828295
1 "Lying" -0.99650887
1 "Lying" -0.99629933
1 "Lying" -0.99533504
1 "Lying" -0.99435238
1 "Lying" -0.99745177
1 "Lying" -0.99729675
1 "Lying" -0.9986522
1 "Lying" -0.99863947
1 "Lying" -0.47576196
1 "Lying" -0.91479967
1 "Lying" 0.085678963
1 "Lying" -0.11108042
1 "Lying" -0.80375155
1 "Lying" -0.73690231
1 "Lying" 0.28069657
1 "Lying" -0.10278022
1 "Lying" -0.026812389
1 "Lying" -0.77156888
1 "Lying" -0.91127373
1 "Lying" -0.9894907
1 "Lying" -0.99151132
1 "Lying" -0.99567097
1 "Lying" -0.92967635
1 "Lying" -0.94210789
1 "Lying" -0.99669229
1 "Lying" -0.99657167
1 "Lying" -0.99767611
1 "Lying" -0.99820737
1 "Lying" -0.996219
1 "Lying" -0.99686808
1 "Lying" -0.9986614
1 "Lying" -0.99885683
1 "Lying" -0.99726631
1 "Lying" -0.99708387
1 "Lying" -0.14363695
1 "Lying" 0.029689026
1 "Lying" -0.91750398
1 "Lying" -0.77267166
1 "Lying" -0.74593604
1 "Lying" -0.95993478
1 "Lying" -0.98673917
1 "Lying" -0.98495337
1 "Lying" -0.78869229
1 "Lying" -0.74078957
1 "Lying" -0.81023632
1 "Sitting" -0.95613397
1 "Sitting" -0.97586576
1 "Sitting" -0.98901548
1 "Sitting" -0.98674196
1 "Sitting" -0.99006346
1 "Sitting" -0.9952833
1 "Sitting" -0.98477295
1 "Sitting" -0.9751195
1 "Sitting" -0.9766829
1 "Sitting" -0.98902313
1 "Sitting" -0.98718871
1 "Sitting" -0.99671395
1 "Sitting" -0.99678792
1 "Sitting" -0.99848118
1 "Sitting" -0.83625317
1 "Sitting" -0.98608288
1 "Sitting" -0.99011174
1 "Sitting" -0.99230619
1 "Sitting" -0.99731449
1 "Sitting" -0.99727464
1 "Sitting" -0.99819256
1 "Sitting" -0.99781715
1 "Sitting" -0.998191
1 "Sitting" -0.9975563
1 "Sitting" -0.99537148
1 "Sitting" -0.99500518
1 "Sitting" -0.99864097
1 "Sitting" -0.93372024
1 "Sitting" -0.95851614
1 "Sitting" -0.98466128
1 "Sitting" -0.97510709
1 "Sitting" -0.97226734
1 "Sitting" -0.97243469
1 "Sitting" -0.9858527
1 "Sitting" -0.9916129
1 "Sitting" -0.99243376
1 "Sitting" -0.99146099
1 "Sitting" -0.99242877
1 "Sitting" -0.99331908
1 "Sitting" -0.99393089
1 "Sitting" -0.99168058
1 "Sitting" -0.82701729
1 "Sitting" -0.97989066
1 "Sitting" -0.98252992
1 "Sitting" -0.99658109
1 "Sitting" -0.99451033
1 "Sitting" -0.99272262
1 "Sitting" -0.99523418
1 "Sitting" -0.9965522
1 "Sitting" -0.99851262
1 "Sitting" -0.99771905
1 "Sitting" -0.99720998
1 "Sitting" -0.99673334
1 "Standing" -0.19941645
1 "Standing" -0.93096339
1 "Standing" -0.9712139
1 "Standing" -0.53386872
1 "Standing" -0.4881476
1 "Standing" -0.47811404
1 "Standing" -0.90262603
1 "Standing" -0.95600866
1 "Standing" -0.99428267
1 "Standing" -0.99914369
1 "Standing" -0.99473344
1 "Standing" -0.95362659
1 "Standing" -0.94488385
1 "Standing" -0.99538682
1 "Standing" -0.99409828
1 "Standing" -0.99271444
1 "Standing" -0.99326591
1 "Standing" -0.99349154
1 "Standing" -0.99681386
1 "Standing" -0.99838757
1 "Standing" -0.9971598
1 "Standing" -0.99478688
1 "Standing" -0.99365615
1 "Standing" -0.99473486
1 "Standing" -0.77292821
1 "Standing" -0.92789904
1 "Standing" -0.99115404
1 "Standing" -0.99589736
1 "Standing" -0.99648119
1 "Standing" -0.99785418
1 "Standing" -0.99891722
1 "Standing" -0.99914571
1 "Standing" -0.99888805
1 "Standing" -0.99824889
1 "Standing" -0.99758346
1 "Standing" -0.76289686
1 "Standing" -0.97304604
1 "Standing" -0.98693969
1 "Standing" -0.99079507
1 "Standing" -0.99524037
1 "Standing" -0.99462309
1 "Standing" -0.99335271
1 "Standing" -0.99693031
1 "Standing" -0.99508529
1 "Standing" -0.99606766
1 "Standing" -0.99357898
1 "Standing" -0.99182712
1 "Walking" -0.39958295
1 "Walking" -0.42303003
1 "Walking" -0.43685834
1 "Walking" -0.37621527
1 "Walking" -0.38785963
1 "Walking" -0.37817216
1 "Walking" -0.40610227
1 "Walking" -0.42757093
1 "Walking" -0.46375538
1 "Walking" -0.40834585
1 "Walking" -0.39548541
1 "Walking" -0.4324654
1 "Walking" -0.37214606
1 "Walking" -0.31689723
1 "Walking" -0.34641
1 "Walking" -0.40451684
1 "Walking" -0.38831632
1 "Walking" -0.38895614
1 "Walking" -0.41830027
1 "Walking" -0.42225968
1 "Walking" -0.45130248
1 "Walking" -0.40432436
1 "Walking" -0.42086558
1 "Walking" -0.36757695
1 "Walking" -0.31192581
1 "Walking" -0.33226361
1 "Walking" -0.35198053
1 "Walking" -0.38048312
1 "Walking" -0.35713929
1 "Walking" -0.3876761
1 "Walking" -0.40762296
1 "Walking" -0.41305487
1 "Walking" -0.39688383
1 "Walking" -0.27529782
1 "Walking" -0.43790994
1 "Walking" -0.44548666
1 "Walking" -0.39052727
1 "Walking" -0.39987027
1 "Walking" -0.40652713
1 "Walking" -0.45611943
1 "Walking" -0.46963574
1 "Walking" -0.45541626
1 "Walking" -0.46186526
1 "Walking" -0.47647705
1 "Walking" -0.41643307
1 "Walking" -0.40865994
1 "Walking" -0.44519626
1 "Walking" -0.46036622
1 "Walking" -0.45785071
1 "Walking" -0.42495693
1 "Walking" -0.44131389
1 "Walking" -0.43218345
1 "Walking" -0.44711479
1 "Walking" -0.40103145
1 "Walking" -0.38494832
1 "Walking" -0.45583425
1 "Walking" -0.38226598
1 "Walking" -0.38192078
1 "Walking" -0.46823901
1 "Walking" -0.45248433
1 "Walking" -0.39036034
1 "Walking" -0.39838608
1 "Walking" -0.43342615
1 "Walking" -0.41140777
1 "Walking" -0.34398211
1 "Walking" -0.37266264
1 "Walking" -0.3983134
1 "Walking" -0.39073218
1 "Walking" -0.34992462
1 "Walking" -0.41025
1 "Walking" -0.34324033
1 "Walking" -0.29063619
1 "Walking" -0.39195778
1 "Walking" -0.39291139
1 "Walking" -0.35587432
1 "Walking" -0.38153776
1 "Walking" -0.42559856
1 "Walking" -0.36097175
1 "Walking" -0.38419534
1 "Walking" -0.42614079
1 "Walking" -0.46854498
1 "Walking" -0.35812625
1 "Walking" -0.36225891
1 "Walking" -0.33928193
1 "Walking" -0.36193937
1 "Walking" -0.42199881
1 "Walking" -0.36752882
1 "Walking" -0.31211802
1 "Walking" -0.3381147
1 "Walking" -0.36597472
1 "Walking" -0.39780987
1 "Walking" -0.3467188
1 "Walking" -0.40281156
1 "Walking" -0.44558689
1 "Walking" -0.35949476
1 "Walking Down Stairs" -0.33831993
1 "Walking Down Stairs" -0.2920717
1 "Walking Down Stairs" -0.20700112
1 "Walking Down Stairs" -0.2225121
1 "Walking Down Stairs" -0.038304729
1 "Walking Down Stairs" -0.034039418
1 "Walking Down Stairs" -0.18617267
1 "Walking Down Stairs" -0.30703554
1 "Walking Down Stairs" -0.32405894
1 "Walking Down Stairs" -0.032966277
1 "Walking Down Stairs" -0.10633862
1 "Walking Down Stairs" -0.14492281
1 "Walking Down Stairs" -0.17078319
1 "Walking Down Stairs" -0.14201012
1 "Walking Down Stairs" -0.32634636
1 "Walking Down Stairs" -0.16778508
1 "Walking Down Stairs" -0.027737109
1 "Walking Down Stairs" -0.22215207
1 "Walking Down Stairs" -0.27974165
1 "Walking Down Stairs" -0.32157475
1 "Walking Down Stairs" -0.13070057
1 "Walking Down Stairs" 0.017367981
1 "Walking Down Stairs" -0.24093073
1 "Walking Down Stairs" -0.39046852
1 "Walking Down Stairs" -0.21122453
1 "Walking Down Stairs" -0.15052923
1 "Walking Down Stairs" -0.19421705
1 "Walking Down Stairs" -0.15487469
1 "Walking Down Stairs" -0.10800139
1 "Walking Down Stairs" -0.13077663
1 "Walking Down Stairs" -0.19953442
1 "Walking Down Stairs" -0.16541121
1 "Walking Down Stairs" -0.011067067
1 "Walking Down Stairs" -0.0063955036
1 "Walking Down Stairs" -0.19557489
1 "Walking Down Stairs" -0.30787395
1 "Walking Down Stairs" -0.14767434
1 "Walking Down Stairs" -0.28074564
1 "Walking Down Stairs" -0.1830377
1 "Walking Down Stairs" -0.13766361
1 "Walking Down Stairs" -0.1229962
1 "Walking Down Stairs" -0.19878062
1 "Walking Down Stairs" -0.22117511
1 "Walking Down Stairs" -0.26525706
1 "Walking Down Stairs" -0.22575746
1 "Walking Down Stairs" -0.20653658
1 "Walking Down Stairs" -0.26483255
1 "Walking Down Stairs" -0.18622823
1 "Walking Down Stairs" -0.22721307
1 "Walking Up Stairs" -0.4221008
1 "Walking Up Stairs" -0.45970951
1 "Walking Up Stairs" -0.53649165
1 "Walking Up Stairs" -0.44179793
1 "Walking Up Stairs" -0.4029539
1 "Walking Up Stairs" -0.52382816
1 "Walking Up Stairs" -0.4887337
1 "Walking Up Stairs" -0.45599537
1 "Walking Up Stairs" -0.33008445
1 "Walking Up Stairs" -0.38779068
1 "Walking Up Stairs" -0.48039948
1 "Walking Up Stairs" -0.50732136
1 "Walking Up Stairs" -0.54416815
1 "Walking Up Stairs" -0.49256875
1 "Walking Up Stairs" -0.37076367
1 "Walking Up Stairs" -0.37800451
1 "Walking Up Stairs" -0.43161213
1 "Walking Up Stairs" -0.36809851
1 "Walking Up Stairs" -0.36217836
1 "Walking Up Stairs" -0.44796859
1 "Walking Up Stairs" -0.45531018
1 "Walking Up Stairs" -0.51907096
1 "Walking Up Stairs" -0.46716453
1 "Walking Up Stairs" -0.3828601
1 "Walking Up Stairs" -0.37182784
1 "Walking Up Stairs" -0.417556
1 "Walking Up Stairs" -0.45060956
1 "Walking Up Stairs" -0.42330142
1 "Walking Up Stairs" -0.42083058
1 "Walking Up Stairs" -0.45420686
1 "Walking Up Stairs" -0.46117839
1 "Walking Up Stairs" -0.46156463
1 "Walking Up Stairs" -0.40259186
1 "Walking Up Stairs" -0.36147158
1 "Walking Up Stairs" -0.28868445
1 "Walking Up Stairs" -0.270797
1 "Walking Up Stairs" -0.34518902
1 "Walking Up Stairs" -0.41924615
1 "Walking Up Stairs" -0.37773797
1 "Walking Up Stairs" -0.38887766
1 "Walking Up Stairs" -0.45605774
1 "Walking Up Stairs" -0.42009417
1 "Walking Up Stairs" -0.35949638
1 "Walking Up Stairs" -0.31568111
1 "Walking Up Stairs" -0.32349788
1 "Walking Up Stairs" -0.32323906
1 "Walking Up Stairs" -0.42305316
1 "Walking Up Stairs" -0.44913191
1 "Walking Up Stairs" -0.45739884
1 "Walking Up Stairs" -0.49172122
1 "Walking Up Stairs" -0.4323536
1 "Walking Up Stairs" -0.31060914
1 "Walking Up Stairs" -0.32680477
2 "Lying" -0.85730185
2 "Lying" -0.98075362
2 "Lying" -0.99485329
2 "Lying" -0.99565194
2 "Lying" -0.99619873
2 "Lying" -0.99606117
2 "Lying" -0.99660012
2 "Lying" -0.99446875
2 "Lying" -0.99479161
2 "Lying" -0.99530731
2 "Lying" -0.98115209
2 "Lying" -0.87507951
2 "Lying" -0.92244854
2 "Lying" -0.97718751
2 "Lying" -0.98237801
2 "Lying" -0.98831462
2 "Lying" -0.98075496
2 "Lying" -0.98076203
2 "Lying" -0.97954206
2 "Lying" -0.97227619
2 "Lying" -0.98105261
2 "Lying" -0.98122143
2 "Lying" -0.97143283
2 "Lying" -0.97956176
2 "Lying" -0.76578059
2 "Lying" -0.94027523
2 "Lying" -0.96977674
2 "Lying" -0.99369677
2 "Lying" -0.99347593
2 "Lying" -0.99614167
2 "Lying" -0.99278338
2 "Lying" -0.99098271
2 "Lying" -0.9953339
2 "Lying" -0.99686656
2 "Lying" -0.99585729
2 "Lying" -0.89570823
2 "Lying" -0.98751276
2 "Lying" -0.98987622
2 "Lying" -0.9880714
2 "Lying" -0.98709004
2 "Lying" -0.99874196
2 "Lying" -0.99867374
2 "Lying" -0.99742751
2 "Lying" -0.99462503
2 "Lying" -0.99429305
2 "Lying" -0.99804874
2 "Lying" -0.99622249
2 "Lying" -0.99341214
2 "Sitting" -0.711074
2 "Sitting" -0.95974581
2 "Sitting" -0.98378426
2 "Sitting" -0.98211956
2 "Sitting" -0.9788381
2 "Sitting" -0.97987556
2 "Sitting" -0.98728087
2 "Sitting" -0.9907674
2 "Sitting" -0.9906142
2 "Sitting" -0.99294329
2 "Sitting" -0.99370311
2 "Sitting" -0.99601109
2 "Sitting" -0.99530622
2 "Sitting" -0.98793678
2 "Sitting" -0.98950494
2 "Sitting" -0.96746788
2 "Sitting" -0.85576029
2 "Sitting" -0.93797575
2 "Sitting" -0.97284557
2 "Sitting" -0.92558908
2 "Sitting" -0.9450127
2 "Sitting" -0.95342129
2 "Sitting" -0.88231245
2 "Sitting" -0.85484132
2 "Sitting" -0.98508439
2 "Sitting" -0.97575665
2 "Sitting" -0.9738442
2 "Sitting" -0.98674105
2 "Sitting" -0.98677206
2 "Sitting" -0.98126903
2 "Sitting" -0.98232817
2 "Sitting" -0.7475056
2 "Sitting" -0.95899306
2 "Sitting" -0.96513214
2 "Sitting" -0.96182826
2 "Sitting" -0.98321177
2 "Sitting" -0.97080022
2 "Sitting" -0.97358523
2 "Sitting" -0.9873188
2 "Sitting" -0.99467071
2 "Sitting" -0.9869422
2 "Sitting" -0.98413381
2 "Sitting" -0.7955789
2 "Sitting" -0.9710709
2 "Sitting" -0.98322938
2 "Sitting" -0.99251383
2 "Sitting" -0.99112009
2 "Sitting" -0.99097788
2 "Sitting" -0.99458776
2 "Sitting" -0.99281551
2 "Sitting" -0.99254534
2 "Sitting" -0.98985648
2 "Sitting" -0.98870952
2 "Sitting" -0.98439214
2 "Standing" -0.91278824
2 "Standing" -0.95814272
2 "Standing" -0.99408438
2 "Standing" -0.97224027
2 "Standing" -0.97579019
2 "Standing" -0.98886268
2 "Standing" -0.98747473
2 "Standing" -0.99300967
2 "Standing" -0.99556168
2 "Standing" -0.99622836
2 "Standing" -0.99239429
2 "Standing" -0.98904718
2 "Standing" -0.98676218
2 "Standing" -0.84956542
2 "Standing" -0.94510476
2 "Standing" -0.98545405
2 "Standing" -0.99189473
2 "Standing" -0.96910415
2 "Standing" -0.96958959
2 "Standing" -0.96055103
2 "Standing" -0.96388178
2 "Standing" -0.98991368
2 "Standing" -0.99052787
2 "Standing" -0.985299
2 "Standing" -0.75860576
2 "Standing" -0.90971314
2 "Standing" -0.9530863
2 "Standing" -0.98979921
2 "Standing" -0.97143999
2 "Standing" -0.9715605
2 "Standing" -0.99254756
2 "Standing" -0.99693548
2 "Standing" -0.99591914
2 "Standing" -0.97721813
2 "Standing" -0.97921083
2 "Standing" -0.28785857
2 "Standing" -0.96013576
2 "Standing" -0.98414618
2 "Standing" -0.98201217
2 "Standing" -0.97891093
2 "Standing" -0.99108164
2 "Standing" -0.98658982
2 "Standing" -0.98549602
2 "Standing" -0.98997119
2 "Standing" -0.98313894
2 "Standing" -0.98782781
2 "Walking" -0.57722126
2 "Walking" -0.56717287
2 "Walking" -0.58529069
2 "Walking" -0.61447491
2 "Walking" -0.62108306
2 "Walking" -0.60631309
2 "Walking" -0.59051964
2 "Walking" -0.57498276
2 "Walking" -0.56893256
2 "Walking" -0.5937211
2 "Walking" -0.58948303
2 "Walking" -0.61477125
2 "Walking" -0.61424602
2 "Walking" -0.60807077
2 "Walking" -0.64768601
2 "Walking" -0.58980347
2 "Walking" -0.59832529
2 "Walking" -0.65181305
2 "Walking" -0.65393685
2 "Walking" -0.56668953
2 "Walking" -0.53424141
2 "Walking" -0.57103699
2 "Walking" -0.60456552
2 "Walking" -0.59499256
2 "Walking" -0.56224364
2 "Walking" -0.59100657
2 "Walking" -0.56395396
2 "Walking" -0.49577365
2 "Walking" -0.49460403
2 "Walking" -0.59411728
2 "Walking" -0.52987705
2 "Walking" -0.54235906
2 "Walking" -0.55699961
2 "Walking" -0.55777439
2 "Walking" -0.59613799
2 "Walking" -0.58633754
2 "Walking" -0.55219217
2 "Walking" -0.5435373
2 "Walking" -0.52282806
2 "Walking" -0.5289491
2 "Walking" -0.57583652
2 "Walking" -0.54893077
2 "Walking" -0.56881821
2 "Walking" -0.62350064
2 "Walking" -0.6299509
2 "Walking" -0.58043049
2 "Walking" -0.53690738
2 "Walking" -0.54427934
2 "Walking" -0.59544857
2 "Walking" -0.6541454
2 "Walking" -0.58272874
2 "Walking" -0.60054216
2 "Walking" -0.58159095
2 "Walking" -0.4633167
2 "Walking" -0.58075003
2 "Walking" -0.59108629
2 "Walking" -0.53029924
2 "Walking" -0.53611539
2 "Walking" -0.56646468
2 "Walking Down Stairs" -0.18323706
2 "Walking Down Stairs" -0.2017641
2 "Walking Down Stairs" -0.15828865
2 "Walking Down Stairs" -0.098392525
2 "Walking Down Stairs" -0.27272499
2 "Walking Down Stairs" -0.031621259
2 "Walking Down Stairs" 0.037997442
2 "Walking Down Stairs" -0.05629937
2 "Walking Down Stairs" -0.19229921
2 "Walking Down Stairs" -0.13512115
2 "Walking Down Stairs" -0.088871263
2 "Walking Down Stairs" -0.096690491
2 "Walking Down Stairs" -0.011516083
2 "Walking Down Stairs" 0.078747899
2 "Walking Down Stairs" 0.016905492
2 "Walking Down Stairs" 0.00882652
2 "Walking Down Stairs" 0.078178156
2 "Walking Down Stairs" 0.21403711
2 "Walking Down Stairs" -0.061789364
2 "Walking Down Stairs" -0.12884513
2 "Walking Down Stairs" 0.024646747
