"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.15766392
1 "Lying" -0.13175283
1 "Lying" -0.58733684
1 "Lying" -0.58547394
1 "Lying" -0.76153067
1 "Lying" -0.74162968
1 "Lying" -0.70611058
1 "Lying" -0.79918419
1 "Lying" -0.79127751
1 "Lying" -0.97082134
1 "Lying" -0.69987615
1 "Lying" -0.83458167
1 "Lying" -0.82209693
1 "Lying" -0.10215857
1 "Lying" 0.72564799
1 "Lying" 0.59053763
1 "Lying" 0.50708781
1 "Lying" -0.12099588
1 "Lying" -0.27122048
1 "Lying" 0.31811539
1 "Lying" -0.15562824
1 "Lying" 0.58454707
1 "Lying" -0.1319887
1 "Lying" 0.45931378
1 "Lying" -0.47950959
1 "Lying" -0.29738788
1 "Lying" -0.61651075
1 "Lying" -0.10129485
1 "Lying" 0.2945989
1 "Lying" -0.63476153
1 "Lying" -0.78534501
1 "Lying" -0.82989141
1 "Lying" -0.75990478
1 "Lying" -0.71863849
1 "Lying" -0.77796535
1 "Lying" -0.69024158
1 "Lying" -0.90385549
1 "Lying" -0.70338679
1 "Lying" -0.66024943
1 "Lying" 0.26824975
1 "Lying" 0.47692521
1 "Lying" -0.22712955
1 "Lying" 0.11547307
1 "Lying" 0.29576186
1 "Lying" -0.24663084
1 "Lying" -0.48703408
1 "Lying" -0.21233922
1 "Lying" 0.15953014
1 "Lying" 0.95141731
1 "Lying" 0.12855833
1 "Sitting" -0.43647104
1 "Sitting" -0.12204037
1 "Sitting" -0.61872514
1 "Sitting" -0.46842226
1 "Sitting" -0.11266294
1 "Sitting" -0.5946439
1 "Sitting" -0.47276567
1 "Sitting" 0.080451123
1 "Sitting" 0.0375098
1 "Sitting" -0.47776668
1 "Sitting" -0.32131582
1 "Sitting" -0.7655269
1 "Sitting" -0.61681134
1 "Sitting" -0.79479213
1 "Sitting" 0.59907423
1 "Sitting" -0.34005494
1 "Sitting" -0.54204085
1 "Sitting" -0.57311576
1 "Sitting" -0.79306013
1 "Sitting" -0.57748411
1 "Sitting" -0.83292595
1 "Sitting" -0.85173399
1 "Sitting" -0.91095163
1 "Sitting" -0.79520159
1 "Sitting" -0.55620392
1 "Sitting" -0.61619233
1 "Sitting" -0.8641723
1 "Sitting" -0.32844472
1 "Sitting" -0.24839024
1 "Sitting" 0.048039773
1 "Sitting" -0.080780108
1 "Sitting" -0.49494724
1 "Sitting" -0.37285485
1 "Sitting" -0.50361082
1 "Sitting" -0.67693877
1 "Sitting" -0.65420369
1 "Sitting" -0.77764812
1 "Sitting" -0.64353778
1 "Sitting" -0.58437777
1 "Sitting" -0.531399
1 "Sitting" -0.63106335
1 "Sitting" 0.79257441
1 "Sitting" -0.45331822
1 "Sitting" 0.13620691
1 "Sitting" -0.83841713
1 "Sitting" -0.740484
1 "Sitting" -0.37690353
1 "Sitting" -0.20124081
1 "Sitting" -0.60619738
1 "Sitting" -0.73554258
1 "Sitting" -0.85966506
1 "Sitting" -0.72884342
1 "Sitting" -0.68896452
1 "Standing" 0.42832475
1 "Standing" 0.65606381
1 "Standing" -0.15284047
1 "Standing" 0.14331407
1 "Standing" 0.23357911
1 "Standing" 0.75511587
1 "Standing" -0.20399735
1 "Standing" -0.031712595
1 "Standing" -0.28053688
1 "Standing" -0.78611256
1 "Standing" -0.68715835
1 "Standing" -0.45544965
1 "Standing" 0.37806198
1 "Standing" -0.65775704
1 "Standing" -0.6770491
1 "Standing" -0.46729529
1 "Standing" -0.67133484
1 "Standing" -0.64295623
1 "Standing" -0.65584756
1 "Standing" -0.6956011
1 "Standing" -0.80274082
1 "Standing" -0.55781223
1 "Standing" -0.2078244
1 "Standing" -0.60371946
1 "Standing" -0.27445291
1 "Standing" 0.25726747
1 "Standing" -0.33936925
1 "Standing" -0.80521281
1 "Standing" -0.66899406
1 "Standing" -0.81158136
1 "Standing" -0.82352077
1 "Standing" -0.77145738
1 "Standing" -0.83413827
1 "Standing" -0.82226023
1 "Standing" -0.78961343
1 "Standing" 0.58515532
1 "Standing" 0.40892492
1 "Standing" -0.54589516
1 "Standing" -0.5785062
1 "Standing" -0.85181608
1 "Standing" -0.62212935
1 "Standing" -0.34096582
1 "Standing" -0.31297664
1 "Standing" -0.55134667
1 "Standing" -0.55167348
1 "Standing" -0.44376173
1 "Standing" -0.4422091
1 "Walking" -0.5719846
1 "Walking" -0.69629384
1 "Walking" -0.63087452
1 "Walking" -0.6227289
1 "Walking" -0.5363202
1 "Walking" -0.46857076
1 "Walking" -0.59951136
1 "Walking" -0.65761908
1 "Walking" -0.64231585
1 "Walking" -0.65105835
1 "Walking" -0.40324244
1 "Walking" -0.61116738
1 "Walking" -0.52947078
1 "Walking" -0.56641029
1 "Walking" -0.62215163
1 "Walking" -0.5353996
1 "Walking" -0.43809307
1 "Walking" -0.64854001
1 "Walking" -0.47890119
1 "Walking" -0.563408
1 "Walking" -0.76543798
1 "Walking" -0.56522388
1 "Walking" -0.55717398
1 "Walking" -0.60168974
1 "Walking" -0.58050742
1 "Walking" -0.63144446
1 "Walking" -0.59166561
1 "Walking" -0.51240101
1 "Walking" -0.58432984
1 "Walking" -0.58929972
1 "Walking" -0.57166043
1 "Walking" -0.53490714
1 "Walking" -0.50152717
1 "Walking" -0.58607368
1 "Walking" -0.44177032
1 "Walking" -0.47116708
1 "Walking" -0.57446577
1 "Walking" -0.70538977
1 "Walking" -0.56887585
1 "Walking" -0.60758528
1 "Walking" -0.5714916
1 "Walking" -0.55245724
1 "Walking" -0.52415906
1 "Walking" -0.39328785
1 "Walking" -0.60909281
1 "Walking" -0.50987578
1 "Walking" -0.52911471
1 "Walking" -0.4254689
1 "Walking" -0.41307877
1 "Walking" -0.38509221
1 "Walking" -0.49825782
1 "Walking" -0.58519502
1 "Walking" -0.5409888
1 "Walking" -0.55484698
1 "Walking" -0.50672936
1 "Walking" -0.53625531
1 "Walking" -0.647735
1 "Walking" -0.51803348
1 "Walking" -0.52337977
1 "Walking" -0.65532016
1 "Walking" -0.57786916
1 "Walking" -0.5635979
1 "Walking" -0.59291848
1 "Walking" -0.51724489
1 "Walking" -0.4913579
1 "Walking" -0.4761769
1 "Walking" -0.64104955
1 "Walking" -0.56047985
1 "Walking" -0.30440059
1 "Walking" -0.51597253
1 "Walking" -0.49862404
1 "Walking" -0.4254783
1 "Walking" -0.60406157
1 "Walking" -0.47961343
1 "Walking" -0.48215014
1 "Walking" -0.5668577
1 "Walking" -0.53976593
1 "Walking" -0.46484723
1 "Walking" -0.47349133
1 "Walking" -0.52285784
1 "Walking" -0.61826869
1 "Walking" -0.48728111
1 "Walking" -0.62576713
1 "Walking" -0.56225173
1 "Walking" -0.5201096
1 "Walking" -0.61112977
1 "Walking" -0.59631787
1 "Walking" -0.54488137
1 "Walking" -0.54791792
1 "Walking" -0.48454408
1 "Walking" -0.53960835
1 "Walking" -0.52937507
1 "Walking" -0.65171966
1 "Walking" -0.60048674
1 "Walking" -0.4472932
1 "Walking Down Stairs" -0.36916959
1 "Walking Down Stairs" -0.39836217
1 "Walking Down Stairs" -0.27754302
1 "Walking Down Stairs" -0.6652349
1 "Walking Down Stairs" -0.55964258
1 "Walking Down Stairs" -0.58050217
1 "Walking Down Stairs" -0.59699775
1 "Walking Down Stairs" -0.5398983
1 "Walking Down Stairs" -0.57110397
1 "Walking Down Stairs" -0.33342791
1 "Walking Down Stairs" -0.51060103
1 "Walking Down Stairs" -0.45349635
1 "Walking Down Stairs" -0.61645958
1 "Walking Down Stairs" -0.39905533
1 "Walking Down Stairs" -0.76616399
1 "Walking Down Stairs" -0.5505592
1 "Walking Down Stairs" -0.22242847
1 "Walking Down Stairs" -0.35930418
1 "Walking Down Stairs" -0.43724353
1 "Walking Down Stairs" -0.45785515
1 "Walking Down Stairs" -0.53379791
1 "Walking Down Stairs" -0.20635794
1 "Walking Down Stairs" -0.42502282
1 "Walking Down Stairs" -0.68845542
1 "Walking Down Stairs" -0.12775945
1 "Walking Down Stairs" -0.29563229
1 "Walking Down Stairs" -0.12698754
1 "Walking Down Stairs" -0.61575672
1 "Walking Down Stairs" -0.64567607
1 "Walking Down Stairs" -0.54356907
1 "Walking Down Stairs" -0.47922205
1 "Walking Down Stairs" -0.4004039
1 "Walking Down Stairs" -0.44628196
1 "Walking Down Stairs" -0.14570475
1 "Walking Down Stairs" -0.62113577
1 "Walking Down Stairs" -0.59982582
1 "Walking Down Stairs" -0.2306397
1 "Walking Down Stairs" -0.57925323
1 "Walking Down Stairs" -0.66727388
1 "Walking Down Stairs" -0.35640726
1 "Walking Down Stairs" -0.2560651
1 "Walking Down Stairs" -0.56259359
1 "Walking Down Stairs" -0.61525044
1 "Walking Down Stairs" -0.44201865
1 "Walking Down Stairs" -0.53297241
1 "Walking Down Stairs" -0.399348
1 "Walking Down Stairs" -0.66447303
1 "Walking Down Stairs" -0.46540963
1 "Walking Down Stairs" -0.046261271
1 "Walking Up Stairs" -0.29520441
1 "Walking Up Stairs" -0.13181329
1 "Walking Up Stairs" -0.6658215
1 "Walking Up Stairs" -0.44746119
