"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.41935484
1 "Lying" -0.35483871
1 "Lying" -0.41935484
1 "Lying" -0.41935484
1 "Lying" -0.48387097
1 "Lying" -0.48387097
1 "Lying" -0.35483871
1 "Lying" -0.41935484
1 "Lying" -0.41935484
1 "Lying" -0.41935484
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" 0.16129032
1 "Lying" -0.67741935
1 "Lying" -0.61290323
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.35483871
1 "Lying" -0.41935484
1 "Lying" -1
1 "Lying" -0.41935484
1 "Lying" -0.41935484
1 "Lying" -0.41935484
1 "Lying" -0.48387097
1 "Lying" -1
1 "Lying" -0.41935484
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.93548387
1 "Lying" -1
1 "Lying" -1
1 "Sitting" -1
1 "Sitting" 0.096774194
1 "Sitting" -0.93548387
1 "Sitting" -1
1 "Sitting" 0.096774194
1 "Sitting" -0.61290323
1 "Sitting" -0.48387097
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.29032258
1 "Sitting" -0.5483871
1 "Sitting" -1
1 "Sitting" -0.93548387
1 "Sitting" -0.096774194
1 "Sitting" -1
1 "Sitting" -0.93548387
1 "Sitting" -0.67741935
1 "Sitting" -0.48387097
1 "Sitting" -0.5483871
1 "Sitting" -0.41935484
1 "Sitting" -0.29032258
1 "Sitting" -0.80645161
1 "Sitting" -0.74193548
1 "Sitting" -0.5483871
1 "Sitting" -1
1 "Sitting" -0.22580645
1 "Sitting" 0.29032258
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.93548387
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.93548387
1 "Sitting" -1
1 "Sitting" -0.032258065
1 "Sitting" -0.096774194
1 "Sitting" -0.74193548
1 "Sitting" -0.74193548
1 "Sitting" -1
1 "Sitting" -0.74193548
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.29032258
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.93548387
1 "Sitting" -1
1 "Sitting" -0.48387097
1 "Sitting" -0.74193548
1 "Sitting" -0.93548387
1 "Sitting" -0.80645161
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.87096774
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.35483871
1 "Standing" -0.93548387
1 "Standing" -0.61290323
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.29032258
1 "Standing" 0.80645161
1 "Standing" -1
1 "Standing" -0.93548387
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.35483871
1 "Standing" -1
1 "Standing" -0.87096774
1 "Standing" -0.80645161
1 "Standing" -0.096774194
1 "Standing" -0.93548387
1 "Standing" -0.87096774
1 "Standing" -0.5483871
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.16129032
1 "Standing" -0.48387097
1 "Standing" -0.41935484
1 "Standing" -0.67741935
1 "Standing" -0.67741935
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.29032258
1 "Walking" -0.80645161
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.61290323
1 "Walking" -0.61290323
1 "Walking" -0.80645161
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.61290323
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.61290323
1 "Walking" -0.61290323
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.74193548
1 "Walking" -0.67741935
1 "Walking" -0.22580645
1 "Walking" -0.61290323
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.67741935
1 "Walking" -0.74193548
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.67741935
1 "Walking" -0.74193548
1 "Walking" -0.22580645
1 "Walking" -0.61290323
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.74193548
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.22580645
1 "Walking" -0.80645161
1 "Walking" -0.61290323
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.74193548
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.74193548
1 "Walking Down Stairs" -0.74193548
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.74193548
1 "Walking Down Stairs" -0.74193548
1 "Walking Down Stairs" -0.74193548
1 "Walking Down Stairs" -0.74193548
1 "Walking Down Stairs" -0.74193548
1 "Walking Down Stairs" -0.74193548
1 "Walking Down Stairs" -0.74193548
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.80645161
1 "Walking Down Stairs" -0.74193548
