"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.15384615
1 "Lying" -0.076923077
1 "Lying" -1
1 "Lying" -0.46153846
1 "Lying" -0.46153846
1 "Lying" -0.92307692
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.69230769
1 "Lying" -0.69230769
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.46153846
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.92307692
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.61538462
1 "Lying" -0.38461538
1 "Lying" -0.92307692
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.92307692
1 "Lying" -0.92307692
1 "Lying" -0.92307692
1 "Lying" -0.23076923
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.61538462
1 "Lying" -0.53846154
1 "Lying" -0.84615385
1 "Lying" -0.92307692
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.38461538
1 "Sitting" -0.38461538
1 "Sitting" -1
1 "Sitting" -0.46153846
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.92307692
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.53846154
1 "Sitting" -0.23076923
1 "Sitting" -1
1 "Sitting" -0.76923077
1 "Sitting" -0.84615385
1 "Sitting" -1
1 "Sitting" -0.92307692
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.69230769
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.69230769
1 "Sitting" -0.69230769
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.84615385
1 "Sitting" -0.53846154
1 "Sitting" -0.46153846
1 "Sitting" -0.61538462
1 "Sitting" -0.76923077
1 "Sitting" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.92307692
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.76923077
1 "Standing" -0.92307692
1 "Standing" -0.92307692
1 "Standing" -0.92307692
1 "Standing" -0.92307692
1 "Standing" -1
1 "Standing" -0.84615385
1 "Standing" -0.92307692
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.92307692
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.92307692
1 "Standing" -0.76923077
1 "Standing" -1
1 "Standing" -0.46153846
1 "Standing" -0.46153846
1 "Standing" -0.46153846
1 "Standing" -0.46153846
1 "Standing" -0.53846154
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.69230769
1 "Standing" -1
1 "Standing" -0.92307692
1 "Standing" -1
1 "Standing" -0.92307692
1 "Standing" -0.61538462
1 "Standing" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.69230769
1 "Walking" -0.92307692
1 "Walking" -0.84615385
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -0.84615385
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.84615385
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
1 "Walking Down Stairs" -0.92307692
