"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.86799953
1 "Lying" -0.9770867
1 "Lying" -0.99407563
1 "Lying" -0.99918617
1 "Lying" -0.9949989
1 "Lying" -0.99452444
1 "Lying" -0.9955231
1 "Lying" -0.9918723
1 "Lying" -0.98921616
1 "Lying" -0.99215799
1 "Lying" -0.99384348
1 "Lying" -0.99323406
1 "Lying" -0.99130049
1 "Lying" -0.73767546
1 "Lying" -0.99008264
1 "Lying" -0.23225607
1 "Lying" -0.012322404
1 "Lying" -0.54644768
1 "Lying" -0.73213837
1 "Lying" 0.12307142
1 "Lying" -0.27449893
1 "Lying" -0.52923631
1 "Lying" -0.95397936
1 "Lying" -0.9870468
1 "Lying" -0.99766936
1 "Lying" -0.99932039
1 "Lying" -0.99912976
1 "Lying" -0.85812111
1 "Lying" -0.96247739
1 "Lying" -0.9970417
1 "Lying" -0.99563815
1 "Lying" -0.99278357
1 "Lying" -0.99527994
1 "Lying" -0.99070861
1 "Lying" -0.99496772
1 "Lying" -0.99140938
1 "Lying" -0.99863053
1 "Lying" -0.99655728
1 "Lying" -0.99483895
1 "Lying" 0.14632869
1 "Lying" 0.35202961
1 "Lying" -0.75946936
1 "Lying" -0.52577257
1 "Lying" -0.6950243
1 "Lying" -0.91521117
1 "Lying" -0.97544714
1 "Lying" -0.9250351
1 "Lying" -0.68635046
1 "Lying" -0.62663341
1 "Lying" -0.62865432
1 "Sitting" -0.88505422
1 "Sitting" -0.94877678
1 "Sitting" -0.96859592
1 "Sitting" -0.98775434
1 "Sitting" -0.9891165
1 "Sitting" -0.99830598
1 "Sitting" -0.97693806
1 "Sitting" -0.96650853
1 "Sitting" -0.96807456
1 "Sitting" -0.98585244
1 "Sitting" -0.98518051
1 "Sitting" -0.99307555
1 "Sitting" -0.99758779
1 "Sitting" -0.99559771
1 "Sitting" -0.84797448
1 "Sitting" -0.98055204
1 "Sitting" -0.97098824
1 "Sitting" -0.98800919
1 "Sitting" -0.9967723
1 "Sitting" -0.99890913
1 "Sitting" -0.99844481
1 "Sitting" -0.99711289
1 "Sitting" -0.99523013
1 "Sitting" -0.99317423
1 "Sitting" -0.99174309
1 "Sitting" -0.98888491
1 "Sitting" -0.99269866
1 "Sitting" -0.82891116
1 "Sitting" -0.88069063
1 "Sitting" -0.96484572
1 "Sitting" -0.97560515
1 "Sitting" -0.97898012
1 "Sitting" -0.96387677
1 "Sitting" -0.97670592
1 "Sitting" -0.9742925
1 "Sitting" -0.99103474
1 "Sitting" -0.98466325
1 "Sitting" -0.98291916
1 "Sitting" -0.99524612
1 "Sitting" -0.99456472
1 "Sitting" -0.98690963
1 "Sitting" -0.83012296
1 "Sitting" -0.94705043
1 "Sitting" -0.96450844
1 "Sitting" -0.99065675
1 "Sitting" -0.96198457
1 "Sitting" -0.9888507
1 "Sitting" -0.99876345
1 "Sitting" -0.99918264
1 "Sitting" -0.99830106
1 "Sitting" -0.99221514
1 "Sitting" -0.99334852
1 "Sitting" -0.99164154
1 "Standing" -0.28630134
1 "Standing" -0.90003733
1 "Standing" -0.97586487
1 "Standing" -0.65506662
1 "Standing" -0.33852211
1 "Standing" -0.50105839
1 "Standing" -0.90297563
1 "Standing" -0.9447296
1 "Standing" -0.98927726
1 "Standing" -0.99527237
1 "Standing" -0.98776013
1 "Standing" -0.95412497
1 "Standing" -0.98958317
1 "Standing" -0.99407114
1 "Standing" -0.99263165
1 "Standing" -0.9931695
1 "Standing" -0.9881084
1 "Standing" -0.97893653
1 "Standing" -0.98901776
1 "Standing" -0.99200132
1 "Standing" -0.9834377
1 "Standing" -0.98500902
1 "Standing" -0.98884627
1 "Standing" -0.97883213
1 "Standing" -0.83859617
1 "Standing" -0.92974037
1 "Standing" -0.97839294
1 "Standing" -0.99624529
1 "Standing" -0.99340575
1 "Standing" -0.99424652
1 "Standing" -0.99668012
1 "Standing" -0.99747828
1 "Standing" -0.9944908
1 "Standing" -0.99248531
1 "Standing" -0.9972729
1 "Standing" -0.61407949
1 "Standing" -0.94942717
1 "Standing" -0.98251638
1 "Standing" -0.98297492
1 "Standing" -0.98849838
1 "Standing" -0.99732683
1 "Standing" -0.99744792
1 "Standing" -0.99188938
1 "Standing" -0.99155346
1 "Standing" -0.99474988
1 "Standing" -0.99744318
1 "Standing" -0.98812229
1 "Walking" -0.15114842
1 "Walking" -0.38778013
1 "Walking" -0.37416205
1 "Walking" -0.29569201
1 "Walking" -0.30537356
1 "Walking" -0.1577717
1 "Walking" -0.13974442
1 "Walking" -0.26978358
1 "Walking" -0.065185822
1 "Walking" -0.30029376
1 "Walking" -0.31991241
1 "Walking" -0.27551853
1 "Walking" -0.39650025
1 "Walking" -0.26991726
1 "Walking" -0.22707028
1 "Walking" -0.25261558
1 "Walking" -0.33462793
1 "Walking" -0.21076138
1 "Walking" -0.18463646
1 "Walking" -0.19758622
1 "Walking" -0.36750689
1 "Walking" -0.33306661
