"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.92201452
1 "Lying" -0.98611876
1 "Lying" -0.99504283
1 "Lying" -0.9965224
1 "Lying" -0.99590995
1 "Lying" -0.99476254
1 "Lying" -0.99447602
1 "Lying" -0.99606802
1 "Lying" -0.99557539
1 "Lying" -0.99399805
1 "Lying" -0.99563325
1 "Lying" -0.99571855
1 "Lying" -0.99498054
1 "Lying" -0.68057348
1 "Lying" -0.96961073
1 "Lying" -0.69546198
1 "Lying" -0.72581267
1 "Lying" -0.83270098
1 "Lying" -0.75908596
1 "Lying" -0.62975444
1 "Lying" -0.59479157
1 "Lying" -0.90176742
1 "Lying" -0.97569669
1 "Lying" -0.98399161
1 "Lying" -0.99484293
1 "Lying" -0.99462891
1 "Lying" -0.99219719
1 "Lying" -0.96803157
1 "Lying" -0.97038492
1 "Lying" -0.99432832
1 "Lying" -0.99325874
1 "Lying" -0.9945739
1 "Lying" -0.99529554
1 "Lying" -0.99503878
1 "Lying" -0.99624369
1 "Lying" -0.99443579
1 "Lying" -0.99439689
1 "Lying" -0.99350192
1 "Lying" -0.99471682
1 "Lying" -0.73843769
1 "Lying" -0.80274914
1 "Lying" -0.95945657
1 "Lying" -0.97139049
1 "Lying" -0.98291828
1 "Lying" -0.98320325
1 "Lying" -0.98799509
1 "Lying" -0.99009255
1 "Lying" -0.96916072
1 "Lying" -0.9705964
1 "Lying" -0.95912779
1 "Sitting" -0.99688864
1 "Sitting" -0.99788967
1 "Sitting" -0.99409744
1 "Sitting" -0.99454681
1 "Sitting" -0.99772495
1 "Sitting" -0.99660484
1 "Sitting" -0.99750802
1 "Sitting" -0.99603738
1 "Sitting" -0.99736252
1 "Sitting" -0.99334566
1 "Sitting" -0.99504873
1 "Sitting" -0.99778695
1 "Sitting" -0.99919352
1 "Sitting" -0.99860751
1 "Sitting" -0.99010744
1 "Sitting" -0.99613179
1 "Sitting" -0.99617412
1 "Sitting" -0.99713821
1 "Sitting" -0.99712409
1 "Sitting" -0.99709815
1 "Sitting" -0.9977064
1 "Sitting" -0.99719098
1 "Sitting" -0.99738207
1 "Sitting" -0.99851052
1 "Sitting" -0.99850011
1 "Sitting" -0.99711173
1 "Sitting" -0.99936959
1 "Sitting" -0.97812626
1 "Sitting" -0.99341819
1 "Sitting" -0.99309205
1 "Sitting" -0.99427912
1 "Sitting" -0.99027
1 "Sitting" -0.99150994
1 "Sitting" -0.99281673
1 "Sitting" -0.99682121
1 "Sitting" -0.99508126
1 "Sitting" -0.99502112
1 "Sitting" -0.99821179
1 "Sitting" -0.99839316
1 "Sitting" -0.99622232
1 "Sitting" -0.99488265
1 "Sitting" -0.97577842
1 "Sitting" -0.99350535
1 "Sitting" -0.99797379
1 "Sitting" -0.99739966
1 "Sitting" -0.99718966
1 "Sitting" -0.99890744
1 "Sitting" -0.9973829
1 "Sitting" -0.99759725
1 "Sitting" -0.99735865
1 "Sitting" -0.99632568
1 "Sitting" -0.99827648
1 "Sitting" -0.99859683
1 "Standing" -0.92114841
1 "Standing" -0.98637664
1 "Standing" -0.99366183
1 "Standing" -0.79522808
1 "Standing" -0.77136463
1 "Standing" -0.86135444
1 "Standing" -0.96571957
1 "Standing" -0.98277103
1 "Standing" -0.99507817
1 "Standing" -0.99637142
1 "Standing" -0.99524515
1 "Standing" -0.98285912
1 "Standing" -0.98918138
1 "Standing" -0.99465281
1 "Standing" -0.99287618
1 "Standing" -0.99531538
1 "Standing" -0.9952184
1 "Standing" -0.9950931
1 "Standing" -0.99506157
1 "Standing" -0.99579336
1 "Standing" -0.99579361
1 "Standing" -0.99478379
1 "Standing" -0.99565779
1 "Standing" -0.99620245
1 "Standing" -0.95979905
1 "Standing" -0.99148833
1 "Standing" -0.99595954
1 "Standing" -0.99718029
1 "Standing" -0.99650479
1 "Standing" -0.99704911
1 "Standing" -0.99635765
1 "Standing" -0.99629158
1 "Standing" -0.99648876
1 "Standing" -0.99598948
1 "Standing" -0.99607106
1 "Standing" -0.94899683
1 "Standing" -0.99309196
1 "Standing" -0.99657
1 "Standing" -0.9969568
1 "Standing" -0.9972103
1 "Standing" -0.9955817
1 "Standing" -0.9949729
1 "Standing" -0.9982853
1 "Standing" -0.99775016
1 "Standing" -0.99699781
1 "Standing" -0.99749387
1 "Standing" -0.99221597
1 "Walking" -0.18577076
1 "Walking" -0.093833857
1 "Walking" -0.18726899
1 "Walking" -0.13929525
1 "Walking" -0.14829663
1 "Walking" -0.21628038
1 "Walking" -0.12532373
1 "Walking" -0.068654895
1 "Walking" -0.26088506
1 "Walking" -0.19372297
1 "Walking" -0.17532176
1 "Walking" -0.20652259
1 "Walking" -0.14296293
1 "Walking" -0.14997455
1 "Walking" -0.15801782
1 "Walking" -0.081330049
1 "Walking" -0.11978134
1 "Walking" -0.14389652
1 "Walking" -0.1621018
1 "Walking" -0.28972939
1 "Walking" -0.050727813
1 "Walking" -0.053579001
1 "Walking" -0.018982429
1 "Walking" -0.14328823
1 "Walking" -0.18570672
1 "Walking" -0.14254567
1 "Walking" -0.11796059
1 "Walking" -0.1579722
1 "Walking" -0.10721631
1 "Walking" -0.17987459
1 "Walking" -0.20273958
1 "Walking" -0.18983829
1 "Walking" -0.18116221
1 "Walking" -0.070558517
1 "Walking" -0.14896229
1 "Walking" -0.2246001
1 "Walking" -0.1956887
1 "Walking" -0.14336828
1 "Walking" -0.081743464
1 "Walking" -0.1325568
1 "Walking" -0.27852732
1 "Walking" -0.23825294
1 "Walking" -0.20787884
1 "Walking" -0.33626958
1 "Walking" -0.20233833
1 "Walking" -0.19915086
1 "Walking" -0.23076372
1 "Walking" -0.41481129
1 "Walking" -0.30527183
1 "Walking" -0.30717134
1 "Walking" -0.22363459
1 "Walking" -0.24525859
1 "Walking" -0.29757031
1 "Walking" -0.23593206
1 "Walking" -0.27788706
1 "Walking" -0.18033787
1 "Walking" -0.14254303
1 "Walking" -0.16360433
1 "Walking" -0.26622826
1 "Walking" -0.17423564
1 "Walking" -0.16272708
1 "Walking" -0.23415848
1 "Walking" -0.17689192
1 "Walking" -0.12882108
1 "Walking" -0.16656877
1 "Walking" -0.19741429
1 "Walking" -0.0451472
1 "Walking" -0.042339447
1 "Walking" -0.17283506
1 "Walking" -0.23737118
1 "Walking" -0.18535935
1 "Walking" -0.10209063
1 "Walking" -0.14755482
1 "Walking" -0.17529612
1 "Walking" -0.22160913
1 "Walking" -0.22763649
1 "Walking" -0.16455852
1 "Walking" -0.1676996
1 "Walking" -0.19765733
1 "Walking" -0.17932104
1 "Walking" -0.26372568
1 "Walking" -0.19993971
1 "Walking" -0.17017166
1 "Walking" -0.21764928
1 "Walking" -0.27738354
1 "Walking" -0.2008912
1 "Walking" -0.12765996
1 "Walking" -0.028929799
1 "Walking" -0.045642202
1 "Walking" -0.057716578
1 "Walking" -0.088972832
1 "Walking" -0.030728452
1 "Walking" -0.05587273
1 "Walking" -0.17207408
1 "Walking" -0.16650048
1 "Walking Down Stairs" -0.2219331
1 "Walking Down Stairs" -0.086439134
1 "Walking Down Stairs" -0.073135449
1 "Walking Down Stairs" -0.080791758
1 "Walking Down Stairs" 0.13075405
1 "Walking Down Stairs" 0.13522288
1 "Walking Down Stairs" -0.052692552
1 "Walking Down Stairs" -0.047070103
1 "Walking Down Stairs" -0.044072994
1 "Walking Down Stairs" 0.15293116
1 "Walking Down Stairs" 0.26000895
1 "Walking Down Stairs" 0.11557057
1 "Walking Down Stairs" 0.12826868
1 "Walking Down Stairs" 0.1539624
1 "Walking Down Stairs" 0.057523754
1 "Walking Down Stairs" 0.24534445
1 "Walking Down Stairs" 0.084413571
1 "Walking Down Stairs" 0.11669566
1 "Walking Down Stairs" 0.049394598
1 "Walking Down Stairs" 0.0020073517
1 "Walking Down Stairs" 0.11239598
1 "Walking Down Stairs" 0.18450982
1 "Walking Down Stairs" -0.084494072
1 "Walking Down Stairs" -0.046503985
1 "Walking Down Stairs" 0.10621035
1 "Walking Down Stairs" -0.050485357
1 "Walking Down Stairs" 0.031652711
1 "Walking Down Stairs" 0.065553837
1 "Walking Down Stairs" 0.18779873
1 "Walking Down Stairs" 0.1821669
1 "Walking Down Stairs" 0.015121404
1 "Walking Down Stairs" 0.15228696
1 "Walking Down Stairs" 0.24398084
1 "Walking Down Stairs" 0.17280141
1 "Walking Down Stairs" 0.097594104
1 "Walking Down Stairs" -0.001080388
1 "Walking Down Stairs" 0.12485412
1 "Walking Down Stairs" 0.0181814
1 "Walking Down Stairs" 0.20441111
1 "Walking Down Stairs" 0.091337814
1 "Walking Down Stairs" 0.197701
1 "Walking Down Stairs" 0.2237171
1 "Walking Down Stairs" 0.2089111
1 "Walking Down Stairs" -0.058336716
1 "Walking Down Stairs" -0.0097816372
1 "Walking Down Stairs" 0.094988719
1 "Walking Down Stairs" 0.040173486
1 "Walking Down Stairs" 0.10510512
1 "Walking Down Stairs" -0.064655506
1 "Walking Up Stairs" -0.36386898
1 "Walking Up Stairs" -0.35999032
1 "Walking Up Stairs" -0.33762477
1 "Walking Up Stairs" -0.34024082
1 "Walking Up Stairs" -0.36171529
1 "Walking Up Stairs" -0.27617399
1 "Walking Up Stairs" -0.37918873
1 "Walking Up Stairs" -0.37862084
1 "Walking Up Stairs" -0.22529586
1 "Walking Up Stairs" -0.305219
1 "Walking Up Stairs" -0.33354986
1 "Walking Up Stairs" -0.2763551
1 "Walking Up Stairs" -0.41035119
1 "Walking Up Stairs" -0.36565167
1 "Walking Up Stairs" -0.44891927
1 "Walking Up Stairs" -0.45796549
1 "Walking Up Stairs" -0.4593692
1 "Walking Up Stairs" -0.38826112
1 "Walking Up Stairs" -0.40293992
1 "Walking Up Stairs" -0.35298571
1 "Walking Up Stairs" -0.38540192
1 "Walking Up Stairs" -0.41211083
1 "Walking Up Stairs" -0.46407691
1 "Walking Up Stairs" -0.37161768
1 "Walking Up Stairs" -0.41348802
1 "Walking Up Stairs" -0.29267266
1 "Walking Up Stairs" -0.33274911
1 "Walking Up Stairs" -0.36002997
1 "Walking Up Stairs" -0.34652063
1 "Walking Up Stairs" -0.22326689
1 "Walking Up Stairs" -0.26971091
1 "Walking Up Stairs" -0.36446167
1 "Walking Up Stairs" -0.3747475
1 "Walking Up Stairs" -0.38179216
1 "Walking Up Stairs" -0.40044242
1 "Walking Up Stairs" -0.27990697
1 "Walking Up Stairs" -0.29415133
1 "Walking Up Stairs" -0.39079254
1 "Walking Up Stairs" -0.23505568
1 "Walking Up Stairs" -0.24785933
1 "Walking Up Stairs" -0.25969771
1 "Walking Up Stairs" -0.26296067
1 "Walking Up Stairs" -0.27454666
1 "Walking Up Stairs" -0.34364649
1 "Walking Up Stairs" -0.32255995
1 "Walking Up Stairs" -0.45764014
1 "Walking Up Stairs" -0.34384622
1 "Walking Up Stairs" -0.27885992
1 "Walking Up Stairs" -0.29914333
1 "Walking Up Stairs" -0.31461709
1 "Walking Up Stairs" -0.34468429
1 "Walking Up Stairs" -0.35907508
1 "Walking Up Stairs" -0.32086197
2 "Lying" -0.89102921
2 "Lying" -0.98518044
2 "Lying" -0.99195038
2 "Lying" -0.99469085
2 "Lying" -0.99575522
2 "Lying" -0.99733946
2 "Lying" -0.99602026
2 "Lying" -0.99374405
2 "Lying" -0.99121248
2 "Lying" -0.99243026
2 "Lying" -0.98671534
2 "Lying" -0.88014648
2 "Lying" -0.94091696
2 "Lying" -0.97455539
2 "Lying" -0.98336199
2 "Lying" -0.98167512
2 "Lying" -0.98081514
2 "Lying" -0.97852521
2 "Lying" -0.97686119
2 "Lying" -0.98258275
2 "Lying" -0.9772312
2 "Lying" -0.97504091
2 "Lying" -0.98310696
2 "Lying" -0.9717969
2 "Lying" -0.82035126
2 "Lying" -0.93998484
2 "Lying" -0.97878715
2 "Lying" -0.99036197
2 "Lying" -0.99280675
2 "Lying" -0.99013654
2 "Lying" -0.99042818
2 "Lying" -0.986557
2 "Lying" -0.99216713
2 "Lying" -0.99429308
2 "Lying" -0.99018503
2 "Lying" -0.93169984
2 "Lying" -0.98309848
2 "Lying" -0.99169422
2 "Lying" -0.98681242
2 "Lying" -0.98702378
2 "Lying" -0.99311616
2 "Lying" -0.99467371
2 "Lying" -0.99614238
2 "Lying" -0.99414869
2 "Lying" -0.99300426
2 "Lying" -0.99517137
2 "Lying" -0.99504181
2 "Lying" -0.99352136
2 "Sitting" -0.93068029
2 "Sitting" -0.97576424
2 "Sitting" -0.99394138
2 "Sitting" -0.99405284
2 "Sitting" -0.9931035
2 "Sitting" -0.99305391
2 "Sitting" -0.99473236
2 "Sitting" -0.99499829
2 "Sitting" -0.99621591
2 "Sitting" -0.99820226
2 "Sitting" -0.99828794
2 "Sitting" -0.99805624
2 "Sitting" -0.99627409
2 "Sitting" -0.99699292
2 "Sitting" -0.99580627
2 "Sitting" -0.9885137
2 "Sitting" -0.94536736
2 "Sitting" -0.98571739
2 "Sitting" -0.99466956
2 "Sitting" -0.96647093
2 "Sitting" -0.96151452
2 "Sitting" -0.96400867
2 "Sitting" -0.94420227
2 "Sitting" -0.95436485
2 "Sitting" -0.98958138
2 "Sitting" -0.98962291
2 "Sitting" -0.99240422
2 "Sitting" -0.99374268
2 "Sitting" -0.99443897
2 "Sitting" -0.99579918
2 "Sitting" -0.99320333
2 "Sitting" -0.95145619
2 "Sitting" -0.97349825
2 "Sitting" -0.99222547
2 "Sitting" -0.99553072
2 "Sitting" -0.9933036
2 "Sitting" -0.99333377
2 "Sitting" -0.9930147
2 "Sitting" -0.99580539
2 "Sitting" -0.99445053
2 "Sitting" -0.99561948
2 "Sitting" -0.99466879
2 "Sitting" -0.96518643
2 "Sitting" -0.99398591
2 "Sitting" -0.9965388
2 "Sitting" -0.99545306
2 "Sitting" -0.99551166
2 "Sitting" -0.99514961
2 "Sitting" -0.99350693
2 "Sitting" -0.99457934
2 "Sitting" -0.99640266
2 "Sitting" -0.99386327
2 "Sitting" -0.99447596
2 "Sitting" -0.98903025
2 "Standing" -0.98756737
2 "Standing" -0.99603799
2 "Standing" -0.99640583
2 "Standing" -0.99604277
2 "Standing" -0.99663296
2 "Standing" -0.99697177
2 "Standing" -0.99474933
