"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98341612
1 "Lying" -0.99094812
1 "Lying" -0.98857337
1 "Lying" -0.99104123
1 "Lying" -0.99916065
1 "Lying" -0.999404
1 "Lying" -0.99798728
1 "Lying" -0.99495982
1 "Lying" -0.99885659
1 "Lying" -0.99015727
1 "Lying" -0.99537032
1 "Lying" -0.99400227
1 "Lying" -0.994407
1 "Lying" -0.48615333
1 "Lying" -0.99799311
1 "Lying" -0.94907357
1 "Lying" -0.93274334
1 "Lying" -0.66644943
1 "Lying" -0.91110477
1 "Lying" -0.8552131
1 "Lying" -0.88765487
1 "Lying" -0.93423572
1 "Lying" -0.99305342
1 "Lying" -0.98557788
1 "Lying" -0.99039834
1 "Lying" -0.97960423
1 "Lying" -0.99265248
1 "Lying" -0.99460123
1 "Lying" -0.99663947
1 "Lying" -0.99780978
1 "Lying" -0.99832088
1 "Lying" -0.99445193
1 "Lying" -0.9952757
1 "Lying" -0.99811556
1 "Lying" -0.99517516
1 "Lying" -0.99502164
1 "Lying" -0.9964341
1 "Lying" -0.99448174
1 "Lying" -0.99923374
1 "Lying" -0.93613079
1 "Lying" -0.95685098
1 "Lying" -0.98963616
1 "Lying" -0.98105752
1 "Lying" -0.99849424
1 "Lying" -0.9904346
1 "Lying" -0.99660113
1 "Lying" -0.98832811
1 "Lying" -0.98021527
1 "Lying" -0.9955407
1 "Lying" -0.97994667
1 "Sitting" -0.99396185
1 "Sitting" -0.99828058
1 "Sitting" -0.99709373
1 "Sitting" -0.99443193
1 "Sitting" -0.99496791
1 "Sitting" -0.99567862
1 "Sitting" -0.99542093
1 "Sitting" -0.9918539
1 "Sitting" -0.99834935
1 "Sitting" -0.99925069
1 "Sitting" -0.98648293
1 "Sitting" -0.99723464
1 "Sitting" -0.99746708
1 "Sitting" -0.99232751
1 "Sitting" -0.99366235
1 "Sitting" -0.99476444
1 "Sitting" -0.99786836
1 "Sitting" -0.99864228
1 "Sitting" -0.99912221
1 "Sitting" -0.99938685
1 "Sitting" -0.99763297
1 "Sitting" -0.99691273
1 "Sitting" -0.99848141
1 "Sitting" -0.99344348
1 "Sitting" -0.99553448
1 "Sitting" -0.99684175
1 "Sitting" -0.9950134
1 "Sitting" -0.99515348
1 "Sitting" -0.9933115
1 "Sitting" -0.99350077
1 "Sitting" -0.99874064
1 "Sitting" -0.99762168
1 "Sitting" -0.99030964
1 "Sitting" -0.99582963
1 "Sitting" -0.99776457
1 "Sitting" -0.99617158
1 "Sitting" -0.99890493
1 "Sitting" -0.99488934
1 "Sitting" -0.99497932
1 "Sitting" -0.99629157
1 "Sitting" -0.99575486
1 "Sitting" -0.97913748
1 "Sitting" -0.99024076
1 "Sitting" -0.99713397
1 "Sitting" -0.99029999
1 "Sitting" -0.99354679
1 "Sitting" -0.98847554
1 "Sitting" -0.99992527
1 "Sitting" -0.99780577
1 "Sitting" -0.99993542
1 "Sitting" -0.99674451
1 "Sitting" -0.99174092
1 "Sitting" -0.99760707
1 "Standing" -0.89347347
1 "Standing" -0.99708931
1 "Standing" -0.99063373
1 "Standing" -0.80324465
1 "Standing" -0.93360342
1 "Standing" -0.77196646
1 "Standing" -0.98951123
1 "Standing" -0.99569826
1 "Standing" -0.9993355
1 "Standing" -0.99382168
1 "Standing" -0.99887313
1 "Standing" -0.99402732
1 "Standing" -0.99394768
1 "Standing" -0.99520458
1 "Standing" -0.99516215
1 "Standing" -0.98871325
1 "Standing" -0.99535716
1 "Standing" -0.99349864
1 "Standing" -0.99840701
1 "Standing" -0.99708089
1 "Standing" -0.99638541
1 "Standing" -0.99613688
1 "Standing" -0.99052989
1 "Standing" -0.99152472
1 "Standing" -0.86964129
1 "Standing" -0.99307352
1 "Standing" -0.99688198
1 "Standing" -0.99552128
1 "Standing" -0.99435576
1 "Standing" -0.99628259
1 "Standing" -0.99696933
1 "Standing" -0.99761579
1 "Standing" -0.9966256
1 "Standing" -0.99693254
1 "Standing" -0.99476937
1 "Standing" -0.96683634
1 "Standing" -0.99708507
1 "Standing" -0.99916506
1 "Standing" -0.99826923
1 "Standing" -0.99616132
1 "Standing" -0.99322416
1 "Standing" -0.99872987
1 "Standing" -0.99673402
1 "Standing" -0.98723099
1 "Standing" -0.99975415
1 "Standing" -0.98869858
1 "Standing" -0.99521789
1 "Walking" -0.81167685
1 "Walking" -0.64176782
1 "Walking" -0.85786987
1 "Walking" -0.95577364
1 "Walking" -0.40950173
1 "Walking" -0.94373351
1 "Walking" -0.71684566
1 "Walking" -0.70139197
1 "Walking" -0.39830449
1 "Walking" -0.80402846
1 "Walking" -0.4749208
1 "Walking" -0.1712553
1 "Walking" -0.30995797
1 "Walking" -0.85654183
1 "Walking" -0.82097208
1 "Walking" -0.83145167
1 "Walking" -0.82618699
1 "Walking" -0.28139573
1 "Walking" -0.8302418
