"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99613317
1 "Lying" -0.99337656
1 "Lying" -0.99558054
1 "Lying" -0.9934189
1 "Lying" -0.9966378
1 "Lying" -0.99948155
1 "Lying" -0.99422233
1 "Lying" -0.99828754
1 "Lying" -0.99951361
1 "Lying" -0.99649192
1 "Lying" -0.99585312
1 "Lying" -0.99632678
1 "Lying" -0.99453073
1 "Lying" -0.86021047
1 "Lying" -0.98454308
1 "Lying" -0.92544256
1 "Lying" -0.95202266
1 "Lying" -0.96418992
1 "Lying" -0.87068627
1 "Lying" -0.64924857
1 "Lying" -0.52787049
1 "Lying" -0.58113451
1 "Lying" -0.53684688
1 "Lying" -0.95649336
1 "Lying" -0.98427868
1 "Lying" -0.98769854
1 "Lying" -0.99475747
1 "Lying" -0.99048047
1 "Lying" -0.98711324
1 "Lying" -0.99033382
1 "Lying" -0.99513745
1 "Lying" -0.99838344
1 "Lying" -0.99719237
1 "Lying" -0.99712906
1 "Lying" -0.995676
1 "Lying" -0.98522583
1 "Lying" -0.99654368
1 "Lying" -0.99357654
1 "Lying" -0.99816375
1 "Lying" -0.69064399
1 "Lying" -0.8628741
1 "Lying" -0.98061679
1 "Lying" -0.99592615
1 "Lying" -0.99600506
1 "Lying" -0.98933824
1 "Lying" -0.99432998
1 "Lying" -0.99595182
1 "Lying" -0.96850664
1 "Lying" -0.99688518
1 "Lying" -0.94024753
1 "Sitting" -0.99344611
1 "Sitting" -0.9927209
1 "Sitting" -0.98992357
1 "Sitting" -0.99025892
1 "Sitting" -0.9917884
1 "Sitting" -0.9952322
1 "Sitting" -0.99595351
1 "Sitting" -0.99850476
1 "Sitting" -0.97399271
1 "Sitting" -0.99904143
1 "Sitting" -0.98557869
1 "Sitting" -0.9885668
1 "Sitting" -0.99447954
1 "Sitting" -0.98639158
1 "Sitting" -0.87461957
1 "Sitting" -0.99207116
1 "Sitting" -0.99497265
1 "Sitting" -0.99252659
1 "Sitting" -0.99120842
1 "Sitting" -0.99831342
1 "Sitting" -0.99246088
1 "Sitting" -0.98301951
1 "Sitting" -0.9937066
1 "Sitting" -0.98850848
1 "Sitting" -0.99053813
1 "Sitting" -0.99168044
1 "Sitting" -0.98992311
1 "Sitting" -0.98303495
1 "Sitting" -0.9813959
1 "Sitting" -0.99816236
1 "Sitting" -0.96393122
1 "Sitting" -0.97537241
1 "Sitting" -0.98993388
1 "Sitting" -0.97573365
1 "Sitting" -0.98045222
1 "Sitting" -0.99799292
1 "Sitting" -0.99534582
1 "Sitting" -0.99282208
1 "Sitting" -0.99528861
1 "Sitting" -0.99952187
1 "Sitting" -0.99145012
1 "Sitting" -0.93974426
1 "Sitting" -0.98730963
1 "Sitting" -0.99429194
1 "Sitting" -0.99632116
1 "Sitting" -0.99852952
1 "Sitting" -0.99055968
1 "Sitting" -0.98670281
1 "Sitting" -0.99960183
1 "Sitting" -0.99469567
1 "Sitting" -0.99912192
1 "Sitting" -0.99579826
1 "Sitting" -0.99910941
1 "Standing" -0.16371061
1 "Standing" -0.916422
1 "Standing" -0.98118585
1 "Standing" -0.91256048
