"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.9151439
1 "Lying" -0.98886257
1 "Lying" -0.99292228
1 "Lying" -0.99295319
1 "Lying" -0.99462028
1 "Lying" -0.99176473
1 "Lying" -0.98523922
1 "Lying" -0.99294279
1 "Lying" -0.98884775
1 "Lying" -0.99436455
1 "Lying" -0.99134061
1 "Lying" -0.99558491
1 "Lying" -0.9933712
1 "Lying" -0.92612942
1 "Lying" -0.98491815
1 "Lying" -0.77165307
1 "Lying" -0.80127887
1 "Lying" -0.94534893
1 "Lying" -0.85580134
1 "Lying" -0.53313636
1 "Lying" -0.54250787
1 "Lying" -0.91488623
1 "Lying" -0.98147665
1 "Lying" -0.98631016
1 "Lying" -0.99152481
1 "Lying" -0.99607601
1 "Lying" -0.99318226
1 "Lying" -0.9735118
1 "Lying" -0.99514136
1 "Lying" -0.99611493
1 "Lying" -0.99366093
1 "Lying" -0.99410379
1 "Lying" -0.9965334
1 "Lying" -0.98956551
1 "Lying" -0.98664105
1 "Lying" -0.98759998
1 "Lying" -0.99729547
1 "Lying" -0.99811158
1 "Lying" -0.99213509
1 "Lying" -0.75552778
1 "Lying" -0.84927725
1 "Lying" -0.97189706
1 "Lying" -0.96800713
1 "Lying" -0.98409444
1 "Lying" -0.98977005
1 "Lying" -0.99119141
1 "Lying" -0.99002302
1 "Lying" -0.99085236
1 "Lying" -0.99242642
1 "Lying" -0.98693999
1 "Sitting" -0.99136366
1 "Sitting" -0.99113389
1 "Sitting" -0.98665762
1 "Sitting" -0.98805524
1 "Sitting" -0.99416946
1 "Sitting" -0.99669657
1 "Sitting" -0.99134479
1 "Sitting" -0.98967639
1 "Sitting" -0.99237054
1 "Sitting" -0.97914396
1 "Sitting" -0.98366563
1 "Sitting" -0.99391242
1 "Sitting" -0.99477247
1 "Sitting" -0.99428762
1 "Sitting" -0.98377218
1 "Sitting" -0.99577539
1 "Sitting" -0.99470156
1 "Sitting" -0.99806776
1 "Sitting" -0.99732686
1 "Sitting" -0.99772484
1 "Sitting" -0.99603532
1 "Sitting" -0.99613407
1 "Sitting" -0.99338827
1 "Sitting" -0.98749858
1 "Sitting" -0.99469336
1 "Sitting" -0.98948109
1 "Sitting" -0.99291198
1 "Sitting" -0.9835501
1 "Sitting" -0.994834
1 "Sitting" -0.99280154
1 "Sitting" -0.98308475
1 "Sitting" -0.98132465
1 "Sitting" -0.9844296
1 "Sitting" -0.98676333
1 "Sitting" -0.99593445
1 "Sitting" -0.98291487
1 "Sitting" -0.98544583
1 "Sitting" -0.98590371
1 "Sitting" -0.98943776
1 "Sitting" -0.99309958
1 "Sitting" -0.98769946
1 "Sitting" -0.98918697
1 "Sitting" -0.99195873
1 "Sitting" -0.99223594
1 "Sitting" -0.99883389
1 "Sitting" -0.99141735
1 "Sitting" -0.99328123
1 "Sitting" -0.99542696
1 "Sitting" -0.99656889
1 "Sitting" -0.99572063
1 "Sitting" -0.99352345
1 "Sitting" -0.99405566
1 "Sitting" -0.99428334
1 "Standing" -0.98873555
1 "Standing" -0.99079236
1 "Standing" -0.98786596
1 "Standing" -0.90780826
1 "Standing" -0.91124568
1 "Standing" -0.93348409
1 "Standing" -0.99194268
1 "Standing" -0.99221917
1 "Standing" -0.99651982
1 "Standing" -0.99411455
1 "Standing" -0.99685573
1 "Standing" -0.97912277
1 "Standing" -0.99209871
1 "Standing" -0.99259697
1 "Standing" -0.99275101
1 "Standing" -0.98953109
1 "Standing" -0.99365526
1 "Standing" -0.99345797
1 "Standing" -0.99395686
1 "Standing" -0.99524425
1 "Standing" -0.99280401
1 "Standing" -0.99495542
1 "Standing" -0.99358428
1 "Standing" -0.9971819
1 "Standing" -0.97823701
1 "Standing" -0.98879222
1 "Standing" -0.98608852
1 "Standing" -0.98613736
1 "Standing" -0.98645169
1 "Standing" -0.99783441
1 "Standing" -0.99383579
1 "Standing" -0.99425099
1 "Standing" -0.99075095
1 "Standing" -0.99929004
1 "Standing" -0.99712813
1 "Standing" -0.97471724
1 "Standing" -0.99021095
1 "Standing" -0.98791898
1 "Standing" -0.99261332
1 "Standing" -0.98999129
1 "Standing" -0.99155534
1 "Standing" -0.99351744
1 "Standing" -0.99712701
1 "Standing" -0.9980023
1 "Standing" -0.99670804
1 "Standing" -0.99615658
1 "Standing" -0.99110424
1 "Walking" -0.17364104
1 "Walking" -0.23052361
1 "Walking" -0.32464195
1 "Walking" -0.27356036
1 "Walking" -0.18590519
1 "Walking" -0.26202397
1 "Walking" -0.016373756
1 "Walking" -0.13593081
1 "Walking" -0.29374714
1 "Walking" -0.24479511
1 "Walking" -0.36008228
1 "Walking" -0.37006399
1 "Walking" -0.39448335
1 "Walking" -0.2719816
1 "Walking" -0.26070571
1 "Walking" -0.31066801
1 "Walking" -0.3599589
1 "Walking" 0.0055017019
1 "Walking" -0.27603595
1 "Walking" -0.27845065
1 "Walking" 0.0054777697
1 "Walking" 0.10546069
1 "Walking" -0.41636247
1 "Walking" -0.14561606
1 "Walking" -0.010766383
1 "Walking" -0.35092524
1 "Walking" -0.32259544
1 "Walking" -0.32190519
1 "Walking" -0.21009975
1 "Walking" -0.13989647
1 "Walking" -0.18554191
1 "Walking" -0.34041956
1 "Walking" -0.22346458
1 "Walking" -0.078407955
1 "Walking" -0.14051935
1 "Walking" -0.36978134
1 "Walking" -0.44845884
1 "Walking" -0.2732861
1 "Walking" -0.35473674
1 "Walking" -0.044467147
1 "Walking" -0.38492964
1 "Walking" -0.25356434
1 "Walking" -0.32652038
1 "Walking" -0.43945177
1 "Walking" -0.34904085
1 "Walking" -0.36252158
1 "Walking" -0.34468903
1 "Walking" -0.41768588
1 "Walking" -0.45097755
1 "Walking" -0.41943707
1 "Walking" -0.37168718
1 "Walking" -0.24809307
1 "Walking" -0.40582709
1 "Walking" -0.34566964
1 "Walking" -0.24581017
1 "Walking" -0.25226666
1 "Walking" -0.042154358
1 "Walking" -0.24694809
1 "Walking" -0.32387063
1 "Walking" -0.25851209
1 "Walking" -0.25234766
1 "Walking" -0.072515983
1 "Walking" -0.098671725
1 "Walking" -0.084651752
1 "Walking" -0.15237579
1 "Walking" -0.20154392
1 "Walking" -0.27391875
1 "Walking" -0.22652076
1 "Walking" 0.0092553486
1 "Walking" -0.23959378
1 "Walking" -0.25877323
1 "Walking" -0.015230287
1 "Walking" -0.038539583
1 "Walking" -0.18586807
1 "Walking" -0.37446022
1 "Walking" -0.23479615
1 "Walking" -0.17695283
1 "Walking" -0.11769104
1 "Walking" -0.34697737
1 "Walking" -0.033951366
1 "Walking" -0.10211387
1 "Walking" -0.1976113
1 "Walking" -0.25487453
1 "Walking" -0.26693046
1 "Walking" -0.14040017
1 "Walking" -0.25160326
1 "Walking" -0.069018036
1 "Walking" -0.080832241
1 "Walking" 0.15245629
1 "Walking" -0.10348479
1 "Walking" -0.15083245
1 "Walking" -0.098001186
1 "Walking" 0.11805006
1 "Walking" -0.13554814
1 "Walking" -0.35846878
1 "Walking Down Stairs" -0.23573454
1 "Walking Down Stairs" -0.20234725
1 "Walking Down Stairs" -0.26351589
1 "Walking Down Stairs" -0.30960388
1 "Walking Down Stairs" -0.12655603
1 "Walking Down Stairs" 0.064083035
1 "Walking Down Stairs" 0.037676505
1 "Walking Down Stairs" -0.02672401
1 "Walking Down Stairs" -0.094096784
1 "Walking Down Stairs" 0.1155816
1 "Walking Down Stairs" -0.091755693
1 "Walking Down Stairs" 0.036148569
1 "Walking Down Stairs" -0.13880457
1 "Walking Down Stairs" -0.10688158
1 "Walking Down Stairs" -0.29288562
1 "Walking Down Stairs" -0.27986049
1 "Walking Down Stairs" -0.09682906
1 "Walking Down Stairs" -0.06018984
1 "Walking Down Stairs" -0.31581801
1 "Walking Down Stairs" -0.26539142
1 "Walking Down Stairs" -0.12111193
1 "Walking Down Stairs" -0.18589208
1 "Walking Down Stairs" -0.43963229
1 "Walking Down Stairs" -0.50377616
1 "Walking Down Stairs" -0.22383557
1 "Walking Down Stairs" -0.3814416
1 "Walking Down Stairs" -0.31601605
1 "Walking Down Stairs" -0.28971742
1 "Walking Down Stairs" 0.047280262
1 "Walking Down Stairs" -0.23563918
1 "Walking Down Stairs" -0.2512619
1 "Walking Down Stairs" -0.14685348
1 "Walking Down Stairs" -0.10927414
1 "Walking Down Stairs" 0.0094983218
1 "Walking Down Stairs" -0.10862274
1 "Walking Down Stairs" 0.043269278
1 "Walking Down Stairs" -0.2811552
1 "Walking Down Stairs" 0.12128458
1 "Walking Down Stairs" 0.047221855
1 "Walking Down Stairs" -0.26174057
1 "Walking Down Stairs" -0.062980445
1 "Walking Down Stairs" -0.038823351
1 "Walking Down Stairs" -0.1363786
1 "Walking Down Stairs" -0.15284903
1 "Walking Down Stairs" -0.15288469
1 "Walking Down Stairs" -0.072435592
1 "Walking Down Stairs" -0.0606732
1 "Walking Down Stairs" -0.067854822
1 "Walking Down Stairs" -0.06815305
1 "Walking Up Stairs" -0.4871114
1 "Walking Up Stairs" -0.61467996
1 "Walking Up Stairs" -0.51026813
1 "Walking Up Stairs" -0.4984083
1 "Walking Up Stairs" -0.39401525
1 "Walking Up Stairs" -0.4903627
1 "Walking Up Stairs" -0.57943946
1 "Walking Up Stairs" -0.49848879
1 "Walking Up Stairs" -0.44312927
1 "Walking Up Stairs" -0.51141188
1 "Walking Up Stairs" -0.50242516
1 "Walking Up Stairs" -0.55926651
1 "Walking Up Stairs" -0.54787254
1 "Walking Up Stairs" -0.45524243
1 "Walking Up Stairs" -0.46490516
1 "Walking Up Stairs" -0.65256757
1 "Walking Up Stairs" -0.65495017
1 "Walking Up Stairs" -0.54403552
1 "Walking Up Stairs" -0.45838301
1 "Walking Up Stairs" -0.36678762
1 "Walking Up Stairs" -0.58986607
1 "Walking Up Stairs" -0.47534968
1 "Walking Up Stairs" -0.49618912
1 "Walking Up Stairs" -0.45584881
1 "Walking Up Stairs" -0.54392997
1 "Walking Up Stairs" -0.24389065
1 "Walking Up Stairs" -0.45286486
1 "Walking Up Stairs" -0.58159029
1 "Walking Up Stairs" -0.5629118
1 "Walking Up Stairs" -0.53174751
1 "Walking Up Stairs" -0.41100009
1 "Walking Up Stairs" -0.4364701
1 "Walking Up Stairs" -0.36676085
1 "Walking Up Stairs" -0.37132324
1 "Walking Up Stairs" -0.51620866
1 "Walking Up Stairs" -0.42724309
1 "Walking Up Stairs" -0.52349779
1 "Walking Up Stairs" -0.41025122
1 "Walking Up Stairs" -0.43217414
1 "Walking Up Stairs" -0.44930563
1 "Walking Up Stairs" -0.45513965
1 "Walking Up Stairs" -0.25979587
1 "Walking Up Stairs" -0.42117048
1 "Walking Up Stairs" -0.52211368
1 "Walking Up Stairs" -0.59835197
1 "Walking Up Stairs" -0.69271475
1 "Walking Up Stairs" -0.43716063
1 "Walking Up Stairs" -0.34083438
1 "Walking Up Stairs" -0.40072646
1 "Walking Up Stairs" -0.38295299
1 "Walking Up Stairs" -0.36852796
1 "Walking Up Stairs" -0.5093381
1 "Walking Up Stairs" -0.39407653
2 "Lying" -0.94265364
2 "Lying" -0.98426996
2 "Lying" -0.98991481
2 "Lying" -0.99124144
2 "Lying" -0.98960751
2 "Lying" -0.99437075
2 "Lying" -0.99173763
2 "Lying" -0.99450056
2 "Lying" -0.9925105
2 "Lying" -0.99126236
2 "Lying" -0.99476435
2 "Lying" -0.97297081
2 "Lying" -0.9881324
2 "Lying" -0.99253893
2 "Lying" -0.99100588
2 "Lying" -0.99291674
2 "Lying" -0.9946507
2 "Lying" -0.98934421
2 "Lying" -0.99177807
2 "Lying" -0.98962368
2 "Lying" -0.99050807
2 "Lying" -0.9949293
2 "Lying" -0.99085221
2 "Lying" -0.99202028
2 "Lying" -0.93707403
2 "Lying" -0.97869223
2 "Lying" -0.97920504
2 "Lying" -0.99163874
2 "Lying" -0.98914611
2 "Lying" -0.98563677
2 "Lying" -0.98486164
2 "Lying" -0.98075598
2 "Lying" -0.9885071
2 "Lying" -0.99631523
2 "Lying" -0.99442914
2 "Lying" -0.92109797
2 "Lying" -0.98893566
2 "Lying" -0.98515111
2 "Lying" -0.98311014
2 "Lying" -0.98255528
2 "Lying" -0.99204011
2 "Lying" -0.99090557
2 "Lying" -0.99087189
2 "Lying" -0.98731823
2 "Lying" -0.99141488
2 "Lying" -0.9901951
2 "Lying" -0.98998996
2 "Lying" -0.98381489
2 "Sitting" -0.92147669
2 "Sitting" -0.95717755
2 "Sitting" -0.9782217
2 "Sitting" -0.98036469
2 "Sitting" -0.98999569
2 "Sitting" -0.99033753
