"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.2985904
1 "Lying" 0.52197041
1 "Lying" 0.61604851
1 "Lying" 0.16106371
1 "Lying" 0.25415745
1 "Lying" 0.12645375
1 "Lying" 0.13264009
1 "Lying" 0.52123462
1 "Lying" 0.66509324
1 "Lying" 0.41231545
1 "Lying" 0.25938936
1 "Lying" 0.43807407
1 "Lying" 0.51011698
1 "Lying" 0.15819535
1 "Lying" -0.1213258
1 "Lying" -0.59281703
1 "Lying" -0.50332465
1 "Lying" 0.25179871
1 "Lying" -0.23928235
1 "Lying" 0.15463256
1 "Lying" 0.087846855
1 "Lying" -0.19452701
1 "Lying" 0.41045514
1 "Lying" 0.29147682
1 "Lying" 0.69568998
1 "Lying" 0.42434458
1 "Lying" 0.44982668
1 "Lying" 0.23603879
1 "Lying" 0.45739855
1 "Lying" 0.40191177
1 "Lying" 0.54168507
1 "Lying" 0.50686013
1 "Lying" 0.6505364
1 "Lying" 0.40441051
1 "Lying" 0.30599039
1 "Lying" 0.30544397
1 "Lying" 0.62319931
1 "Lying" 0.55095095
1 "Lying" 0.35659083
1 "Lying" -0.17401925
1 "Lying" -0.527563
1 "Lying" 0.19140539
1 "Lying" -0.054815187
1 "Lying" 0.13661246
1 "Lying" 0.47751835
1 "Lying" 0.59985047
1 "Lying" 0.63342025
1 "Lying" 0.29523329
1 "Lying" 0.34402042
1 "Lying" 0.46392077
1 "Sitting" 0.34698853
1 "Sitting" 0.53206052
1 "Sitting" 0.66079504
1 "Sitting" 0.67892134
1 "Sitting" 0.55905766
1 "Sitting" 0.24690957
1 "Sitting" 0.29017664
1 "Sitting" 0.24979894
1 "Sitting" 0.27234235
1 "Sitting" 0.25088355
1 "Sitting" 0.50187561
1 "Sitting" 0.69936213
1 "Sitting" 0.53634844
1 "Sitting" 0.53008832
1 "Sitting" 0.16897904
1 "Sitting" 0.54385269
1 "Sitting" 0.63655806
1 "Sitting" 0.48518842
1 "Sitting" 0.43731909
1 "Sitting" 0.60844786
1 "Sitting" 0.28475946
1 "Sitting" 0.37712092
1 "Sitting" 0.49293471
1 "Sitting" 0.36203326
1 "Sitting" 0.36154353
1 "Sitting" 0.33791454
1 "Sitting" 0.55391815
1 "Sitting" 0.57003602
1 "Sitting" 0.49185966
1 "Sitting" 0.25050615
1 "Sitting" 0.1483092
1 "Sitting" 0.26233899
1 "Sitting" 0.38499069
1 "Sitting" 0.28687427
1 "Sitting" 0.5321268
1 "Sitting" 0.15884157
1 "Sitting" 0.1831184
1 "Sitting" 0.17984978
1 "Sitting" 0.33570312
1 "Sitting" 0.52408411
1 "Sitting" 0.24558228
1 "Sitting" 0.47363456
1 "Sitting" 0.49629189
1 "Sitting" 0.34971295
1 "Sitting" 0.42083999
1 "Sitting" 0.48389838
1 "Sitting" 0.49557531
1 "Sitting" 0.39424452
1 "Sitting" 0.26397189
1 "Sitting" 0.70338239
1 "Sitting" 0.73523406
1 "Sitting" 0.54617789
1 "Sitting" 0.45430218
1 "Standing" -0.31267252
1 "Standing" 0.30987137
1 "Standing" 0.41989445
1 "Standing" -0.12170217
1 "Standing" 0.10924388
1 "Standing" 0.20968223
1 "Standing" 0.2496267
1 "Standing" 0.35068262
1 "Standing" 0.20742657
1 "Standing" 0.27088552
1 "Standing" 0.58411544
1 "Standing" 0.13208827
1 "Standing" 0.36795187
1 "Standing" 0.599001
1 "Standing" 0.39526201
1 "Standing" 0.26160998
1 "Standing" 0.62918951
1 "Standing" 0.70330222
1 "Standing" 0.65638671
1 "Standing" 0.65734523
1 "Standing" 0.46013937
1 "Standing" 0.43263467
1 "Standing" 0.34738048
1 "Standing" 0.55883202
1 "Standing" -0.24440597
1 "Standing" 0.12051428
1 "Standing" 0.16773357
1 "Standing" 0.20985883
1 "Standing" 0.233825
1 "Standing" 0.4000663
1 "Standing" 0.47711089
1 "Standing" 0.4308596
1 "Standing" 0.43812562
1 "Standing" 0.67927063
1 "Standing" 0.62474616
1 "Standing" 0.041257372
1 "Standing" 0.44162743
1 "Standing" 0.41676319
1 "Standing" 0.32801352
1 "Standing" 0.26528051
1 "Standing" 0.20385596
1 "Standing" 0.34883212
1 "Standing" 0.66116158
1 "Standing" 0.62399329
1 "Standing" 0.60275984
1 "Standing" 0.40880596
1 "Standing" 0.17882038
1 "Walking" 0.05448232
1 "Walking" 0.19047898
1 "Walking" 0.31075674
1 "Walking" 0.26645968
1 "Walking" -0.0016147957
1 "Walking" 0.0021477746
1 "Walking" -0.12313669
1 "Walking" 0.022105937
1 "Walking" 0.015740678
1 "Walking" 0.22735472
1 "Walking" 0.10701003
1 "Walking" 0.212359
1 "Walking" 0.46054314
1 "Walking" 0.20626159
1 "Walking" 0.20167027
1 "Walking" 0.18016645
1 "Walking" 0.11295005
1 "Walking" -0.097468816
1 "Walking" 0.0070858463
1 "Walking" 0.078676071
1 "Walking" 0.076289869
1 "Walking" 0.1438764
1 "Walking" 0.49109352
1 "Walking" 0.45720655
1 "Walking" 0.20378054
1 "Walking" -0.017682232
1 "Walking" -0.084671135
1 "Walking" 0.074714566
1 "Walking" 0.249902
1 "Walking" 0.23101127
1 "Walking" 0.12683861
1 "Walking" 0.13853653
1 "Walking" 0.013598554
1 "Walking" 0.14646886
1 "Walking" 0.34009906
1 "Walking" 0.14027819
1 "Walking" -0.10008728
1 "Walking" -0.077658651
1 "Walking" -0.00045438337
1 "Walking" -0.028160303
1 "Walking" 0.14933979
1 "Walking" -0.056242451
1 "Walking" -0.1529935
1 "Walking" 0.084941355
1 "Walking" 0.096169228
1 "Walking" -0.088237192
1 "Walking" -0.0085176052
1 "Walking" 0.051576343
1 "Walking" 0.2443079
1 "Walking" 0.31008013
