"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.89146988
1 "Lying" -0.99296117
1 "Lying" -0.99355488
1 "Lying" -0.99331487
1 "Lying" -0.99267283
1 "Lying" -0.99209042
1 "Lying" -0.99218464
1 "Lying" -0.99404556
1 "Lying" -0.99288778
1 "Lying" -0.9941316
1 "Lying" -0.99439907
1 "Lying" -0.99673367
1 "Lying" -0.99606696
1 "Lying" -0.86628146
1 "Lying" -0.97572739
1 "Lying" -0.59248301
1 "Lying" -0.64267705
1 "Lying" -0.95467415
1 "Lying" -0.74626649
1 "Lying" -0.32035278
1 "Lying" -0.25098304
1 "Lying" -0.82739933
1 "Lying" -0.98139751
1 "Lying" -0.97856496
1 "Lying" -0.99570379
1 "Lying" -0.99726274
1 "Lying" -0.99439161
1 "Lying" -0.9622032
1 "Lying" -0.99471439
1 "Lying" -0.9956011
1 "Lying" -0.9944498
1 "Lying" -0.99556004
1 "Lying" -0.99671396
1 "Lying" -0.99360458
1 "Lying" -0.99048031
1 "Lying" -0.9923918
1 "Lying" -0.99746955
1 "Lying" -0.9958317
1 "Lying" -0.99619715
1 "Lying" -0.66053691
1 "Lying" -0.71403814
1 "Lying" -0.96996372
1 "Lying" -0.96685392
1 "Lying" -0.98088444
1 "Lying" -0.99184929
1 "Lying" -0.99506644
1 "Lying" -0.99291548
1 "Lying" -0.98912
1 "Lying" -0.99138902
1 "Lying" -0.9916852
1 "Sitting" -0.99375495
1 "Sitting" -0.99196029
1 "Sitting" -0.99086668
1 "Sitting" -0.99169983
1 "Sitting" -0.99438901
1 "Sitting" -0.99515619
1 "Sitting" -0.99054611
1 "Sitting" -0.98979026
1 "Sitting" -0.99289011
1 "Sitting" -0.98405698
1 "Sitting" -0.98661714
1 "Sitting" -0.99480169
1 "Sitting" -0.99631669
1 "Sitting" -0.99545097
1 "Sitting" -0.98780475
1 "Sitting" -0.99757854
1 "Sitting" -0.99774096
1 "Sitting" -0.99609913
1 "Sitting" -0.99704535
1 "Sitting" -0.99958203
1 "Sitting" -0.995093
1 "Sitting" -0.99278698
1 "Sitting" -0.99181646
1 "Sitting" -0.99276945
1 "Sitting" -0.99520624
1 "Sitting" -0.99426938
1 "Sitting" -0.99555244
1 "Sitting" -0.98837036
1 "Sitting" -0.99356964
1 "Sitting" -0.99138073
1 "Sitting" -0.97882025
1 "Sitting" -0.98010533
1 "Sitting" -0.98557819
1 "Sitting" -0.98683922
1 "Sitting" -0.99676694
1 "Sitting" -0.98226028
1 "Sitting" -0.98368753
1 "Sitting" -0.98892121
1 "Sitting" -0.99189704
1 "Sitting" -0.99419966
1 "Sitting" -0.99114433
1 "Sitting" -0.99134659
1 "Sitting" -0.99525369
1 "Sitting" -0.99510969
1 "Sitting" -0.99552458
1 "Sitting" -0.9957276
1 "Sitting" -0.99664173
1 "Sitting" -0.99584222
1 "Sitting" -0.99732935
1 "Sitting" -0.99694351
1 "Sitting" -0.99715667
1 "Sitting" -0.99629596
1 "Sitting" -0.99605427
1 "Standing" -0.96429842
1 "Standing" -0.99278695
1 "Standing" -0.99407461
1 "Standing" -0.76927158
1 "Standing" -0.82288377
1 "Standing" -0.90566871
1 "Standing" -0.98782658
1 "Standing" -0.99517066
1 "Standing" -0.99658205
1 "Standing" -0.99581104
1 "Standing" -0.99632383
1 "Standing" -0.97790115
1 "Standing" -0.99098543
1 "Standing" -0.994891
1 "Standing" -0.99338603
1 "Standing" -0.99215353
1 "Standing" -0.99534721
1 "Standing" -0.99565716
1 "Standing" -0.99647978
1 "Standing" -0.99754113
1 "Standing" -0.99396034
1 "Standing" -0.99059234
1 "Standing" -0.99284617
1 "Standing" -0.99550624
1 "Standing" -0.9724098
1 "Standing" -0.98772133
1 "Standing" -0.98860101
1 "Standing" -0.987273
1 "Standing" -0.99034895
1 "Standing" -0.99345086
1 "Standing" -0.99516873
1 "Standing" -0.99666701
1 "Standing" -0.99669182
1 "Standing" -0.99761629
1 "Standing" -0.99747401
1 "Standing" -0.96447563
1 "Standing" -0.9919184
1 "Standing" -0.99244216
1 "Standing" -0.99425289
1 "Standing" -0.99191366
1 "Standing" -0.99254743
1 "Standing" -0.99474546
1 "Standing" -0.99709894
1 "Standing" -0.99711839
1 "Standing" -0.99899102
1 "Standing" -0.99767755
1 "Standing" -0.99094029
1 "Walking" -0.18468998
1 "Walking" -0.23065634
1 "Walking" -0.32125627
1 "Walking" -0.23261183
1 "Walking" -0.20103653
1 "Walking" -0.25781592
1 "Walking" -0.19450513
1 "Walking" -0.032996374
1 "Walking" -0.36040189
1 "Walking" -0.29820284
1 "Walking" -0.21444218
1 "Walking" -0.22363449
1 "Walking" -0.27939285
1 "Walking" -0.097456627
1 "Walking" -0.15403764
1 "Walking" -0.23700181
1 "Walking" -0.054349766
1 "Walking" -0.096090417
1 "Walking" -0.11600375
1 "Walking" -0.11953962
1 "Walking" -0.1854781
1 "Walking" -0.15457071
1 "Walking" -0.3048822
1 "Walking" -0.055870716
1 "Walking" -0.029341473
1 "Walking" -0.021848235
1 "Walking" -0.069383752
1 "Walking" -0.22728925
1 "Walking" -0.15557509
