"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.95690253
1 "Lying" -0.99817487
1 "Lying" -0.99824777
1 "Lying" -0.99759211
1 "Lying" -0.99878001
1 "Lying" -0.99758068
1 "Lying" -0.9982489
1 "Lying" -0.99730494
1 "Lying" -0.99802542
1 "Lying" -0.99865872
1 "Lying" -0.99769682
1 "Lying" -0.99755837
1 "Lying" -0.99696778
1 "Lying" -0.94034557
1 "Lying" -0.98545486
1 "Lying" -0.60167959
1 "Lying" -0.60244383
1 "Lying" -0.90979854
1 "Lying" -0.70701144
1 "Lying" -0.56584744
1 "Lying" -0.59209391
1 "Lying" -0.91918262
1 "Lying" -0.98455525
1 "Lying" -0.98883111
1 "Lying" -0.99682693
1 "Lying" -0.9958889
1 "Lying" -0.99499931
1 "Lying" -0.96531587
1 "Lying" -0.99234843
1 "Lying" -0.99733303
1 "Lying" -0.99751307
1 "Lying" -0.99605633
1 "Lying" -0.99757322
1 "Lying" -0.99720039
1 "Lying" -0.99717166
1 "Lying" -0.99766334
1 "Lying" -0.99628972
1 "Lying" -0.99782101
1 "Lying" -0.99674108
1 "Lying" -0.613962
1 "Lying" -0.73227492
1 "Lying" -0.95629959
1 "Lying" -0.96193889
1 "Lying" -0.98039
1 "Lying" -0.99099357
1 "Lying" -0.9917211
1 "Lying" -0.99603234
1 "Lying" -0.98667863
1 "Lying" -0.99002154
1 "Lying" -0.98645173
1 "Sitting" -0.99045792
1 "Sitting" -0.99454373
1 "Sitting" -0.99375529
1 "Sitting" -0.995226
1 "Sitting" -0.99548682
1 "Sitting" -0.99453048
1 "Sitting" -0.99393973
1 "Sitting" -0.99542254
1 "Sitting" -0.99509545
1 "Sitting" -0.99045596
1 "Sitting" -0.99156494
1 "Sitting" -0.99772527
1 "Sitting" -0.9990738
1 "Sitting" -0.99878434
1 "Sitting" -0.9920069
1 "Sitting" -0.9981078
1 "Sitting" -0.99827323
1 "Sitting" -0.99678462
1 "Sitting" -0.99843259
1 "Sitting" -0.99912662
1 "Sitting" -0.99826866
1 "Sitting" -0.99707442
1 "Sitting" -0.99660003
1 "Sitting" -0.9979691
1 "Sitting" -0.99812154
1 "Sitting" -0.99784929
1 "Sitting" -0.997052
1 "Sitting" -0.9835014
1 "Sitting" -0.99208657
1 "Sitting" -0.99479389
1 "Sitting" -0.97852578
1 "Sitting" -0.97367645
1 "Sitting" -0.98689687
1 "Sitting" -0.99086151
1 "Sitting" -0.99774422
1 "Sitting" -0.99341147
1 "Sitting" -0.99403044
1 "Sitting" -0.99723634
1 "Sitting" -0.99694341
1 "Sitting" -0.99503009
1 "Sitting" -0.98678275
1 "Sitting" -0.97036161
1 "Sitting" -0.99369622
1 "Sitting" -0.99765628
1 "Sitting" -0.99499275
1 "Sitting" -0.99710102
1 "Sitting" -0.99589932
1 "Sitting" -0.99683007
1 "Sitting" -0.99763024
1 "Sitting" -0.9975347
1 "Sitting" -0.99607832
1 "Sitting" -0.99675468
1 "Sitting" -0.99779906
1 "Standing" -0.9837155
1 "Standing" -0.99758285
1 "Standing" -0.99937853
1 "Standing" -0.85411352
1 "Standing" -0.86117139
1 "Standing" -0.94045971
1 "Standing" -0.98868956
1 "Standing" -0.99574759
1 "Standing" -0.99617987
1 "Standing" -0.99572229
1 "Standing" -0.99539158
1 "Standing" -0.99168382
1 "Standing" -0.99572975
1 "Standing" -0.99558577
1 "Standing" -0.99515938
1 "Standing" -0.99602121
1 "Standing" -0.99840421
1 "Standing" -0.9982591
