"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.78085716
1 "Lying" -0.87974487
1 "Lying" -0.96262911
1 "Lying" -0.98975768
1 "Lying" -0.99397641
1 "Lying" -0.99606701
1 "Lying" -0.9919518
1 "Lying" -0.99824591
1 "Lying" -0.99822949
1 "Lying" -0.99864174
1 "Lying" -0.99921097
1 "Lying" -0.99839687
1 "Lying" -0.99651059
1 "Lying" -0.83771004
1 "Lying" -0.8172706
1 "Lying" -0.33964782
1 "Lying" -0.43276262
1 "Lying" -0.78034996
1 "Lying" -0.54072101
1 "Lying" -0.055841909
1 "Lying" -0.019796533
1 "Lying" -0.76978574
1 "Lying" -0.88595455
1 "Lying" -0.89551546
1 "Lying" -0.91661482
1 "Lying" -0.98026514
1 "Lying" -0.99432375
1 "Lying" -0.77265994
1 "Lying" -0.84800931
1 "Lying" -0.93977218
1 "Lying" -0.98191567
1 "Lying" -0.99043397
1 "Lying" -0.99719012
1 "Lying" -0.99429846
1 "Lying" -0.99544207
1 "Lying" -0.99494453
1 "Lying" -0.99472428
1 "Lying" -0.99726571
1 "Lying" -0.99683119
1 "Lying" -0.2204517
1 "Lying" -0.63479672
1 "Lying" -0.812122
1 "Lying" -0.71416298
1 "Lying" -0.85396108
1 "Lying" -0.96659385
1 "Lying" -0.98083166
1 "Lying" -0.97930159
1 "Lying" -0.8425449
1 "Lying" -0.89445833
1 "Lying" -0.97055988
1 "Sitting" -0.95226383
1 "Sitting" -0.98632076
1 "Sitting" -0.99097943
1 "Sitting" -0.98674877
1 "Sitting" -0.99146166
1 "Sitting" -0.98820413
1 "Sitting" -0.98532835
1 "Sitting" -0.98819296
1 "Sitting" -0.99152182
1 "Sitting" -0.97677071
1 "Sitting" -0.97856013
1 "Sitting" -0.99504547
1 "Sitting" -0.99671097
1 "Sitting" -0.99878034
1 "Sitting" -0.87978404
1 "Sitting" -0.90073151
1 "Sitting" -0.982811
1 "Sitting" -0.98526539
1 "Sitting" -0.99448022
1 "Sitting" -0.99249089
1 "Sitting" -0.998899
1 "Sitting" -0.99866098
1 "Sitting" -0.99784536
1 "Sitting" -0.99711676
1 "Sitting" -0.99837647
1 "Sitting" -0.99659198
1 "Sitting" -0.99466088
1 "Sitting" -0.86106041
1 "Sitting" -0.96308638
1 "Sitting" -0.97136005
1 "Sitting" -0.95989201
1 "Sitting" -0.94020052
1 "Sitting" -0.96252707
1 "Sitting" -0.98426981
1 "Sitting" -0.99521086
1 "Sitting" -0.99295315
1 "Sitting" -0.991948
1 "Sitting" -0.99614272
1 "Sitting" -0.99152802
1 "Sitting" -0.96982214
1 "Sitting" -0.9665787
1 "Sitting" -0.87609513
1 "Sitting" -0.92891633
1 "Sitting" -0.96177116
1 "Sitting" -0.99175119
1 "Sitting" -0.9911924
1 "Sitting" -0.99513615
1 "Sitting" -0.99542629
1 "Sitting" -0.99462352
1 "Sitting" -0.99485265
1 "Sitting" -0.99393647
1 "Sitting" -0.99647434
1 "Sitting" -0.99359694
1 "Standing" -0.9779709
1 "Standing" -0.9413108
1 "Standing" -0.94537184
1 "Standing" -0.10573931
1 "Standing" -0.20866426
1 "Standing" -0.8233547
1 "Standing" -0.96707218
1 "Standing" -0.967458
1 "Standing" -0.98450396
1 "Standing" -0.99455519
1 "Standing" -0.99712642
1 "Standing" -0.80339787
1 "Standing" -0.8014607
1 "Standing" -0.86779257
1 "Standing" -0.96935142
1 "Standing" -0.98255035
1 "Standing" -0.98341819
1 "Standing" -0.98878906
1 "Standing" -0.99271229
1 "Standing" -0.99396622
1 "Standing" -0.99717078
1 "Standing" -0.99701627
1 "Standing" -0.99616594
1 "Standing" -0.99648144
1 "Standing" -0.92693228
1 "Standing" -0.89061601
1 "Standing" -0.93331436
1 "Standing" -0.97335
1 "Standing" -0.99433264
1 "Standing" -0.99494743
1 "Standing" -0.9971849
1 "Standing" -0.99767769
