"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.307262
1 "Lying" 0.37099728
1 "Lying" 0.62086878
1 "Lying" 0.23584984
1 "Lying" -0.085214216
1 "Lying" -0.44722946
1 "Lying" 0.043181648
1 "Lying" -0.66586044
1 "Lying" -0.67581399
1 "Lying" -0.77306947
1 "Lying" -0.72305035
1 "Lying" -0.60277378
1 "Lying" -0.27912223
1 "Lying" -0.16412117
1 "Lying" 0.33692372
1 "Lying" -0.28108101
1 "Lying" -0.34349443
1 "Lying" -0.15265019
1 "Lying" -0.037418204
1 "Lying" -0.3245116
1 "Lying" -0.39905282
1 "Lying" -0.16239514
1 "Lying" 0.45697903
1 "Lying" 0.38815288
1 "Lying" 0.7358552
1 "Lying" -0.07573529
1 "Lying" -0.30505381
1 "Lying" 0.5699186
1 "Lying" 0.38439008
1 "Lying" 0.65614861
1 "Lying" 0.85353611
1 "Lying" 0.073153048
1 "Lying" -0.62330512
1 "Lying" -0.33543264
1 "Lying" -0.42473034
1 "Lying" -0.36001462
1 "Lying" -0.33802479
1 "Lying" -0.63355746
1 "Lying" -0.45974036
1 "Lying" -0.40776192
1 "Lying" -0.56181733
1 "Lying" -0.020906148
1 "Lying" 0.25513733
1 "Lying" -0.27409874
1 "Lying" -0.16586567
1 "Lying" -0.28254707
1 "Lying" -0.038166142
1 "Lying" 0.67659511
1 "Lying" 0.33549888
1 "Lying" -0.093773386
1 "Sitting" 0.58615643
1 "Sitting" -0.33631041
1 "Sitting" -0.53535208
1 "Sitting" -0.2300909
1 "Sitting" -0.51028185
1 "Sitting" -0.34604454
1 "Sitting" -0.32159084
1 "Sitting" -0.4072843
1 "Sitting" -0.3713888
1 "Sitting" 0.10678504
1 "Sitting" 0.0078721706
1 "Sitting" -0.28407681
1 "Sitting" -0.39115511
1 "Sitting" -0.75932989
1 "Sitting" 0.076217194
1 "Sitting" 0.55776674
1 "Sitting" -0.14541051
1 "Sitting" 0.16206613
1 "Sitting" -0.41071194
1 "Sitting" 0.20701351
1 "Sitting" -0.62840566
1 "Sitting" -0.70617528
1 "Sitting" -0.68113841
1 "Sitting" -0.36279794
1 "Sitting" -0.75740629
1 "Sitting" -0.47732278
1 "Sitting" -0.20124133
1 "Sitting" 0.33982547
1 "Sitting" -0.11809969
1 "Sitting" 0.066683836
1 "Sitting" -0.25419842
1 "Sitting" 0.043240941
1 "Sitting" -0.11409477
1 "Sitting" 0.084108142
1 "Sitting" -0.4324562
1 "Sitting" -0.39532449
1 "Sitting" -0.20678144
1 "Sitting" -0.42159292
1 "Sitting" -0.24308285
1 "Sitting" 0.10323359
1 "Sitting" 0.1269974
1 "Sitting" 0.22463116
1 "Sitting" 0.6268903
1 "Sitting" 0.44812756
1 "Sitting" -0.46379379
1 "Sitting" -0.30003104
1 "Sitting" -0.5487856
1 "Sitting" -0.43669205
1 "Sitting" -0.27213256
1 "Sitting" -0.066740239
1 "Sitting" -0.25267599
1 "Sitting" -0.60295305
1 "Sitting" -0.43664538
1 "Standing" -0.53302314
1 "Standing" 0.43433049
1 "Standing" 0.32437112
1 "Standing" 0.43766845
1 "Standing" 0.41093629
1 "Standing" 0.017846477
1 "Standing" 0.0090037757
1 "Standing" 0.43537517
1 "Standing" 0.12052736
1 "Standing" -0.42778262
1 "Standing" -0.63421845
1 "Standing" 0.43916973
1 "Standing" 0.34557497
