"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.047593882
1 "Lying" -0.19231545
1 "Lying" -0.053469345
1 "Lying" -0.11819176
1 "Lying" -0.13710896
1 "Lying" -0.23789143
1 "Lying" -0.28695881
1 "Lying" -0.2326023
1 "Lying" 0.0097062297
1 "Lying" -0.41293831
1 "Lying" -0.294112
1 "Lying" -0.21217907
1 "Lying" -0.30349114
1 "Lying" 0.47584002
1 "Lying" -0.057310945
1 "Lying" 0.7239153
1 "Lying" 0.6582089
1 "Lying" 0.31334142
1 "Lying" 0.29394571
1 "Lying" 0.47096462
1 "Lying" 0.34201982
1 "Lying" 0.16366768
1 "Lying" -0.03398814
1 "Lying" -0.10799744
1 "Lying" -0.070806212
1 "Lying" -0.060578448
1 "Lying" -0.024022284
1 "Lying" 0.036101122
1 "Lying" -0.31186178
1 "Lying" -0.18832967
1 "Lying" -0.12628506
1 "Lying" -0.092611416
1 "Lying" -0.072405056
1 "Lying" -0.20840136
1 "Lying" -0.25452019
1 "Lying" -0.19942376
1 "Lying" -0.26943502
1 "Lying" -0.27490704
1 "Lying" -0.11093363
1 "Lying" 0.48506795
1 "Lying" 0.38345214
1 "Lying" 0.13179388
1 "Lying" 0.46360789
1 "Lying" 0.26761776
1 "Lying" 0.11880704
1 "Lying" 0.15640692
1 "Lying" 0.053316894
1 "Lying" 0.16506199
1 "Lying" 0.080015974
1 "Lying" 0.052207705
1 "Sitting" -0.27498511
1 "Sitting" 0.17913763
1 "Sitting" 0.23898137
1 "Sitting" -0.012880542
1 "Sitting" 0.0021111801
1 "Sitting" 0.24203652
1 "Sitting" -0.037729392
1 "Sitting" -0.11029405
1 "Sitting" -0.038275041
1 "Sitting" 0.073534599
1 "Sitting" 0.12027896
1 "Sitting" -0.10542436
1 "Sitting" -0.023621155
1 "Sitting" -0.017744128
1 "Sitting" 0.032170356
1 "Sitting" -0.13989996
1 "Sitting" -0.13930033
1 "Sitting" -0.089040738
1 "Sitting" -0.16493906
1 "Sitting" -0.22192628
1 "Sitting" -0.23988372
1 "Sitting" -0.1912522
1 "Sitting" -0.10964209
1 "Sitting" -0.20241645
1 "Sitting" -0.059037218
1 "Sitting" 0.10454487
