"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.52439858
1 "Lying" 0.09813786
1 "Lying" 0.19180297
1 "Lying" 0.0088913876
1 "Lying" -0.066739465
1 "Lying" 0.030113545
1 "Lying" 0.037882876
1 "Lying" -0.016194133
1 "Lying" 0.070413091
1 "Lying" 0.051175176
1 "Lying" -0.01627743
1 "Lying" 0.13723442
1 "Lying" -0.009315639
1 "Lying" 0.0053962989
1 "Lying" -0.17723411
1 "Lying" -0.5239511
1 "Lying" -0.48761345
1 "Lying" -0.25855403
1 "Lying" -0.16262191
1 "Lying" -0.22839092
1 "Lying" -0.25448232
1 "Lying" -0.43177819
1 "Lying" -0.10429374
1 "Lying" -0.080800866
1 "Lying" 0.12185212
1 "Lying" 0.17325267
1 "Lying" 0.14503364
1 "Lying" -0.37938715
1 "Lying" -0.25781234
1 "Lying" 0.044081562
1 "Lying" 0.084304461
1 "Lying" -0.048792898
1 "Lying" 0.10745802
1 "Lying" 0.086354469
1 "Lying" -0.075923877
1 "Lying" 0.030944793
1 "Lying" 0.10018396
1 "Lying" 0.050427063
1 "Lying" 0.025965988
1 "Lying" -0.080378315
1 "Lying" 0.33614568
1 "Lying" -0.12391682
1 "Lying" -0.21515103
1 "Lying" -0.14194618
1 "Lying" 0.071692255
1 "Lying" 0.074642276
1 "Lying" 0.065974409
1 "Lying" -0.17652042
1 "Lying" -0.11174707
1 "Lying" -0.047049886
1 "Sitting" 1
1 "Sitting" -0.047031809
1 "Sitting" 0.032311558
1 "Sitting" 0.044553234
1 "Sitting" -0.1632209
1 "Sitting" -0.11969243
1 "Sitting" -0.046887555
1 "Sitting" -0.085885263
1 "Sitting" -0.17102211
1 "Sitting" -0.20403478
1 "Sitting" -0.18539224
1 "Sitting" 0.0059400482
1 "Sitting" 0.13893261
1 "Sitting" 0.19967143
1 "Sitting" 0.065536658
1 "Sitting" -0.091823163
1 "Sitting" -0.21036942
1 "Sitting" -0.16985098
1 "Sitting" -0.18106363
1 "Sitting" 0.0073890131
1 "Sitting" 0.17006682
1 "Sitting" 0.21500336
1 "Sitting" 0.14630229
1 "Sitting" 0.15423912
1 "Sitting" 0.14455243
1 "Sitting" 0.12418399
1 "Sitting" 0.27998746
1 "Sitting" 0.79782821
1 "Sitting" -0.1361529
1 "Sitting" -0.059388014
1 "Sitting" -0.086010728
1 "Sitting" -0.022608862
1 "Sitting" 0.075915373
1 "Sitting" 0.087875283
1 "Sitting" 0.11348207
1 "Sitting" 0.26260586
1 "Sitting" 0.35970624
1 "Sitting" 0.27773344
1 "Sitting" 0.1224146
1 "Sitting" -0.07484783
1 "Sitting" -0.2836337
1 "Sitting" -0.53228284
1 "Sitting" -0.10816284
1 "Sitting" -0.0089382219
1 "Sitting" 0.180725
1 "Sitting" 0.1392494
1 "Sitting" 0.096662043
1 "Sitting" 0.15533414
1 "Sitting" 0.36592286
1 "Sitting" 0.27547413
1 "Sitting" 0.035997961
1 "Sitting" -0.04337572
1 "Sitting" -0.016374839
1 "Standing" -0.40866064
1 "Standing" -0.25966986
1 "Standing" 0.045575685
1 "Standing" -0.79979291
1 "Standing" -0.69012074
1 "Standing" -0.17197443
1 "Standing" -0.059200981
1 "Standing" 0.12880184
1 "Standing" 0.16677427
1 "Standing" 0.12656252
1 "Standing" 0.026879617
1 "Standing" -0.025463169
1 "Standing" -0.16286097
1 "Standing" -0.10283699
1 "Standing" 0.15613556
1 "Standing" 0.21714221
1 "Standing" 0.11439693
1 "Standing" 0.013322865
1 "Standing" 0.10086126
1 "Standing" 0.14516154
1 "Standing" 0.01615292
1 "Standing" 0.042665647
1 "Standing" 0.095139052
1 "Standing" 0.02245494
1 "Standing" -0.22187747
1 "Standing" 0.18901198
1 "Standing" 0.33908017
1 "Standing" 0.21454038
1 "Standing" 0.16406117
1 "Standing" 0.12555189
1 "Standing" 0.28852398
1 "Standing" 0.31719055
1 "Standing" 0.25591972
1 "Standing" 0.20657799
1 "Standing" 0.044272645
1 "Standing" -0.33844492
1 "Standing" -0.12050833
1 "Standing" -0.019015112
1 "Standing" 0.096289872
1 "Standing" 0.16477232
1 "Standing" 0.21193191
1 "Standing" 0.20008949
1 "Standing" 0.032614776
1 "Standing" 0.049555356
1 "Standing" 0.1075598
1 "Standing" 0.083073706
1 "Standing" -0.36088436
1 "Walking" -0.51518078
1 "Walking" -0.46511378
1 "Walking" -0.2609378
1 "Walking" -0.22822159
1 "Walking" -0.26484525
1 "Walking" -0.25340039
1 "Walking" -0.28783221
1 "Walking" -0.12074791
1 "Walking" -0.4571042
1 "Walking" -0.3603807
1 "Walking" -0.16157027
1 "Walking" -0.26600283
1 "Walking" -0.34450426
1 "Walking" -0.31567987
1 "Walking" -0.4181897
1 "Walking" -0.38326603
1 "Walking" -0.35412874
1 "Walking" -0.30574049
1 "Walking" -0.2738156
1 "Walking" -0.26601909
1 "Walking" -0.30274171
1 "Walking" -0.39213748
1 "Walking" -0.38148746
1 "Walking" -0.11906358
1 "Walking" -0.16927141
1 "Walking" -0.28110078
1 "Walking" -0.17653907
1 "Walking" -0.23523462
1 "Walking" -0.17174551
1 "Walking" -0.15115771
1 "Walking" -0.33624944
1 "Walking" -0.42045927
1 "Walking" -0.40652251
1 "Walking" -0.19814521
1 "Walking" -0.20446348
1 "Walking" -0.21063621
1 "Walking" -0.20775009
1 "Walking" -0.14981586
1 "Walking" -0.22645652
1 "Walking" -0.28477033
1 "Walking" -0.21284453
1 "Walking" -0.29686327
1 "Walking" -0.31227565
1 "Walking" -0.42132116
1 "Walking" -0.42696127
1 "Walking" -0.34491108
1 "Walking" -0.33352114
1 "Walking" -0.4473383
1 "Walking" -0.46205482
1 "Walking" -0.38456337
1 "Walking" -0.37979631
1 "Walking" -0.45499833
1 "Walking" -0.32597727
1 "Walking" -0.33534454
1 "Walking" -0.35068708
1 "Walking" -0.40858369
1 "Walking" -0.3210774
1 "Walking" -0.33126587
1 "Walking" -0.35785781
1 "Walking" -0.23009435
1 "Walking" -0.2689955
1 "Walking" -0.39828427
1 "Walking" -0.23104883
1 "Walking" -0.21574601
1 "Walking" -0.23620319
1 "Walking" -0.32157001
1 "Walking" -0.35079943
1 "Walking" -0.35156757
1 "Walking" -0.35573696
1 "Walking" -0.45891419
1 "Walking" -0.36314603
1 "Walking" -0.24551887
1 "Walking" -0.34252669
1 "Walking" -0.364244
1 "Walking" -0.33114624
1 "Walking" -0.29094691
1 "Walking" -0.32001157
1 "Walking" -0.55114111
1 "Walking" -0.47778512
1 "Walking" -0.44815267
1 "Walking" -0.36576769
1 "Walking" -0.52366387
1 "Walking" -0.42304295
1 "Walking" -0.40919081
1 "Walking" -0.39004038
1 "Walking" -0.18530618
1 "Walking" -0.08674814
1 "Walking" -0.14415729
1 "Walking" -0.14630474
1 "Walking" -0.26552619
1 "Walking" -0.37880868
1 "Walking" -0.21975943
1 "Walking" -0.1761105
1 "Walking" -0.086557701
1 "Walking" -0.10509751
1 "Walking Down Stairs" -0.0082576075
1 "Walking Down Stairs" -0.015808331
1 "Walking Down Stairs" 0.13679697
1 "Walking Down Stairs" 0.093632601
1 "Walking Down Stairs" -0.20161037
1 "Walking Down Stairs" -0.20746061
1 "Walking Down Stairs" -0.04330147
1 "Walking Down Stairs" 0.09126475
1 "Walking Down Stairs" 0.0794626
1 "Walking Down Stairs" -0.010199517
1 "Walking Down Stairs" -0.080129954
1 "Walking Down Stairs" -0.15106429
1 "Walking Down Stairs" -0.10999606
1 "Walking Down Stairs" -0.11371135
1 "Walking Down Stairs" 0.00022214209
1 "Walking Down Stairs" 0.049701322
1 "Walking Down Stairs" -0.23226825
1 "Walking Down Stairs" -0.23310665
1 "Walking Down Stairs" -0.1738619
1 "Walking Down Stairs" -0.088516095
1 "Walking Down Stairs" 0.029407784
1 "Walking Down Stairs" -0.02445929
1 "Walking Down Stairs" -0.37195801
1 "Walking Down Stairs" -0.3321585
1 "Walking Down Stairs" -0.28501736
1 "Walking Down Stairs" -0.10344861
1 "Walking Down Stairs" -0.026820502
1 "Walking Down Stairs" 0.15921287
1 "Walking Down Stairs" 0.1726429
1 "Walking Down Stairs" -0.001134855
1 "Walking Down Stairs" -0.061636469
1 "Walking Down Stairs" -0.15520735
1 "Walking Down Stairs" -0.36179815
1 "Walking Down Stairs" -0.24951002
1 "Walking Down Stairs" -0.05052626
1 "Walking Down Stairs" 0.048581301
1 "Walking Down Stairs" 0.026779409
1 "Walking Down Stairs" -0.034792573
1 "Walking Down Stairs" -0.0016688752
1 "Walking Down Stairs" 0.021540999
1 "Walking Down Stairs" -0.046637668
1 "Walking Down Stairs" 0.029463192
1 "Walking Down Stairs" 0.12435746
1 "Walking Down Stairs" 0.092716561
1 "Walking Down Stairs" 0.028220706
1 "Walking Down Stairs" 0.19745347
1 "Walking Down Stairs" 0.089448409
1 "Walking Down Stairs" -0.31334577
1 "Walking Down Stairs" -0.1564873
1 "Walking Up Stairs" -0.46887815
1 "Walking Up Stairs" -0.37170566
1 "Walking Up Stairs" -0.48449663
1 "Walking Up Stairs" -0.59672209
1 "Walking Up Stairs" -0.5707911
1 "Walking Up Stairs" -0.57384322
1 "Walking Up Stairs" -0.56079373
1 "Walking Up Stairs" -0.50007672
1 "Walking Up Stairs" -0.40672026
1 "Walking Up Stairs" -0.48388259
1 "Walking Up Stairs" -0.64903584
1 "Walking Up Stairs" -0.5453634
1 "Walking Up Stairs" -0.51487292
1 "Walking Up Stairs" -0.40104817
1 "Walking Up Stairs" -0.39383051
1 "Walking Up Stairs" -0.63596568
1 "Walking Up Stairs" -0.55614814
1 "Walking Up Stairs" -0.65096887
1 "Walking Up Stairs" -0.68273497
1 "Walking Up Stairs" -0.78864393
1 "Walking Up Stairs" -0.72369748
1 "Walking Up Stairs" -0.43549018
1 "Walking Up Stairs" -0.33238954
1 "Walking Up Stairs" -0.54568311
1 "Walking Up Stairs" -0.61583935
1 "Walking Up Stairs" -0.65389116
1 "Walking Up Stairs" -0.3697943
1 "Walking Up Stairs" -0.37012959
1 "Walking Up Stairs" -0.62327623
1 "Walking Up Stairs" -0.43003294
1 "Walking Up Stairs" -0.38791103
1 "Walking Up Stairs" -0.60166134
1 "Walking Up Stairs" -0.46829654
1 "Walking Up Stairs" -0.36365082
1 "Walking Up Stairs" -0.40194887
1 "Walking Up Stairs" -0.52281642
1 "Walking Up Stairs" -0.4714088
1 "Walking Up Stairs" -0.54243222
1 "Walking Up Stairs" -0.46374171
1 "Walking Up Stairs" -0.38097065
1 "Walking Up Stairs" -0.41746237
1 "Walking Up Stairs" -0.49943385
1 "Walking Up Stairs" -0.51095194
1 "Walking Up Stairs" -0.39126089
1 "Walking Up Stairs" -0.4766467
1 "Walking Up Stairs" -0.53668137
1 "Walking Up Stairs" -0.55672769
1 "Walking Up Stairs" -0.49357397
1 "Walking Up Stairs" -0.37169304
1 "Walking Up Stairs" -0.52730297
1 "Walking Up Stairs" -0.5430083
1 "Walking Up Stairs" -0.54548325
1 "Walking Up Stairs" -0.62154685
2 "Lying" -0.21856138
2 "Lying" -0.063304449
2 "Lying" 0.20639985
2 "Lying" 0.21732222
2 "Lying" 0.15796825
2 "Lying" 0.014408067
2 "Lying" 0.032735378
2 "Lying" 0.24407138
2 "Lying" 0.24676246
2 "Lying" 0.23228957
2 "Lying" 0.22404024
2 "Lying" -0.060779313
2 "Lying" -0.161498
2 "Lying" -0.23443317
2 "Lying" -0.14731241
2 "Lying" 0.054593929
2 "Lying" -0.037769104
2 "Lying" -0.117364
2 "Lying" -0.020485793
2 "Lying" -0.11201765
2 "Lying" 0.038099368
2 "Lying" 0.071822267
2 "Lying" -0.0049941594
2 "Lying" 0.040653337
2 "Lying" -0.13587619
2 "Lying" 0.021124696
2 "Lying" 0.22466891
2 "Lying" 0.40548076
2 "Lying" 0.0049457833
2 "Lying" -0.058865915
2 "Lying" 0.055229755
2 "Lying" 0.1990719
2 "Lying" 0.3672984
2 "Lying" 0.1865972
2 "Lying" 0.099453553
2 "Lying" -0.23009991
2 "Lying" 0.14096885
2 "Lying" -0.10811203
2 "Lying" -0.1291011
2 "Lying" -0.046127688
2 "Lying" 0.19089489
2 "Lying" 0.26419745
2 "Lying" 0.24201418
2 "Lying" 0.061729805
2 "Lying" 0.051918078
2 "Lying" 0.090401001
2 "Lying" 0.047943012
2 "Lying" -0.66499723
2 "Sitting" 0.03391784
2 "Sitting" -0.25023745
2 "Sitting" -0.30612471
2 "Sitting" -0.24791417
