"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.46004651
1 "Lying" -0.18030037
1 "Lying" 0.017261554
1 "Lying" 0.097600875
1 "Lying" 0.18006129
1 "Lying" 0.17662837
1 "Lying" 0.20345452
1 "Lying" 0.19470279
1 "Lying" 0.14255462
1 "Lying" 0.085828002
1 "Lying" 0.19530944
1 "Lying" 0.15910148
1 "Lying" -0.0027658409
1 "Lying" -0.23574506
1 "Lying" 0.032374513
1 "Lying" -0.13717669
1 "Lying" -0.15468476
1 "Lying" -0.13689885
1 "Lying" -0.47443376
1 "Lying" -0.15882557
1 "Lying" -0.079332337
1 "Lying" -0.39657669
1 "Lying" 0.14176794
1 "Lying" 0.21187725
1 "Lying" 0.32545806
1 "Lying" 0.29121374
1 "Lying" 0.45364145
1 "Lying" 0.028310713
1 "Lying" -0.058312302
1 "Lying" 0.21639978
1 "Lying" 0.20696493
1 "Lying" 0.39601332
1 "Lying" 0.16179493
1 "Lying" -0.14552601
1 "Lying" -0.0056498843
1 "Lying" 0.09201228
1 "Lying" 0.13068666
1 "Lying" 0.28344938
1 "Lying" 0.16046915
1 "Lying" 0.43822588
1 "Lying" 0.42933317
1 "Lying" -0.046807453
1 "Lying" 0.18692111
1 "Lying" 0.080062962
1 "Lying" 0.22092356
1 "Lying" 0.27557913
1 "Lying" 0.19214393
1 "Lying" -0.07899337
1 "Lying" 0.11147557
1 "Lying" -0.01440342
1 "Sitting" 0.69021323
1 "Sitting" 0.29261893
1 "Sitting" 0.13455444
1 "Sitting" 0.11245747
1 "Sitting" 0.13253708
1 "Sitting" 0.13824132
1 "Sitting" 0.048762132
1 "Sitting" 0.17742327
1 "Sitting" 0.34241521
1 "Sitting" 0.035193368
1 "Sitting" -0.052891273
1 "Sitting" 0.086658513
1 "Sitting" 0.14660933
1 "Sitting" 0.11676788
1 "Sitting" 0.10035987
1 "Sitting" 0.013496817
1 "Sitting" 0.017479875
1 "Sitting" 0.10891978
1 "Sitting" 0.16663471
1 "Sitting" 0.018243872
1 "Sitting" 0.23053633
1 "Sitting" 0.2684965
1 "Sitting" 0.19423133
1 "Sitting" 0.36564716
1 "Sitting" 0.46454634
1 "Sitting" 0.44165505
1 "Sitting" 0.27476766
1 "Sitting" -0.054822061
1 "Sitting" 0.15390794
1 "Sitting" 0.24116775
1 "Sitting" 0.24501011
1 "Sitting" 0.18284347
1 "Sitting" 0.21044454
1 "Sitting" 0.47871393
1 "Sitting" 0.17580312
1 "Sitting" 0.12148195
1 "Sitting" 0.1575811
1 "Sitting" 0.18444633
1 "Sitting" 0.19474613
1 "Sitting" 0.27573232
1 "Sitting" 0.40570028
1 "Sitting" -0.10330904
1 "Sitting" -0.088329885
1 "Sitting" -0.098558499
1 "Sitting" 0.050437125
1 "Sitting" 0.23597833
1 "Sitting" 0.41072282
1 "Sitting" 0.17228506
1 "Sitting" 0.26876797
1 "Sitting" 0.34997062
1 "Sitting" 0.00029924711
1 "Sitting" -0.19595108
1 "Sitting" 0.02148032
1 "Standing" 0.32968591
1 "Standing" 0.55147375
1 "Standing" 0.20664575
1 "Standing" -0.29729311
1 "Standing" -0.17979475
1 "Standing" 0.080413499
1 "Standing" 0.21481554
1 "Standing" 0.033672171
1 "Standing" -0.056656862
1 "Standing" -0.12153436
1 "Standing" 0.039351938
1 "Standing" -0.16007907
1 "Standing" 0.22419736
1 "Standing" 0.19599687
1 "Standing" 0.22885874
1 "Standing" 0.37026298
1 "Standing" 0.21554143
1 "Standing" 0.12442411
1 "Standing" 0.21792041
1 "Standing" 0.21519945
1 "Standing" 0.06031017
1 "Standing" 0.28732311
1 "Standing" 0.16546232
1 "Standing" 0.087130525
1 "Standing" -0.034031536
1 "Standing" -0.43186103
1 "Standing" -0.3945093
1 "Standing" -0.038692006
1 "Standing" 0.069092696
1 "Standing" 0.098475298
1 "Standing" 0.17318633
1 "Standing" 0.27057054
1 "Standing" 0.14771089
1 "Standing" 0.022940544
1 "Standing" 0.35045179
1 "Standing" 0.17077052
