"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.21712989
1 "Lying" -0.78553895
1 "Lying" 0.59852307
1 "Lying" -0.26984068
1 "Lying" -0.15872595
1 "Lying" 0.02060073
1 "Lying" 0.18960672
1 "Lying" -0.18619346
1 "Lying" 0.20714656
1 "Lying" 0.31884747
1 "Lying" 0.19845486
1 "Lying" 0.2456896
1 "Lying" 0.29439205
1 "Lying" -0.43454985
1 "Lying" 0.69168885
1 "Lying" -0.44325537
1 "Lying" -0.44798739
1 "Lying" -0.19080696
1 "Lying" -0.57209562
1 "Lying" -0.21442576
1 "Lying" -0.17263338
1 "Lying" -0.27717842
1 "Lying" -0.31044683
1 "Lying" -0.44802922
1 "Lying" -0.79351398
1 "Lying" -0.70508579
1 "Lying" -0.084264797
1 "Lying" -0.095076764
1 "Lying" -0.63233639
1 "Lying" -0.13531512
1 "Lying" 0.073286582
1 "Lying" -0.25409332
1 "Lying" -0.30985103
1 "Lying" 0.5052823
1 "Lying" 0.0093274346
1 "Lying" 0.24379813
1 "Lying" 0.31360914
1 "Lying" 0.13609634
1 "Lying" -0.036698541
1 "Lying" -0.23270996
1 "Lying" 0.49596264
1 "Lying" 0.54961201
1 "Lying" -0.24849847
1 "Lying" -0.77437045
1 "Lying" 0.29673102
1 "Lying" -0.0056522023
1 "Lying" -0.54748595
1 "Lying" 0.60750086
1 "Lying" 0.75911867
1 "Lying" 0.40962056
1 "Sitting" 0.70958377
1 "Sitting" 0.046721243
1 "Sitting" -0.010129565
1 "Sitting" 0.21019413
1 "Sitting" -0.1420007
1 "Sitting" -0.44810249
1 "Sitting" -0.016117067
1 "Sitting" 0.20436248
1 "Sitting" -0.18737679
1 "Sitting" -0.36584487
1 "Sitting" -0.42571612
1 "Sitting" 0.015827178
1 "Sitting" 0.38215311
1 "Sitting" -0.15003471
1 "Sitting" -0.26229161
1 "Sitting" 0.48480761
1 "Sitting" -0.53025878
1 "Sitting" 0.18095029
1 "Sitting" 0.11129629
