"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99892563
1 "Lying" -0.9997864
1 "Lying" -0.99993408
1 "Lying" -0.9999854
1 "Lying" -0.99999815
1 "Lying" -0.99999808
1 "Lying" -0.9999977
1 "Lying" -0.99999804
1 "Lying" -0.999998
1 "Lying" -0.99999878
1 "Lying" -0.99999753
1 "Lying" -0.99999625
1 "Lying" -0.99999748
1 "Lying" -0.99339866
1 "Lying" -0.99838916
1 "Lying" -0.82987648
1 "Lying" -0.80919654
1 "Lying" -0.98137975
1 "Lying" -0.94395288
1 "Lying" -0.57128911
1 "Lying" -0.61833146
1 "Lying" -0.95706474
1 "Lying" -0.99843284
1 "Lying" -0.99869042
1 "Lying" -0.99922475
1 "Lying" -0.99980291
1 "Lying" -0.99996043
1 "Lying" -0.99926109
1 "Lying" -0.99941166
1 "Lying" -0.9998082
1 "Lying" -0.99997266
1 "Lying" -0.99999852
1 "Lying" -0.99999701
1 "Lying" -0.99999546
1 "Lying" -0.99999927
1 "Lying" -0.99999815
1 "Lying" -0.99999811
1 "Lying" -0.99999759
1 "Lying" -0.99999749
1 "Lying" -0.69190675
1 "Lying" -0.94579399
1 "Lying" -0.98798142
1 "Lying" -0.97843234
1 "Lying" -0.98857773
1 "Lying" -0.99924795
1 "Lying" -0.99966039
1 "Lying" -0.9997047
1 "Lying" -0.99686055
1 "Lying" -0.99457128
1 "Lying" -0.99962362
1 "Sitting" -0.99986326
1 "Sitting" -0.99982986
1 "Sitting" -0.99967443
1 "Sitting" -0.99995017
1 "Sitting" -0.99986506
1 "Sitting" -0.99986042
1 "Sitting" -0.99990826
1 "Sitting" -0.99992151
1 "Sitting" -0.99994356
1 "Sitting" -0.99986322
1 "Sitting" -0.99985454
1 "Sitting" -0.99997275
1 "Sitting" -0.99998194
1 "Sitting" -0.99999326
1 "Sitting" -0.99971291
1 "Sitting" -0.9999157
1 "Sitting" -0.99992017
1 "Sitting" -0.99992224
1 "Sitting" -0.99994553
1 "Sitting" -0.99998373
1 "Sitting" -0.99999273
1 "Sitting" -0.99999405
1 "Sitting" -0.99999535
1 "Sitting" -0.99999585
1 "Sitting" -0.99998638
1 "Sitting" -0.99996654
1 "Sitting" -0.99997515
1 "Sitting" -0.99940951
1 "Sitting" -0.9998361
1 "Sitting" -0.99986578
1 "Sitting" -0.99931121
1 "Sitting" -0.99900965
1 "Sitting" -0.99962222
1 "Sitting" -0.99993068
1 "Sitting" -0.99994932
1 "Sitting" -0.99996183
1 "Sitting" -0.99995553
1 "Sitting" -0.99995801
1 "Sitting" -0.99995144
1 "Sitting" -0.99960546
1 "Sitting" -0.99956807
1 "Sitting" -0.99852013
1 "Sitting" -0.99987801
1 "Sitting" -0.99989852
1 "Sitting" -0.99993193
1 "Sitting" -0.99996268
1 "Sitting" -0.99997433
1 "Sitting" -0.99995269
1 "Sitting" -0.99995928
1 "Sitting" -0.99997248
1 "Sitting" -0.9999535
1 "Sitting" -0.99994851
1 "Sitting" -0.99994591
1 "Standing" -0.99960748
1 "Standing" -0.9999734
1 "Standing" -0.99998238
1 "Standing" -0.96293324
1 "Standing" -0.95989453
1 "Standing" -0.99743013
1 "Standing" -0.99998712
1 "Standing" -0.99999478
1 "Standing" -0.99998842
1 "Standing" -0.99999802
1 "Standing" -0.99999551
1 "Standing" -0.99884324
1 "Standing" -0.9984095
